SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-9-2018,Townhouse,22818 Serra Dr,Carson,CA,90745,620000,4,3.0,139 - South Carson,1913,73414,2004,473,324,108,Sold,,,http://www.redfin.com/CA/Carson/22818-Serra-Dr-90745/home/22933759,CRMLS,PW18195558,N,Y,33.818674,-118.264188
PAST SALE,March-29-2019,Townhouse,1127 W 228th St #17,Torrance,CA,90502,510000,3,2.5,123 - County Strip,1490,65883,1988,302,342,320,Sold,,,http://www.redfin.com/CA/Torrance/1127-W-228th-St-90502/unit-17/home/7644733,CRMLS,SB19006557,N,Y,33.8194995,-118.2958799
PAST SALE,October-30-2018,Townhouse,17822 Woodbine Ct,Carson,CA,90746,530000,3,3.0,137 - North Carson,1656,33790,2003,452,320,443,Sold,,,http://www.redfin.com/CA/Carson/17822-Woodbine-Ct-90746/home/8139169,CRMLS,PW18222227,N,Y,33.8681489,-118.2542941
PAST SALE,April-22-2019,Townhouse,21 Paradise S,Carson,CA,90745,317000,4,2.0,139 - South Carson,1421,1904979,1963,278,223,268,Sold,,,http://www.redfin.com/CA/Carson/21-Paradise-Vly-S-90745/home/7629121,CRMLS,PW19042377,N,Y,33.8107519,-118.2622921
PAST SALE,March-28-2018,Townhouse,17803 Cottonwood Ct,Carson,CA,90746,470000,3,3.0,139 - South Carson,1327,30986,2001,668,354,425,Sold,,,http://www.redfin.com/CA/Carson/17803-Cottonwood-Ct-90746/home/8115018,CRMLS,SB18035556,N,Y,33.8681743,-118.2491436
PAST SALE,October-21-2019,Townhouse,22712 Meyler St,Torrance,CA,90502,700000,4,3.0,123 - County Strip,1727,41113,2016,96,405,130,Sold,,,http://www.redfin.com/CA/Torrance/22712-Meyler-St-90502/home/110239043,CRMLS,PW19219372,N,Y,33.820105,-118.294292
PAST SALE,November-25-2019,Townhouse,23329 Colony Park Dr,Carson,CA,90745,500000,3,3.0,139 - South Carson,1376,36660,1999,61,363,268,Sold,,,http://www.redfin.com/CA/Carson/23329-Colony-Park-Dr-90745/home/7636833,CRMLS,SB19205128,N,Y,33.8138048,-118.2646404
PAST SALE,January-8-2019,Townhouse,1266 Date Palm Dr,Carson,CA,90746,600000,4,3.0,137 - North Carson,1748,2735,2000,382,343,275,Sold,,,http://www.redfin.com/CA/Carson/1266-Date-Palm-Dr-90746/home/8104750,CRMLS,PW18280006,N,Y,33.8704007,-118.2510406
PAST SALE,November-15-2018,Townhouse,790 Colorado Cir,Carson,CA,90745,700000,4,3.5,136 - Central Carson,2091,9583,2014,436,335,278,Sold,,,http://www.redfin.com/CA/Carson/790-Colorado-Cir-90745/home/110126671,CRMLS,PW18244203,N,Y,33.8307074,-118.2660159
PAST SALE,November-1-2019,Mobile/Manufactured Home,1065 Lomita Blvd #379,Harbor City,CA,90710,105000,2,2.0,124 - Harbor City,1368,,1973,85,77,,Sold,,,http://www.redfin.com/CA/West-Carson/1065-Lomita-Blvd-90710/unit-379/home/142901579,CRMLS,SB19197070,N,Y,33.8000898,-118.294537
PAST SALE,December-31-2019,Mobile/Manufactured Home,1065 Lomita #101,Harbor City,CA,90710,139000,2,2.0,124 - Harbor City,1440,,1973,25,97,,Sold,,,http://www.redfin.com/CA/Harbor-City/1065-Lomita-Blvd-90710/unit-101/home/59298204,CRMLS,SB19146090,N,Y,33.8000898,-118.294537
PAST SALE,January-8-2020,Mobile/Manufactured Home,1065 Lomita Blvd #84,Harbor City,CA,90744,120000,2,1.5,124 - Harbor City,1368,,1973,17,88,,Sold,,,http://www.redfin.com/CA/Harbor-City/1065-Lomita-Blvd-90710/unit-84/home/22153731,CRMLS,PW19174138,N,Y,33.8000898,-118.294537
PAST SALE,September-24-2019,Vacant Land,21023 Figueroa St,Carson,CA,90745,410000,,,139 - South Carson,,8005,,123,,,Sold,,,http://www.redfin.com/CA/Carson/21023-S-Figueroa-St-90745/home/144680251,CRMLS,SB18281481,N,Y,33.8386972,-118.2863301
PAST SALE,October-21-2019,Townhouse,2 Tomahawk Ln,Carson,CA,90745,280000,3,2.0,136 - Central Carson,1121,1904979,1963,96,250,268,Sold,,,http://www.redfin.com/CA/Carson/2-Tomahawk-Ln-90745/unit-233/home/7628787,CRMLS,PW19171554,N,Y,33.8124526,-118.2625012
PAST SALE,August-15-2019,Townhouse,5 Boothill Ln,Carson,CA,90745,265000,3,2.0,136 - Central Carson,1101,1904979,1963,163,241,268,Sold,,,http://www.redfin.com/CA/Carson/5-Boothill-Ln-90745/home/28759716,CRMLS,PW19094103,N,Y,33.812448,-118.262489
