SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-31-2019,Single Family Residential,24210 Seagrove Ave,Carson,CA,90745,520000,3,2.0,136 - Central Carson,1136,5460,1960,25,458,,Sold,,,http://www.redfin.com/CA/Carson/24210-Seagrove-Ave-90745/home/7668288,CRMLS,SB19253374,N,Y,33.8056963,-118.2576645
PAST SALE,May-17-2018,Single Family Residential,2657 E Jefferson St,Carson,CA,90810,480000,3,2.0,138 - Rancho Dominguez,1473,2764,1968,618,326,,Sold,,,http://www.redfin.com/CA/Carson/2657-E-Jefferson-St-90810/home/7625614,CRMLS,SB18017904,N,Y,33.8341871,-118.2193221
PAST SALE,November-9-2018,Single Family Residential,22908 Broadwell Ave,Torrance,CA,90502,530000,3,1.0,123 - County Strip,968,5259,1953,442,548,,Sold,,,http://www.redfin.com/CA/Torrance/22908-Broadwell-Ave-90502/home/7669823,CRMLS,PW18232013,N,Y,33.817655,-118.2920134
PAST SALE,September-4-2019,Single Family Residential,349 E Lincoln St,Carson,CA,90745,506000,3,1.0,139 - South Carson,1017,9417,1955,143,498,,Sold,,,http://www.redfin.com/CA/Carson/349-E-Lincoln-St-90745/home/7668346,CRMLS,SB19165343,N,Y,33.8074373,-118.2689017
PAST SALE,February-15-2018,Single Family Residential,19326 Scobey Ave,Carson,CA,90746,530000,4,1.75,137 - North Carson,1856,6540,1961,709,286,,Sold,,,http://www.redfin.com/CA/Carson/19326-Scobey-Ave-90746/home/7632485,CRMLS,SB17274924,N,Y,33.8554346,-118.2554261
PAST SALE,April-24-2019,Single Family Residential,136 W 214th St,Carson,CA,90745,505000,3,1.75,South Carson,1050,5165,1957,276,481,,Sold,,,http://www.redfin.com/CA/Carson/136-W-214th-St-90745/home/7643576,TheMLS,18-396244,N,Y,33.8340986,-118.2800926
PAST SALE,April-18-2019,Single Family Residential,21412 Meyler St,Torrance,CA,90502,549000,3,1.75,123 - County Strip,1225,5473,1956,282,448,,Sold,,,http://www.redfin.com/CA/Torrance/21412-Meyler-St-90502/home/7645949,CRMLS,SB19053149,N,Y,33.8341251,-118.2947399
PAST SALE,December-12-2018,Single Family Residential,24502 Ravenna Ave,Carson,CA,90745,535000,2,1.75,139 - South Carson,1430,4754,1968,409,374,,Sold,,,http://www.redfin.com/CA/Carson/24502-Ravenna-Ave-90745/home/7668988,CRMLS,PW18257591,N,Y,33.8031351,-118.2686962
PAST SALE,February-22-2019,Single Family Residential,1056 W 228th St,Torrance,CA,90502,480000,3,1.0,123 - County Strip,973,5778,1951,337,493,,Sold,,,http://www.redfin.com/CA/Torrance/1056-W-228th-St-90502/home/7669933,CRMLS,SB19006446,N,Y,33.8187773,-118.294434
PAST SALE,July-1-2019,Single Family Residential,20516 Kenwood Ave,Torrance,CA,90502,550000,2,1.0,123 - County Strip,1054,10055,1952,208,522,,Sold,,,http://www.redfin.com/CA/Torrance/20516-Kenwood-Ave-90502/home/7649315,CRMLS,SB19095954,N,Y,33.8444435,-118.2972352
PAST SALE,July-5-2019,Single Family Residential,1158 E 222nd St,Carson,CA,90745,502000,4,2.0,140 - East Carson,1483,3274,1964,204,339,,Sold,,,http://www.redfin.com/CA/Carson/1158-E-222nd-St-90745/home/7637716,CRMLS,DW19119549,N,Y,33.8252416,-118.2529592
PAST SALE,,Single Family Residential,211 E Clarion Dr,Carson,CA,90745,510000,3,2.0,,1537,5020,1962,,332,,,,,http://www.redfin.com/CA/Carson/211-E-Clarion-Dr-90745/home/7639159,,,N,Y,33.8362485,-118.2751596
