SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-2018,Single Family Residential,1218 E Jay St,Carson,CA,90745,635000,4,3.0,136 - Central Carson,2033,5071,1980,575,312,,Sold,,,http://www.redfin.com/CA/Carson/1218-E-Jay-St-90745/home/7637584,CRMLS,SB18089271,N,Y,33.8264716,-118.2520456
PAST SALE,November-12-2019,Single Family Residential,21826 Anchor Ave,Carson,CA,90745,710000,4,3.0,140 - East Carson,2046,5974,1980,74,347,,Sold,,,http://www.redfin.com/CA/Carson/21826-Anchor-Ave-90745/home/7640123,CRMLS,PW19218632,N,Y,33.829579,-118.264882
PAST SALE,August-8-2019,Single Family Residential,22853 Baywood Dr,Carson,CA,90745,655000,3,3.0,139 - South Carson,1883,3383,2000,170,348,90,Sold,,,http://www.redfin.com/CA/Carson/22853-Baywood-Dr-90745/home/8105182,CRMLS,BB19088467,N,Y,33.8173852,-118.2782655
PAST SALE,March-30-2018,Single Family Residential,1224 W 222nd St,Torrance,CA,90502,630000,4,2.5,123 - County Strip,1573,3284,1970,666,401,,Sold,,,http://www.redfin.com/CA/Torrance/1224-W-222nd-St-90502/home/7644404,CRMLS,SB18040303,N,Y,33.8257225,-118.297631
PAST SALE,December-14-2018,Single Family Residential,984 Koleeta Dr,Harbor City,CA,90710,700000,5,3.0,124 - Harbor City,1952,5134,1965,407,359,,Sold,,,http://www.redfin.com/CA/Harbor-City/984-Koleeta-Dr-90710/home/7671570,CRMLS,SB18259191,N,Y,33.803485,-118.293333
PAST SALE,June-20-2019,Single Family Residential,622 E Holborn Dr,Carson,CA,90746,660000,4,2.0,137 - North Carson,1813,6000,1964,219,364,,Sold,,,http://www.redfin.com/CA/Carson/622-E-Holborn-Dr-90746/home/7631962,CRMLS,PW19116366,N,Y,33.8529419,-118.2631918
PAST SALE,July-12-2019,Single Family Residential,1140 Oakheath Dr,Harbor City,CA,90710,750000,4,3.0,124 - Harbor City,2330,5749,1965,197,322,,Sold,,,http://www.redfin.com/CA/Harbor-City/1140-Oakheath-Dr-90710/home/7671013,CRMLS,SB19136481,N,Y,33.8093098,-118.2968546
PAST SALE,April-3-2018,Single Family Residential,20637 Shearer Ave,Carson,CA,90745,655000,4,3.0,136 - Central Carson,2069,5168,1998,662,317,,Sold,,,http://www.redfin.com/CA/Carson/20637-Shearer-Ave-90745/home/7640694,CRMLS,SB17279326,N,Y,33.8434188,-118.2792247
PAST SALE,June-4-2018,Single Family Residential,20122 Tillman Ave,Carson,CA,90746,615000,4,2.0,137 - North Carson,1612,4658,1970,600,382,,Sold,,,http://www.redfin.com/CA/Carson/20122-Tillman-Ave-90746/home/7665190,CRMLS,IN18043383,N,Y,33.8488467,-118.2533704
PAST SALE,November-7-2018,Single Family Residential,658 Loyola Ave,Carson,CA,90746,660000,4,3.0,138 - Rancho Dominguez,2426,4995,1990,444,272,,Sold,,,http://www.redfin.com/CA/Carson/658-Loyola-Ave-90746/home/7630983,CRMLS,SB18227270,N,Y,33.8596118,-118.2637857
PAST SALE,March-8-2019,Single Family Residential,19830 Reinhart Ave,Carson,CA,90746,635000,4,2.0,North Carson,1532,5515,1968,323,414,,Sold,,,http://www.redfin.com/CA/Carson/19830-Reinhart-Ave-90746/home/7631949,TheMLS,18-414754,N,Y,33.851088,-118.2634413
PAST SALE,November-14-2019,Single Family Residential,19221 Dunbrooke Ave,Carson,CA,90746,626000,3,2.0,137 - North Carson,1276,6000,1960,72,491,,Sold,,,http://www.redfin.com/CA/Carson/19221-Dunbrooke-Ave-90746/home/7632109,CRISNet,SR19236368,N,Y,33.8561436,-118.2654758
PAST SALE,December-31-2019,Single Family Residential,19916 Scobey Ave,Carson,CA,90746,620000,4,2.0,137 - North Carson,1612,4609,1970,25,385,,Sold,,,http://www.redfin.com/CA/Carson/19916-Scobey-Ave-90746/home/7666482,CRMLS,SB19232232,N,Y,33.8503124,-118.2541698
PAST SALE,January-24-2020,Single Family Residential,735 Howard Ave,Carson,CA,90746,735000,4,3.0,137 - North Carson,2295,5738,1992,1,320,,Sold,,,http://www.redfin.com/CA/Carson/735-Howard-Ave-90746/home/7631051,CRMLS,PW19280475,N,Y,33.8589488,-118.2617758
PAST SALE,August-31-2018,Single Family Residential,1411 E Kramer Dr,Carson,CA,90746,619000,4,2.5,Rancho Dominguez,1864,6802,1965,512,332,,Sold,,,http://www.redfin.com/CA/Carson/1411-E-Kramer-Dr-90746/home/7633160,TheMLS,18-363840,N,Y,33.8553101,-118.245924
PAST SALE,September-19-2018,Single Family Residential,19406 Pricetown Ave,Carson,CA,90746,638000,4,3.0,138 - Rancho Dominguez,1864,5566,1965,493,342,,Sold,,,http://www.redfin.com/CA/Carson/19406-Pricetown-Ave-90746/home/7633189,CRISNet,SR18201554,N,Y,33.8541968,-118.24766
