SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-21-2018,Single Family Residential,5019 W 139th St,Hawthorne,CA,90250,730000,3,1.75,109 - Ramona/Burleigh,1599,6010,1957,580,457,,Sold,,,http://www.redfin.com/CA/Hawthorne/5019-139th-St-90250/home/6676090,CRMLS,SB18108378,N,Y,33.9054297,-118.3663058
PAST SALE,November-7-2019,Single Family Residential,5434 W 120th St,Hawthorne,CA,90250,830000,3,2.0,Holly Glen/Del Aire,1453,5023,1949,76,571,,Sold,,,http://www.redfin.com/CA/Hawthorne/5434-W-120th-St-90250/home/6667514,TheMLS,19-512084,N,Y,33.9234222,-118.3756414
PAST SALE,March-29-2018,Single Family Residential,4905 W 138th St,Hawthorne,CA,90250,761000,3,1.75,107 - Holly Glen/Del Aire,1308,5280,1951,664,582,,Sold,,,http://www.redfin.com/CA/Hawthorne/4905-138th-St-90250/home/6675771,CRMLS,SB18047001,N,Y,33.9062467,-118.3644797
PAST SALE,June-7-2019,Single Family Residential,5008 W 137th Pl,Hawthorne,CA,90250,1000000,3,2.5,107 - Holly Glen/Del Aire,2098,5285,1947,229,477,,Sold,,,http://www.redfin.com/CA/Hawthorne/5008-W-137th-Pl-90250/home/6675697,CRMLS,SB19095254,N,Y,33.906654,-118.3658949
PAST SALE,June-5-2018,Single Family Residential,5007 W 139th St,Hawthorne,CA,90250,690000,3,1.75,109 - Ramona/Burleigh,1180,5998,1939,596,585,,Sold,,,http://www.redfin.com/CA/Hawthorne/5007-139th-St-90250/home/6676086,CRMLS,CV18077084,N,Y,33.9054008,-118.3659406
PAST SALE,July-18-2019,Single Family Residential,4940 W 141st St,Hawthorne,CA,90250,856000,3,1.75,109 - Ramona/Burleigh,1414,5803,1963,188,605,,Sold,,,http://www.redfin.com/CA/Hawthorne/4940-W-141st-St-90250/home/6677114,CRMLS,SB19134344,N,Y,33.9034778,-118.365621
PAST SALE,June-25-2019,Single Family Residential,4920 W 141st St,Hawthorne,CA,90250,715000,4,3.0,Ramona/Burleigh,1380,5804,1922,211,518,,Sold,,,http://www.redfin.com/CA/Hawthorne/4920-W-141st-St-90250/home/6677126,TheMLS,19-431952,N,Y,33.9034773,-118.3649819
PAST SALE,October-8-2019,Single Family Residential,4839 W 137th St,Hawthorne,CA,90250,763000,3,1.0,107 - Holly Glen/Del Aire,1029,5286,1947,106,741,,Sold,,,http://www.redfin.com/CA/Hawthorne/4839-137th-St-90250/home/6675022,CRMLS,SB19204587,N,Y,33.9079381,-118.3627137
PAST SALE,,Single Family Residential,4829 W 137th Pl,Hawthorne,CA,90250,544000,2,1.0,,818,5286,1949,,665,,,,,http://www.redfin.com/CA/Hawthorne/4829-W-137th-Pl-90250/home/6675585,,,N,Y,33.907113,-118.3623518
PAST SALE,November-20-2019,Single Family Residential,4908 W 136th St,Hawthorne,CA,90250,905000,3,2.5,107 - Holly Glen/Del Aire,1713,5292,1947,63,528,,Sold,,,http://www.redfin.com/CA/Hawthorne/4908-W-136th-St-90250/home/6675115,CRMLS,SB19215526,N,Y,33.9083931,-118.3645771
PAST SALE,January-9-2020,Single Family Residential,5008 W 136th St,Hawthorne,CA,90250,805000,2,2.0,Holly Glen/Del Aire,1147,5287,1947,13,702,,Sold,,,http://www.redfin.com/CA/Hawthorne/5008-W-136th-St-90250/home/6675087,TheMLS,19-530724,N,Y,33.9084165,-118.3658949
