SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-17-2019,Townhouse,883 Washington St #4,El Segundo,CA,90245,700000,2,1.5,141 - El Segundo,1265,33696,1976,280,553,265,Sold,,,http://www.redfin.com/CA/El-Segundo/883-Washington-St-90245/unit-4/home/6660616,CRMLS,SB19002760,N,Y,33.9287773,-118.3994197
PAST SALE,July-3-2018,Townhouse,206 Sheldon St,El Segundo,CA,90245,921000,4,2.5,141 - El Segundo,1641,7150,2009,568,561,236,Sold,,,http://www.redfin.com/CA/El-Segundo/206-Sheldon-St-90245/home/28914950,CRMLS,SB18107265,N,Y,33.9181389,-118.410884
PAST SALE,March-13-2018,Townhouse,320 Concord St Unit B,El Segundo,CA,90245,1060550,3,2.5,141 - El Segundo,1824,5606,2006,680,581,250,Sold,,,http://www.redfin.com/CA/El-Segundo/320-Concord-St-90245/unit-B/home/12291284,CRMLS,SB18005833,N,Y,33.919718,-118.4179774
PAST SALE,July-31-2018,Condo/Co-op,945 Pepper St #211,El Segundo,CA,90245,640000,2,2.0,141 - El Segundo,1175,49819,1982,540,545,335,Sold,,,http://www.redfin.com/CA/El-Segundo/945-Pepper-St-90245/unit-211/home/6644810,CRMLS,SB18136744,N,Y,33.9301423,-118.4154807
PAST SALE,April-5-2019,Townhouse,879 Washington St,El Segundo,CA,90245,660000,2,2.0,141 - El Segundo,1265,33696,1976,292,522,265,Sold,,,http://www.redfin.com/CA/El-Segundo/879-Washington-St-90245/home/6660621,CRISNet,SR19047503,N,Y,33.9288635,-118.399266
PAST SALE,,Single Family Residential,1407 E Walnut Ave,El Segundo,CA,90245,1359000,3,2.0,,2084,6246,1948,,652,,,,,http://www.redfin.com/CA/El-Segundo/1407-E-Walnut-Ave-90245/home/6659633,,,N,Y,33.9292511,-118.40142
PAST SALE,January-31-2019,Single Family Residential,1225 E Acacia Ave,El Segundo,CA,90245,1595000,4,3.5,141 - El Segundo,2454,5718,1949,356,650,,Sold,,,http://www.redfin.com/CA/El-Segundo/1225-E-Acacia-Ave-90245/home/6659669,CRMLS,SB18259265,N,Y,33.9300466,-118.3997264
PAST SALE,January-9-2020,Single Family Residential,804 California St,El Segundo,CA,90245,1485000,4,2.5,141 - El Segundo,1921,5879,1958,13,773,,Sold,,,http://www.redfin.com/CA/El-Segundo/804-California-St-90245/home/6660799,CRMLS,SB19274230,N,Y,33.9272732,-118.4017738
PAST SALE,March-2-2018,Single Family Residential,849 Sheldon St,El Segundo,CA,90245,1500000,3,2.5,141 - El Segundo,2100,4558,1925,691,714,,Sold,,,http://www.redfin.com/CA/El-Segundo/849-Sheldon-St-90245/home/6645495,CRMLS,SB18014248,N,Y,33.9284416,-118.4114953
PAST SALE,August-10-2018,Single Family Residential,917 Sheldon St,El Segundo,CA,90245,2560000,5,4.5,141 - El Segundo,4200,7978,2018,530,610,,Sold,,,http://www.redfin.com/CA/El-Segundo/917-Sheldon-St-90245/home/6645714,CRMLS,SB18114066,N,Y,33.9295379,-118.4114548
PAST SALE,,Single Family Residential,925 Sheldon St,El Segundo,CA,90245,1950000,,,,,,,,,,,,,http://www.redfin.com/CA/El-Segundo/925-Sheldon-St-90245/home/167210835,,,N,Y,33.9297089,-118.411483
PAST SALE,March-30-2018,Townhouse,603 E Pine Ave,El Segundo,CA,90245,740000,2,2.0,141 - El Segundo,1300,24356,1984,663,569,175,Sold,,,http://www.redfin.com/CA/El-Segundo/603-E-Pine-Ave-90245/home/6647513,CRMLS,SB18016460,N,Y,33.922581,-118.408726
PAST SALE,March-7-2018,Single Family Residential,535 Lomita St,El Segundo,CA,90245,1800000,4,2.25,141 - El Segundo,2390,6474,1984,686,753,,Sold,,,http://www.redfin.com/CA/El-Segundo/535-Lomita-St-90245/home/6647494,CRMLS,SB18018425,N,Y,33.9229577,-118.4080815
