SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-27-2018,Multi-Family (2-4 Unit),426 E 81st St,Los Angeles,CA,90003,462500,8,4.0,C34 - Los Angeles Southwest,2468,5208,1962,697,187,,Sold,,,http://www.redfin.com/CA/Los-Angeles/426-E-81st-St-90003/home/7289929,CRMLS,SB17256238,N,Y,33.9653467,-118.2663437
PAST SALE,June-24-2019,Multi-Family (2-4 Unit),1015 E 79th St,Los Angeles,CA,90001,740000,7,6.0,C37 - Metropolitan South,3893,5201,2018,215,190,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1015-E-79th-St-90001/home/7285382,CRMLS,SB19085715,N,Y,33.9676625,-118.2572077
PAST SALE,May-10-2019,Multi-Family (2-4 Unit),202 E 73rd St,Los Angeles,CA,90003,535000,4,3.0,C37 - Metropolitan South,2075,5105,1920,260,258,,Sold,,,http://www.redfin.com/CA/Los-Angeles/202-E-73rd-St-90003/home/7284261,CRMLS,SB19025666,N,Y,33.9734608,-118.2716767
PAST SALE,September-11-2018,Multi-Family (2-4 Unit),145 W 82nd St,Los Angeles,CA,90003,585000,7,3.0,C37 - Metropolitan South,2492,5320,1964,501,235,,Sold,,,http://www.redfin.com/CA/Los-Angeles/145-W-82nd-St-90003/home/7290549,CRMLS,SB18130507,N,Y,33.9653019,-118.275525
PAST SALE,February-8-2019,Multi-Family (2-4 Unit),347 -347 1/2 E 61st St,Los Angeles,CA,90003,549900,4,3.0,C42 - Downtown L.A.,1420,5417,1910,351,387,,Sold,,,http://www.redfin.com/CA/Los-Angeles/417-1-2-E-61st-St-90003/home/148202990,CRMLS,DW18277500,N,Y,33.9844626,-118.2668698
PAST SALE,October-2-2019,Multi-Family (2-4 Unit),140 W 79th St,Los Angeles,CA,90003,572000,6,6.0,C37 - Metropolitan South,1966,6940,1904,115,291,,Sold,,,http://www.redfin.com/CA/Los-Angeles/140-W-79th-St-90003/unit-1/home/7290404,CRMLS,CV19158647,N,Y,33.9676993,-118.2753879
PAST SALE,September-27-2019,Multi-Family (2-4 Unit),7415 S Main St,Los Angeles,CA,90003,515000,4,3.0,Downtown L.A.,1390,6360,1922,120,371,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7415-S-Main-St-90003/home/22139875,TheMLS,18-412340,N,Y,33.9722338,-118.2741889
PAST SALE,February-25-2019,Multi-Family (2-4 Unit),121 -123 W 74th St,Los Angeles,CA,90003,589900,5,4.0,C37 - Metropolitan South,1800,5974,1941,334,328,,Sold,,,http://www.redfin.com/CA/Los-Angeles/121-W-74th-St-90003/home/7290074,CRMLS,DW19004528,N,Y,33.9729455,-118.2747485
PAST SALE,June-11-2019,Multi-Family (2-4 Unit),116 W 83rd St,Los Angeles,CA,90003,700000,8,4.0,699 - Not Defined,3148,5383,1912,228,222,,Sold,,,http://www.redfin.com/CA/Los-Angeles/116-W-83rd-St-90003/home/7290706,CRMLS,MB19052277,N,Y,33.9639788,-118.2745658
PAST SALE,September-20-2019,Multi-Family (2-4 Unit),211 E 81st St,Los Angeles,CA,90003,672000,8,4.0,Metropolitan South,2898,4759,1963,127,232,,Sold,,,http://www.redfin.com/CA/Los-Angeles/211-E-81st-St-90003/unit-A-D/home/7289243,TheMLS,19-459148,N,Y,33.9663893,-118.2713227
PAST SALE,,Single Family Residential,112 E 84th St,Los Angeles,CA,90003,240000,4,2.0,,912,5200,1923,,263,,,,,http://www.redfin.com/CA/Los-Angeles/112-E-84th-St-90003/home/7289493,,,N,Y,33.9626552,-118.2732868
