SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-17-2020,Single Family Residential,1205 W 156th St,Gardena,CA,90247,640000,3,2.0,119 - Central Gardena,1348,5017,1954,8,475,,Sold,,,http://www.redfin.com/CA/Gardena/1205-W-156th-St-90247/home/7329060,CRMLS,SB19273027,N,Y,33.8900947,-118.2962609
PAST SALE,,Single Family Residential,16403 Dalton Ave,Gardena,CA,90247,598000,5,2.0,,1834,7577,1958,,326,,,,,http://www.redfin.com/CA/Gardena/16403-Dalton-Ave-90247/home/7326277,,,N,Y,33.8817917,-118.3035224
PAST SALE,February-15-2018,Single Family Residential,1711 W 168th St,Gardena,CA,90247,530000,2,1.0,119 - Central Gardena,1085,4405,1922,709,488,,Sold,,,http://www.redfin.com/CA/Gardena/1711-W-168th-St-90247/home/7326388,CRMLS,SB17223195,N,Y,33.8793238,-118.3073129
PAST SALE,March-16-2018,Single Family Residential,2041 W 159th St,Torrance,CA,90504,620000,3,2.0,133 - N Torrance - East,1384,5650,1950,680,448,,Sold,,,http://www.redfin.com/CA/Torrance/2041-W-159th-St-90504/home/6538447,CRMLS,PW17248535,N,Y,33.886068,-118.3146653
PAST SALE,April-18-2018,Single Family Residential,1127 W 161st St,Gardena,CA,90247,472000,2,2.0,119 - Central Gardena,1033,5613,1947,647,457,,Sold,,,http://www.redfin.com/CA/Gardena/1127-W-161st-St-90247/home/7329508,CRMLS,PW18070577,N,Y,33.8853565,-118.2945254
PAST SALE,March-23-2018,Single Family Residential,1448 W 171st St,Gardena,CA,90247,627000,3,1.75,119 - Central Gardena,1260,5305,1959,673,498,,Sold,,,http://www.redfin.com/CA/Gardena/1448-W-171st-St-90247/home/7327282,CRMLS,SB18031627,N,Y,33.8754765,-118.3019077
PAST SALE,May-8-2018,Single Family Residential,1111 W 168th St,Gardena,CA,90247,638000,3,1.5,119 - Central Gardena,1311,9353,1951,627,487,,Sold,,,http://www.redfin.com/CA/Gardena/1111-W-168th-St-90247/home/7328223,CRMLS,DW18058259,N,Y,33.8792853,-118.2937946
PAST SALE,March-10-2018,Single Family Residential,1907 W 159th St,Gardena,CA,90247,608000,3,2.0,119 - Central Gardena,1296,5202,1955,686,469,,Sold,,,http://www.redfin.com/CA/Gardena/1907-W-159th-St-90247/home/6538898,CRMLS,SB17246291,N,Y,33.8864935,-118.311834
PAST SALE,May-2-2018,Single Family Residential,17503 Valmeyer Ave,Gardena,CA,90248,730000,3,2.5,120 - South Gardena,1600,7716,1960,633,456,,Sold,,,http://www.redfin.com/CA/Gardena/17503-Valmeyer-Ave-90248/home/7329022,CRMLS,SB18045575,N,Y,33.8724023,-118.2959184
PAST SALE,September-28-2018,Single Family Residential,15907 S Saint Andrews Pl,Gardena,CA,90247,670000,3,2.0,119 - Central Gardena,1381,5270,1953,484,485,,Sold,,,http://www.redfin.com/CA/Gardena/15907-St-Andrews-Pl-90247/home/6538820,CRMLS,OC18177376,N,Y,33.8858417,-118.312519
PAST SALE,August-9-2018,Single Family Residential,17105 S Harvard Blvd,Gardena,CA,90247,558000,3,1.0,119 - Central Gardena,999,5019,1953,534,559,,Sold,,,http://www.redfin.com/CA/Gardena/17105-Harvard-Blvd-90247/home/7326524,CRMLS,SB18159315,N,Y,33.8755322,-118.3067649
PAST SALE,September-28-2018,Single Family Residential,17015 S Denker Ave,Gardena,CA,90247,520000,3,1.0,119 - Central Gardena,1016,7236,1950,484,512,,Sold,,,http://www.redfin.com/CA/Gardena/17015-Denker-Ave-90247/home/7326584,CRMLS,IN18151599,N,Y,33.8763323,-118.3050428
PAST SALE,September-13-2018,Single Family Residential,1304 W 169th Pl,Gardena,CA,90247,690000,4,2.5,119 - Central Gardena,2328,5013,1969,499,296,,Sold,,,http://www.redfin.com/CA/Gardena/1304-W-169th-Pl-90247/home/7328367,CRMLS,SB18183077,N,Y,33.8770066,-118.297631
PAST SALE,June-15-2018,Single Family Residential,1326 W Cassidy St,Gardena,CA,90248,730750,3,2.0,120 - South Gardena,1738,4940,1960,589,420,,Sold,,,http://www.redfin.com/CA/Gardena/1326-W-Cassidy-St-90248/home/7328942,CRMLS,SB18104922,N,Y,33.8714632,-118.2976767
PAST SALE,August-17-2018,Single Family Residential,808 W 156th St,Gardena,CA,90247,500000,3,0.75,116 - North Gateway,1180,4982,1953,526,424,,Sold,,,http://www.redfin.com/CA/Gardena/808-W-156th-St-90247/home/7333125,CRMLS,SB18145961,N,Y,33.8897693,-118.2896841
PAST SALE,,Single Family Residential,2072 Redondo Beach Blvd,Torrance,CA,90504,695000,3,2.0,,1404,6927,1951,,495,,,,,http://www.redfin.com/CA/Torrance/2072-Redondo-Beach-Blvd-90504/home/6538375,,,N,Y,33.886155,-118.3154416
PAST SALE,June-27-2018,Single Family Residential,16826 Merit Ave,Gardena,CA,90247,585000,3,1.75,116 - North Gateway,1260,7007,1957,577,464,,Sold,,,http://www.redfin.com/CA/Gardena/16826-Merit-Ave-90247/home/7334448,CRMLS,SB18119897,N,Y,33.8783363,-118.2879486
PAST SALE,,Single Family Residential,1503 W 173rd St,Gardena,CA,90247,655000,3,2.0,,1517,6332,1959,,432,,,,,http://www.redfin.com/CA/Gardena/1503-W-173rd-St-90247/home/7326903,,,N,Y,33.8744013,-118.3028486
PAST SALE,August-9-2019,Single Family Residential,1652 Orchid Way,Gardena,CA,90248,730000,4,2.5,119 - Central Gardena,2148,95843,2011,169,340,100,Sold,,,http://www.redfin.com/CA/Gardena/1652-Orchid-Way-90248/home/22954070,CRMLS,SB19097633,N,Y,33.8740928,-118.3058693
PAST SALE,November-18-2019,Single Family Residential,17123 La Salle Ave,Gardena,CA,90247,625000,3,1.5,119 - Central Gardena,1213,5003,1953,68,515,,Sold,,,http://www.redfin.com/CA/Gardena/17123-La-Salle-Ave-90247/home/7326562,CRMLS,SB19233401,N,Y,33.8748839,-118.3059885
PAST SALE,December-3-2019,Single Family Residential,17119 Halldale Ave,Gardena,CA,90247,680000,3,3.0,Central Gardena,2055,6221,1969,53,331,,Sold,,,http://www.redfin.com/CA/Gardena/17119-Halldale-Ave-90247/home/7326912,TheMLS,19-506816,N,Y,33.8749511,-118.3028943
PAST SALE,November-15-2018,Single Family Residential,15635 S Vermont Ave,Gardena,CA,90247,610000,3,2.5,Central Gardena,1867,32425,2005,436,327,98,Sold,,,http://www.redfin.com/CA/Gardena/15635-S-Vermont-Ave-90247/home/8182104,TheMLS,18-385270,N,Y,33.889125,-118.292359
PAST SALE,July-12-2019,Single Family Residential,1249 W 164th St,Gardena,CA,90247,520000,2,1.0,119 - Central Gardena,1048,6754,1946,197,496,,Sold,,,http://www.redfin.com/CA/Gardena/1249-W-164th-St-90247/home/7329317,CRMLS,SB19084286,N,Y,33.8825439,-118.2974483
PAST SALE,,Single Family Residential,1110 W 164th St,Gardena,CA,90247,530000,3,1.0,,1147,6109,1903,,462,,,,,http://www.redfin.com/CA/Gardena/1110-W-164th-St-90247/home/7329371,,,N,Y,33.8822002,-118.2938403
PAST SALE,November-12-2019,Single Family Residential,15120 S Berendo Ave,Gardena,CA,90247,541000,3,1.0,Pacific Square,1284,5401,1953,74,421,,Sold,,,http://www.redfin.com/CA/Gardena/15120-Berendo-Ave-90247/home/7330564,PFAR,819004461,N,Y,33.8937208,-118.2936119
PAST SALE,August-24-2018,Single Family Residential,16928 S Mariposa Ave,Gardena,CA,90247,660000,3,1.75,119 - Central Gardena,1464,5039,1958,519,451,,Sold,,,http://www.redfin.com/CA/Gardena/16928-Mariposa-Ave-90247/home/7328851,CRMLS,SB18132330,N,Y,33.8770403,-118.2971743
PAST SALE,March-6-2018,Single Family Residential,1247 W 162nd St,Gardena,CA,90247,520000,3,1.0,119 - Central Gardena,1050,6759,1949,690,495,,Sold,,,http://www.redfin.com/CA/Gardena/1247-W-162nd-St-90247/home/7329243,CRMLS,SB18007022,N,Y,33.8843476,-118.2974483
PAST SALE,,Single Family Residential,17011 La Salle Ave,Gardena,CA,90247,730000,4,3.0,,1885,5001,1953,,387,,,,,http://www.redfin.com/CA/Gardena/17011-La-Salle-Ave-90247/home/7326553,,,N,Y,33.8761265,-118.3059885
PAST SALE,October-2-2018,Single Family Residential,17020 S Raymond Pl,Gardena,CA,90247,625000,3,2.0,119 - Central Gardena,1618,5064,1958,480,386,,Sold,,,http://www.redfin.com/CA/Gardena/17020-Raymond-Pl-90247/home/7328924,CRMLS,SB18205653,N,Y,33.8758713,-118.2967176
PAST SALE,October-2-2018,Single Family Residential,1332 W Cassidy St,Gardena,CA,90248,600000,3,1.75,120 - South Gardena,1349,4962,1960,480,445,,Sold,,,http://www.redfin.com/CA/Gardena/1332-W-Cassidy-St-90248/home/7328941,CRMLS,SB18199720,N,Y,33.8714865,-118.297905
PAST SALE,,Single Family Residential,182 Amethyst Cir,Gardena,CA,90248,736000,3,3.0,,2510,4100,2000,,293,,,,,http://www.redfin.com/CA/Gardena/182-Amethyst-Cir-90248/home/8106901,,,N,Y,33.868535,-118.2933379
PAST SALE,March-9-2018,Single Family Residential,16914 S Budlong Ave,Gardena,CA,90247,628000,3,2.0,119 - Central Gardena,1038,5051,1953,687,605,,Sold,,,http://www.redfin.com/CA/Gardena/16914-S-Budlong-Ave-90247/home/7328416,CRMLS,SB17204708,N,Y,33.877712,-118.294727
