SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-30-2019,Townhouse,1262 Pebble Dr,Harbor City,CA,90710,552500,4,3.25,124 - Harbor City,1690,32317,2005,360,327,268,Sold,,,http://www.redfin.com/CA/Harbor-City/1262-Pebble-Dr-90710/unit-64/home/8176847,CRMLS,SB18289863,N,Y,33.787189,-118.299433
PAST SALE,March-12-2019,Multi-Family (2-4 Unit),1736 254th St,Lomita,CA,90717,765000,5,3.0,121 - Lomita,1750,5125,1928,319,437,,Sold,,,http://www.redfin.com/CA/Lomita/1736-254th-St-90717/home/7672048,CRMLS,SB19007869,N,Y,33.7932705,-118.3089113
PAST SALE,October-5-2018,Single Family Residential,1713 247th St,Lomita,CA,90717,838000,5,3.0,121 - Lomita,2764,7244,1950,477,303,,Sold,,,http://www.redfin.com/CA/Lomita/1713-247th-St-90717/home/7661352,CRMLS,SB18133904,N,Y,33.801201,-118.3083176
PAST SALE,December-12-2018,Single Family Residential,26344 Pines Estates Dr,Harbor City,CA,90710,799000,4,2.5,124 - Harbor City,2700,194913,2001,409,296,265,Sold,,,http://www.redfin.com/CA/Harbor-City/26344-S-Pines-Estates-Dr-90710/home/8115038,CRMLS,PV18253962,N,Y,33.782794,-118.300836
PAST SALE,February-1-2018,Multi-Family (2-4 Unit),1665 259TH,Harbor City,CA,90710,445000,4,2.0,124 - Harbor City,1477,5000,1955,723,301,,Sold,,,http://www.redfin.com/CA/Harbor-City/1665-259th-Pl-90710/home/7672688,CRMLS,SB17218945,N,Y,33.7877562,-118.3066426
PAST SALE,November-9-2018,Townhouse,1632 259th Pl,Harbor City,CA,90710,375000,4,2.0,124 - Harbor City,1328,4500,1950,442,282,,Sold,,,http://www.redfin.com/CA/Harbor-City/1632-259th-Pl-90710/home/7672628,CRMLS,PV18194951,N,Y,33.7873469,-118.305434
PAST SALE,,Condo/Co-op,1642 259th Pl,Harbor City,CA,90710,1100000,10,5.0,,,,1961,,,,,,,http://www.redfin.com/CA/Harbor-City/1642-259th-Pl-90710/home/7672632,,,N,Y,33.787334,-118.305772
PAST SALE,June-15-2018,Multi-Family (2-4 Unit),1136 253rd St,Harbor City,CA,90710,640000,6,3.0,124 - Harbor City,2436,7002,1939,589,263,,Sold,,,http://www.redfin.com/CA/Harbor-City/1136-W-253rd-St-90710/home/7673805,CRMLS,PV18086109,N,Y,33.7944556,-118.29722
PAST SALE,May-15-2018,Townhouse,1277 Adamite TE,Harbor City,CA,90710,550000,4,3.25,124 - Harbor City,1703,23131,2005,620,323,269,Sold,,,http://www.redfin.com/CA/Harbor-City/1277-Adamite-Ter-90710/home/8177420,CRMLS,SB18068164,N,Y,33.786511,-118.299485
PAST SALE,March-21-2019,Single Family Residential,26248 President Ave,Harbor City,CA,90710,750000,4,3.5,124 - Harbor City,1788,7441,1949,310,419,,Sold,,,http://www.redfin.com/CA/Harbor-City/26248-President-Ave-90710/home/7673257,CRMLS,SB19055526,N,Y,33.7838399,-118.3036823
PAST SALE,January-31-2019,Single Family Residential,23717 Hynford Pl,Harbor City,CA,90710,670000,4,2.0,124 - Harbor City,1574,5175,1971,359,426,,Sold,,,http://www.redfin.com/CA/Harbor-City/23717-Hynford-Pl-90710/home/7682396,CRMLS,OC18294433,N,Y,33.8100509,-118.3064452
PAST SALE,August-28-2018,Single Family Residential,1552 238th St,Harbor City,CA,90710,610000,4,2.5,124 - Harbor City,1792,5000,1971,515,340,,Sold,,,http://www.redfin.com/CA/Harbor-City/1552-238th-St-90710/home/7682438,CRMLS,SB18171486,N,Y,33.8085877,-118.3053949
PAST SALE,November-15-2018,Single Family Residential,1516 W 238th St,Harbor City,CA,90710,645000,4,2.0,124 - Harbor City,1574,5001,1971,436,410,,Sold,,,http://www.redfin.com/CA/Harbor-City/1516-238th-St-90710/home/7682447,CRMLS,PV18223698,N,Y,33.8085905,-118.3039335
PAST SALE,,Multi-Family (2-4 Unit),1059 W 253rd St Unit 1-4,Harbor City,CA,90710,790000,8,4.0,,2205,6000,1946,,358,,,,,http://www.redfin.com/CA/Harbor-City/1059-W-253rd-St-90710/unit-1-4/home/7673894,,,N,Y,33.7950065,-118.2948451
PAST SALE,December-17-2018,Single Family Residential,25134 Frampton Ave,Harbor City,CA,90710,600000,4,3.0,124 - Harbor City,2616,10002,1952,404,229,,Sold,,,http://www.redfin.com/CA/Harbor-City/25134-Frampton-Ave-90710/home/7673712,CRMLS,DW18221985,N,Y,33.7958304,-118.2995948
PAST SALE,,Condo/Co-op,25032 Frampton Ave,Harbor City,CA,90710,164000,11,10.0,,,,1977,,,,,,,http://www.redfin.com/CA/Harbor-City/25032-Frampton-Ave-90710/home/7673705,,,N,Y,33.7968047,-118.2995492
PAST SALE,October-2-2019,Multi-Family (2-4 Unit),1673 256th St,Harbor City,CA,90710,750000,4,2.0,124 - Harbor City,1704,6016,1948,115,440,,Sold,,,http://www.redfin.com/CA/Harbor-City/1673-256th-St-90710/home/7672437,CRMLS,SB19133661,N,Y,33.791763,-118.3068124
PAST SALE,November-27-2019,Single Family Residential,25712 Belle Porte Ave,Harbor City,CA,90710,580000,4,2.0,124 - Harbor City,1323,6308,1951,59,438,,Sold,,,http://www.redfin.com/CA/Harbor-City/25712-Belle-Porte-Ave-90710/home/7672602,CRMLS,SB19220268,N,Y,33.7904797,-118.3007823
PAST SALE,October-22-2019,Multi-Family (2-4 Unit),25017 Belle Porte Ave,Harbor City,CA,90710,768613,4,4.0,124 - Harbor City,2277,7043,1955,95,338,,Sold,,,http://www.redfin.com/CA/Harbor-City/25017-Belle-Porte-Ave-90710/home/7671658,CRMLS,PV19185790,N,Y,33.797026,-118.301382
PAST SALE,February-21-2019,Multi-Family (2-4 Unit),1713 257th St,Lomita,CA,90717,840000,6,4.0,121 - Lomita,3403,8965,1993,338,247,,Sold,,,http://www.redfin.com/CA/Lomita/1713-257th-St-90717/home/7671978,CRISNet,SR18297673,N,Y,33.7906921,-118.3081622
PAST SALE,February-15-2018,Single Family Residential,1304 Batey Pl,Harbor City,CA,90710,652000,4,2.0,124 - Harbor City,1854,8472,1970,709,352,,Sold,,,http://www.redfin.com/CA/Harbor-City/1304-Batey-Pl-90710/home/7682019,CRMLS,SB18001328,N,Y,33.8103231,-118.2989667
PAST SALE,February-2-2018,Townhouse,25318 Bayside Pl,Harbor City,CA,90710,433600,4,2.5,124 - Harbor City,1633,60062,1999,722,266,151,Sold,,,http://www.redfin.com/CA/Harbor-City/25318-Bayside-Pl-90710/home/22703613,CRMLS,PW17216606,N,Y,33.7940171,-118.2913959
