SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-4-2018,Single Family Residential,3751 W 144th Pl,Hawthorne,CA,90250,550000,2,1.0,111 - Bodger Park/El Camino,841,4993,1951,478,654,,Sold,,,http://www.redfin.com/CA/Hawthorne/3751-W-144th-Pl-90250/home/6549513,CRMLS,SB18191830,N,Y,33.9008728,-118.3390036
PAST SALE,April-5-2019,Single Family Residential,3353 W 133rd St,Hawthorne,CA,90250,540000,2,2.0,699 - Not Defined,1349,5599,1940,295,400,,Sold,,,http://www.redfin.com/CA/Hawthorne/3353-W-133rd-St-90250/home/6516172,CRMLS,DW19028599,N,Y,33.9117587,-118.3326562
PAST SALE,August-16-2019,Single Family Residential,13610 Lemoli Ave Unit B4,Hawthorne,CA,90250,330000,2,2.0,109 - Ramona/Burleigh,949,28226,1985,162,348,530,Sold,,,http://www.redfin.com/CA/Hawthorne/13610-Lemoli-Ave-90250/unit-B4/home/6513785,CRMLS,RS19113963,N,Y,33.9078842,-118.3301309
PAST SALE,,Single Family Residential,3231 W 135th St,Hawthorne,CA,90250,475000,2,1.0,,740,5600,1940,,642,,,,,http://www.redfin.com/CA/Hawthorne/3231-W-135th-St-90250/home/6517540,,,N,Y,33.9094978,-118.3298248
PAST SALE,,Single Family Residential,4119 W 111th St,Lennox,CA,90304,400000,2,1.0,,984,4520,1953,,407,,,,,http://www.redfin.com/CA/Lennox/4119-W-111th-St-90304/home/6482464,,,N,Y,33.9347636,-118.3468569
PAST SALE,December-12-2018,Single Family Residential,4909 W 115th St,Hawthorne,CA,90250,430000,2,1.0,North Hawthorne,750,5684,1950,409,573,,Sold,,,http://www.redfin.com/CA/Hawthorne/4909-W-115th-St-90250/home/6665860,TheMLS,18-366782,N,Y,33.9300893,-118.3637949
PAST SALE,September-17-2019,Single Family Residential,4103 W 132 St,Hawthorne,CA,90250,490000,2,1.0,109 - Ramona/Burleigh,972,6200,1950,130,504,,Sold,,,http://www.redfin.com/CA/Hawthorne/4103-W-132nd-St-90250/home/6497408,CRMLS,IN19161530,N,Y,33.9132942,-118.3468569
PAST SALE,August-13-2019,Single Family Residential,15129 Fonthill Ave,Lawndale,CA,90260,585000,2,1.0,111 - Bodger Park/El Camino,1081,5252,1951,165,541,,Sold,,,http://www.redfin.com/CA/Lawndale/15129-Fonthill-Ave-90260/home/6551901,CRMLS,SB19127068,N,Y,33.893683,-118.3386629
PAST SALE,March-14-2018,Single Family Residential,5123 137th St,Hawthorne,CA,90250,651000,2,2.0,Holly Glen/Del Aire,934,5281,1951,682,697,,Sold,,,http://www.redfin.com/CA/Hawthorne/5123-137th-St-90250/home/6675251,VCRDS,218000280,N,Y,33.9079258,-118.367858
PAST SALE,January-14-2019,Single Family Residential,13242 Prairie Ave,Hawthorne,CA,90250,315000,2,1.0,110 - East Hawthorne,850,4801,1929,376,371,,Sold,,,http://www.redfin.com/CA/Hawthorne/13242-Prairie-Ave-90250/unit-35/home/148402373,CRMLS,SB18284005,N,Y,33.912222,-118.3435
