SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-21-2019,Single Family Residential,4482 W 135th St,Hawthorne,CA,90250,670000,3,2.0,109 - Ramona/Burleigh,1345,6000,1947,249,498,,Sold,,,http://www.redfin.com/CA/Hawthorne/4482-W-135th-St-90250/home/6490496,CRMLS,SB19076292,N,Y,33.9097012,-118.3546641
PAST SALE,September-19-2019,Single Family Residential,3724 W 144th Pl,Hawthorne,CA,90250,579900,3,1.0,111 - Bodger Park/El Camino,1006,5004,1951,128,576,,Sold,,,http://www.redfin.com/CA/Hawthorne/3724-W-144th-Pl-90250/home/6549674,CRMLS,PW19190670,N,Y,33.900523,-118.3382037
PAST SALE,February-8-2018,Single Family Residential,4128 W 122nd St,Hawthorne,CA,90250,682500,3,2.5,108 - North Hawthorne,1944,3091,2008,716,351,,Sold,,,http://www.redfin.com/CA/Hawthorne/4128-W-122nd-St-90250/home/21926223,CRMLS,SB18001629,N,Y,33.9217177,-118.3468112
PAST SALE,June-21-2018,Single Family Residential,5019 W 139th St,Hawthorne,CA,90250,730000,3,1.75,109 - Ramona/Burleigh,1599,6010,1957,583,457,,Sold,,,http://www.redfin.com/CA/Hawthorne/5019-139th-St-90250/home/6676090,CRMLS,SB18108378,N,Y,33.9054297,-118.3663058
PAST SALE,September-11-2018,Single Family Residential,12231 Menlo Ave,Hawthorne,CA,90250,715000,3,2.0,108 - North Hawthorne,1973,6566,1978,501,362,,Sold,,,http://www.redfin.com/CA/Hawthorne/12231-Menlo-Ave-90250/home/6500265,CRMLS,SB18171533,N,Y,33.9213434,-118.3474276
PAST SALE,September-20-2019,Single Family Residential,11908 Tarron Ave,Hawthorne,CA,90250,661000,3,2.0,108 - North Hawthorne,1396,6083,1954,127,473,,Sold,,,http://www.redfin.com/CA/Hawthorne/11908-Tarron-Ave-90250/home/6522983,CRMLS,SB19171241,N,Y,33.9247289,-118.3140205
PAST SALE,December-17-2018,Single Family Residential,4102 W 111th St,Inglewood,CA,90304,549900,3,2.0,105 - Lennox,1385,5395,1979,404,397,,Sold,,,http://www.redfin.com/CA/Inglewood/4102-W-111th-St-90304/home/6482780,CRMLS,OC18218247,N,Y,33.934357,-118.3464003
PAST SALE,May-7-2019,Single Family Residential,11137 S Freeman Ave Unit A,Hawthorne,CA,90304,568600,3,2.5,108 - North Hawthorne,1660,2922,2006,263,343,140,Sold,,,http://www.redfin.com/CA/Inglewood/11137-S-Freeman-Ave-90304/unit-A/home/12286770,CRMLS,SB19040770,N,Y,33.93357446464264,-118.34836538272062
PAST SALE,April-10-2019,Single Family Residential,13113 Lemoli Ave,Hawthorne,CA,90250,579000,3,2.0,110 - East Hawthorne,1372,4756,2016,290,422,,Sold,,,http://www.redfin.com/CA/Hawthorne/13113-Lemoli-Ave-90250/home/22566741,CRMLS,DW19020774,N,Y,33.9127464,-118.3311015
PAST SALE,April-13-2018,Single Family Residential,2424 W 112th St,Inglewood,CA,90303,637000,3,2.5,South Inglewood,1850,5400,1954,652,344,,Sold,,,http://www.redfin.com/CA/Inglewood/2424-W-112th-St-90303/home/6469281,TheMLS,18-314518,N,Y,33.9324001,-118.3208758
