SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-2-2018,Single Family Residential,11942 Freeman Ave,Hawthorne,CA,90250,825000,4,3.0,108 - North Hawthorne,2202,6576,1922,663,375,,Sold,,,http://www.redfin.com/CA/Hawthorne/11942-Freeman-Ave-90250/home/6504378,CRMLS,SB18059609,N,Y,33.9246747,-118.3480415
PAST SALE,October-28-2019,Single Family Residential,11965 Menlo Ave,Hawthorne,CA,90250,882000,5,4.0,108 - North Hawthorne,2846,6552,1951,89,310,,Sold,,,http://www.redfin.com/CA/Hawthorne/11965-Menlo-Ave-90250/home/6504400,CRMLS,SB19174717,N,Y,33.924233,-118.3474047
PAST SALE,September-13-2019,Single Family Residential,3206 W 133rd St,Hawthorne,CA,90250,610000,4,2.0,110 - East Hawthorne,1468,5601,1940,134,416,,Sold,,,http://www.redfin.com/CA/Hawthorne/3206-W-133rd-St-90250/home/6516436,CRMLS,SB19161354,N,Y,33.9113168,-118.3289583
PAST SALE,October-18-2018,Single Family Residential,2916 W 141st St,Gardena,CA,90249,610000,4,2.0,114 - Hollypark,1674,5685,1957,464,364,,Sold,,,http://www.redfin.com/CA/Gardena/2916-W-141st-St-90249/home/6526004,CRMLS,SB18214605,N,Y,33.9035988,-118.3247116
PAST SALE,July-13-2018,Single Family Residential,12019 Rock Creek Ct,Hawthorne,CA,90250,700000,4,3.0,699 - Not Defined,2126,8936,2014,561,329,155,Sold,,,http://www.redfin.com/CA/Hawthorne/12019-Rock-Creek-Ct-90250/home/79041873,CRMLS,DW18101634,N,Y,33.9224607,-118.3189952
PAST SALE,February-23-2018,Single Family Residential,11714 Ardath Ave,Hawthorne,CA,90250,515000,4,2.0,108 - North Hawthorne,1638,5601,1954,701,314,,Sold,,,http://www.redfin.com/CA/Hawthorne/11714-Ardath-Ave-90250/home/6521162,CRMLS,PW17242601,N,Y,33.9273867,-118.3233552
PAST SALE,April-5-2018,Single Family Residential,4728 W 132nd St,Hawthorne,CA,90250,800000,4,3.0,109 - Ramona/Burleigh,2488,6003,1953,660,322,,Sold,,,http://www.redfin.com/CA/Hawthorne/4728-W-132nd-St-90250/home/6489971,CRMLS,SB18013753,N,Y,33.912452,-118.3596861
PAST SALE,July-12-2019,Single Family Residential,15136 Doty Ave,Lawndale,CA,90260,787500,4,2.0,111 - Bodger Park/El Camino,1588,5256,1951,197,496,,Sold,,,http://www.redfin.com/CA/Lawndale/15136-Doty-Ave-90260/home/6551930,CRISNet,SR19134710,N,Y,33.89339,-118.3390266
PAST SALE,June-7-2019,Single Family Residential,11520 Spinning Ave,Hawthorne,CA,90250,675000,4,3.0,108 - North Hawthorne,2887,10211,1954,232,234,,Sold,,,http://www.redfin.com/CA/Hawthorne/11520-Spinning-Ave-90250/home/6520185,CRISNet,SR19031817,N,Y,33.9293874,-118.3185012
PAST SALE,January-15-2020,Single Family Residential,12829 Doty Ave,Hawthorne,CA,90250,615000,4,3.0,110 - East Hawthorne,2352,5442,1924,10,261,,Sold,,,http://www.redfin.com/CA/Hawthorne/12829-Doty-Ave-90250/home/6508452,CRMLS,SB19221074,N,Y,33.9155598,-118.3398711
