SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-1-2018,Single Family Residential,1218 2nd St,Hermosa Beach,CA,90254,1153000,3,2.0,150 - Hermosa Bch East,1746,2261,1968,481,660,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/1218-2nd-St-90254/home/6716703,CRMLS,SB18224328,N,Y,33.8572768,-118.385906
PAST SALE,April-23-2019,Single Family Residential,132 35th Pl,Hermosa Beach,CA,90254,1605000,2,2.0,148 - Hermosa Bch Sand,1013,926,1920,277,1584,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/132-35th-St-90254/home/6713495,CRMLS,SB19057826,N,Y,33.8770676,-118.4072179
PAST SALE,February-7-2019,Single Family Residential,220 4th St,Hermosa Beach,CA,90254,1900000,3,4.0,148 - Hermosa Bch Sand,1718,1251,1998,352,1106,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/220-4th-St-90254/home/6717751,CRMLS,PW18290182,N,Y,33.8564777,-118.3969533
PAST SALE,April-26-2018,Single Family Residential,419 24th St,Hermosa Beach,CA,90254,1760000,3,1.75,148 - Hermosa Bch Sand,1337,3016,1911,639,1316,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/419-24th-St-90254/home/6714063,CRMLS,SB17141887,N,Y,33.8708724,-118.4010239
PAST SALE,,Single Family Residential,1955 Monterey Blvd,Hermosa Beach,CA,90254,4600000,4,5.0,,3853,2549,2016,,1194,,,,,http://www.redfin.com/CA/Hermosa-Beach/1955-Monterey-Blvd-90254/home/6713925,,,N,Y,33.8684173,-118.4004479
PAST SALE,May-9-2018,Single Family Residential,434 Gentry St,Hermosa Beach,CA,90254,1132500,2,2.0,150 - Hermosa Bch East,992,2490,1925,626,1142,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/434-Gentry-St-90254/home/6699771,CRMLS,SB18037074,N,Y,33.8596031,-118.3870184
PAST SALE,December-27-2018,Single Family Residential,1218 6th St,Hermosa Beach,CA,90254,2300000,4,3.25,150 - Hermosa Bch East,2440,4003,2018,394,943,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/1218-6th-St-90254/home/6699745,CRMLS,SB18218680,N,Y,33.8599485,-118.3862089
PAST SALE,September-21-2018,Single Family Residential,834 Prospect Ave,Hermosa Beach,CA,90254,1655000,3,2.5,Hermosa Beach East,2145,2996,2007,491,772,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/834-Prospect-Ave-90254/home/21922201,TheMLS,18-370678,N,Y,33.8621333,-118.3878529
PAST SALE,December-19-2018,Single Family Residential,711 Longfellow Ave,Hermosa Beach,CA,90254,2900000,4,3.25,149 - Hermosa Bch Valley,3711,3005,2004,402,781,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/711-Longfellow-Ave-90254/home/6705916,CRMLS,SB18239337,N,Y,33.8770045,-118.3975893
PAST SALE,November-27-2018,Single Family Residential,248 34th St,Hermosa Beach,CA,90254,2650000,4,2.5,148 - Hermosa Bch Sand,2130,2260,1933,424,1244,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/248-34th-St-90254/home/6713069,CRMLS,SB18220023,N,Y,33.8769602,-118.4059408
