SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-24-2018,Multi-Family (2-4 Unit),937 E Hyde Park,Inglewood,CA,90302,830000,4,4.0,North Inglewood,2150,5410,1947,485,386,,Sold,,,http://www.redfin.com/CA/Inglewood/937-E-Hyde-Park-Blvd-90302/home/6430123,TheMLS,18-377892,N,Y,33.978818,-118.3420171
PAST SALE,January-3-2019,Multi-Family (2-4 Unit),3213 Bartdon Ave,Inglewood,CA,90303,1250000,12,6.0,102 - South Inglewood,4474,6682,1956,384,279,,Sold,,,http://www.redfin.com/CA/Inglewood/3213-Bartdon-Ave-90303/unit-3/home/6471149,CRMLS,SB18239116,N,Y,33.9434592,-118.3284706
PAST SALE,November-2-2018,Multi-Family (2-4 Unit),9301 CRENSHAW,Inglewood,CA,90305,24250000,2,,Inglewood,,144956,1955,446,,,Sold,,,http://www.redfin.com/CA/Inglewood/9301-Crenshaw-Blvd-90305/home/6463062,SDMLS,301729926,N,Y,33.9521434,-118.3270632
PAST SALE,February-23-2018,Multi-Family (2-4 Unit),10515 S Inglewood Ave,Inglewood,CA,90304,680000,4,4.0,Lennox,1728,6623,1952,698,394,,Sold,,,http://www.redfin.com/CA/Inglewood/10515-S-Inglewood-Ave-90304/home/6487014,TheMLS,18-302492,N,Y,33.9405801,-118.3615579
PAST SALE,June-1-2018,Multi-Family (2-4 Unit),10210 Darby Ave,Inglewood,CA,90303,1025000,8,5.0,102 - South Inglewood,3570,6630,1955,600,287,,Sold,,,http://www.redfin.com/CA/Inglewood/10210-Darby-Ave-90303/home/6470810,CRMLS,PW18061610,N,Y,33.943214,-118.3306902
PAST SALE,October-7-2019,Multi-Family (2-4 Unit),2322 W 79th St,Inglewood,CA,90305,699000,3,3.0,North Inglewood,1128,2751,1941,107,620,,Sold,,,http://www.redfin.com/CA/Inglewood/2322-W-79th-St-90305/home/6424531,TheMLS,19-479980,N,Y,33.9670671,-118.3195401
PAST SALE,March-8-2018,Multi-Family (2-4 Unit),527 Lime St,Inglewood,CA,90301,924900,8,4.0,101 - North Inglewood,3294,7502,1927,685,281,,Sold,,,http://www.redfin.com/CA/Inglewood/527-Lime-St-90301/home/6445993,CRMLS,IN17266453,N,Y,33.9581595,-118.3650732
PAST SALE,November-20-2018,Multi-Family (2-4 Unit),228 Lime St,Inglewood,CA,90301,655000,5,4.0,102 - South Inglewood,1504,6003,1922,428,436,,Sold,,,http://www.redfin.com/CA/Inglewood/228-Lime-St-90301/home/6448967,CRMLS,DW18179513,N,Y,33.9575675,-118.3586361
PAST SALE,March-27-2018,Townhouse,3324 W 108th St,Inglewood,CA,90303,720000,6,3.0,102 - South Inglewood,1740,10075,1943,666,414,,Sold,,,http://www.redfin.com/CA/Inglewood/3324-W-108th-St-90303/home/6474239,CRMLS,RS17242470,N,Y,33.9375751,-118.3313342
PAST SALE,October-16-2019,Townhouse,5053 W 109th St #7,Lennox,CA,90304,549000,4,3.0,105 - Lennox,2149,,2018,98,255,275,Sold,,,http://www.redfin.com/CA/Inglewood/5053-W-109th-St-90304/home/23036056,CRMLS,SB19052664,N,Y,33.93739,-118.3674938
