SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-22-2019,Single Family Residential,6307 Long St,Los Angeles,CA,90043,820000,4,3.0,PHHT - Park Hills Heights,1786,5440,1928,334,459,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6307-Long-St-90043/home/6412449,CRMLS,BB19012345,N,Y,33.9826194,-118.338821
PAST SALE,November-16-2018,Single Family Residential,8307 S Van Ness Ave,Inglewood,CA,90305,690000,4,2.0,North Inglewood,2160,5003,1939,432,319,,Sold,,,http://www.redfin.com/CA/Inglewood/8307-S-Van-Ness-Ave-90305/home/6424998,TheMLS,18-388712,N,Y,33.9633524,-118.3180498
PAST SALE,August-28-2018,Single Family Residential,3619 W Medici Ln,Inglewood,CA,90305,750000,4,3.0,North Inglewood,1830,2504,2005,512,410,225,Sold,,,http://www.redfin.com/CA/Inglewood/3619-Medici-Ln-90305/home/8149474,TheMLS,18-356434,N,Y,33.9535199,-118.3331474
PAST SALE,January-8-2019,Single Family Residential,9205 S Garvey Way,Inglewood,CA,90305,715000,4,3.0,699 - Not Defined,2271,2863,2005,379,315,210,Sold,,,http://www.redfin.com/CA/Inglewood/9205-Garvey-Way-90305/home/8152152,CRMLS,IG18263679,N,Y,33.9529413,-118.3321513
PAST SALE,October-16-2018,Single Family Residential,2308 Cullivan St,Inglewood,CA,90303,605000,4,2.0,South Inglewood,2059,6250,1954,463,294,,Sold,,,http://www.redfin.com/CA/Inglewood/2308-Cullivan-St-90303/home/6469655,TheMLS,18-364532,N,Y,33.9352425,-118.3192775
PAST SALE,August-3-2018,Single Family Residential,16 Pepper Ct,Inglewood,CA,90302,675000,4,3.0,101 - North Inglewood,1787,5012,1979,537,378,2,Sold,,,http://www.redfin.com/CA/Inglewood/16-Pepper-Ct-90302/home/6443944,CRMLS,OC18051076,N,Y,33.9691505,-118.3617862
PAST SALE,August-7-2019,Single Family Residential,2531 W 112th St,Inglewood,CA,90303,660000,4,2.5,South Inglewood,2152,5406,1953,168,307,,Sold,,,http://www.redfin.com/CA/Inglewood/2531-W-112th-St-90303/home/6469347,TheMLS,19-435674,N,Y,33.9328134,-118.3221087
PAST SALE,April-26-2019,Single Family Residential,3526 W 117th St,Inglewood,CA,90303,685000,4,2.0,102 - South Inglewood,1628,7382,1924,271,421,,Sold,,,http://www.redfin.com/CA/Inglewood/3526-W-117th-St-90303/home/6518028,CRMLS,SB18223807,N,Y,33.9278409,-118.3341636
PAST SALE,July-30-2019,Single Family Residential,9706 S 6th Ave,Inglewood,CA,90305,720000,4,3.0,102 - South Inglewood,2024,6753,1942,176,356,,Sold,,,http://www.redfin.com/CA/Inglewood/9706-S-6th-Ave-90305/home/6467986,CRMLS,SB19123831,N,Y,33.9476972,-118.3229763
PAST SALE,September-10-2019,Single Family Residential,2116 W 95th St,Los Angeles,CA,90047,635000,5,2.0,C36 - Metropolitan Southwest,1453,5100,1944,134,437,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2116-W-95th-St-90047/home/7308208,CRMLS,DW19031296,N,Y,33.9496247,-118.316218
PAST SALE,,Single Family Residential,8104 Maitland Ave,Inglewood,CA,90305,600000,4,3.0,,2009,5504,1936,,299,,,,,http://www.redfin.com/CA/Inglewood/8104-Maitland-Ave-90305/home/6424749,,,N,Y,33.9648923,-118.3201908
PAST SALE,August-29-2018,Single Family Residential,9327 S 4th Ave,Inglewood,CA,90305,726375,4,3.0,South Inglewood,2156,8505,1953,511,337,,Sold,,,http://www.redfin.com/CA/Inglewood/9327-S-4th-Ave-90305/home/6467188,TheMLS,18-353182,N,Y,33.9517149,-118.3213313
PAST SALE,August-17-2018,Single Family Residential,10212 S 7th Ave,Inglewood,CA,90303,945000,5,3.0,South Inglewood,2852,7615,1948,523,331,,Sold,,,http://www.redfin.com/CA/Inglewood/10212-S-7th-Ave-90303/home/6471943,TheMLS,18-360634,N,Y,33.9433301,-118.3245061
PAST SALE,May-17-2019,Single Family Residential,844 Glenway Dr,Inglewood,CA,90302,900000,5,4.0,North Inglewood,1936,5990,1951,250,465,,Sold,,,http://www.redfin.com/CA/Inglewood/844-Glenway-Dr-90302/home/6443091,TheMLS,19-432046,N,Y,33.9708225,-118.3679036
PAST SALE,March-16-2018,Single Family Residential,4132 W 101st St,Inglewood,CA,90304,600000,4,1.75,102 - South Inglewood,1522,6031,1925,677,394,,Sold,,,http://www.redfin.com/CA/Inglewood/4132-W-101st-St-90304/home/6480333,CRMLS,WS18020012,N,Y,33.94434,-118.3475988
PAST SALE,April-4-2019,Single Family Residential,2155 Thoreau St,Los Angeles,CA,90047,600000,4,2.0,C36 - Metropolitan Southwest,1714,5545,1947,293,350,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2155-Thoreau-St-90047/home/7319528,CRMLS,OC19037247,N,Y,33.9344735,-118.3172226
PAST SALE,June-18-2019,Single Family Residential,6250 S Corning Ave,Los Angeles,CA,90056,1500000,4,4.0,Ladera Heights,2463,9534,1955,218,609,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6250-S-Corning-Ave-90056/home/6595799,TheMLS,19-478750,N,Y,33.9830409,-118.3748197
PAST SALE,October-24-2019,Single Family Residential,11 Pine Ct,Inglewood,CA,90302,850000,4,2.5,North Inglewood,1787,6350,1979,90,476,2,Sold,,,http://www.redfin.com/CA/Inglewood/11-Pine-Ct-90302/home/6444021,TheMLS,19-486720,N,Y,33.9697226,-118.3623797
PAST SALE,January-28-2019,Single Family Residential,1112 Walnut St,Inglewood,CA,90301,725000,4,3.0,102 - South Inglewood,1970,6388,1940,359,368,,Sold,,,http://www.redfin.com/CA/Inglewood/1112-Walnut-St-90301/home/6459542,CRMLS,IN18250415,N,Y,33.9485325,-118.3557398
PAST SALE,January-31-2018,Single Family Residential,4132 W 62nd St,Los Angeles,CA,90043,839000,4,2.0,Park Hills Heights,2208,5940,1926,721,380,,Sold,,,http://www.redfin.com/CA/Los-Angeles/4132-W-62nd-St-90043/home/6408886,TheMLS,17-294546,N,Y,33.9833155,-118.3470851
PAST SALE,August-16-2018,Single Family Residential,224 E Hazel St,Inglewood,CA,90302,650000,4,2.0,North Inglewood,1272,5313,1923,524,511,,Sold,,,http://www.redfin.com/CA/Inglewood/224-E-Hazel-St-90302/home/6437785,TheMLS,18-344870,N,Y,33.9702736,-118.3532944
PAST SALE,March-12-2018,Single Family Residential,11714 Wilkie Ave,Hawthorne,CA,90250,709000,4,3.0,East Hawthorne,1725,5101,1954,681,411,,Sold,,,http://www.redfin.com/CA/Hawthorne/11714-Wilkie-Ave-90250/home/6521052,TheMLS,18-311458,N,Y,33.9273716,-118.3225654
PAST SALE,March-15-2019,Single Family Residential,9120 S 7th Ave,Inglewood,CA,90305,673200,4,2.0,North Inglewood,1824,8512,1937,313,369,,Sold,,,http://www.redfin.com/CA/Inglewood/9120-S-7th-Ave-90305/home/6466152,TheMLS,18-414524,N,Y,33.9544356,-118.3240701
PAST SALE,November-19-2019,Single Family Residential,5242 W 119th St,Hawthorne,CA,90304,1235000,4,3.5,107 - Holly Glen/Del Aire,3387,7024,1988,64,365,,Sold,,,http://www.redfin.com/CA/Inglewood/5242-W-119th-St-90304/home/6664251,CRMLS,SB19126856,N,Y,33.9252279,-118.3716242
PAST SALE,,Single Family Residential,7036 Glasgow Ave,Los Angeles,CA,90045,1155000,5,3.0,,2585,6900,1950,,447,,,,,http://www.redfin.com/CA/Los-Angeles/7036-Glasgow-Ave-90045/home/6600734,,,N,Y,33.9728594,-118.3719209
PAST SALE,January-13-2020,Single Family Residential,2203 W 75th St,Los Angeles,CA,90043,635000,4,2.0,C34 - Los Angeles Southwest,1698,6810,1925,9,374,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2203-W-75th-St-90043/home/6422152,CRMLS,DW19255344,N,Y,33.9721097,-118.3179076
PAST SALE,August-29-2019,Single Family Residential,10608 S 8th Ave,Inglewood,CA,90303,650000,4,2.0,102 - South Inglewood,2112,6714,1954,146,308,,Sold,,,http://www.redfin.com/CA/Inglewood/10608-S-8th-Ave-90303/home/6473626,CRMLS,DW18233908,N,Y,33.9397532,-118.3251215
PAST SALE,August-30-2019,Single Family Residential,3350 W 117th Pl,Inglewood,CA,90303,632000,4,2.0,102 - South Inglewood,1444,6324,1947,145,438,,Sold,,,http://www.redfin.com/CA/Inglewood/3350-W-117th-Pl-90303/home/6519008,CRMLS,IN19113182,N,Y,33.9274952,-118.3316979
PAST SALE,November-7-2018,Single Family Residential,6219 Alviso Ave,Los Angeles,CA,90043,775000,4,2.5,Park Hills Heights,1836,3000,2007,441,422,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6219-Alviso-Ave-90043/home/17244701,TheMLS,18-381992,N,Y,33.9829138,-118.3442087
PAST SALE,May-30-2018,Single Family Residential,3613 W Luther Ln,Inglewood,CA,90305,788000,4,4.0,101 - North Inglewood,2171,2907,2006,602,363,225,Sold,,,http://www.redfin.com/CA/Inglewood/3613-W-Luther-Ln-90305/home/8149740,CRMLS,RS18071619,N,Y,33.9543329,-118.3329745
PAST SALE,July-10-2019,Single Family Residential,8919 Crenshaw Blvd,Inglewood,CA,90305,740000,5,4.0,101 - North Inglewood,2384,6005,1937,196,310,,Sold,,,http://www.redfin.com/CA/Inglewood/8919-Crenshaw-Blvd-90305/home/6462710,CRMLS,PF19025862,N,Y,33.9566798,-118.3268116
PAST SALE,February-23-2018,Single Family Residential,11714 Ardath Ave,Hawthorne,CA,90250,515000,4,2.0,108 - North Hawthorne,1638,5601,1954,698,314,,Sold,,,http://www.redfin.com/CA/Hawthorne/11714-Ardath-Ave-90250/home/6521162,CRMLS,PW17242601,N,Y,33.9273867,-118.3233552
PAST SALE,April-11-2018,Single Family Residential,3645 W Medici Ln,Inglewood,CA,90305,745000,4,3.0,101 - North Inglewood,1830,2504,2005,651,407,225,Sold,,,http://www.redfin.com/CA/Inglewood/3645-Medici-Ln-90305/home/8150264,CRMLS,SB18038684,N,Y,33.9535164,-118.3341633
PAST SALE,April-2-2018,Single Family Residential,8205 Maitland Ave,Inglewood,CA,90305,725000,4,3.0,101 - North Inglewood,1986,5272,1936,660,365,,Sold,,,http://www.redfin.com/CA/Inglewood/8205-Maitland-Ave-90305/home/6424646,CRMLS,DW18040656,N,Y,33.964533,-118.3214694
PAST SALE,February-19-2019,Single Family Residential,2314 Hudspeth St,Inglewood,CA,90303,635000,4,2.75,102 - South Inglewood,2245,5400,1954,337,283,,Sold,,,http://www.redfin.com/CA/Inglewood/2314-Hudspeth-St-90303/home/6469043,CRMLS,SB18250956,N,Y,33.9317233,-118.3194145
PAST SALE,October-25-2018,Single Family Residential,4453 W 63rd St,Los Angeles,CA,90043,920000,4,2.75,Park Hills Heights,2016,6798,1938,454,456,,Sold,,,http://www.redfin.com/CA/Los-Angeles/4453-W-63rd-St-90043/home/6409107,TheMLS,18-361148,N,Y,33.9828614,-118.3527699
PAST SALE,October-26-2018,Single Family Residential,2610 W 78th St,Inglewood,CA,90305,800000,4,2.0,North Inglewood,2165,6702,1929,453,370,,Sold,,,http://www.redfin.com/CA/Inglewood/2610-W-78th-St-90305/home/6423195,PFAR,818004522,N,Y,33.9688415,-118.3226567
PAST SALE,April-15-2019,Single Family Residential,2610 W 78th Pl,Inglewood,CA,90305,752000,5,4.0,North Inglewood,1850,6708,1925,282,406,,Sold,,,http://www.redfin.com/CA/Inglewood/2610-W-78th-Pl-90305/home/6423372,TheMLS,18-407434,N,Y,33.9679606,-118.3226567
