SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-1-2018,Townhouse,4315 W 145th St #11,Lawndale,CA,90260,449600,3,2.5,112 - North Lawndale,1333,25626,1994,631,337,300,Sold,,,http://www.redfin.com/CA/Lawndale/4315-W-145th-St-90260/unit-11/home/6561308,CRMLS,SB18035404,N,Y,33.9005584,-118.3510116
PAST SALE,May-7-2018,Townhouse,4714 W 149th St,Lawndale,CA,90260,700000,3,3.0,North Lawndale,2165,12083,1992,625,323,150,Sold,,,http://www.redfin.com/CA/Lawndale/4714-W-149th-St-90260/home/6563779,TheMLS,18-318516,N,Y,33.8960764,-118.3600215
PAST SALE,September-28-2018,Single Family Residential,15021 Kingsdale Ave,Lawndale,CA,90260,499000,3,2.0,112 - North Lawndale,1200,2501,1956,481,416,,Sold,,,http://www.redfin.com/CA/Lawndale/15021-Kingsdale-Ave-90260/home/6564314,CRMLS,SB18170393,N,Y,33.8949262,-118.3570382
PAST SALE,September-25-2018,Townhouse,4551 W 171st St,Lawndale,CA,90260,665000,3,2.5,113 - South Lawndale,2188,17419,1989,484,304,163,Sold,,,http://www.redfin.com/CA/Lawndale/4551-W-171st-St-90260/home/6571487,CRMLS,PW18163171,N,Y,33.87596,-118.356405
PAST SALE,March-1-2018,Condo/Co-op,4727 W 147th #128,Lawndale,CA,90260,339000,2,2.0,112 - North Lawndale,867,84520,1974,692,391,315,Sold,,,http://www.redfin.com/CA/Lawndale/4727-W-147th-St-90260/unit-128/home/6562906,CRMLS,PW18010947,N,Y,33.898694,-118.3604723
PAST SALE,February-26-2019,Single Family Residential,4156 W 169th St,Lawndale,CA,90260,600000,3,1.25,113 - South Lawndale,966,4308,1944,330,621,,Sold,,,http://www.redfin.com/CA/Lawndale/4156-W-169th-St-90260/home/6557244,CRMLS,SB19006918,N,Y,33.8773899,-118.3479983
PAST SALE,April-12-2019,Townhouse,14531 Larch Ave,Lawndale,CA,90260,495000,3,1.75,112 - North Lawndale,1381,2267,1981,285,358,200,Sold,,,http://www.redfin.com/CA/Lawndale/14531-Larch-Ave-90260/home/6561420,CRMLS,SB19041304,N,Y,33.8990814,-118.3504883
PAST SALE,December-4-2018,Single Family Residential,4126 W 147th St,Lawndale,CA,90260,423000,2,1.0,112 - North Lawndale,756,3496,1953,414,560,,Sold,,,http://www.redfin.com/CA/Lawndale/4126-W-147th-St-90260/home/6561895,i-Tech MLS,318003999,N,Y,33.8980549,-118.3471194
PAST SALE,December-26-2018,Multi-Family (2-4 Unit),14922 Osage Ave,Lawndale,CA,90260,670000,5,3.0,112 - North Lawndale,2073,6242,1950,392,323,,Sold,,,http://www.redfin.com/CA/Lawndale/14922-Osage-Ave-90260/home/6562645,CRMLS,PW18197595,N,Y,33.8957684,-118.3458067
PAST SALE,,Single Family Residential,4725 165th St,Lawndale,CA,90260,430000,3,1.0,,1056,5200,1948,,407,,,,,http://www.redfin.com/CA/Lawndale/4725-165th-St-90260/home/6568473,,,N,Y,33.881164,-118.359941
PAST SALE,January-28-2019,Single Family Residential,4756 W 164th St,Lawndale,CA,90260,599000,3,1.5,113 - South Lawndale,951,5265,1953,359,630,,Sold,,,http://www.redfin.com/CA/Lawndale/4756-W-164th-St-90260/home/6568440,CRMLS,SB18272085,N,Y,33.8816501,-118.3610024
PAST SALE,January-14-2019,Townhouse,4437 W 172 St,Lawndale,CA,90260,670000,4,2.25,113 - South Lawndale,2170,5800,2003,373,309,,Sold,,,http://www.redfin.com/CA/Lawndale/4437-W-172nd-St-90260/home/8142653,CRMLS,SB18246525,N,Y,33.874916,-118.3540135
