SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-12-2018,Single Family Residential,10521 Condon Ave,Inglewood,CA,90304,689000,3,2.0,105 - Lennox,1583,9153,1941,406,435,,Sold,,,http://www.redfin.com/CA/Lennox/10521-Condon-Ave-90304/home/6484535,CRMLS,IG18258283,N,Y,33.940443,-118.359463
PAST SALE,,Single Family Residential,10509 Firmona Ave,Lennox,CA,90304,270000,2,1.0,,924,5759,1937,,292,,,,,http://www.redfin.com/CA/Lennox/10509-Firmona-Ave-90304/home/6484245,,,N,Y,33.9409037,-118.3572208
PAST SALE,September-26-2018,Multi-Family (2-4 Unit),4618 W 104th St,Inglewood,CA,90304,1140000,10,7.0,South Inglewood,3714,5897,2018,483,307,,Sold,,,http://www.redfin.com/CA/Inglewood/4618-W-104th-St-90304/home/6484289,TheMLS,18-370330,N,Y,33.9416356,-118.3576731
PAST SALE,April-15-2019,Single Family Residential,10907 Larch Ave,Inglewood,CA,90304,660000,4,3.0,105 - Lennox,2015,4503,1970,282,328,,Sold,,,http://www.redfin.com/CA/Lennox/10907-Larch-Ave-90304/home/6482003,CRMLS,CV18237190,N,Y,33.9368604,-118.3506464
PAST SALE,March-9-2018,Single Family Residential,10930 Acacia Ave,Inglewood,CA,90304,325000,1,1.0,102 - South Inglewood,400,5993,1940,684,813,,Sold,,,http://www.redfin.com/CA/Inglewood/10930-Acacia-Ave-90304/home/6482132,CRMLS,OC18053793,N,Y,33.9362786,-118.3512513
PAST SALE,October-19-2018,Multi-Family (5+ Unit),4001 W 104th St,Inglewood,CA,90304,900000,3,7.0,105 - Lennox,3520,5889,1939,460,256,,Sold,,,http://www.redfin.com/CA/Inglewood/4001-W-104th-St-90304/home/6480805,CRMLS,SB18164603,N,Y,33.9419414,-118.344254
PAST SALE,August-2-2019,Multi-Family (2-4 Unit),4946 W 111th Pl,Inglewood,CA,90304,577000,4,2.0,105 - Lennox,1604,5452,1962,173,360,,Sold,,,http://www.redfin.com/CA/Inglewood/4946-W-111th-Pl-90304/home/6487494,CRMLS,DW18278617,N,Y,33.9334765,-118.3649688
PAST SALE,July-25-2018,Multi-Family (2-4 Unit),4956 W 112th St,Lennox,CA,90304,690000,10,6.0,105 - Lennox,1853,5434,1970,546,372,,Sold,,,http://www.redfin.com/CA/Lennox/4956-W-112th-St-90304/home/6487584,CRMLS,RS18109483,N,Y,33.9325743,-118.3653001
PAST SALE,March-13-2019,Condo/Co-op,5053 W 109th St #9,Lennox,CA,90304,549900,4,4.0,105 - Lennox,2177,26156,2018,315,253,275,Sold,,,http://www.redfin.com/CA/Inglewood/5053-W-109th-St-90304/unit-9/home/145657989,CRMLS,SB18072542,N,Y,33.93739,-118.3674938
PAST SALE,May-30-2019,Townhouse,5053 W 109th St #1,Lennox,CA,90304,539000,3,4.0,105 - Lennox,2009,26156,2018,237,268,275,Sold,,,http://www.redfin.com/CA/Inglewood/5053-W-109th-St-90304/unit-1/home/145657988,CRMLS,SB18195096,N,Y,33.93739,-118.3674938
