SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-1-2019,Condo/Co-op,25837 Oak St #207,Lomita,CA,90717,360000,2,2.0,121 - Lomita,950,60891,1976,358,379,345,Sold,,,http://www.redfin.com/CA/Lomita/25837-Oak-St-90717/unit-207/home/7731841,CRMLS,PW18281327,N,Y,33.7882818,-118.3180218
PAST SALE,February-16-2018,Condo/Co-op,26130 Narbonne Ave #132,Lomita,CA,90717,407000,2,2.0,121 - Lomita,1043,55046,1975,708,390,300,Sold,,,http://www.redfin.com/CA/Lomita/26130-Narbonne-Ave-90717/unit-132/home/7731732,CRMLS,SB18009486,N,Y,33.7850581,-118.3193364
PAST SALE,June-18-2019,Condo/Co-op,25837 Oak St #108,Lomita,CA,90717,389000,2,2.0,121 - Lomita,950,60891,1976,221,409,345,Sold,,,http://www.redfin.com/CA/Lomita/25837-Oak-St-90717/unit-108/home/7731820,CRMLS,PW19075431,N,Y,33.7882818,-118.3180218
PAST SALE,September-13-2018,Condo/Co-op,25925 Narbonne Ave #39,Lomita,CA,90717,295000,2,1.0,121 - Lomita,805,59281,1973,499,366,363,Sold,,,http://www.redfin.com/CA/Lomita/25925-Narbonne-Ave-90717/unit-39/home/7731605,CRMLS,SB18179253,N,Y,33.7872706,-118.3207475
PAST SALE,June-5-2019,Condo/Co-op,26130 Narbonne Ave #103,Lomita,CA,90717,417000,2,2.0,121 - Lomita,945,55046,1975,234,441,350,Sold,,,http://www.redfin.com/CA/Lomita/26130-Narbonne-Ave-90717/unit-103/home/7731703,CRMLS,SB19091079,N,Y,33.7852367,-118.3196657
PAST SALE,April-9-2019,Condo/Co-op,25930 Narbonne Ave #119,Lomita,CA,90717,366500,2,2.0,121 - Lomita,1089,67602,1978,291,337,351,Sold,,,http://www.redfin.com/CA/Lomita/25930-Narbonne-Ave-90717/unit-119/home/7731871,CRMLS,PV19048937,N,Y,33.7871545,-118.3192614
PAST SALE,October-1-2019,Condo/Co-op,25930 Narbonne Ave #114,Lomita,CA,90717,361888,2,1.75,121 - Lomita,1089,67602,1978,116,332,352,Sold,,,http://www.redfin.com/CA/Lomita/25930-Narbonne-Ave-90717/unit-114/home/7731866,CRMLS,SB19192177,N,Y,33.7871545,-118.3192614
PAST SALE,June-12-2018,Townhouse,26120 Narbonne Ave Unit E,Lomita,CA,90717,517500,2,1.75,121 - Lomita,1485,38309,1979,592,348,325,Sold,,,http://www.redfin.com/CA/Lomita/26120-Narbonne-Ave-90717/unit-E/home/7731743,CRMLS,SB18058745,N,Y,33.7854406,-118.3196682
PAST SALE,November-26-2019,Multi-Family (2-4 Unit),26366 Western Ave,Lomita,CA,90717,538000,4,2.0,Harbor City,1664,6125,1943,60,323,,Sold,,,http://www.redfin.com/CA/Lomita/26366-S-Western-Ave-90717/home/7673613,TheMLS,19-509662,N,Y,33.7816959,-118.309544
PAST SALE,,Condo/Co-op,26014 Cayuga Ave,Lomita,CA,90717,1360000,11,6.0,,,,1964,,,,,,,http://www.redfin.com/CA/Lomita/26014-Cayuga-Ave-90717/home/7732189,,,N,Y,33.786275,-118.309364
PAST SALE,July-10-2018,Condo/Co-op,24410 Crenshaw Blvd #104,Torrance,CA,90505,370000,2,2.0,135 - South East Torrance - East,1111,99512,1987,564,333,374,Sold,,,http://www.redfin.com/CA/Torrance/24410-Crenshaw-Blvd-90505/unit-104/home/7663426,CRMLS,OC18093758,N,Y,33.8036988,-118.3269472
