SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-27-2019,Single Family Residential,1147 2nd St,Manhattan Beach,CA,90266,1549000,4,2.0,147 - Manhattan Bch Mira Costa,1845,6252,1952,212,840,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1147-2nd-St-90266/home/6704944,CRMLS,SB19075705,N,Y,33.8804109,-118.3944252
PAST SALE,,Single Family Residential,900 N Dianthus St,Manhattan Beach,CA,90266,2350000,5,6.0,,2629,5003,1952,,894,,,,,http://www.redfin.com/CA/Manhattan-Beach/900-N-Dianthus-St-90266/home/6706783,,,N,Y,33.88491,-118.3980627
PAST SALE,March-16-2018,Single Family Residential,1712 2nd St,Manhattan Beach,CA,90266,2240000,5,3.75,147 - Manhattan Bch Mira Costa,3549,5176,2005,680,631,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1712-2nd-St-90266/home/6701693,CRMLS,SB18029982,N,Y,33.8798849,-118.3825341
PAST SALE,January-26-2018,Single Family Residential,1147 8th St,Manhattan Beach,CA,90266,2100000,4,3.0,147 - Manhattan Bch Mira Costa,2077,8002,1957,729,1011,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1147-Eighth-St-90266/home/6705012,CRMLS,SB17199757,N,Y,33.8839612,-118.3944415
PAST SALE,September-17-2018,Single Family Residential,1204 Faymont Ave,Manhattan Beach,CA,90266,1325000,2,1.0,146 - Manhattan Bch Heights/Lib Vlg,927,5088,1950,495,1429,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1204-Faymont-Ave-90266/home/6703589,CRMLS,PW18183643,N,Y,33.8884289,-118.3798737
PAST SALE,May-18-2018,Single Family Residential,742 29th St,Manhattan Beach,CA,90266,2075000,3,2.0,143 - Manhattan Bch Tree,1198,4802,1948,617,1732,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/742-29th-St-90266/home/6709132,CRMLS,SB18046853,N,Y,33.8968464,-118.405735
PAST SALE,August-14-2018,Single Family Residential,3512 Vista Dr,Manhattan Beach,CA,90266,1998000,2,2.0,142 - Manhattan Bch Sand,1880,1801,1975,529,1063,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3512-Vista-Dr-90266/home/6709755,CRMLS,PW18148973,N,Y,33.9005297,-118.4159672
PAST SALE,September-7-2018,Single Family Residential,328 25th Pl,Manhattan Beach,CA,90266,1400000,1,1.0,142 - Manhattan Bch Sand,556,1356,1927,505,2518,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/328-25th-Pl-90266/home/6710885,CRMLS,SB18218899,N,Y,33.8941353,-118.4138708
PAST SALE,September-21-2018,Single Family Residential,212 Seaview St,Manhattan Beach,CA,90266,1610000,2,2.0,142 - Manhattan Bch Sand,1045,1355,1975,491,1541,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/212-Seaview-St-90266/home/6656206,CRMLS,SB18191151,N,Y,33.904109,-118.4200581
PAST SALE,August-1-2019,Single Family Residential,1700 6th St,Manhattan Beach,CA,90266,1775000,3,2.5,147 - Manhattan Bch Mira Costa,1821,4972,1957,177,975,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1700-6th-St-90266/home/6702561,CRMLS,SB19141832,N,Y,33.8826328,-118.3828606
PAST SALE,April-6-2018,Single Family Residential,1713 23rd St,Manhattan Beach,CA,90266,1860000,4,3.0,146 - Manhattan Bch Heights/Lib Vlg,1893,5719,1950,659,983,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1713-23rd-St-90266/home/6703296,CRMLS,SB18035358,N,Y,33.8940594,-118.3823218
PAST SALE,March-9-2018,Single Family Residential,2512 Pine Ave,Manhattan Beach,CA,90266,2200000,4,3.5,143 - Manhattan Bch Tree,3156,4481,1982,687,697,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/2512-Pine-Ave-90266/home/137956861,CRMLS,SB18031026,N,Y,33.8950301,-118.3984367
PAST SALE,April-4-2018,Single Family Residential,513 N Dianthus St,Manhattan Beach,CA,90266,2350000,3,3.0,144 - Manhattan Bch Hill,2470,3250,1990,661,951,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/513-N-Dianthus-St-90266/home/6705511,CRMLS,SB17224221,N,Y,33.8823952,-118.3985663
PAST SALE,October-12-2018,Single Family Residential,3528 Maple Ave,Manhattan Beach,CA,90266,1950000,3,2.5,143 - Manhattan Bch Tree,1777,4644,1947,470,1097,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3528-Maple-Ave-90266/home/6707864,CRMLS,SB18217502,N,Y,33.9009239,-118.4023885
PAST SALE,April-20-2018,Single Family Residential,429 Marine Ave,Manhattan Beach,CA,90266,2465000,4,2.75,142 - Manhattan Bch Sand,1964,2706,1947,645,1255,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/429-Marine-Ave-90266/home/6710751,CRMLS,SB18058472,N,Y,33.892578,-118.412013
PAST SALE,,Single Family Residential,1400 Lynngrove Dr,Manhattan Beach,CA,90266,1275000,3,1.0,,1098,5399,1950,,1161,,,,,http://www.redfin.com/CA/Manhattan-Beach/1400-Lynngrove-Dr-90266/home/6703653,,,N,Y,33.8888849,-118.3823289
PAST SALE,October-5-2018,Single Family Residential,1726 1st St,Manhattan Beach,CA,90266,2050000,4,3.0,147 - Manhattan Bch Mira Costa,2383,7505,1952,477,860,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1726-1st-St-90266/home/6701726,CRMLS,SB18155216,N,Y,33.8792038,-118.3820322
PAST SALE,May-22-2018,Single Family Residential,1540 Mathews Ave,Manhattan Beach,CA,90266,2150000,3,2.5,147 - Manhattan Bch Mira Costa,2420,7477,2005,613,888,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1540-Mathews-Ave-90266/home/6702298,CRMLS,SB18080998,N,Y,33.8736732,-118.3859356
