SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-27-2019,Single Family Residential,7307 W 88th St,Westchester,CA,90045,1365000,3,3.0,C29 - Westchester,1528,6300,1952,56,893,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7307-W-88th-St-90045/home/6633343,CRMLS,SB19166876,N,Y,33.9575085,-118.4228136
PAST SALE,April-10-2018,Single Family Residential,7545 Shore Cliff Dr,Los Angeles,CA,90045,2535000,4,5.0,Westchester,4089,5800,2006,652,620,300,Sold,,,http://www.redfin.com/CA/Los-Angeles/7545-W-Shore-Cliff-Dr-90045/home/17238443,TheMLS,18-304598,N,Y,33.964917,-118.4298445
PAST SALE,May-22-2018,Single Family Residential,7353 W 89th St,Westchester,CA,90045,955000,2,1.5,C29 - Westchester,1412,6301,1951,610,676,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7353-W-89th-St-90045/home/6633210,CRMLS,PW18065243,N,Y,33.9560274,-118.4240915
PAST SALE,August-30-2018,Single Family Residential,8311 Colegio Dr,Los Angeles,CA,90045,980000,2,1.75,Westchester,1225,5002,1942,510,800,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8311-Colegio-Dr-90045/home/6622624,TheMLS,18-365800,N,Y,33.9617623,-118.4224485
PAST SALE,October-10-2018,Single Family Residential,8005 Bell Crest Dr,Los Angeles,CA,90045,2435000,5,4.0,Westchester,4737,7013,2006,469,514,350,Sold,,,http://www.redfin.com/CA/Los-Angeles/8005-S-Bell-Crest-Dr-90045/home/21923412,TheMLS,18-348360,N,Y,33.9644187,-118.4302066
PAST SALE,April-26-2018,Single Family Residential,7825 W 83rd St,Playa Del Rey,CA,90293,1535000,3,3.0,Playa Del Rey,3160,4999,1965,636,486,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7825-W-83rd-St-90293/home/6623732,TheMLS,18-321538,N,Y,33.9610231,-118.4334019
PAST SALE,July-10-2018,Single Family Residential,8405 Delgany Ave,Playa Del Rey,CA,90293,1315000,3,2.0,Playa Del Rey,2030,6619,1956,561,648,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8405-Delgany-Ave-90293/home/6622754,TheMLS,18-347136,N,Y,33.9574434,-118.4408608
PAST SALE,November-9-2018,Single Family Residential,216 Waterview St,Playa Del Rey,CA,90293,1689130,3,2.0,Playa Del Rey,1844,4582,1956,439,916,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/216-Waterview-St-90293/home/6626449,TheMLS,18-371148,N,Y,33.9520755,-118.4450058
PAST SALE,June-28-2018,Single Family Residential,8201 Park Hill Dr,Los Angeles,CA,90045,1603000,3,2.5,Westchester,1791,6269,1955,573,895,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8201-Park-Hill-Dr-90045/home/6621654,TheMLS,18-337870,N,Y,33.9619785,-118.4266927
PAST SALE,August-24-2018,Single Family Residential,7506 W 83rd St,Playa Del Rey,CA,90293,1970000,4,3.0,Playa Del Rey,3076,5940,1985,516,640,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7506-W-83rd-St-90293/home/6622278,TheMLS,18-347990,N,Y,33.9611776,-118.4286094
PAST SALE,February-15-2019,Single Family Residential,121 Waterview St,Playa Del Rey,CA,90293,1705000,3,3.0,Playa Del Rey,1781,3154,1925,341,957,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/121-Waterview-St-90293/home/6626379,TheMLS,19-418540,N,Y,33.9529115,-118.4464084
PAST SALE,February-8-2018,Single Family Residential,7214 Rindge Ave,Playa Del Rey,CA,90293,1490000,3,1.5,Playa Del Rey,1249,5590,1948,713,1193,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7214-Rindge-Ave-90293/home/6625392,TheMLS,17-295376,N,Y,33.9554312,-118.4460878
PAST SALE,,Single Family Residential,8242 W 83rd St,Playa Del Rey,CA,90293,1889000,3,3.0,,2865,5758,2017,,659,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8242-W-83rd-St-90293/home/40488781,,,N,Y,33.9579038,-118.4403829
PAST SALE,,Single Family Residential,7270 W 85th St,Los Angeles,CA,90045,1375000,3,2.0,,1407,5244,1942,,977,,,,,http://www.redfin.com/CA/Los-Angeles/7270-W-85th-St-90045/home/6622717,,,N,Y,33.9604718,-118.4213969
PAST SALE,April-3-2018,Single Family Residential,7445 W 80th St,Los Angeles,CA,90045,2550000,5,5.0,Westchester,4201,9398,2006,659,607,350,Sold,,,http://www.redfin.com/CA/Los-Angeles/7445-W-80th-St-90045/home/17238556,TheMLS,18-314450,N,Y,33.9640291,-118.4273969
PAST SALE,April-27-2018,Single Family Residential,6517 Vista Del Mar,Playa Del Rey,CA,90293,1925000,3,3.0,Playa Del Rey,2984,2700,1948,635,645,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/6517-Vista-Del-Mar-90293/home/6624418,TheMLS,18-313566,N,Y,33.961687,-118.4499183
PAST SALE,June-19-2018,Single Family Residential,7808 W 81st St,Playa Del Rey,CA,90293,1900000,4,3.5,Playa Del Rey,3018,5001,1974,582,630,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7808-W-81st-St-90293/home/6622081,TheMLS,18-337590,N,Y,33.9621673,-118.4323534
PAST SALE,August-31-2018,Single Family Residential,7535 W 80th St,Los Angeles,CA,90045,2300000,5,5.0,Westchester,4201,6376,2006,509,547,350,Sold,,,http://www.redfin.com/CA/Los-Angeles/7535-W-80th-St-90045/home/12282123,TheMLS,18-356272,N,Y,33.9640146,-118.4296174
PAST SALE,June-27-2018,Single Family Residential,6501 Vista Del Mar,Playa del Rey,CA,90293,2255000,5,5.0,C31 - Playa Del Rey,4000,2700,1972,574,564,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/6501-Vista-Del-Mar-90293/home/6624408,CRMLS,SB17133078,N,Y,33.9619626,-118.4500587
PAST SALE,January-31-2018,Single Family Residential,201 Redlands St,Playa Del Rey,CA,90293,2925000,4,3.75,Playa Del Rey,4219,5524,1981,721,693,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/201-Redlands-St-90293/home/6625966,TheMLS,17-286850,N,Y,33.9538938,-118.4466343
PAST SALE,June-5-2018,Single Family Residential,6524 Vista Del Mar,Playa Del Rey,CA,90293,1644000,4,4.0,Playa Del Rey,1950,2400,1956,596,843,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/6524-Vista-Del-Mar-90293/home/6624459,TheMLS,18-340316,N,Y,33.9613109,-118.4500875
PAST SALE,October-3-2018,Single Family Residential,247 W Manchester Ave,Playa Del Rey,CA,90293,1435000,3,1.0,Playa Del Rey,1390,6043,1950,476,1032,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/247-W-Manchester-Ave-90293/home/6625384,TheMLS,18-393598,N,Y,33.9552831,-118.4457226
PAST SALE,,Single Family Residential,430 Talbert St,Playa Del Rey,CA,90293,1100000,3,2.0,,1591,6000,1959,,691,,,,,http://www.redfin.com/CA/Playa-Del-Rey/430-Talbert-St-90293/home/6625699,,,N,Y,33.9550139,-118.4424835
PAST SALE,March-9-2018,Single Family Residential,7545 Trask Ave,Playa del Rey,CA,90293,1400000,2,1.75,C31 - Playa Del Rey,1655,4848,1953,684,846,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7545-Trask-Ave-90293/home/6626580,CRISNet,SR18015369,N,Y,33.9524832,-118.4433849
PAST SALE,March-16-2018,Single Family Residential,8343 Zitola Ter,Playa Del Rey,CA,90293,1750000,4,4.5,Playa Del Rey,2978,7801,1958,677,588,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/8343-Zitola-Ter-90293/home/6622769,TheMLS,18-307074,N,Y,33.9575186,-118.4423845
PAST SALE,May-30-2019,Single Family Residential,7525 Coastal View Dr,Los Angeles,CA,90045,3200000,5,5.5,Westchester,5175,6823,2006,237,618,300,Sold,,,http://www.redfin.com/CA/Los-Angeles/7525-W-Coastal-View-Dr-90045/home/17238748,TheMLS,19-445810,N,Y,33.9650459,-118.4287717
PAST SALE,February-20-2019,Single Family Residential,7501 Whitlock Ave,Playa Del Rey,CA,90293,2300000,3,2.0,Playa Del Rey,2340,3573,1956,336,983,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/7501-Whitlock-Ave-90293/home/6626380,TheMLS,18-412206,N,Y,33.9530888,-118.4461802
PAST SALE,,Single Family Residential,8100 W 83rd St,Playa Del Rey,CA,90293,1750000,2,2.0,,2268,6112,1959,,772,,,,,http://www.redfin.com/CA/Playa-Del-Rey/8100-W-83rd-St-90293/home/6623332,,,N,Y,33.959308,-118.43799
PAST SALE,February-13-2018,Single Family Residential,404 Sunridge St,Playa Del Rey,CA,90293,1250000,3,2.0,Playa Del Rey,1410,6000,1957,708,887,,Sold,,,http://www.redfin.com/CA/Playa-Del-Rey/404-Sunridge-St-90293/home/6625567,TheMLS,18-299578,N,Y,33.9575507,-118.4443781
