SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-4-2018,Single Family Residential,16 Crest Rd E,Rolling Hills,CA,90274,3450000,6,5.5,166 - Rolling Hills,5460,86975,1977,628,632,599,Sold,,,http://www.redfin.com/CA/Rolling-Hills/16-Crest-Rd-E-90274/home/7739322,CRMLS,PV18029670,N,Y,33.7528825,-118.3474276
PAST SALE,August-10-2018,Single Family Residential,6 Chesterfield Rd,Rolling Hills,CA,90274,5100000,5,5.5,166 - Rolling Hills,5902,88329,1956,530,864,,Sold,,,http://www.redfin.com/CA/Rolling-Hills/6-Chesterfield-Rd-90274/home/7739126,CRMLS,PV18044254,N,Y,33.7610738,-118.3383872
PAST SALE,September-5-2018,Single Family Residential,9 Portuguese Bend Rd,Rolling Hills,CA,90274,4500000,6,7.0,166 - Rolling Hills,5462,73744,1936,504,824,325,Sold,,,http://www.redfin.com/CA/Rolling-Hills/9-Portuguese-Bend-Rd-90274/home/7739868,CRMLS,PV18171308,N,Y,33.7739264,-118.3460579
PAST SALE,January-31-2018,Single Family Residential,6 N Middleridge Ln,Rolling Hills,CA,90274,5000000,5,7.0,166 - Rolling Hills,5300,149463,1953,721,943,912,Sold,,,http://www.redfin.com/CA/Rolling-Hills/6-Middleridge-Ln-N-90274/home/7739905,CRMLS,PV16190725,N,Y,33.7730275,-118.3496748
PAST SALE,September-30-2019,Single Family Residential,2860 Palos Verdes Dr N,Rolling Hills,CA,90274,3558750,6,4.75,166 - Rolling Hills,4945,121568,1961,114,720,617,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/2860-Palos-Verdes-Dr-N-90274/home/7739722,CRMLS,PV19178837,N,Y,33.7709313,-118.336264
PAST SALE,December-7-2019,Single Family Residential,1 Quail Ridge Rd S,Rolling Hills,CA,90274,2325000,4,3.0,166 - Rolling Hills,2856,56547,1954,46,814,449,Sold,,,http://www.redfin.com/CA/Rolling-Hills/1-Quail-Ridge-Rd-S-90274/home/7739332,CRMLS,PV19199495,N,Y,33.7565478,-118.3535684
PAST SALE,November-8-2018,Single Family Residential,3 Roundup Rd,Rolling Hills,CA,90274,2700000,5,4.5,166 - Rolling Hills,3373,44562,1955,440,800,483,Sold,,,http://www.redfin.com/CA/Rolling-Hills/3-Roundup-Rd-90274/home/7739004,CRMLS,PV18127900,N,Y,33.7582101,-118.3322459
PAST SALE,October-4-2018,Single Family Residential,22 Chuckwagon Rd,Rolling Hills,CA,90274,2085000,3,2.25,166 - Rolling Hills,2103,33347,1958,475,991,333,Sold,,,http://www.redfin.com/CA/Rolling-Hills/22-Chuckwagon-Rd-90274/home/7739145,CRMLS,PV18199264,N,Y,33.7589766,-118.3387525
PAST SALE,June-21-2018,Single Family Residential,5 Chuckwagon Rd,Rolling Hills,CA,90274,2935000,5,6.0,166 - Rolling Hills,5571,108225,1987,580,527,500,Sold,,,http://www.redfin.com/CA/Rolling-Hills/5-Chuckwagon-Rd-90274/home/7739149,CRMLS,PV18073786,N,Y,33.7569691,-118.3381132
PAST SALE,April-15-2019,Single Family Residential,11 Outrider Rd,Rolling Hills,CA,90274,3250000,4,3.5,166 - Rolling Hills,3621,58632,1952,282,898,575,Sold,,,http://www.redfin.com/CA/Rolling-Hills/11-Outrider-Rd-90274/home/7739060,CRMLS,PV19053797,N,Y,33.7532529,-118.3329764
