SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-28-2018,Multi-Family (2-4 Unit),9814 holmes Ave,Los Angeles,CA,90002,410000,4,2.0,699 - Not Defined,1514,6645,1990,696,271,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9814-Holmes-Ave-90002/home/144787680,CRMLS,MB18021282,N,Y,33.9470663,-118.2406606
PAST SALE,,Multi-Family (2-4 Unit),9513 Holmes Ave,Los Angeles,CA,90002,680000,4,2.0,,1966,9154,1911,,346,,,,,http://www.redfin.com/CA/Los-Angeles/9513-Holmes-Ave-90002/home/7301575,,,N,Y,33.9502313,-118.241127
PAST SALE,December-12-2019,Townhouse,9572 Maie,Los Angeles,CA,90002,485000,4,2.0,WATT - Watts,1538,6506,1925,44,315,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9572-Maie-Ave-90002/home/7301294,CRISNet,SR19188949,N,Y,33.9494107,-118.2443064
PAST SALE,February-8-2018,Single Family Residential,10323 Juniper St,Los Angeles,CA,90002,310000,4,2.0,WATT - Watts,1224,6500,1971,716,253,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10323-Juniper-St-90002/home/7312886,CRMLS,PW17277047,N,Y,33.9423164,-118.2329948
PAST SALE,January-22-2020,Single Family Residential,10320 Kalmia St,Los Angeles,CA,90002,415000,4,2.0,WATT - Watts,1103,4892,1921,3,376,,Sold,,,http://www.redfin.com/CA/Los-Angeles/10320-Kalmia-St-90002/home/7312795,CRMLS,DW19259367,N,Y,33.942491,-118.2314871
PAST SALE,July-31-2019,Multi-Family (5+ Unit),9615 Grandee Ave,Los Angeles,CA,90002,960000,9,7.0,WATT - Watts,3713,13003,1923,178,259,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9615-Grandee-Ave-90002/home/7301282,CRMLS,RS19156749,N,Y,33.9485827,-118.2436055
PAST SALE,September-5-2019,Multi-Family (2-4 Unit),9571 Grandee Ave,Los Angeles,CA,90002,625000,5,2.0,C37 - Metropolitan South,2337,6505,1915,142,267,,Sold,,,http://www.redfin.com/CA/Los-Angeles/9571-Grandee-Ave-90002/home/7301275,CRMLS,DW19193217,N,Y,33.9494616,-118.2436778
PAST SALE,December-3-2018,Multi-Family (2-4 Unit),1772 E 92nd St,Los Angeles,CA,90002,530000,4,4.0,C34 - Los Angeles Southwest,1975,6193,1946,418,268,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1772-E-92nd-St-90002/home/7301631,CRMLS,DW18214290,N,Y,33.9530575,-118.2410768
PAST SALE,August-30-2018,Single Family Residential,2307 E 113th St,Los Angeles,CA,90059,420000,4,2.0,C37 - Metropolitan South,1463,6882,1945,513,287,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2307-E-113th-St-90059/home/7313441,CRMLS,WS18170159,N,Y,33.9326439,-118.2317612
PAST SALE,September-18-2019,Multi-Family (2-4 Unit),1812 E 109th Pl,Los Angeles,CA,90059,930000,12,,Los Angeles,,7650,2019,129,,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1812-E-109th-Pl-90059/home/169104505,SDMLS,301765815,N,Y,33.9360128,-118.24027
PAST SALE,March-20-2018,Multi-Family (2-4 Unit),11309 Hooper Ave,Los Angeles,CA,90059,330000,4,2.0,WATT - Watts,1560,4972,1941,676,212,,Sold,,,http://www.redfin.com/CA/Los-Angeles/11309-Hooper-Ave-90059/home/7315221,CRMLS,DW17246233,N,Y,33.9316921,-118.2525024
PAST SALE,September-20-2018,Single Family Residential,2143 Santa Ana S S,Los Angeles,CA,90059,400000,4,2.5,WATT - Watts,1843,2677,2008,492,217,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2143-Santa-Ana-Blvd-S-90059/home/28916461,CRMLS,IG18181200,N,Y,33.9357676,-118.2338878
