SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-13-2018,Condo/Co-op,8650 Belford Ave #225,Los Angeles,CA,90045,540000,3,2.0,Westchester,1190,102784,1968,558,454,310,Sold,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-225/home/6637396,TheMLS,18-339704,N,Y,33.9581802,-118.3835442
PAST SALE,June-28-2019,Condo/Co-op,8710 Belford Ave Unit 116B,Los Angeles,CA,90045,465000,2,2.0,Westchester,905,102784,1968,208,514,271,Sold,,,http://www.redfin.com/CA/Los-Angeles/8710-Belford-Ave-90045/unit-116B/home/6637257,TheMLS,19-470400,N,Y,33.9579574,-118.3838235
PAST SALE,December-13-2019,Multi-Family (5+ Unit),7207 S La Cienega Blvd,Los Angeles,CA,90045,6300000,30,24.0,C29 - Westchester,16628,18839,2018,40,379,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7207-S-La-Cienega-Blvd-90045/home/146816254,CRMLS,SB19243919,N,Y,33.9701313,-118.3705057
PAST SALE,July-23-2019,Multi-Family (2-4 Unit),6406 W 86th Pl,Los Angeles,CA,90045,970000,4,2.0,Westchester,1612,6242,1944,183,602,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6406-W-86th-Pl-90045/home/6634610,TheMLS,19-465516,N,Y,33.959095,-118.399202
PAST SALE,April-17-2018,Townhouse,8620 Belford Ave #203,Westchester,CA,90045,695000,3,3.0,C29 - Westchester,1374,66632,2007,645,506,250,Sold,,,http://www.redfin.com/CA/Los-Angeles/8620-Belford-Ave-90045/unit-203/home/17227676,CRMLS,OC18007947,N,Y,33.9592816,-118.3835262
PAST SALE,,Condo/Co-op,8710 Belford Ave Unit 207B,Los Angeles,CA,90045,485000,2,2.0,,870,,1968,,557,,,,,http://www.redfin.com/CA/Los-Angeles/8710-Belford-Ave-90045/unit-207B/home/6637431,,,N,Y,33.9579574,-118.3838235
PAST SALE,July-12-2019,Condo/Co-op,8710 Belford Ave Unit 226B,Los Angeles,CA,90045,540000,3,2.0,C29 - Westchester,1167,102539,1968,194,463,307,Sold,,,http://www.redfin.com/CA/Los-Angeles/8710-Belford-Ave-90045/unit-226B/home/6637530,CRMLS,SB19045302,N,Y,33.9579574,-118.3838235
PAST SALE,August-26-2019,Condo/Co-op,8650 Belford Ave Unit 213A,Los Angeles,CA,90045,363500,1,1.0,C29 - Westchester,695,102539,1968,149,523,249,Sold,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-213A/home/6637345,CRMLS,CV19154124,N,Y,33.9584394,-118.3838214
PAST SALE,September-13-2019,Condo/Co-op,8650 Belford Ave Unit 118A,Westchester,CA,90045,454000,2,2.0,C29 - Westchester,873,102539,1968,131,520,268,Sold,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-118A/home/6637166,CRISNet,SR19142394,N,Y,33.9584394,-118.3838214
PAST SALE,September-27-2019,Condo/Co-op,8650 Belford Ave Unit 221A,Westchester,CA,90045,508500,2,2.0,C29 - Westchester,1114,102539,1968,117,456,268,Sold,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-221A/home/6637384,CRMLS,CV19178809,N,Y,33.9584394,-118.3838214
PAST SALE,October-24-2019,Condo/Co-op,8710 Belford Ave Unit 118B,Los Angeles,CA,90045,449000,2,2.0,C29 - Westchester,873,102539,1968,90,514,268,Sold,,,http://www.redfin.com/CA/Los-Angeles/8710-Belford-Ave-90045/unit-118B/home/6637264,CRISNet,SR19111101,N,Y,33.9579574,-118.3838235
PAST SALE,,Condo/Co-op,8650 Belford Ave Unit 107A,Los Angeles,CA,90045,380000,2,2.0,,870,,1968,,437,,,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-107A/home/6637130,,,N,Y,33.9584394,-118.3838214
PAST SALE,December-4-2019,Condo/Co-op,8620 Belford Ave #204,Los Angeles,CA,90045,829000,4,4.0,Westchester,1595,66543,2007,49,520,275,Sold,,,http://www.redfin.com/CA/Los-Angeles/8620-Belford-Ave-90045/unit-204/home/17228686,TheMLS,19-525696,N,Y,33.9592816,-118.3835262
PAST SALE,,Multi-Family (2-4 Unit),9044 Reading Ave,Los Angeles,CA,90045,1385000,6,3.0,,2529,6642,1950,,548,,,,,http://www.redfin.com/CA/Los-Angeles/9044-Reading-Ave-90045/home/6636912,,,N,Y,33.9538497,-118.3813286
PAST SALE,March-27-2019,Condo/Co-op,8650 Belford Ave Unit 121A,Los Angeles,CA,90045,349000,1,1.0,C29 - Westchester,595,102539,1968,301,587,236,Sold,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-121A/home/6637178,CRMLS,SB19028767,N,Y,33.9584394,-118.3838214
PAST SALE,December-9-2018,Condo/Co-op,8710 Belford Ave Unit 215B,Los Angeles,CA,90045,505000,2,2.0,Westchester,929,102784,1968,409,544,274,Sold,,,http://www.redfin.com/CA/Los-Angeles/8710-Belford-Ave-90045/unit-215B/home/6637473,TheMLS,18-363632,N,Y,33.9579574,-118.3838235
PAST SALE,September-5-2018,Condo/Co-op,8620 Belford Ave #102,Los Angeles,CA,90045,762000,3,3.25,Westchester,1560,66543,2007,504,488,250,Sold,,,http://www.redfin.com/CA/Los-Angeles/8620-Belford-Ave-90045/unit-102/home/17225028,TheMLS,18-368296,N,Y,33.9592816,-118.3835262
PAST SALE,April-11-2018,Townhouse,8312 Barnsley Ave,Los Angeles,CA,90045,925000,4,2.0,C29 - Westchester,1612,6704,1948,651,574,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8312-Barnsley-Ave-90045/home/6636753,CRMLS,SB17212099,N,Y,33.962987,-118.384442
PAST SALE,June-15-2018,Condo/Co-op,7001 S La Cienega #102,Los Angeles,CA,90045,446000,2,1.75,Westchester,990,35412,1985,586,451,365,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-102/home/6600163,TheMLS,18-319640,N,Y,33.9738688,-118.3704345
PAST SALE,May-20-2019,Condo/Co-op,7001 S La Cienega #304,Los Angeles,CA,90045,482500,2,2.0,Westchester,1022,35412,1985,247,472,405,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-304/home/6600344,TheMLS,19-447898,N,Y,33.9738688,-118.3704345
PAST SALE,October-4-2019,Condo/Co-op,7001 S LA CIENGA Blvd,Los Angeles,CA,90045,457500,2,2.0,C29 - Westchester,1000,35412,1985,110,458,405,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-101/home/6600158,CRMLS,IN19179339,N,Y,33.9738688,-118.3704345
PAST SALE,,Condo/Co-op,7001 S La Cienega Blvd Unit PNTHSE,Los Angeles,CA,90045,510000,2,2.0,,1000,,1985,,510,,,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-PNTHSE/home/6600461,,,N,Y,33.9738688,-118.3704345
PAST SALE,,Multi-Family (2-4 Unit),8501 Kittyhawk Ave,Los Angeles,CA,90045,750000,2,2.0,,1196,6500,1943,,627,,,,,http://www.redfin.com/CA/Los-Angeles/8501-Kittyhawk-Ave-90045/home/167408077,,,N,Y,33.961158,-118.389408
PAST SALE,April-30-2019,Multi-Family (2-4 Unit),8411 Lilienthal Ave,Los Angeles,CA,90045,885000,2,2.0,Westchester,1618,6530,1943,267,547,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8411-Lilienthal-Ave-90045/home/6609347,TheMLS,19-423058,N,Y,33.9617016,-118.3863297
PAST SALE,April-24-2019,Multi-Family (2-4 Unit),5750 W 85th Pl,Los Angeles,CA,90045,925000,4,2.0,C29 - Westchester,1644,7019,1948,273,563,,Sold,,,http://www.redfin.com/CA/Los-Angeles/5750-W-85th-Pl-90045/home/6636656,CRMLS,IN19027711,N,Y,33.960199,-118.381933
PAST SALE,August-19-2019,Multi-Family (2-4 Unit),8501 Kittyhawk Ave,Los Angeles,CA,90045,750000,2,2.0,Westchester,1196,6000,1943,156,627,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8501-Kittyhawk-Ave-90045/home/6609589,TheMLS,19-435614,N,Y,33.961158,-118.389408
PAST SALE,December-30-2019,Multi-Family (2-4 Unit),8429 Wiley Post Ave,Los Angeles,CA,90045,710000,2,2.0,Westchester,1116,6724,1943,23,636,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8429-Wiley-Post-Ave-90045/home/6609410,TheMLS,19-491180,N,Y,33.9610715,-118.3873624
PAST SALE,January-8-2020,Multi-Family (2-4 Unit),8419 Barnsley Ave,Los Angeles,CA,90045,990000,4,2.0,Westchester,1844,7211,1948,14,537,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8419-Barnsley-Ave-90045/home/6636778,TheMLS,19-536722,N,Y,33.9616869,-118.3850729
PAST SALE,April-27-2018,Condo/Co-op,7037 La Tijera Unit C101,Los Angeles,CA,90045,450000,2,2.0,Westchester,948,24311,1991,635,475,384,Sold,,,http://www.redfin.com/CA/Los-Angeles/7037-La-Tijera-Blvd-90045/unit-C101/home/8118981,TheMLS,17-290850,N,Y,33.9746741,-118.3753137
PAST SALE,,Condo/Co-op,7125 La Tijera Blvd,Los Angeles,CA,90045,2420000,12,6.0,,,,1952,,,,,,,http://www.redfin.com/CA/Los-Angeles/7125-La-Tijera-Blvd-90045/home/6599582,,,N,Y,33.973701,-118.376381
PAST SALE,March-27-2019,Condo/Co-op,7033 La Tijera Blvd Unit J101,Los Angeles,CA,90045,560000,2,2.0,C29 - Westchester,1013,24311,1991,301,553,395,Sold,,,http://www.redfin.com/CA/Los-Angeles/7033-La-Tijera-Blvd-90045/unit-J101/home/6599589,CRMLS,DW19044825,N,Y,33.9746741,-118.3753137
PAST SALE,May-22-2019,Condo/Co-op,7100 La Tijera Unit C101,Los Angeles,CA,90045,535000,2,2.0,Westchester,1038,23911,1991,245,515,370,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-La-Tijera-Blvd-90045/unit-C101/home/8121343,TheMLS,19-448768,N,Y,33.9733747,-118.375717
PAST SALE,September-13-2019,Condo/Co-op,7100 Alvern St #321,Los Angeles,CA,90045,625000,2,2.0,C29 - Westchester,1140,29448,2010,131,548,383,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-321/home/40488799,i-Tech MLS,319003203,N,Y,33.9745092,-118.3775996
PAST SALE,September-20-2019,Condo/Co-op,7110 La Tijera Unit J202,Los Angeles,CA,90045,492500,1,1.0,Westchester,860,23911,1991,124,573,348,Sold,,,http://www.redfin.com/CA/Los-Angeles/7110-La-Tijera-Blvd-90045/unit-J202/home/8121346,TheMLS,19-499132,N,Y,33.9733747,-118.375717
PAST SALE,September-20-2019,Condo/Co-op,7100 Alvern St #317,Los Angeles,CA,90045,615000,2,2.0,Westchester,1241,29705,2010,124,496,383,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-317/home/40488798,TheMLS,19-469586,N,Y,33.9750054,-118.3770446
PAST SALE,October-15-2019,Condo/Co-op,7100 Alvern St #322,Westchester,CA,90045,624800,2,2.0,C29 - Westchester,1150,29448,2011,99,543,363,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-322/home/40488802,CRMLS,SB19171523,N,Y,33.9745092,-118.3775996
PAST SALE,October-17-2019,Condo/Co-op,7111 La Tijera Blvd Unit A201,Los Angeles,CA,90045,485000,2,1.0,C29 - Westchester,873,24310,1991,97,556,370,Sold,,,http://www.redfin.com/CA/Los-Angeles/7111-La-Tijera-Blvd-90045/unit-A201/home/8118968,CRMLS,SB19200845,N,Y,33.9743132,-118.3757195
PAST SALE,June-13-2019,Multi-Family (2-4 Unit),7056 Ramsgate Ave,Los Angeles,CA,90045,1150000,4,4.0,Westchester,2430,6686,1949,223,473,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7056-Ramsgate-Ave-90045/home/6601095,TheMLS,18-374702,N,Y,33.9729683,-118.3729252
PAST SALE,August-15-2019,Multi-Family (5+ Unit),6908 Knowlton Pl,Los Angeles,CA,90045,10350000,48,54.0,Westchester,22785,13802,2018,160,454,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6908-Knowlton-Pl-90045/home/6600146,TheMLS,19-456318,N,Y,33.9746776,-118.3710535
PAST SALE,November-21-2019,Condo/Co-op,6922 Knowlton Pl #306,Los Angeles,CA,90045,620000,3,2.0,C29 - Westchester,1202,20701,1997,62,516,400,Sold,,,http://www.redfin.com/CA/Los-Angeles/6922-Knowlton-Pl-90045/unit-306/home/6600634,CRMLS,PV19149606,N,Y,33.9741856,-118.3710092
PAST SALE,April-11-2018,Condo/Co-op,7100 Alvern St #410,Los Angeles,CA,90045,640000,2,2.0,Westchester,1140,29705,2010,651,561,363,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-410/home/40483902,TheMLS,18-310816,N,Y,33.9750054,-118.3770446
PAST SALE,December-31-2019,Condo/Co-op,7100 Alvern St #201,Westchester,CA,90045,648000,2,2.0,C29 - Westchester,1170,29448,2010,22,554,383,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-201/home/40488833,CRMLS,SB19171581,N,Y,33.9745092,-118.3775996
PAST SALE,February-28-2018,Multi-Family (2-4 Unit),6632 W 85th Pl,Westchester,CA,90045,1000000,4,,Westchester,,7216,1950,693,,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6632-W-85th-Pl-90045/home/143802928,SDMLS,301732541,N,Y,33.9604137,-118.4055657
PAST SALE,January-30-2018,Condo/Co-op,7836 Flight Ave #204,Los Angeles,CA,90045,455000,1,1.0,Westchester,774,,1980,722,588,224,Sold,,,http://www.redfin.com/CA/Los-Angeles/7836-Flight-Ave-90045/unit-204/home/6604822,TheMLS,17-297880,N,Y,33.9671867,-118.3837168
PAST SALE,August-1-2019,Condo/Co-op,7836 Flight Ave #206,Los Angeles,CA,90045,430000,1,1.0,C29 - Westchester,821,14853,1980,174,524,224,Sold,,,http://www.redfin.com/CA/Los-Angeles/7836-Flight-Ave-90045/unit-206/home/6604831,CRMLS,OC19091147,N,Y,33.9671867,-118.3837168
PAST SALE,,Condo/Co-op,7122 La Tijera Blvd Unit J201,Los Angeles,CA,90045,675000,2,2.0,,1704,,1991,,396,,,,,http://www.redfin.com/CA/Los-Angeles/7122-La-Tijera-Blvd-90045/unit-J201/home/8116115,,,N,Y,33.9737296,-118.3753179
PAST SALE,April-14-2018,Condo/Co-op,7001 S La Cienega Unit PNTHSE,Los Angeles,CA,90045,510000,2,2.0,Westchester,1000,35412,1985,648,510,365,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-Pnthse/home/103837162,TheMLS,18-324314,N,Y,33.9736003,-118.3706376
PAST SALE,September-26-2018,Condo/Co-op,5839 W Manchester Ave,Los Angeles,CA,90045,850000,3,3.0,Westchester,1742,40145,2012,483,488,168,Sold,,,http://www.redfin.com/CA/Los-Angeles/5839-W-Manchester-Ave-90045/home/40431695,TheMLS,18-379270,N,Y,33.9600109,-118.3837854
PAST SALE,,Condo/Co-op,8706 Ramsgate Ave,Los Angeles,CA,90045,3800000,16,24.0,,,,1991,,,,,,,http://www.redfin.com/CA/Los-Angeles/8706-Ramsgate-Ave-90045/home/6637682,,,N,Y,33.9587344,-118.3824187
PAST SALE,May-1-2019,Multi-Family (2-4 Unit),7108 Ramsgate Ave,Los Angeles,CA,90045,1100000,4,2.0,Westchester,1778,6843,1949,266,619,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7108-Ramsgate-Ave-90045/home/6601112,TheMLS,19-438750,N,Y,33.9727626,-118.3734274
PAST SALE,March-18-2019,Multi-Family (5+ Unit),8748 Reading Ave,Los Angeles,CA,90045,4600000,10,20.0,Westchester,9422,6821,2018,310,488,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8748-Reading-Ave-90045/home/6637715,TheMLS,19-421190,N,Y,33.9585977,-118.3813836
PAST SALE,February-28-2018,Townhouse,8506 Ramsgate Ave,Westchester,CA,90045,895000,3,2.0,C29 - Westchester,1458,6282,1947,693,614,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8506-Ramsgate-Ave-90045/home/6636515,CRMLS,SB17277562,N,Y,33.9609648,-118.3827647
PAST SALE,December-27-2018,Multi-Family (2-4 Unit),6843--6845 W 85th Pl,Los Angeles,CA,90045,1200000,4,2.0,Westchester,1824,6460,1947,391,658,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6845-W-85th-Pl-90045/home/147562448,TheMLS,18-396002,N,Y,33.9606002,-118.4107466
PAST SALE,,Multi-Family (2-4 Unit),6630 W 85th Pl,Los Angeles,CA,90045,1000000,4,2.0,,1722,7216,1950,,581,,,,,http://www.redfin.com/CA/Los-Angeles/6630-W-85th-Pl-90045/home/6619013,,,N,Y,33.960149,-118.4054936
PAST SALE,July-11-2019,Condo/Co-op,7100 Alvern St #205,Westchester,CA,90045,622500,2,2.0,C29 - Westchester,1150,29448,2011,195,541,363,Sold,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-205/home/40488822,CRMLS,SB19126387,N,Y,33.9745092,-118.3775996
PAST SALE,January-22-2019,Multi-Family (2-4 Unit),6509 W 86th Pl,Los Angeles,CA,90045,1210000,6,4.0,Westchester,3016,6149,1945,365,401,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6509-W-86th-Pl-90045/home/6634575,TheMLS,19-427360,N,Y,33.9595429,-118.4018422
PAST SALE,February-1-2018,Condo/Co-op,8650 Belford Ave #219,Los Angeles,CA,90045,545000,3,2.0,C29 - Westchester,1207,102000,1968,720,452,320,Sold,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-219/home/21993586,CRMLS,SB18003055,N,Y,33.9584394,-118.3838214
PAST SALE,March-15-2019,Multi-Family (2-4 Unit),5421 Thornburn St,Los Angeles,CA,90045,1125000,4,2.0,Westchester,1880,5725,1952,313,598,,Sold,,,http://www.redfin.com/CA/Los-Angeles/5421-Thornburn-St-90045/home/6601447,TheMLS,18-407622,N,Y,33.9721511,-118.3753903
PAST SALE,February-14-2019,Multi-Family (2-4 Unit),6421 W 86th Pl,Los Angeles,CA,90045,1035000,4,2.0,Westchester,1612,5771,1945,342,642,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6421-W-86th-Pl-90045/home/6634547,TheMLS,18-413278,N,Y,33.959531,-118.39943
PAST SALE,March-15-2018,Condo/Co-op,7836 Flight Ave #104,Los Angeles,CA,90045,460000,1,1.0,Westchester,774,14855,1980,678,594,224,Sold,,,http://www.redfin.com/CA/Los-Angeles/7836-Flight-Ave-90045/unit-104/home/6604774,TheMLS,18-308698,N,Y,33.9671867,-118.3837168
PAST SALE,,Condo/Co-op,8650 Belford Ave Unit A219,Los Angeles,CA,90045,545000,3,2.0,,1207,,1968,,452,,,,,http://www.redfin.com/CA/Los-Angeles/8650-Belford-Ave-90045/unit-A219/home/6637371,,,N,Y,33.9581802,-118.3835442
PAST SALE,May-15-2018,Condo/Co-op,7037 La Tijera Unit D101,Los Angeles,CA,90045,450000,1,1.0,Westchester,977,24311,1991,617,461,325,Sold,,,http://www.redfin.com/CA/Los-Angeles/7037-La-Tijera-Blvd-90045/unit-D101/home/8118987,TheMLS,18-319212,N,Y,33.9746741,-118.3753137
PAST SALE,April-25-2018,Multi-Family (2-4 Unit),8416 Wiley Post Ave,Los Angeles,CA,90045,890000,2,2.0,Westchester,1216,7954,1943,637,732,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8416-Wiley-Post-Ave-90045/home/6609317,TheMLS,18-317750,N,Y,33.9614533,-118.3869242
PAST SALE,May-3-2019,Multi-Family (2-4 Unit),6029 W 86th Pl,Los Angeles,CA,90045,1300000,5,3.0,Westchester,2241,6049,1944,264,580,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6029-W-86th-Pl-90045/home/6635928,TheMLS,19-443892,N,Y,33.959549,-118.389251
PAST SALE,May-1-2018,Condo/Co-op,7001 S La Cienega Blvd #305,Los Angeles,CA,90045,502500,2,2.0,Westchester,1026,35412,1985,631,490,365,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-305/home/6600348,TheMLS,18-324164,N,Y,33.9738688,-118.3704345
PAST SALE,,Condo/Co-op,7100 Alvern St #208,Los Angeles,CA,90045,628000,2,2.0,,1140,,2010,,551,,,,,http://www.redfin.com/CA/Los-Angeles/7100-Alvern-St-90045/unit-208/home/40488825,,,N,Y,33.9745092,-118.3775996
PAST SALE,August-28-2018,Condo/Co-op,5835 W Manchester,Los Angeles,CA,90045,850000,3,3.0,C29 - Westchester,1742,40205,2012,512,488,168,Sold,,,http://www.redfin.com/CA/Los-Angeles/5835-W-Manchester-Ave-90045/home/79040439,CRMLS,SB18161178,N,Y,33.9601241,-118.3836527
PAST SALE,August-10-2018,Multi-Family (2-4 Unit),6532 W 86th Pl,Los Angeles,CA,90045,988000,4,2.0,C29 - Westchester,1612,6299,1944,530,613,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6532-W-86th-Pl-90045/home/6634677,CRMLS,SB18076293,N,Y,33.959092,-118.402858
PAST SALE,September-5-2018,Condo/Co-op,7111 La Tijera Blvd Unit A102,Los Angeles,CA,90045,535000,2,2.0,Westchester,1013,24310,1991,504,528,351,Sold,,,http://www.redfin.com/CA/Los-Angeles/7111-La-Tijera-Blvd-90045/unit-A102/home/8118953,TheMLS,18-371126,N,Y,33.9743132,-118.3757195
PAST SALE,August-24-2018,Condo/Co-op,7037 La Tijera Blvd Unit D202,Los Angeles,CA,90045,550000,2,2.0,C29 - Westchester,1208,24311,1991,516,455,430,Sold,,,http://www.redfin.com/CA/Los-Angeles/7037-La-Tijera-Blvd-90045/unit-D202/home/8119004,CRMLS,AR18163792,N,Y,33.9746741,-118.3753137
