SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-3-2019,Single Family Residential,5715 W 75th St,Los Angeles,CA,90045,1219000,3,2.5,Westchester,2096,7569,1948,203,582,,Sold,,,http://www.redfin.com/CA/Los-Angeles/5715-W-75th-St-90045/home/6602107,TheMLS,19-467352,N,Y,33.9713003,-118.3811877
PAST SALE,April-30-2019,Single Family Residential,6038 W 74th St,Los Angeles,CA,90045,957500,2,1.0,Westchester,1257,6242,1946,267,762,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6038-W-74th-St-90045/home/6606209,TheMLS,19-442656,N,Y,33.9737771,-118.3906366
PAST SALE,July-2-2019,Single Family Residential,6450 W 80th Pl,Los Angeles,CA,90045,1169700,3,2.0,Westchester,1316,5526,1947,204,889,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6450-W-80th-Pl-90045/home/6610772,TheMLS,19-465626,N,Y,33.9660317,-118.4016172
PAST SALE,June-10-2019,Single Family Residential,8869 Earhart Ave,Los Angeles,CA,90045,977000,3,2.0,Westchester,1421,5911,1942,226,688,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8869-Earhart-Ave-90045/home/6635365,VCRDS,219006038,N,Y,33.9564,-118.3930558
PAST SALE,September-4-2019,Single Family Residential,7133 Knowlton Pl,Los Angeles,CA,90045,1000000,3,2.0,Westchester,1678,6382,1951,140,596,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7133-Knowlton-Pl-90045/home/6601070,TheMLS,19-492788,N,Y,33.9712982,-118.3716014
PAST SALE,October-28-2019,Single Family Residential,7147 S La Cienega,Los Angeles,CA,90045,900000,3,1.0,Westchester,1230,6008,1950,86,732,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7147-S-La-Cienega-Blvd-90045/home/6600788,TheMLS,19-524836,N,Y,33.9711321,-118.3705057
PAST SALE,August-1-2019,Single Family Residential,7141 Glasgow Ave,Los Angeles,CA,90045,865000,3,1.75,Westchester,1254,7346,1949,174,690,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7141-Glasgow-Ave-90045/home/6601249,TheMLS,19-481238,N,Y,33.9711327,-118.3727426
PAST SALE,January-7-2020,Single Family Residential,7732 Midfield Ave,Westchester,CA,90045,800000,3,2.0,C29 - Westchester,1196,7292,1950,15,669,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7732-Midfield-Ave-90045/home/6638566,CRISNet,SR19155302,N,Y,33.966346,-118.3718753
PAST SALE,May-30-2018,Single Family Residential,6369 W 83rd St,Los Angeles,CA,90045,988000,2,1.0,Westchester,1202,6076,1943,602,822,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/6369-W-83rd-St-90045/home/6611917,TheMLS,18-349154,N,Y,33.9639828,-118.3986417
PAST SALE,June-7-2019,Single Family Residential,6332 W 84th Pl,Los Angeles,CA,90045,1152000,3,2.0,Westchester,1862,5859,1941,229,619,2,Sold,,,http://www.redfin.com/CA/Los-Angeles/6332-W-84th-Pl-90045/home/6611654,TheMLS,19-453024,N,Y,33.9617757,-118.3974833
