SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-5-2018,Single Family Residential,5867 W 76th St,Los Angeles,CA,90045,1350000,4,2.0,Westchester,2055,8651,1948,596,657,,Sold,,,http://www.redfin.com/CA/Los-Angeles/5867-W-76th-St-90045/home/6602718,TheMLS,18-335140,N,Y,33.9724845,-118.3852504
PAST SALE,September-10-2019,Single Family Residential,6557 W 83rd St,Los Angeles,CA,90045,1820000,5,4.0,Westchester,3877,6114,1944,134,469,2,Sold,,,http://www.redfin.com/CA/Los-Angeles/6557-W-83rd-St-90045/home/6610968,TheMLS,19-494078,N,Y,33.963975,-118.4037741
PAST SALE,June-25-2019,Single Family Residential,8042 Alverstone Ave,Los Angeles,CA,90045,775000,4,1.5,Westchester,1244,6830,1944,211,623,2,Sold,,,http://www.redfin.com/CA/Los-Angeles/8042-Alverstone-Ave-90045/home/6612223,TheMLS,19-477260,N,Y,33.9654259,-118.3966567
PAST SALE,June-26-2019,Single Family Residential,6521 W 81st St,Los Angeles,CA,90045,1415000,4,2.0,Westchester,1756,6169,1944,210,806,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/6521-W-81st-St-90045/home/6610686,TheMLS,19-461124,N,Y,33.9656235,-118.4027135
PAST SALE,,Single Family Residential,6450 W 83rd St,Los Angeles,CA,90045,1150000,4,2.0,,1878,6111,1944,,612,,,,,http://www.redfin.com/CA/Los-Angeles/6450-W-83rd-St-90045/home/6611059,,,N,Y,33.9635611,-118.400923
PAST SALE,November-26-2019,Single Family Residential,8036 El Manor Ave,Los Angeles,CA,90045,1750000,5,3.0,Westchester,2422,7532,1949,57,723,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/8036-El-Manor-Ave-90045/home/6612957,TheMLS,19-512924,N,Y,33.9678824,-118.4002676
PAST SALE,September-6-2019,Single Family Residential,6471 W 84th St,Los Angeles,CA,90045,1700000,4,3.5,CWestchester,1939,6100,1944,138,877,2,Sold,,,http://www.redfin.com/CA/Los-Angeles/6471-W-84th-St-90045/home/6611084,PFAR,819003004,N,Y,33.9631211,-118.401573
PAST SALE,January-3-2020,Single Family Residential,6511 W 87th Pl,Los Angeles,CA,90045,900000,4,2.0,C29 - Westchester,1358,5251,1944,19,663,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6511-W-87th-Pl-90045/home/6634760,CRMLS,DW19252244,N,Y,33.9580133,-118.4019563
PAST SALE,January-7-2020,Single Family Residential,8721 Wiley Post Ave,Westchester,CA,90045,1367000,4,2.5,C29 - Westchester,2124,9486,1942,15,644,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8721-Wiley-Post-Ave-90045/home/6635903,CRMLS,SB19265174,N,Y,33.9581891,-118.3876696
PAST SALE,December-19-2018,Single Family Residential,6567 W 85th Pl,Los Angeles,CA,90045,1470000,4,3.0,Westchester,2220,5745,2018,399,662,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/6567-W-85th-Pl-90045/home/6611429,TheMLS,18-384776,N,Y,33.9606036,-118.4039189
PAST SALE,December-27-2018,Single Family Residential,6431 W 85th St,Los Angeles,CA,90045,1489000,5,3.0,Westchester,2501,5972,1942,391,595,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/6431-W-85th-St-90045/home/6611607,TheMLS,18-376144,N,Y,33.9615127,-118.4001306
PAST SALE,September-12-2018,Single Family Residential,7701 Cowan Ave,Los Angeles,CA,90045,1565000,4,2.5,Westchester,2246,9366,1950,497,697,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/7701-Cowan-Ave-90045/home/6613714,TheMLS,18-367394,N,Y,33.9721702,-118.4048774
PAST SALE,November-14-2019,Single Family Residential,5956 W 74th St,Los Angeles,CA,90045,1940000,4,4.5,Westchester,2980,7800,1947,69,651,,Sold,,,http://www.redfin.com/CA/Los-Angeles/5956-W-74th-St-90045/home/6602452,TheMLS,19-531214,N,Y,33.9737584,-118.3881147
PAST SALE,February-21-2018,Single Family Residential,8040 Fordham Rd,Los Angeles,CA,90045,1300000,4,3.0,Westchester,2036,6253,1953,700,639,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8040-Fordham-Rd-90045/home/6620041,TheMLS,17-290380,N,Y,33.9646388,-118.4184781
PAST SALE,June-7-2018,Single Family Residential,8429 Holy Cross Pl,Los Angeles,CA,90045,1699000,5,1.75,Westchester,2903,6601,1942,594,585,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8429-Holy-Cross-Pl-90045/home/6619839,TheMLS,18-320158,N,Y,33.9609687,-118.4158767
PAST SALE,June-7-2018,Single Family Residential,6436 Riggs Pl,Los Angeles,CA,90045,1605000,4,2.0,Westchester,1549,7816,1951,594,1036,1,Sold,,,http://www.redfin.com/CA/Los-Angeles/6436-Riggs-Pl-90045/home/6615856,TheMLS,18-336854,N,Y,33.9791398,-118.3999024
PAST SALE,April-27-2018,Single Family Residential,8321 Chase Ave,Los Angeles,CA,90045,1810000,4,4.0,Westchester,2034,6152,1946,635,890,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8321-Chase-Ave-90045/home/6618256,TheMLS,18-333376,N,Y,33.9625759,-118.4105825
PAST SALE,September-21-2018,Single Family Residential,8111 Croydon Ave,Los Angeles,CA,90045,1550000,4,3.0,Westchester,2220,6000,2018,488,698,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8111-Croydon-Ave-90045/home/6608349,TheMLS,18-377012,N,Y,33.9647425,-118.3926945
PAST SALE,August-24-2018,Single Family Residential,7800 Boeing Ave,Los Angeles,CA,90045,1100000,4,3.0,Westchester,1526,9180,1948,516,721,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7800-Boeing-Ave-90045/home/6607806,TheMLS,18-380766,N,Y,33.9685912,-118.3885513
PAST SALE,July-10-2018,Single Family Residential,8317 Winsford Ave,Los Angeles,CA,90045,1070010,4,2.0,Westchester,1734,5951,1947,561,617,,Sold,,,http://www.redfin.com/CA/Los-Angeles/8317-Winsford-Ave-90045/home/6636427,TheMLS,18-344890,N,Y,33.962894,-118.3813821
