SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1606 Broad Ave,Wilmington,CA,90744,500000,4,3.0,,2344,5671,1952,,213,,,,,http://www.redfin.com/CA/Wilmington/1606-Broad-Ave-90744/home/7678771,,,N,Y,33.795749,-118.2616844
PAST SALE,February-1-2019,Single Family Residential,1641 Bay View Ave,Wilmington,CA,90744,730000,7,5.0,699 - Not Defined,3401,6651,2008,358,215,,Sold,,,http://www.redfin.com/CA/Wilmington/1641-Bay-View-Ave-90744/home/7674409,CRMLS,SB18278853,N,Y,33.7962538,-118.2715321
PAST SALE,,Multi-Family (2-4 Unit),918 N Flint Ave,Wilmington,CA,90744,490000,4,2.0,,1802,4942,1923,,272,,,,,http://www.redfin.com/CA/Wilmington/918-N-Flint-Ave-90744/home/7680384,,,N,Y,33.7827877,-118.2490762
PAST SALE,,Multi-Family (2-4 Unit),1102 N Lagoon Ave,Wilmington,CA,90744,35000,5,2.0,,2336,7105,1925,,15,,,,,http://www.redfin.com/CA/Wilmington/1102-N-Lagoon-Ave-90744/home/7677732,,,N,Y,33.7848997,-118.2672755
PAST SALE,May-21-2019,Multi-Family (2-4 Unit),826 W G St,Wilmington,CA,90744,540000,4,3.0,195 - West Wilmington,1833,4917,1954,249,295,,Sold,,,http://www.redfin.com/CA/Wilmington/826-W-G-St-90744/home/7676417,CRMLS,SB19082177,N,Y,33.7777111,-118.2724189
PAST SALE,September-6-2019,Multi-Family (2-4 Unit),713 N Wilmington Blvd,Wilmington,CA,90744,699000,6,4.0,195 - West Wilmington,2518,5605,2001,141,278,,Sold,,,http://www.redfin.com/CA/Wilmington/713-N-Wilmington-Blvd-90744/home/7676277,CRMLS,CV19130073,N,Y,33.7783659,-118.2743313
PAST SALE,,Condo/Co-op,203 W Opp St,Wilmington,CA,90744,1200000,11,10.0,,,,1964,,,,,,,http://www.redfin.com/CA/Wilmington/203-W-Opp-St-90744/home/7677827,,,N,Y,33.7829824,-118.2642882
PAST SALE,November-30-2018,Multi-Family (2-4 Unit),318 W I St,Wilmington,CA,90744,1220000,10,8.0,699 - Not Defined,4600,8266,2008,421,265,,Sold,,,http://www.redfin.com/CA/Wilmington/318-W-I-St-90744/home/7676722,CRMLS,SB18265268,N,Y,33.7805262,-118.2656129
PAST SALE,December-13-2019,Multi-Family (5+ Unit),303 E Denni St,Wilmington,CA,90744,4575000,,784.0,196 - East Wilmington,25386,25386,1972,43,180,,Sold,,,http://www.redfin.com/CA/Wilmington/303-E-Denni-St-90744/home/7679464,CRMLS,PW19210699,N,Y,33.7853062,-118.2593775
PAST SALE,May-31-2018,Single Family Residential,1410 W Sandison St,Wilmington,CA,90744,547000,4,2.0,195 - West Wilmington,1948,5399,1962,604,281,,Sold,,,http://www.redfin.com/CA/Wilmington/1410-W-Sandison-St-90744/home/7675050,CRMLS,SB18091442,N,Y,33.7921951,-118.2808234
