SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-2-2018,Condo/Co-op,29641 S Western Ave #417,Rancho Palos Verdes,CA,90275,538000,3,2.0,177 - Eastview/RPV,1704,72443,1965,554,316,352,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29641-S-Western-Ave-90275/unit-417/home/7733776,CRMLS,PW18144447,N,Y,33.7475992,-118.3103789
PAST SALE,November-13-2019,Condo/Co-op,28121 Highridge Rd #207,Rolling Hills Estates,CA,90275,387383,1,1.0,174 - Crest,709,43075,1974,86,546,291,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/28121-Highridge-Rd-90275/unit-207/home/7749563,CRMLS,SB19210540,N,Y,33.7755869,-118.3842371
PAST SALE,May-3-2019,Townhouse,28014 Ridgeforest Ct,Rancho Palos Verdes,CA,90275,859000,3,3.0,174 - Crest,1983,519949,1975,280,433,525,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/28014-Ridgeforest-Ct-90275/home/7749069,CRMLS,SB19070793,N,Y,33.7780187,-118.3890938
PAST SALE,June-11-2018,Condo/Co-op,5965 Peacock Ridge Rd #204,Rancho Palos Verdes,CA,90275,625000,2,2.0,174 - Crest,1363,43075,1974,606,459,415,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/5965-Peacock-Ridge-Rd-90275/unit-204/home/7749601,CRMLS,SB18080848,N,Y,33.7755869,-118.3842371
PAST SALE,August-12-2019,Condo/Co-op,29641 S Western Ave #316,Rancho Palos Verdes,CA,90275,445000,2,2.0,177 - Eastview/RPV,1455,72443,1965,179,306,375,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29641-S-Western-Ave-90275/unit-316/home/7733767,CRMLS,SB19127546,N,Y,33.7475992,-118.3103789
PAST SALE,July-16-2019,Condo/Co-op,32614 Coastsite Dr Unit 302B,Rancho Palos Verdes,CA,90275,960000,2,2.0,169 - PV Dr South,1506,753046,1964,206,637,616,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/32614-Coastsite-Dr-90275/unit-302B/home/166559547,CRMLS,OC19104762,N,Y,33.74361,-118.389427
PAST SALE,November-26-2019,Condo/Co-op,5947 Armaga Spring Rd Unit E,Rancho Palos Verdes,CA,90275,575000,2,1.75,174 - Crest,1071,215371,1969,73,537,450,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/5947-Armaga-Spring-Rd-90275/unit-E/home/7749762,CRMLS,SB19177452,N,Y,33.7724069,-118.3825696
PAST SALE,,Condo/Co-op,1723 Hollifield Ct,Rancho Palos Verdes,CA,90275,539000,3,2.0,,1174,,1974,,459,,,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/1723-Hollifield-Ct-90275/home/7685452,,,N,Y,33.7584236,-118.3116364
PAST SALE,September-18-2019,Townhouse,28512 Vista Tierra,Rancho Palos Verdes,CA,90275,615000,3,3.0,177 - Eastview/RPV,1462,185673,1974,142,421,434,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/28512-Vista-Tierra-90275/home/7729914,CRMLS,SB19114098,N,Y,33.7596313,-118.3128257
PAST SALE,December-5-2019,Townhouse,28554 Bearhaven Ct,Rancho Palos Verdes,CA,90275,586000,3,1.5,177 - Eastview/RPV,1234,76481,1975,64,475,355,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/28554-Bearhaven-Ct-90275/home/7685538,CRMLS,SB19251283,N,Y,33.7601277,-118.3118433
