SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-3-2019,Single Family Residential,30358 Via Rivera,Rancho Palos Verdes,CA,90275,1399000,4,2.25,170 - West Palos Verdes,2779,10260,1970,280,503,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30358-Via-Rivera-90275/home/7745104,CRMLS,PV19062911,N,Y,33.7585812,-118.4066574
PAST SALE,May-30-2019,Single Family Residential,29948 Knoll View Dr,Rancho Palos Verdes,CA,90275,1500000,4,3.25,167 - PV Dr East,2623,12467,1968,253,572,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29948-Knoll-View-Dr-90275/home/7738730,CRMLS,SB19088722,N,Y,33.7450851,-118.3282276
PAST SALE,October-31-2019,Single Family Residential,3438 Starline Dr,Rancho Palos Verdes,CA,90275,1425000,4,5.0,167 - PV Dr East,3500,20049,1962,99,407,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3438-Starline-Dr-90275/home/7738872,CRMLS,PV19218463,N,Y,33.7434062,-118.3314239
PAST SALE,January-14-2020,Single Family Residential,3534 Newridge Dr,Rancho Palos Verdes,CA,90275,1355000,4,2.5,167 - PV Dr East,3546,14374,1973,24,382,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3534-Newridge-Dr-90275/home/7738863,CRMLS,PV19198697,N,Y,33.7453533,-118.3303737
PAST SALE,January-31-2020,Single Family Residential,3091 Deluna Dr,Rancho Palos Verdes,CA,90275,1449000,4,2.0,168 - Mira Catalina,2305,27339,1960,7,629,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3091-Deluna-Dr-90275/home/7738928,CRMLS,PV20012598,N,Y,33.7416209,-118.3303737
PAST SALE,March-26-2019,Single Family Residential,3348 Corinna,Rancho Palos Verdes,CA,90275,1340000,4,1.75,168 - Mira Catalina,1992,12710,1965,318,673,3,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3348-Corinna-Dr-90275/home/7734017,CRMLS,PV18287348,N,Y,33.7375396,-118.334917
PAST SALE,March-29-2019,Single Family Residential,3118 Corinna Dr,Rancho Palos Verdes,CA,90275,1350000,4,2.0,168 - Mira Catalina,1962,11800,1962,315,688,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3118-Corinna-Dr-90275/home/7733985,CRMLS,PV18270419,N,Y,33.7386363,-118.3315609
PAST SALE,February-23-2018,Single Family Residential,3602 Greve Dr,Rancho Palos Verdes,CA,90275,1350000,5,3.0,168 - Mira Catalina,2712,9542,1964,714,498,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3602-Greve-Dr-90275/home/7733873,CRMLS,PV17153077,N,Y,33.7431399,-118.3357161
PAST SALE,October-20-2018,Single Family Residential,30451 Ganado Dr,Rancho Palos Verdes,CA,90275,1370000,4,3.0,168 - Mira Catalina,2108,36866,1964,475,650,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30451-Ganado-Dr-90275/home/7733895,CRMLS,WS18240266,N,Y,33.7418939,-118.3390264
PAST SALE,March-29-2018,Single Family Residential,3544 Coolheights Dr,Rancho Palos Verdes,CA,90275,1200000,4,2.75,168 - Mira Catalina,2474,12035,1970,680,485,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3544-Coolheights-Dr-90275/home/7734235,CRMLS,IN17274424,N,Y,33.7364947,-118.339757
PAST SALE,February-15-2019,Single Family Residential,30629 Ganado,Rancho Palos Verdes,CA,90275,1080000,4,2.25,168 - Mira Catalina,2444,13402,1967,357,442,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30629-Ganado-Dr-90275/home/7734094,CRMLS,PV18201786,N,Y,33.7405833,-118.3387296
PAST SALE,June-11-2019,Single Family Residential,28987 Palos Verdes Dr E,Rancho Palos Verdes,CA,90275,1389000,4,2.0,167 - PV Dr East,2200,22421,1974,241,631,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/28987-Palos-Verdes-Dr-E-90275/home/7738963,CRMLS,PV19089363,N,Y,33.7565778,-118.3300998
PAST SALE,October-18-2019,Single Family Residential,3553 Seaglen Dr,Rancho Palos Verdes,CA,90275,1360000,4,2.75,168 - Mira Catalina,2107,13227,1971,112,645,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3553-Seaglen-Dr-90275/home/7734274,CRMLS,PV19185562,N,Y,33.7338561,-118.3406017
PAST SALE,July-17-2019,Single Family Residential,2077 Upland St,Rancho Palos Verdes,CA,90275,945500,4,2.0,177 - Eastview/RPV,1938,12287,1956,205,488,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2077-Upland-St-90275/home/7733519,CRMLS,SB19123403,N,Y,33.7509821,-118.3161771
PAST SALE,November-21-2018,Single Family Residential,1904 Lasita Pl,Rancho Palos Verdes,CA,90275,1255000,4,2.75,177 - Eastview/RPV,2529,16129,1959,443,496,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/1904-Lasita-Pl-90275/home/7731348,CRMLS,PV18237817,N,Y,33.7655245,-118.3127017
PAST SALE,April-6-2018,Single Family Residential,27624 ELDENA Dr,Rancho Palos Verdes,CA,90275,925000,4,2.25,177 - Eastview/RPV,1785,8603,1963,672,518,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/27624-Eldena-Dr-90275/home/7731085,CRMLS,SB18050006,N,Y,33.7694808,-118.3171998
PAST SALE,January-24-2020,Single Family Residential,1905 W Macarthur St,Rancho Palos Verdes,CA,90275,1075000,5,3.0,177 - Eastview/RPV,2359,7704,1955,14,456,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/1905-MacArthur-St-90275/home/7733572,CRMLS,SB19281165,N,Y,33.7517853,-118.3114687
PAST SALE,August-17-2018,Single Family Residential,28626 Mount Whitney Way,Rancho Palos Verdes,CA,90275,779000,4,2.0,177 - Eastview/RPV,1624,5870,1973,539,480,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/28626-Mt-Whitney-Way-90275/home/7685387,CRMLS,IV18168292,N,Y,33.7593019,-118.3090026
PAST SALE,May-31-2018,Single Family Residential,29214 S Trotwood Ave,Rancho Palos Verdes,CA,90275,830000,4,1.75,177 - Eastview/RPV,1650,7240,1955,617,503,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29214-S-Trotwood-Ave-90275/home/7733535,CRMLS,SB18056338,N,Y,33.751824,-118.316724
PAST SALE,January-7-2020,Single Family Residential,2053 W MacArthur St,Rancho Palos Verdes,CA,90275,730000,4,1.75,177 - Eastview/RPV,1409,7220,1955,31,518,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2053-MacArthur-St-90275/home/7733540,CRMLS,PV19070978,N,Y,33.7518059,-118.3155786
PAST SALE,October-18-2018,Single Family Residential,2568 Colt Rd,Rancho Palos Verdes,CA,90275,1199000,4,3.25,167 - PV Dr East,2191,22005,1961,477,547,23,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2568-Colt-Rd-90275/home/7732879,CRMLS,SB18203537,N,Y,33.7559981,-118.3214694
PAST SALE,July-30-2018,Single Family Residential,2537 Colt Rd,Rancho Palos Verdes,CA,90275,1295000,4,3.0,167 - PV Dr East,2891,16596,1963,557,448,23,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2537-Colt-Rd-90275/home/7732976,CRMLS,PV18111973,N,Y,33.7569475,-118.3217663
PAST SALE,March-29-2019,Single Family Residential,2041 Santa Rena Dr,Rancho Palos Verdes,CA,90275,680000,4,1.75,177 - Eastview/RPV,1819,7861,1958,315,374,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2041-Santa-Rena-Dr-90275/home/7729650,CRMLS,DW19033798,N,Y,33.7612131,-118.3165605
PAST SALE,March-8-2019,Single Family Residential,29866 Knoll View Dr,Rancho Palos Verdes,CA,90275,1345000,4,2.5,167 - PV Dr East,3064,13661,1971,336,439,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29866-Knoll-View-Dr-90275/home/7738643,CRMLS,PV19023625,N,Y,33.745196,-118.3264924
