SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-22-2018,Multi-Family (2-4 Unit),2215 Mathews Ave,Redondo Beach,CA,90278,1741725,8,4.0,151 - N Redondo Bch/Villas North,3480,7498,1958,686,500,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2215-Mathews-Ave-90278/home/6688651,CRMLS,SB17047516,N,Y,33.8740239,-118.3714188
PAST SALE,July-17-2018,Multi-Family (2-4 Unit),4734 W 163rd St,Lawndale,CA,90260,1025000,6,6.0,113 - South Lawndale,3192,5217,1989,569,321,,Sold,,,http://www.redfin.com/CA/Lawndale/4734-W-163rd-St-90260/unit-SL/home/6568312,CRMLS,SB18100446,N,Y,33.8824012,-118.360289
PAST SALE,January-8-2019,Multi-Family (2-4 Unit),4515 W 173rd St,Lawndale,CA,90260,747000,5,2.0,113 - South Lawndale,1884,5800,1947,394,396,,Sold,,,http://www.redfin.com/CA/Lawndale/4515-W-173rd-St-90260/home/6571648,CRMLS,SB18266234,N,Y,33.8739914,-118.3553489
PAST SALE,,Multi-Family (2-4 Unit),2622 Curtis Ave,Redondo Beach,CA,90278,514000,2,1.0,,1024,7502,1946,,502,,,,,http://www.redfin.com/CA/Redondo-Beach/2622-Curtis-Ave-90278/home/6684575,,,N,Y,33.877403,-118.3623454
PAST SALE,,Other,2623 Nelson Ave,Redondo Beach,CA,90278,1100000,3,1.0,,,,1952,,,,,,,http://www.redfin.com/CA/Redondo-Beach/2623-Nelson-Ave-90278/home/168673490,,,N,Y,33.8748986,-118.3623454
PAST SALE,August-12-2019,Multi-Family (2-4 Unit),1910 Huntington Ln,Redondo Beach,CA,90278,2150000,9,7.0,152 - N Redondo Bch/Villas South,4895,7484,1973,178,439,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1910-Huntington-Ln-90278/home/6691464,CRMLS,PV19148450,N,Y,33.8678702,-118.3780836
PAST SALE,,Multi-Family (2-4 Unit),2021 Robinson St,Redondo Beach,CA,90278,1235000,3,1.0,,1026,6640,1948,,1204,,,,,http://www.redfin.com/CA/Redondo-Beach/2021-Robinson-St-90278/home/6679715,,,N,Y,33.8802913,-118.3751851
PAST SALE,,Multi-Family (2-4 Unit),1909 Ernest Ave Unit C,Redondo Beach,CA,90278,1534500,4,2.0,,1836,7500,1965,,836,,,,,http://www.redfin.com/CA/Redondo-Beach/1909-Ernest-Ave-90278/unit-C/home/6679003,,,N,Y,33.8830385,-118.3779923
PAST SALE,May-22-2019,Multi-Family (2-4 Unit),4748 W 169th St,Lawndale,CA,90260,749000,4,3.0,113 - South Lawndale,1700,5791,1956,260,441,,Sold,,,http://www.redfin.com/CA/Lawndale/4748-W-169th-St-90260/home/6570307,CRMLS,SB19083878,N,Y,33.877357,-118.3606448
PAST SALE,,Multi-Family (2-4 Unit),1929 Mathews Ave,Redondo Beach,CA,90278,9091,2,1.0,,811,7498,1953,,11,,,,,http://www.redfin.com/CA/Redondo-Beach/1929-Mathews-Ave-90278/home/6689072,,,N,Y,33.8741149,-118.3776271
