SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-21-2019,Single Family Residential,4778 W 191st St,Torrance,CA,90503,855000,3,1.0,131 - West Torrance,1098,7150,1954,261,779,,Sold,,,http://www.redfin.com/CA/Torrance/4778-191st-St-90503/home/7714434,CRMLS,SB19044312,N,Y,33.8575434,-118.3611927
PAST SALE,March-12-2019,Single Family Residential,2621 Nelson Ave,Redondo Beach,CA,90278,820000,2,1.0,151 - N Redondo Bch/Villas North,780,5002,1952,331,1051,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2621-Nelson-Ave-90278/home/6684288,CRMLS,SB19038793,N,Y,33.8749188,-118.3625052
PAST SALE,June-27-2019,Single Family Residential,2701 184th St,Redondo Beach,CA,90278,825000,3,1.0,N. Redondo Beach/El Nido,1034,5616,1955,224,798,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2701-184th-St-90278/home/6574432,TheMLS,19-452494,N,Y,33.8635179,-118.3609662
PAST SALE,May-17-2019,Single Family Residential,1723 Stanford Ave,Redondo Beach,CA,90278,925000,3,2.0,154 - N Redondo Bch/Golden Hills,1385,2505,1967,265,668,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1723-Stanford-Ave-90278/home/6714756,CRMLS,SB19044326,N,Y,33.8706894,-118.3894042
PAST SALE,,Single Family Residential,4742 166th St,Lawndale,CA,90260,570000,3,1.0,,990,4751,1947,,576,,,,,http://www.redfin.com/CA/Lawndale/4742-166th-St-90260/home/6570002,,,N,Y,33.8799844,-118.3605535
PAST SALE,December-21-2018,Single Family Residential,2908 Perkins Ln,Redondo Beach,CA,90278,880000,3,1.0,N. Redondo Beach/Villas North,1164,6055,1947,412,756,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2908-Perkins-Ln-90278/home/6681736,TheMLS,18-393762,N,Y,33.8817867,-118.3631012
PAST SALE,April-26-2019,Single Family Residential,2912 Gibson Pl,Redondo Beach,CA,90278,915000,3,1.0,151 - N Redondo Bch/Villas North,1164,6046,1947,286,786,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2912-Gibson-Pl-90278/home/6681846,CRMLS,SB19067785,N,Y,33.881493,-118.3639775
PAST SALE,December-31-2019,Single Family Residential,2606 Manhattan Beach Blvd,Redondo Beach,CA,90278,899900,3,1.75,151 - N Redondo Bch/Villas North,1375,7650,1950,37,654,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2606-Manhattan-Beach-Blvd-90278/home/6681164,CRMLS,PW19258386,N,Y,33.8869882,-118.3643559
PAST SALE,June-4-2018,Single Family Residential,4735 W 172nd St,Lawndale,CA,90260,715000,3,1.0,South Lawndale,951,5800,1953,612,752,,Sold,,,http://www.redfin.com/CA/Lawndale/4735-W-172nd-St-90260/home/6570533,TheMLS,18-336978,N,Y,33.8749469,-118.3605079
PAST SALE,,Single Family Residential,1926 Ruhland Ave,Redondo Beach,CA,90278,1000000,3,2.0,,1238,7509,1947,,808,,,,,http://www.redfin.com/CA/Redondo-Beach/1926-Ruhland-Ave-90278/home/6688156,,,N,Y,33.875443,-118.3777641
PAST SALE,,Single Family Residential,3405 Gibson Pl,Redondo Beach,CA,90278,760000,3,1.0,,1026,6481,1950,,741,,,,,http://www.redfin.com/CA/Redondo-Beach/3405-Gibson-Pl-90278/home/6680575,,,N,Y,33.8858098,-118.3653498
PAST SALE,October-11-2018,Single Family Residential,22621 Susana Ave,Torrance,CA,90505,850000,3,1.0,129 - South Torrance,810,5243,1952,483,1049,,Sold,,,http://www.redfin.com/CA/Torrance/22621-Susana-Ave-90505/home/7710032,CRMLS,SB18154353,N,Y,33.8220769,-118.3738382
PAST SALE,November-20-2018,Single Family Residential,1915 Bataan Rd,Redondo Beach,CA,90278,901000,3,1.0,151 - N Redondo Bch/Villas North,1210,5001,1954,443,745,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1915-Bataan-Rd-90278/home/6678483,CRMLS,PV18244434,N,Y,33.8848211,-118.3774498
PAST SALE,November-8-2018,Single Family Residential,4731 W 171st St,Lawndale,CA,90260,586000,2,1.0,699 - Not Defined,783,5800,1951,455,748,,Sold,,,http://www.redfin.com/CA/Lawndale/4731-W-171st-St-90260/home/6570473,CRMLS,OC18227223,N,Y,33.8758913,-118.3604166
PAST SALE,December-6-2019,Single Family Residential,4728 W 172nd St,Lawndale,CA,90260,773000,3,2.0,South Lawndale,1510,5800,1947,62,512,,Sold,,,http://www.redfin.com/CA/Lawndale/4728-W-172nd-St-90260/home/6570582,TheMLS,19-527178,N,Y,33.8745403,-118.3603709
PAST SALE,December-31-2019,Single Family Residential,4709 W 173rd St,Lawndale,CA,90260,530000,1,1.0,699 - Not Defined,680,5782,1923,37,779,,Sold,,,http://www.redfin.com/CA/Lawndale/4709-W-173rd-St-90260/home/6570605,CRMLS,DW20000824,N,Y,33.8741118,-118.3597203
PAST SALE,,Single Family Residential,4723 W 171st St,Lawndale,CA,90260,700000,,,,,5800,,,,,,,,http://www.redfin.com/CA/Lawndale/4723-W-171st-St-90260/home/6570467,,,N,Y,33.8758925,-118.3601312
PAST SALE,March-1-2018,Single Family Residential,1753 Carver St,Redondo Beach,CA,90278,810000,2,1.0,154 - N Redondo Bch/Golden Hills,910,3753,1953,707,890,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1753-Carver-St-90278/home/6701082,CRMLS,PV17280586,N,Y,33.8725404,-118.3845657
