SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-29-2018,Single Family Residential,1739 Carlson Ln,Redondo Beach,CA,90278,1270000,4,2.5,154 - N Redondo Bch/Golden Hills,1867,2500,2005,526,680,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1739-Carlson-Ln-90278/home/12291778,CRMLS,SB18154532,N,Y,33.8602423,-118.3815073
PAST SALE,May-24-2018,Single Family Residential,740 Avenue C,Redondo Beach,CA,90277,3100000,5,5.0,156 - S Redondo Bch S of Torrance Bl,4674,6586,2015,623,663,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/740-Avenue-C-90277/home/7706059,CRMLS,SB18120263,N,Y,33.8250386,-118.3804342
PAST SALE,October-25-2019,Single Family Residential,615 Faye Ln,Redondo Beach,CA,90277,1200000,4,2.0,156 - S Redondo Bch S of Torrance Bl,1800,5822,1965,104,667,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/615-Faye-Ln-90277/home/7704081,CRMLS,SB19217098,N,Y,33.8320151,-118.3756186
PAST SALE,July-2-2019,Single Family Residential,1738 Carlson Ln,Redondo Beach,CA,90278,1265000,4,2.5,154 - N Redondo Bch/Golden Hills,2045,2490,2004,219,619,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1738-Carlson-Ln-90278/home/8150954,CRMLS,SB19118204,N,Y,33.8598416,-118.3815073
PAST SALE,February-21-2019,Single Family Residential,705 N Paulina Ave,Redondo Beach,CA,90277,2600000,5,7.0,155 - S Redondo Bch N of Torrance Bl,4000,6263,2018,350,650,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/705-N-Paulina-Ave-90277/home/7699722,CRMLS,SB18260354,N,Y,33.853518,-118.3836128
PAST SALE,August-28-2019,Single Family Residential,702 N Maria Ave,Redondo Beach,CA,90277,1600000,4,2.0,155 - S Redondo Bch N of Torrance Bl,1808,9056,1950,162,885,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/702-N-Maria-Ave-90277/home/7699739,CRMLS,SB19137307,N,Y,33.8530941,-118.3839722
PAST SALE,July-8-2019,Single Family Residential,44 The Strand,Hermosa Beach,CA,90254,5600000,5,3.0,148 - Hermosa Bch Sand,2317,3607,1907,213,2417,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/44-The-Strand-90254/home/137226342,CRMLS,SB19005603,N,Y,33.8533054,-118.3980076
PAST SALE,February-15-2018,Single Family Residential,2401 Ives Ln,Redondo Beach,CA,90278,1212000,4,2.5,N. Redondo Beach/El Nido,2451,7503,1953,721,494,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2401-Ives-Ln-90278/home/6696297,TheMLS,18-299072,N,Y,33.8640856,-118.3675245
PAST SALE,January-29-2019,Single Family Residential,408 N Prospect (Service Street) Ave,Redondo Beach,CA,90277,1154000,4,2.25,155 - S Redondo Bch N of Torrance Bl,1760,2805,1965,373,656,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/408-N-Prospect-Ave-90277/home/7699937,CRMLS,DW18279595,N,Y,33.8492333,-118.377352
PAST SALE,June-18-2019,Single Family Residential,2605 Inglewood Ave,Redondo Beach,CA,90278,920000,4,3.0,151 - N Redondo Bch/Villas North,2442,2490,1999,233,377,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2605-Inglewood-Ave-90278/home/6685047,CRMLS,SB18180144,N,Y,33.8790523,-118.3615579
PAST SALE,April-11-2018,Single Family Residential,620 Via Monte D'Oro,Redondo Beach,CA,90277,3500000,4,3.5,128 - Hollywood Riviera,3825,7060,2018,666,915,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/620-Via-Monte-Doro-90277/home/7708778,CRMLS,SB18034328,N,Y,33.8065414,-118.3814616
PAST SALE,November-27-2018,Single Family Residential,225 Via Buena Ventura,Redondo Beach,CA,90277,2249000,4,4.0,128 - Hollywood Riviera,3031,7502,2012,436,742,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/225-Via-Buena-Ventura-90277/home/7709484,CRMLS,PV18140458,N,Y,33.8140366,-118.3813708
PAST SALE,July-3-2019,Single Family Residential,509 S Lucia Ave,Redondo Beach,CA,90277,3850000,6,5.25,156 - S Redondo Bch S of Torrance Bl,6303,10936,2018,218,611,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/509-S-Lucia-Ave-90277/home/7703648,CRMLS,SB19061151,N,Y,33.8344439,-118.3777299
PAST SALE,,Single Family Residential,4737 W 163rd St,Lawndale,CA,90260,600000,5,2.0,,1667,5201,1948,,360,,,,,http://www.redfin.com/CA/Lawndale/4737-W-163rd-St-90260/home/6568119,,,N,Y,33.8828977,-118.3602796
PAST SALE,February-26-2019,Single Family Residential,525 S Juanita Ave,Redondo Beach,CA,90277,1395000,4,3.5,156 - S Redondo Bch S of Torrance Bl,2645,5803,1985,345,527,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/525-S-Juanita-Ave-90277/home/7703436,CRMLS,SB18217298,N,Y,33.8338689,-118.37959
PAST SALE,October-6-2018,Single Family Residential,722 Rita St,Redondo Beach,CA,90277,1350000,4,2.75,156 - S Redondo Bch S of Torrance Bl,1922,6144,1971,488,702,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/722-Rita-St-90277/home/7703634,CRMLS,SB18160358,N,Y,33.833436,-118.3776646
PAST SALE,September-7-2018,Single Family Residential,2507 Inglewood Ave,Redondo Beach,CA,90278,667900,4,3.0,151 - N Redondo Bch/Villas North,2170,5019,1963,517,308,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2507-Inglewood-Ave-90278/home/6685102,CRISNet,SR18167533,N,Y,33.8780632,-118.3616066
PAST SALE,May-22-2019,Single Family Residential,1034 Palos Verdes Blvd,Redondo Beach,CA,90277,1285000,4,3.5,156 - S Redondo Bch S of Torrance Bl,1940,4763,1952,260,662,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1034-Palos-Verdes-Blvd-90277/home/7706161,CRMLS,AR19008088,N,Y,33.8225164,-118.3757268
PAST SALE,May-11-2018,Single Family Residential,313 Avenue F,Redondo Beach,CA,90277,2795000,5,4.5,156 - S Redondo Bch S of Torrance Bl,4541,6818,1996,636,616,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/313-Ave-F-90277/home/7706425,CRMLS,PV18077092,N,Y,33.8225406,-118.3840179
PAST SALE,December-31-2019,Single Family Residential,1852 6th St,Manhattan Beach,CA,90266,1900000,5,3.0,147 - Manhattan Bch Mira Costa,3676,7503,1998,37,517,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1852-6th-St-90266/home/6702437,CRMLS,SB19151167,N,Y,33.8825326,-118.3790021
PAST SALE,March-15-2019,Single Family Residential,3006 Green Ln,Redondo Beach,CA,90278,1420000,4,2.5,151 - N Redondo Bch/Villas North,2913,4987,1987,328,487,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/3006-Green-Ln-90278/home/6679248,CRMLS,SB19028565,N,Y,33.8823707,-118.376737
PAST SALE,June-5-2019,Single Family Residential,437 Calle Mayor,Redondo Beach,CA,90277,1660000,4,2.5,128 - Hollywood Riviera,2814,8430,1954,246,590,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/437-Calle-Mayor-90277/home/7709371,CRMLS,SB19065966,N,Y,33.8108946,-118.378527
PAST SALE,May-26-2019,Single Family Residential,832 Calle De Arboles,Redondo Beach,CA,90277,2500000,5,5.0,128 - Hollywood Riviera,3300,6193,1948,256,758,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/832-Calle-de-Arboles-90277/home/7708894,CRMLS,SB19122240,N,Y,33.8043986,-118.3765817
PAST SALE,June-5-2019,Single Family Residential,206 Knob Hill Ave,Redondo Beach,CA,90277,2030000,4,3.0,157 - S Redondo Bch W of PCH,2222,8765,1951,246,914,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/206-Knob-Hill-Ave-90277/home/7705451,CRMLS,OC19065463,N,Y,33.8286066,-118.3882213
PAST SALE,May-8-2018,Single Family Residential,115 Via Anita,Redondo Beach,CA,90277,2299000,6,3.0,128 - Hollywood Riviera,2902,7939,1954,639,792,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/115-Via-Anita-90277/home/7708030,CRMLS,PW18001317,N,Y,33.8074193,-118.3878979
PAST SALE,,Single Family Residential,626 Paseo De La Playa,Redondo Beach,CA,90277,525000,4,2.0,,1636,5996,1955,,321,,,,,http://www.redfin.com/CA/Redondo-Beach/626-Paseo-De-La-Playa-90277/home/7707614,,,N,Y,33.8058911,-118.3915267
PAST SALE,November-1-2018,Single Family Residential,349 Paseo De Gracia,Redondo Beach,CA,90277,1642500,4,3.0,128 - Hollywood Riviera,2636,6854,1946,462,623,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/349-Paseo-De-Gracia-90277/home/7709250,CRMLS,SB18191599,N,Y,33.8135508,-118.3758969
PAST SALE,August-1-2018,Single Family Residential,1917 Farrell Ave,Redondo Beach,CA,90278,1250000,4,1.75,151 - N Redondo Bch/Villas North,1458,7498,1951,554,857,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1917-Farrell-Ave-90278/home/6678504,CRMLS,PV18156960,N,Y,33.8838907,-118.3773076
PAST SALE,August-15-2019,Single Family Residential,817 Calle Miramar,Redondo Beach,CA,90277,2160000,4,3.5,128 - Hollywood Riviera,2406,7616,1954,175,898,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/817-Calle-Miramar-90277/home/7708403,CRMLS,SB18241497,N,Y,33.8093647,-118.3788946
PAST SALE,August-28-2018,Single Family Residential,415 Via Mesa Grande,Torrance,CA,90277,1425000,4,2.0,128 - Hollywood Riviera,1503,7328,1954,527,948,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/415-Via-Mesa-Grande-90277/home/7707988,CRMLS,SB18170995,N,Y,33.8054228,-118.3849765
PAST SALE,December-7-2018,Single Family Residential,4734 W 168th St,Lawndale,CA,90260,720000,4,2.0,South Lawndale,1545,5800,1947,426,466,,Sold,,,http://www.redfin.com/CA/Lawndale/4734-168th-St-90260/home/6570223,TheMLS,18-402204,N,Y,33.878226,-118.360258
PAST SALE,December-7-2018,Single Family Residential,1620 Carver St,Redondo Beach,CA,90278,950000,4,2.0,154 - N Redondo Bch/Golden Hills,1539,2506,1963,426,617,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1620-Carver-St-90278/home/6700907,CRMLS,PV18194548,N,Y,33.870066,-118.3841662
PAST SALE,June-8-2018,Single Family Residential,1531 Ford Ave,Redondo Beach,CA,90278,1129000,4,2.5,154 - N Redondo Bch/Golden Hills,1653,2492,1965,608,683,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1531-Ford-Ave-90278/home/6701574,CRMLS,SB18096038,N,Y,33.8688184,-118.3854094
PAST SALE,July-17-2018,Single Family Residential,2004 Nelson Ave,Redondo Beach,CA,90278,1201000,4,3.0,151 - N Redondo Bch/Villas North,2246,7511,1947,569,535,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2004-Nelson-Ave-90278/home/6688920,CRMLS,PV18135252,N,Y,33.8745204,-118.3764859
PAST SALE,February-23-2018,Single Family Residential,1700 Speyer Ln,Redondo Beach,CA,90278,1105000,4,2.5,154 - N Redondo Bch/Golden Hills,2014,2501,1969,713,549,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1700-Speyer-Ln-90278/home/6700108,CRMLS,SB18002120,N,Y,33.8624902,-118.3831405
PAST SALE,June-19-2019,Single Family Residential,1729 Haynes,Redondo Beach,CA,90278,1325000,4,2.5,154 - N Redondo Bch/Golden Hills,1748,2500,2003,232,758,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1729-Haynes-Ln-90278/home/22711665,CRMLS,PV19118048,N,Y,33.8622005,-118.3820094
PAST SALE,January-17-2020,Single Family Residential,1742 Speyer,Redondo Beach,CA,90278,1027500,4,2.0,154 - N Redondo Bch/Golden Hills,1435,108943560,1964,20,716,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1742-Speyer-Ln-90278/home/6700102,CRMLS,SB19240387,N,Y,33.8624691,-118.381416
