SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-26-2019,Townhouse,2003 Nelson Ave #2,Redondo Beach,CA,90278,805000,2,2.5,151 - N Redondo Bch/Villas North,1188,15002,1979,286,678,250,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2003-Nelson-Ave-90278/unit-2/home/6688347,CRMLS,SB19049809,N,Y,33.8749926,-118.3765608
PAST SALE,May-30-2018,Townhouse,519 Meyer Ln #47,Redondo Beach,CA,90278,725000,2,2.5,153 - N Redondo Bch/El Nido,1464,104089,1979,617,495,365,Sold,,,http://www.redfin.com/CA/Redondo-Beach/519-Meyer-Ln-90278/unit-47/home/6699011,CRMLS,SB18087270,N,Y,33.8590807,-118.3704365
PAST SALE,April-5-2019,Townhouse,320 Paseo De La Playa Unit F,Redondo Beach,CA,90277,1315000,2,3.0,128 - Hollywood Riviera,1700,9757,1976,307,774,260,Sold,,,http://www.redfin.com/CA/Redondo-Beach/320-Paseo-De-La-Playa-90277/unit-F/home/7707268,CRMLS,SB19006674,N,Y,33.8131513,-118.3900558
PAST SALE,March-22-2018,Townhouse,710 N Guadalupe Ave #6,Redondo Beach,CA,90277,900000,2,2.25,155 - S Redondo Bch N of Torrance Bl,1396,14117,1980,686,645,200,Sold,,,http://www.redfin.com/CA/Redondo-Beach/710-N-Guadalupe-Ave-90277/unit-6/home/7700430,CRMLS,SB18012304,N,Y,33.85055,-118.3878668
PAST SALE,December-21-2018,Townhouse,4325 W 182nd St #10,Torrance,CA,90504,580000,2,2.5,132 - N Torrance - West,1398,58125,1980,412,415,315,Sold,,,http://www.redfin.com/CA/Torrance/4325-W-182nd-St-90504/unit-10/home/6574727,CRMLS,SB18253985,N,Y,33.8660666,-118.3513148
PAST SALE,March-22-2019,Townhouse,116 S Broadway Unit C,Redondo Beach,CA,90277,860000,2,2.5,157 - S Redondo Bch W of PCH,1374,12801,1977,321,626,200,Sold,,,http://www.redfin.com/CA/Redondo-Beach/116-S-Broadway-90277/unit-C/home/7702164,CRMLS,SB18280788,N,Y,33.841232,-118.386543
PAST SALE,October-8-2019,Townhouse,2701 Voorhees Ave #4,Redondo Beach,CA,90278,730000,2,2.5,151 - N Redondo Bch/Villas North,1195,15007,1979,121,611,250,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2701-Voorhees-Ave-90278/unit-4/home/6685120,CRMLS,SB19206903,N,Y,33.8768874,-118.3619708
PAST SALE,July-6-2018,Townhouse,2610 Ruhland Ave #3,Redondo Beach,CA,90278,820000,2,2.25,151 - N Redondo Bch/Villas North,1442,11203,1982,580,569,290,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2610-Ruhland-Ave-90278/unit-3/home/6684344,CRMLS,SB18124331,N,Y,33.8754293,-118.3634589
PAST SALE,November-1-2019,Townhouse,2607 Nelson Ave Unit F,Redondo Beach,CA,90278,705000,2,1.5,151 - N Redondo Bch/Villas North,1295,22464,1976,97,544,250,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2607-Nelson-Ave-90278/unit-F/home/6684304,CRMLS,SB19227271,N,Y,33.8750332,-118.3637702
PAST SALE,September-13-2019,Townhouse,2702 Nelson Ave #1,Redondo Beach,CA,90278,637500,2,1.5,151 - N Redondo Bch/Villas North,1428,7495,1979,146,446,150,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2702-Nelson-Ave-90278/unit-1/home/6685422,CRMLS,SB19188845,N,Y,33.8744983,-118.3618844
PAST SALE,December-6-2019,Townhouse,2715 Vanderbilt Ln Unit F,Redondo Beach,CA,90278,656000,2,3.0,152 - N Redondo Bch/Villas South,1429,15034,1981,62,459,275,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2715-Vanderbilt-Ln-90278/unit-F/home/6573141,CRMLS,SB19255291,N,Y,33.8720678,-118.3609644
PAST SALE,May-17-2018,Townhouse,2414 Mathews Ave #2,Redondo Beach,CA,90278,745000,2,2.25,151 - N Redondo Bch/Villas North,1484,15009,1984,630,502,150,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2414-Mathews-Ave-90278/unit-2/home/6682655,CRMLS,SB18067790,N,Y,33.8735529,-118.3672983
PAST SALE,,Condo/Co-op,2310 Mathews Ave #4,Redondo Beach,CA,90278,767000,2,3.0,,1496,,1978,,513,,,,,http://www.redfin.com/CA/Redondo-Beach/2310-Mathews-Ave-90278/unit-4/home/6682518,,,N,Y,33.8735488,-118.369242
PAST SALE,October-30-2018,Townhouse,1911 Mathews Ave #3,Redondo Beach,CA,90278,677000,2,2.0,151 - N Redondo Bch/Villas North,1386,14999,1978,464,488,240,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1911-Mathews-Ave-90278/unit-3/home/6689102,CRMLS,SB18223112,N,Y,33.8740568,-118.3789952
PAST SALE,September-24-2019,Townhouse,2000 Mathews Ave #5,Redondo Beach,CA,90278,705000,2,2.5,151 - N Redondo Bch/Villas North,1238,11256,1977,135,569,160,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2000-Mathews-Ave-90278/unit-5/home/6689438,CRMLS,SB19185510,N,Y,33.8735359,-118.3767619
PAST SALE,November-1-2019,Townhouse,2016 Mathews Ave Unit E,Redondo Beach,CA,90278,789000,2,3.0,151 - N Redondo Bch/Villas North,1507,14648,1980,97,524,200,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2016-Mathews-Ave-90278/unit-E/home/6689450,CRMLS,SW19218319,N,Y,33.8736452,-118.3755387
PAST SALE,March-27-2018,Townhouse,2603 Voorhees Ave Unit 3C,Redondo Beach,CA,90278,815000,2,2.5,151 - N Redondo Bch/Villas North,1495,9011,1979,681,545,320,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2603-Voorhees-Ave-90278/unit-3C/home/6684648,CRMLS,SB18046285,N,Y,33.8768283,-118.364026
PAST SALE,May-17-2018,Townhouse,2610 Voorhees Ave #2,Redondo Beach,CA,90278,761000,2,2.0,151 - N Redondo Bch/Villas North,1308,9002,1978,630,582,250,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2610-Voorhees-Ave-90278/unit-2/home/6684538,CRMLS,SB18080767,N,Y,33.8763638,-118.3633205
PAST SALE,January-7-2019,Townhouse,2611 Ruhland Ave #3,Redondo Beach,CA,90278,710000,2,1.5,151 - N Redondo Bch/Villas North,1434,37522,1978,395,495,325,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2611-Ruhland-Ave-90278/unit-3/home/6684466,CRMLS,SB18200356,N,Y,33.8759517,-118.3631717
PAST SALE,November-14-2018,Townhouse,2617 Ruhland Ave #20,Redondo Beach,CA,90278,715000,2,2.0,151 - N Redondo Bch/Villas North,1434,37522,1978,449,499,325,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2617-Ruhland-Ave-90278/unit-20/home/6684525,CRMLS,SB18239849,N,Y,33.8760225,-118.3629176
PAST SALE,August-8-2018,Townhouse,962 1st St Unit A,Hermosa Beach,CA,90254,994000,2,2.0,150 - Hermosa Bch East,1380,6744,1976,547,720,250,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/962-1st-St-90254/unit-A/home/6716829,CRMLS,SB18115815,N,Y,33.855887,-118.3879
PAST SALE,November-27-2019,Townhouse,945 1st St,Hermosa Beach,CA,90254,1150000,2,2.25,150 - Hermosa Bch East,1344,6709,1978,71,856,300,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/945-1st-St-90254/home/6716670,CRMLS,SB19185369,N,Y,33.8561546,-118.3885218
PAST SALE,January-9-2019,Townhouse,2306 CURTIS #2,Redondo Beach,CA,90278,571000,2,1.5,151 - N Redondo Bch/Villas North,960,1875,1973,393,595,311,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2306-Curtis-Ave-90278/unit-2/home/6682225,CRMLS,SB18279907,N,Y,33.877285,-118.3693312
PAST SALE,January-8-2019,Townhouse,2518 Gates Ave,Redondo Beach,CA,90278,1550000,,,151 - N Redondo Bch/Villas North,2710,7500,1951,394,572,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2518-Gates-Ave-90278/unit-A/home/6683631,CRMLS,SB18283550,N,Y,33.8780957,-118.3648002
PAST SALE,,Condo/Co-op,2608 Grant Ave #3,Redondo Beach,CA,90278,787000,2,2.0,,1442,,1985,,546,,,,,http://www.redfin.com/CA/Redondo-Beach/2608-Grant-Ave-90278/unit-3/home/6572791,,,N,Y,33.8687233,-118.3634808
PAST SALE,June-5-2019,Townhouse,2715 Vanderbilt Ln Unit E,Redondo Beach,CA,90278,679000,2,2.5,152 - N Redondo Bch/Villas South,1429,15034,1981,246,475,275,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2715-Vanderbilt-Ln-90278/unit-E/home/6573137,CRMLS,SB19037434,N,Y,33.8720678,-118.3609644
PAST SALE,April-19-2018,Townhouse,4530 182nd St,Redondo Beach,CA,90278,625000,2,3.0,153 - N Redondo Bch/El Nido,1248,23603,1984,658,501,350,Sold,,,http://www.redfin.com/CA/Redondo-Beach/4530-182nd-St-90278/unit-14/home/6573632,CRMLS,SB18068899,N,Y,33.865236,-118.355008
PAST SALE,,Condo/Co-op,4512 182nd St,Redondo Beach,CA,90278,585000,2,3.0,,1248,,1984,,469,,,,,http://www.redfin.com/CA/Redondo-Beach/4512-182nd-St-90278/home/6573609,,,N,Y,33.865236,-118.355008
PAST SALE,June-1-2018,Townhouse,2421 Marshallfield Ln #3,Redondo Beach,CA,90278,833000,2,2.5,152 - N Redondo Bch/Villas South,1580,7500,1981,615,527,260,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2421-Marshallfield-Ln-90278/unit-3/home/6695807,CRMLS,SB18010865,N,Y,33.8655059,-118.3666198
PAST SALE,February-8-2019,Townhouse,2004 Vanderbilt Ln #3,Redondo Beach,CA,90278,815000,2,2.25,152 - N Redondo Bch/Villas South,1602,14997,1978,363,509,225,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2004-Vanderbilt-Ln-90278/unit-3/home/6690128,CRMLS,SB18296185,N,Y,33.8716147,-118.3763815
PAST SALE,May-17-2019,Townhouse,2016 Vanderbilt Ln #4,Redondo Beach,CA,90278,798000,2,2.5,152 - N Redondo Bch/Villas South,1465,14982,1980,265,545,225,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2016-Vanderbilt-Ln-90278/unit-4/home/6690176,CRMLS,SB19062671,N,Y,33.8716161,-118.3753938
PAST SALE,February-13-2019,Townhouse,2016 Vanderbilt Ln #7,Redondo Beach,CA,90278,780000,2,2.5,152 - N Redondo Bch/Villas South,1465,14982,1980,358,532,225,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2016-Vanderbilt-Ln-90278/unit-7/home/6690186,CRISNet,SR18295044,N,Y,33.8716161,-118.3753938
PAST SALE,August-22-2018,Townhouse,2208 Vanderbilt Ln #4,Redondo Beach,CA,90278,800000,2,2.25,152 - N Redondo Bch/Villas South,1408,37501,1979,533,568,275,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2208-Vanderbilt-Ln-90278/unit-4/home/6692532,CRMLS,SB18172587,N,Y,33.8716216,-118.3722483
PAST SALE,November-8-2019,Townhouse,2108 Rockefeller Ln Unit C,Redondo Beach,CA,90278,800000,2,2.5,152 - N Redondo Bch/Villas South,1387,22492,1980,90,577,330,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2108-Rockefeller-Ln-90278/unit-C/home/6690954,CRMLS,SB19238664,N,Y,33.869745,-118.374176
PAST SALE,May-4-2018,Townhouse,1402 Stanford Ave,Redondo Beach,CA,90278,755000,2,2.5,154 - N Redondo Bch/Golden Hills,1165,63366,1977,643,648,295,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1402-Stanford-Ave-90278/home/6701648,CRMLS,SB18068694,N,Y,33.8663483,-118.3861524
PAST SALE,July-24-2019,Townhouse,1709 Marshallfield Ln Unit D,Redondo Beach,CA,90278,719000,2,2.0,152 - N Redondo Bch/Villas South,1135,1868,1974,197,633,215,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1709-Marshallfield-Ln-90278/unit-D/home/6700219,CRMLS,SB19120914,N,Y,33.8654173,-118.3821474
PAST SALE,May-16-2019,Townhouse,1301 S Catalina Ave Unit L,Redondo Beach,CA,90277,879000,2,2.25,157 - S Redondo Bch W of PCH,1400,25002,1982,266,628,325,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1301-S-Catalina-Ave-90277/unit-L/home/17233211,CRMLS,SB19067893,N,Y,33.8229877,-118.388773
PAST SALE,June-28-2019,Townhouse,1301 S Catalina Ave Unit G,Redondo Beach,CA,90277,920000,2,2.25,157 - S Redondo Bch W of PCH,1285,25002,1982,223,716,325,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1301-S-Catalina-Ave-90277/unit-G/home/17227279,CRMLS,PV19067562,N,Y,33.8229877,-118.388773
PAST SALE,October-16-2018,Townhouse,2106 Rockefeller Ln Unit F,Redondo Beach,CA,90278,760000,2,3.0,152 - N Redondo Bch/Villas South,1387,22492,1980,478,548,330,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2106-Rockefeller-Ln-90278/unit-F/home/6690928,CRMLS,SB18216848,N,Y,33.86994098,-118.3741867
PAST SALE,August-30-2019,Townhouse,2217 Vanderbilt Ln #6,Redondo Beach,CA,90278,705000,2,1.5,152 - N Redondo Bch/Villas South,1070,39360,1985,160,659,175,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2217-Vanderbilt-Ln-90278/unit-6/home/6692367,CRMLS,SB19150868,N,Y,33.8721221,-118.3712094
PAST SALE,July-27-2018,Townhouse,2112 Vanderbilt Ln Unit E,Redondo Beach,CA,90278,833000,2,2.5,152 - N Redondo Bch/Villas South,1471,45012,1984,559,566,360,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2112-Vanderbilt-Ln-90278/unit-E/home/6690340,CRMLS,PW18140732,N,Y,33.8716959,-118.3735187
PAST SALE,,Condo/Co-op,4325 W 182nd St #14,Torrance,CA,90504,550000,3,3.0,,1398,,1980,,393,,,,,http://www.redfin.com/CA/Torrance/4325-W-182nd-St-90504/unit-14/home/6574742,,,N,Y,33.8660666,-118.3513148
PAST SALE,August-1-2018,Townhouse,4325 W 182nd St #9,Torrance,CA,90504,600000,2,2.5,132 - N Torrance - West,1398,58125,1980,554,429,315,Sold,,,http://www.redfin.com/CA/Torrance/4325-W-182nd-St-90504/unit-9/home/6574725,CRMLS,SB18141657,N,Y,33.8660666,-118.3513148
