SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-10-2018,Townhouse,406 Avenue G #14,Redondo Beach,CA,90277,815000,3,2.5,156 - S Redondo Bch S of Torrance Bl,1449,87692,1987,484,562,460,Sold,,,http://www.redfin.com/CA/Redondo-Beach/406-Avenue-G-90277/unit-14/home/7706896,CRMLS,SB18096131,N,Y,33.8192985,-118.3820009
PAST SALE,December-14-2018,Townhouse,1010 S Catalina Ave Unit C,Redondo Beach,CA,90277,1149000,3,2.5,157 - S Redondo Bch W of PCH,1642,7514,1980,419,700,400,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1010-S-Catalina-Ave-90277/unit-C/home/7705594,CRMLS,SB18267714,N,Y,33.825729,-118.388263
PAST SALE,May-8-2019,Townhouse,2610 Vanderbilt Ln Unit A,Redondo Beach,CA,90278,900000,3,2.5,152 - N Redondo Bch/Villas South,1826,7506,2004,274,493,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2610-Vanderbilt-Ln-90278/unit-A/home/8142654,CRMLS,SB19047079,N,Y,33.8716351,-118.3633384
PAST SALE,July-24-2018,Townhouse,2220 Clark Ln Unit B,Redondo Beach,CA,90278,1025000,3,3.0,152 - N Redondo Bch/Villas South,2137,7511,1986,562,480,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2220-Clark-Ln-90278/unit-B/home/6695543,CRMLS,SB18100166,N,Y,33.8660061,-118.3709292
PAST SALE,November-21-2019,Townhouse,313 N Broadway #8,Redondo Beach,CA,90277,955000,3,2.5,157 - S Redondo Bch W of PCH,1859,17966,1988,77,514,350,Sold,,,http://www.redfin.com/CA/Redondo-Beach/313-N-Broadway-90277/unit-8/home/7701012,CRMLS,SB19186763,N,Y,33.844686,-118.3892666
PAST SALE,August-16-2018,Townhouse,622 N Guadalupe Ave Unit B,Redondo Beach,CA,90277,1029000,3,2.5,156 - S Redondo Bch S of Torrance Bl,2336,7861,1989,539,440,225,Sold,,,http://www.redfin.com/CA/Redondo-Beach/622-N-Guadalupe-Ave-90277/unit-B/home/7700762,CRMLS,SB18095962,N,Y,33.8498232,-118.3867631
PAST SALE,September-4-2018,Townhouse,718 S Catalina Ave #1,Redondo Beach,CA,90277,975000,3,2.5,157 - S Redondo Bch W of PCH,1903,18872,1979,520,512,250,Sold,,,http://www.redfin.com/CA/Redondo-Beach/718-S-Catalina-Ave-90277/unit-1/home/7704734,CRMLS,SB18178613,N,Y,33.830255,-118.3885092
PAST SALE,April-3-2019,Townhouse,620 N Juanita Ave Unit A,Redondo Beach,CA,90277,1281000,3,2.5,155 - S Redondo Bch N of Torrance Bl,2019,5990,1994,309,634,41,Sold,,,http://www.redfin.com/CA/Redondo-Beach/620-N-Juanita-Ave-90277/unit-A/home/7700153,CRMLS,SB19033895,N,Y,33.8511147,-118.384906
PAST SALE,April-20-2018,Townhouse,4325 W 182nd St #26,Torrance,CA,90504,615000,3,2.5,132 - N Torrance - West,1492,58125,1980,657,412,315,Sold,,,http://www.redfin.com/CA/Torrance/4325-W-182nd-St-90504/unit-26/home/6574772,CRMLS,SB18056864,N,Y,33.8660666,-118.3513148
PAST SALE,March-22-2018,Townhouse,512 N Juanita Ave Unit B,Redondo Beach,CA,90277,1320000,3,3.5,155 - S Redondo Bch N of Torrance Bl,2858,6076,2004,686,462,45,Sold,,,http://www.redfin.com/CA/Redondo-Beach/512-N-Juanita-Ave-90277/unit-B/home/8139626,CRMLS,SB17222530,N,Y,33.8496382,-118.3827865
