SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-26-2019,Townhouse,2204 Plant Ave Unit A,Redondo Beach,CA,90278,1320000,4,2.5,151 - N Redondo Bch/Villas North,2500,6642,2007,317,528,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2204-Plant-Ave-90278/unit-A/home/21918351,CRMLS,SB19037845,N,Y,33.8806955,-118.3722602
PAST SALE,June-17-2019,Townhouse,728 N Lucia Ave Unit B,Redondo Beach,CA,90277,1975000,4,3.25,155 - S Redondo Bch N of Torrance Bl,2903,5224,2017,234,680,92,Sold,,,http://www.redfin.com/CA/Redondo-Beach/728-N-Lucia-Ave-90277/unit-B/home/7699676,CRMLS,SB19142889,N,Y,33.8531934,-118.3863002
PAST SALE,March-22-2018,Townhouse,2505 Grant Ave Unit B,Redondo Beach,CA,90278,989000,4,3.0,152 - N Redondo Bch/Villas South,1913,7502,2015,686,517,127,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2505-Grant-Ave-90278/unit-B/home/110126456,CRMLS,SB18009796,N,Y,33.8692618,-118.3659406
PAST SALE,October-10-2018,Townhouse,1912 Huntington Ln Unit B,Redondo Beach,CA,90278,1370000,4,3.5,152 - N Redondo Bch/Villas South,2570,7500,2017,484,533,160,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1912-Huntington-Ln-90278/unit-B/home/144040903,CRMLS,PV18100273,N,Y,33.8678357,-118.377901
PAST SALE,February-28-2018,Townhouse,2517 Huntington Ln Unit A,Redondo Beach,CA,90278,1210000,4,3.0,152 - N Redondo Bch/Villas South,2310,7500,2005,708,524,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2517-Huntington-Ln-90278/unit-A/home/8152161,CRMLS,PV18041000,N,Y,33.8682304,-118.3649362
PAST SALE,December-10-2019,Townhouse,33 Monterey Blvd,Hermosa Beach,CA,90254,2350000,4,3.5,148 - Hermosa Bch Sand,2500,3601,2007,58,940,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/33-Monterey-Blvd-90254/home/17230721,CRMLS,SB19181128,N,Y,33.8535325,-118.395935
PAST SALE,July-29-2019,Townhouse,1905 Belmont Ln Unit B,Redondo Beach,CA,90278,1550000,4,3.5,152 - N Redondo Bch/Villas South,2589,7503,2019,192,599,150,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1905-Belmont-Ln-90278/unit-B/home/168052095,CRMLS,SB19160660,N,Y,33.8635057,-118.3785453
PAST SALE,September-17-2019,Townhouse,2604 Vanderbilt Ln Unit B,Redondo Beach,CA,90278,918000,4,2.5,152 - N Redondo Bch/Villas South,1770,7507,2006,142,519,184,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2604-Vanderbilt-Ln-90278/unit-B/home/12130505,CRMLS,SB19201537,N,Y,33.8716324,-118.3638031
PAST SALE,,Vacant Land,2609 Mathews Ave Unit A,Redondo Beach,CA,90278,1145000,,,,,7471,,,,,,,,http://www.redfin.com/CA/Redondo-Beach/2609-Mathews-Ave-90278/unit-A/home/163616426,,,N,Y,33.873995,-118.3634954
PAST SALE,December-18-2018,Townhouse,2204 Felton Ln,Redondo Beach,CA,90278,1175000,4,3.5,151 - N Redondo Bch/Villas North,2210,7500,2018,415,532,176,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2204-Felton-Ln-90278/home/147020432,CRMLS,SB18220475,N,Y,33.8751367,-118.36404
