SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-28-2019,Condo/Co-op,23400 Western Ave Unit B,Harbor City,CA,90710,412000,3,2.0,124 - Harbor City,1075,165447,1973,223,383,300,Sold,,,http://www.redfin.com/CA/Harbor-City/23400-S-Western-Ave-90710/unit-B/home/7682056,CRMLS,SB19111601,N,Y,33.813528,-118.308168
PAST SALE,June-27-2019,Condo/Co-op,23200 Sesame St Unit B,Torrance,CA,90502,327000,2,1.0,123 - County Strip,730,313239,1973,224,448,288,Sold,,,http://www.redfin.com/CA/Torrance/23200-Sesame-St-90502/unit-B/home/7669514,CRMLS,PW19020396,N,Y,33.8148037,-118.2883307
PAST SALE,April-2-2018,Condo/Co-op,3120 Sepulveda Blvd #202,Torrance,CA,90505,355000,2,2.0,127 - South East Torrance - West,748,47849,2002,675,475,290,Sold,,,http://www.redfin.com/CA/Torrance/3120-Sepulveda-Blvd-90505/unit-202/home/8139489,CRMLS,SB18023415,N,Y,33.8236238,-118.3418588
PAST SALE,May-9-2018,Condo/Co-op,2940 W Carson St #232,Torrance,CA,90503,400000,2,1.0,126 - Central Torrance,848,122040,1962,638,472,304,Sold,,,http://www.redfin.com/CA/Torrance/2940-W-Carson-St-90503/unit-232/home/7653431,CRMLS,MB18010182,N,Y,33.8302648,-118.3395169
PAST SALE,July-12-2018,Condo/Co-op,3120 Sepulveda Blvd #112,Torrance,CA,90505,410000,2,2.0,127 - South East Torrance - West,806,47849,2002,574,509,290,Sold,,,http://www.redfin.com/CA/Torrance/3120-Sepulveda-Blvd-90505/unit-112/home/8139483,CRMLS,SB18113832,N,Y,33.8236238,-118.3418588
PAST SALE,April-6-2018,Condo/Co-op,16700 Yukon Ave #208,Torrance,CA,90504,455000,2,2.0,132 - N Torrance - West,859,58769,1989,671,530,330,Sold,,,http://www.redfin.com/CA/Torrance/16700-Yukon-Ave-90504/unit-208/home/6586094,CRMLS,SB18046306,N,Y,33.8790581,-118.3346499
PAST SALE,March-22-2018,Condo/Co-op,22831 Nadine Cir Unit A,Torrance,CA,90505,472500,2,1.5,127 - South East Torrance - West,950,484917,1964,686,497,348,Sold,,,http://www.redfin.com/CA/Torrance/22831-Nadine-Cir-90505/unit-A/home/7658554,CRMLS,PV18014057,N,Y,33.822049,-118.34361
PAST SALE,,Condo/Co-op,23009 Nadine Cir Unit B,Torrance,CA,90505,410000,2,2.0,,1117,,1963,,367,,,,,http://www.redfin.com/CA/Torrance/23009-Nadine-Cir-90505/unit-B/home/7658688,,,N,Y,33.8201027,-118.343759
PAST SALE,December-19-2018,Condo/Co-op,22228 S Vermont Ave Unit 201C,Torrance,CA,90502,400000,2,2.0,123 - County Strip,1160,181944,1986,414,345,340,Sold,,,http://www.redfin.com/CA/Torrance/22228-S-Vermont-Ave-90502/unit-201C/home/7644229,CRMLS,SB18260974,N,Y,33.8246804,-118.288335
PAST SALE,April-11-2019,Condo/Co-op,941 W Carson St #302,Torrance,CA,90502,400000,2,2.0,123 - County Strip,1038,79443,1982,301,385,320,Sold,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-302/home/7645762,CRMLS,SB19030829,N,Y,33.8322046,-118.2917416
