SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-16-2019,Single Family Residential,1965 W 218th St,Torrance,CA,90501,700000,3,2.0,134 - Old Torrance,1446,1625,1925,52,484,,Sold,,,http://www.redfin.com/CA/Torrance/1965-W-218th-St-90501/home/7652147,CRMLS,PW19262711,N,Y,33.8297477,-118.316016
PAST SALE,November-9-2018,Single Family Residential,22908 Broadwell Ave,Torrance,CA,90502,530000,3,1.0,123 - County Strip,968,5259,1953,454,548,,Sold,,,http://www.redfin.com/CA/Torrance/22908-Broadwell-Ave-90502/home/7669823,CRMLS,PW18232013,N,Y,33.817655,-118.2920134
PAST SALE,February-5-2020,Single Family Residential,20809 Orchard Ave,Torrance,CA,90502,613000,3,2.0,123 - County Strip,1172,5699,1961,1,523,,Sold,,,http://www.redfin.com/CA/Torrance/20809-Orchard-Ave-90502/home/7647310,CRMLS,SB20014479,N,Y,33.8417389,-118.2872635
PAST SALE,September-4-2019,Single Family Residential,3760 W 176th St,Torrance,CA,90504,695000,3,1.0,133 - N Torrance - East,1322,5464,1951,155,526,,Sold,,,http://www.redfin.com/CA/Torrance/3760-W-176th-St-90504/home/6579370,CRMLS,SB19155605,N,Y,33.8710243,-118.338821
PAST SALE,September-11-2018,Single Family Residential,3427 W 187th Pl,Torrance,CA,90504,605000,3,1.0,132 - N Torrance - West,1099,5952,1950,513,551,,Sold,,,http://www.redfin.com/CA/Torrance/3427-187th-Pl-90504/home/6583762,CRMLS,PW18131906,N,Y,33.8607492,-118.3322915
PAST SALE,October-25-2018,Single Family Residential,17008 Ermanita Ave,Torrance,CA,90504,695000,3,1.75,132 - N Torrance - West,1103,5528,1951,469,630,,Sold,,,http://www.redfin.com/CA/Torrance/17008-Ermanita-Ave-90504/home/6587110,CRMLS,SB18181859,N,Y,33.8763518,-118.3319262
PAST SALE,,Single Family Residential,2707 W 166th Pl,Torrance,CA,90504,640000,3,2.0,,1300,5699,1955,,492,,,,,http://www.redfin.com/CA/Torrance/2707-W-166th-Pl-90504/home/6588114,,,N,Y,33.8797072,-118.323296
PAST SALE,December-19-2019,Single Family Residential,2417 W 181st St,Torrance,CA,90504,685000,3,1.75,133 - N Torrance - East,1215,5310,1956,49,564,,Sold,,,http://www.redfin.com/CA/Torrance/2417-W-181st-St-90504/home/6591380,CRMLS,SB19261126,N,Y,33.8665454,-118.3207845
PAST SALE,November-27-2018,Single Family Residential,18807 Yukon Ave,Torrance,CA,90504,682000,3,2.0,132 - N Torrance - West,1404,5200,1953,436,486,,Sold,,,http://www.redfin.com/CA/Torrance/18807-Yukon-Ave-90504/home/6582122,CRMLS,PV18258264,N,Y,33.8599345,-118.3353965
PAST SALE,June-25-2018,Single Family Residential,2114 W 177th St W,Torrance,CA,90504,595000,3,1.0,132 - N Torrance - West,874,5001,1953,591,681,,Sold,,,http://www.redfin.com/CA/Torrance/2114-W-177th-St-90504/home/6593264,CRMLS,OC18128500,N,Y,33.869717,-118.3162636
PAST SALE,September-11-2019,Single Family Residential,15812 Gramercy Pl,Gardena,CA,90247,635000,3,2.0,119 - Central Gardena,1708,6290,1953,148,372,,Sold,,,http://www.redfin.com/CA/Gardena/15812-Gramercy-Pl-90247/home/6538803,CRMLS,SB19185580,N,Y,33.8867239,-118.3128387
PAST SALE,,Single Family Residential,3324 189th St,Torrance,CA,90504,615500,3,1.0,,944,5000,1951,,652,,,,,http://www.redfin.com/CA/Torrance/3324-189th-St-90504/home/6584183,,,N,Y,33.8589891,-118.3308303
PAST SALE,September-17-2019,Single Family Residential,3127 W 186th St,Torrance,CA,90504,580000,3,1.0,132 - N Torrance - West,969,6495,1950,142,599,,Sold,,,http://www.redfin.com/CA/Torrance/3127-186th-St-90504/home/6583360,CRISNet,SR19115657,N,Y,33.8621747,-118.3278623
PAST SALE,,Single Family Residential,2919 Artesia Blvd,Torrance,CA,90504,615000,3,1.0,,1006,5565,1948,,611,,,,,http://www.redfin.com/CA/Torrance/2919-Artesia-Blvd-90504/home/6589741,,,N,Y,33.8731134,-118.3249855
PAST SALE,September-20-2019,Single Family Residential,3205 W 181st St,Torrance,CA,90504,685000,3,2.0,132 - N Torrance - West,1228,5523,1955,139,558,,Sold,,,http://www.redfin.com/CA/Torrance/3205-W-181st-St-90504/home/6585410,CRMLS,SB19134844,N,Y,33.8665625,-118.3289125
PAST SALE,,Single Family Residential,21146 La Salle Ave,Torrance,CA,90501,535000,3,1.0,,999,8250,1953,,536,,,,,http://www.redfin.com/CA/Torrance/21146-La-Salle-Ave-90501/home/7648147,,,N,Y,33.8368164,-118.3049382
PAST SALE,September-19-2019,Single Family Residential,1043 W 213th St,Torrance,CA,90502,635888,3,2.0,122 - Harbor Gateway,1352,4894,1959,140,470,,Sold,,,http://www.redfin.com/CA/Torrance/1043-W-213th-St-90502/home/7645462,CRMLS,WS19182896,N,Y,33.835358,-118.293886
PAST SALE,,Single Family Residential,1663 W 216th St,Torrance,CA,90501,450000,3,1.0,,1008,6001,1944,,446,,,,,http://www.redfin.com/CA/Torrance/1663-W-216th-St-90501/home/7648611,,,N,Y,33.8326868,-118.3086373
PAST SALE,October-31-2019,Single Family Residential,1051 Greenhedge St,Torrance,CA,90502,575000,3,1.0,123 - County Strip,860,5406,1953,98,669,,Sold,,,http://www.redfin.com/CA/Torrance/1051-Greenhedge-St-90502/home/7647885,CRMLS,SB19193960,N,Y,33.8414596,-118.294023
PAST SALE,October-25-2019,Single Family Residential,21312 Meyler Ave,Torrance,CA,90502,650000,3,1.75,123 - County Strip,1521,5466,1959,104,427,,Sold,,,http://www.redfin.com/CA/Torrance/21312-Meyler-Ave-90502/home/7645958,CRMLS,PV19188355,N,Y,33.8346831,-118.2942573
PAST SALE,November-22-2019,Single Family Residential,20607 Berendo Ave,Torrance,CA,90502,549101,3,2.0,123 - County Strip,1164,4168,1933,76,472,,Sold,,,http://www.redfin.com/CA/Torrance/20607-Berendo-Ave-90502/home/7649124,CRMLS,DW19189012,N,Y,33.8434584,-118.2929611
PAST SALE,October-31-2019,Single Family Residential,22114 Kenwood Ave,Torrance,CA,90502,618000,3,2.0,123 - County Strip,1329,2884,1970,98,465,,Sold,,,http://www.redfin.com/CA/Torrance/22114-S-Kenwood-Ave-90502/home/7644504,CRMLS,SB19203622,N,Y,33.8264798,-118.2973684
PAST SALE,July-18-2018,Single Family Residential,1641 W 222nd St,Torrance,CA,90501,545500,3,1.0,122 - Harbor Gateway,1320,7202,1956,568,413,,Sold,,,http://www.redfin.com/CA/Torrance/1641-W-222nd-St-90501/home/7646709,CRMLS,OC18102549,N,Y,33.8258908,-118.3079066
PAST SALE,July-16-2019,Single Family Residential,18705 Kornblum Ave,Torrance,CA,90504,662700,3,1.5,132 - N Torrance - West,1244,5466,1954,205,533,,Sold,,,http://www.redfin.com/CA/Torrance/18705-Kornblum-Ave-90504/home/6582193,CRMLS,SB19116933,N,Y,33.8607956,-118.3370859
PAST SALE,April-10-2018,Single Family Residential,18902 Van Ness Ave,Torrance,CA,90504,581000,3,1.0,133 - N Torrance - East,1012,5101,1951,667,574,,Sold,,,http://www.redfin.com/CA/Torrance/18902-Van-Ness-Ave-90504/home/6584259,CRMLS,SB18045200,N,Y,33.8592562,-118.3175423
PAST SALE,October-18-2019,Single Family Residential,4335 W 177th St,Torrance,CA,90504,695000,3,1.5,132 - N Torrance - West,1114,5253,1952,111,624,,Sold,,,http://www.redfin.com/CA/Torrance/4335-W-177th-St-90504/home/6577143,CRMLS,SB19200720,N,Y,33.8701975,-118.3516052
PAST SALE,,Single Family Residential,2622 W 177th St,Torrance,CA,90504,510000,3,1.0,,1154,5356,1953,,442,,,,,http://www.redfin.com/CA/Torrance/2622-W-177th-St-90504/home/6592530,,,N,Y,33.8698814,-118.323159
PAST SALE,February-27-2018,Single Family Residential,3127 W 180th St,Torrance,CA,90504,694500,3,1.75,132 - N Torrance - West,1334,5100,1955,709,521,,Sold,,,http://www.redfin.com/CA/Torrance/3127-180th-St-90504/home/6585265,CRMLS,PV17280320,N,Y,33.8679982,-118.3278166
PAST SALE,,Single Family Residential,4825 Reese Rd,Torrance,CA,90505,355000,3,2.0,,1599,8683,1950,,222,,,,,http://www.redfin.com/CA/Torrance/4825-Reese-Rd-90505/home/7718660,,,N,Y,33.8192785,-118.3662601
PAST SALE,,Single Family Residential,3120 185th St,Torrance,CA,90504,525000,3,2.0,,1298,6500,1950,,404,,,,,http://www.redfin.com/CA/Torrance/3120-185th-St-90504/home/6583271,,,N,Y,33.8626666,-118.327497
PAST SALE,March-1-2019,Single Family Residential,4042 W 176th St,Torrance,CA,90504,675000,3,1.25,132 - N Torrance - West,1114,5396,1952,342,606,,Sold,,,http://www.redfin.com/CA/Torrance/4042-W-176th-St-90504/home/6576985,CRMLS,SB19005209,N,Y,33.8704361,-118.3458724
PAST SALE,July-25-2018,Single Family Residential,3927 W 170th St,Torrance,CA,90504,695000,3,1.5,North Torrance West,1116,5480,1953,561,623,,Sold,,,http://www.redfin.com/CA/Torrance/3927-W-170th-St-90504/home/6578921,TheMLS,18-347276,N,Y,33.8763065,-118.3417432
PAST SALE,September-28-2018,Single Family Residential,18423 Glenburn Ave,Torrance,CA,90504,700000,3,1.0,132 - N Torrance - West,1193,6209,1953,496,587,,Sold,,,http://www.redfin.com/CA/Torrance/18423-Glenburn-Ave-90504/home/6583001,CRMLS,SB18194933,N,Y,33.8631411,-118.3310587
PAST SALE,May-9-2018,Single Family Residential,18021 Regina Ave,Torrance,CA,90504,700000,3,2.0,132 - N Torrance - West,1279,5083,1953,638,547,,Sold,,,http://www.redfin.com/CA/Torrance/18021-Regina-Ave-90504/home/6574796,CRMLS,SB17261516,N,Y,33.8669087,-118.349368
PAST SALE,July-26-2018,Single Family Residential,18519 Bailey Dr,Torrance,CA,90504,671000,3,1.0,699 - Not Defined,1027,7266,1955,560,653,,Sold,,,http://www.redfin.com/CA/Torrance/18519-Bailey-Dr-90504/home/6575323,CRMLS,DW18141931,N,Y,33.8621373,-118.3473276
PAST SALE,,Single Family Residential,20823 Halldale Ave,Torrance,CA,90501,412500,3,2.0,,1500,6750,1956,,275,,,,,http://www.redfin.com/CA/Torrance/20823-Halldale-Ave-90501/home/7649877,,,N,Y,33.841208,-118.3020382
PAST SALE,,Single Family Residential,18236 Regina Ave,Torrance,CA,90504,680000,4,1.0,,1060,6750,1949,,642,,,,,http://www.redfin.com/CA/Torrance/18236-Regina-Ave-90504/home/6575408,,,N,Y,33.8647955,-118.3490027
PAST SALE,December-28-2018,Single Family Residential,4115 W 184th Pl,Torrance,CA,90504,649000,3,1.0,132 - N Torrance - West,1017,5155,1955,405,638,,Sold,,,http://www.redfin.com/CA/Torrance/4115-184th-Pl-90504/home/6575206,CRMLS,PW18269572,N,Y,33.863596,-118.3465829
PAST SALE,October-18-2019,Single Family Residential,928 Lindencliff St,Torrance,CA,90502,633000,3,2.0,123 - County Strip,1872,5020,1967,111,338,,Sold,,,http://www.redfin.com/CA/Torrance/928-Lindencliff-St-90502/home/7670173,CRMLS,OC19162432,N,Y,33.8121982,-118.291374
