SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-24-2018,Single Family Residential,23108 Greenwood Ave,Torrance,CA,90505,1108000,4,2.0,127 - South East Torrance - West,1763,6220,1965,500,628,,Sold,,,http://www.redfin.com/CA/Torrance/23108-Greenwood-Ave-90505/home/7664674,CRMLS,SB18192382,N,Y,33.8172626,-118.3344832
PAST SALE,September-12-2019,Single Family Residential,5114 Lenore St,Torrance,CA,90503,1000000,4,2.0,130 - Southwood,1473,6794,1956,147,679,,Sold,,,http://www.redfin.com/CA/Torrance/5114-Lenore-St-90503/home/7711166,CRMLS,SB19149994,N,Y,33.8327906,-118.3675384
PAST SALE,July-3-2019,Single Family Residential,1850 W 186th St,Torrance,CA,90504,960000,4,3.0,133 - N Torrance - East,2076,6410,1968,218,462,,Sold,,,http://www.redfin.com/CA/Torrance/1850-186th-St-90504/home/6593038,CRMLS,SB19125367,N,Y,33.8617476,-118.3102813
PAST SALE,December-4-2018,Single Family Residential,3246 El Dorado St,Torrance,CA,90503,1150000,4,3.5,126 - Central Torrance,3065,12766,1955,429,375,,Sold,,,http://www.redfin.com/CA/Torrance/3246-El-Dorado-St-90503/home/7655755,CRMLS,SB18232675,N,Y,33.8339831,-118.3437141
PAST SALE,December-24-2019,Single Family Residential,22504 Biak Ct,Torrance,CA,90505,1580000,4,3.5,129 - South Torrance,3239,6802,1990,44,488,,Sold,,,http://www.redfin.com/CA/Torrance/22504-Biak-Ct-90505/home/7717085,CRMLS,PW19264103,N,Y,33.824187,-118.3640616
PAST SALE,August-8-2019,Single Family Residential,25604 Amber Leaf Rd,Torrance,CA,90505,1260000,4,3.5,125 - Walteria,2614,6103,1976,182,482,,Sold,,,http://www.redfin.com/CA/Torrance/25604-Amberleaf-Rd-90505/home/7727925,CRMLS,PV19102097,N,Y,33.7910083,-118.3376339
PAST SALE,April-9-2019,Single Family Residential,2713 Normallin St,Torrance,CA,90505,1190000,4,1.75,125 - Walteria,1978,5097,1995,303,602,,Sold,,,http://www.redfin.com/CA/Torrance/2713-Normallin-St-90505/home/7721467,CRMLS,SB19017390,N,Y,33.792014,-118.3355334
PAST SALE,June-21-2018,Single Family Residential,25908 Matfield Dr,Torrance,CA,90505,1000000,4,3.0,125 - Walteria,2390,12549,1955,595,418,,Sold,,,http://www.redfin.com/CA/Torrance/25908-Matfield-Dr-90505/home/7721941,CRMLS,SB18074312,N,Y,33.7871814,-118.3344832
PAST SALE,September-11-2019,Single Family Residential,4502 Greenmeadows Ave,Torrance,CA,90505,1200000,4,2.25,128 - Hollywood Riviera,1864,5776,1953,148,644,,Sold,,,http://www.redfin.com/CA/Torrance/4502-Greenmeadows-Ave-90505/home/7719609,CRMLS,SB19161449,N,Y,33.8083825,-118.3627616
PAST SALE,August-15-2019,Single Family Residential,817 Calle Miramar,Redondo Beach,CA,90277,2160000,4,3.5,128 - Hollywood Riviera,2406,7616,1954,175,898,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/817-Calle-Miramar-90277/home/7708403,CRMLS,SB18241497,N,Y,33.8093647,-118.3788946
PAST SALE,August-28-2018,Single Family Residential,415 Via Mesa Grande,Torrance,CA,90277,1425000,4,2.0,128 - Hollywood Riviera,1503,7328,1954,527,948,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/415-Via-Mesa-Grande-90277/home/7707988,CRMLS,SB18170995,N,Y,33.8054228,-118.3849765
PAST SALE,June-8-2018,Single Family Residential,26301 Delos Dr,Torrance,CA,90505,1048125,4,2.25,125 - Walteria,2929,6125,1955,608,358,,Sold,,,http://www.redfin.com/CA/Torrance/26301-Delos-Dr-90505/home/7721727,CRMLS,SB18090673,N,Y,33.7825496,-118.3337527
PAST SALE,May-1-2018,Single Family Residential,820 Calle De Arboles,Redondo Beach,CA,90277,2375000,4,4.0,128 - Hollywood Riviera,3337,6206,1948,646,712,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/820-Calle-de-Arboles-90277/home/7708891,CRMLS,SB18019370,N,Y,33.8043522,-118.3770695
PAST SALE,January-25-2019,Single Family Residential,410 Paseo De La Playa,Redondo Beach,CA,90277,4200000,4,3.75,128 - Hollywood Riviera,4000,6511,2015,377,1050,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/410-Paseo-De-La-Playa-90277/home/7707517,CRMLS,SB18215854,N,Y,33.8105949,-118.3902715
PAST SALE,May-16-2018,Single Family Residential,2889 Plaza Del Amo #703,Torrance,CA,90503,908000,4,2.5,126 - Central Torrance,2000,2120,2003,631,454,175,Sold,,,http://www.redfin.com/CA/Torrance/2889-Plaza-del-Amo-90503/unit-703/home/8121793,CRMLS,PV18082323,N,Y,33.8283556,-118.3369568
PAST SALE,April-16-2018,Single Family Residential,2656 Woodbury Dr,Torrance,CA,90503,985000,4,2.75,126 - Central Torrance,2534,202825,1987,661,389,300,Sold,,,http://www.redfin.com/CA/Torrance/2656-Woodbury-Dr-90503/home/7653849,CRMLS,PV18058733,N,Y,33.826164,-118.332995
PAST SALE,September-20-2018,Single Family Residential,1017 Kornblum Ave,Torrance,CA,90503,980000,4,2.0,126 - Central Torrance,2023,6207,1951,504,484,,Sold,,,http://www.redfin.com/CA/Torrance/1017-Kornblum-Ave-90503/home/7650150,CRMLS,SB18191220,N,Y,33.8374766,-118.3376795
PAST SALE,April-25-2018,Single Family Residential,5301 Towers St,Torrance,CA,90503,1330000,4,3.0,131 - West Torrance,2573,5196,1954,652,517,,Sold,,,http://www.redfin.com/CA/Torrance/5301-Towers-St-90503/home/7713874,CRISNet,SR18046401,N,Y,33.8558445,-118.368907
PAST SALE,November-19-2019,Single Family Residential,2521 Armour Ln,Redondo Beach,CA,90278,1000000,4,2.0,153 - N Redondo Bch/El Nido,1824,5281,1953,79,548,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2521-Armour-Ln-90278/home/6696982,CRMLS,SB19163061,N,Y,33.8593286,-118.363075
PAST SALE,November-1-2019,Single Family Residential,1010 Firmona Ave,Redondo Beach,CA,90278,1150000,4,2.0,153 - N Redondo Bch/El Nido,2303,8131,1955,97,499,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1010-Firmona-Ave-90278/home/6573861,CRMLS,SB19217581,N,Y,33.86357,-118.3590469
PAST SALE,May-24-2019,Single Family Residential,2618 W 180th St,Torrance,CA,90504,925000,4,3.0,133 - N Torrance - East,1907,8010,1956,258,485,,Sold,,,http://www.redfin.com/CA/Torrance/2618-180th-St-90504/home/6592220,CRMLS,SB19086275,N,Y,33.8677254,-118.3230448
PAST SALE,January-10-2020,Single Family Residential,16823 Glenburn Ave,Torrance,CA,90504,910000,4,3.0,132 - N Torrance - West,2143,5308,1954,27,425,,Sold,,,http://www.redfin.com/CA/Torrance/16823-Glenburn-Ave-90504/home/6586728,CRMLS,SB19228787,N,Y,33.8771805,-118.3306934
PAST SALE,August-8-2019,Single Family Residential,21135 S Normandie Ave,Torrance,CA,90501,956803,4,4.0,122 - Harbor Gateway,2683,4536,2018,182,357,139,Sold,,,http://www.redfin.com/CA/Torrance/21135-Normandie-Ave-90501/home/110088495,CRMLS,SW18280632,N,Y,33.8369561,-118.2994027
PAST SALE,April-23-2018,Single Family Residential,1004 Beech Ave,Torrance,CA,90501,900000,4,2.75,134 - Old Torrance,2375,5551,1937,654,379,,Sold,,,http://www.redfin.com/CA/Torrance/1004-Beech-Ave-90501/home/7650872,CRMLS,SB17255043,N,Y,33.8377588,-118.327223
PAST SALE,September-24-2019,Single Family Residential,2587 Bayport Dr #4,Torrance,CA,90503,960000,4,2.5,126 - Central Torrance,2534,191972,1987,135,379,300,Sold,,,http://www.redfin.com/CA/Torrance/2587-Bayport-Dr-90503/unit-4/home/7653762,CRMLS,SB19200550,N,Y,33.826333,-118.331265
PAST SALE,April-22-2019,Single Family Residential,5513 Lorna St,Torrance,CA,90503,1265000,4,3.0,131 - West Torrance,2603,3675,1993,290,486,384,Sold,,,http://www.redfin.com/CA/Torrance/5513-Lorna-St-90503/home/7712421,CRMLS,SB19062437,N,Y,33.8400628,-118.3734152
PAST SALE,January-29-2019,Single Family Residential,408 N Prospect (Service Street) Ave,Redondo Beach,CA,90277,1154000,4,2.25,155 - S Redondo Bch N of Torrance Bl,1760,2805,1965,373,656,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/408-N-Prospect-Ave-90277/home/7699937,CRMLS,DW18279595,N,Y,33.8492333,-118.377352
PAST SALE,July-26-2019,Single Family Residential,19403 Redbeam Ave,Torrance,CA,90503,1220000,4,2.75,131 - West Torrance,2111,6368,1969,195,578,,Sold,,,http://www.redfin.com/CA/Torrance/19403-Redbeam-Ave-90503/home/7713766,CRMLS,SB19153339,N,Y,33.8538186,-118.3762122
PAST SALE,October-30-2018,Single Family Residential,128 via los miradores,Redondo Beach,CA,90277,1620000,4,2.25,128 - Hollywood Riviera,2455,8928,1956,464,660,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/128-Via-Los-Miradores-90277/home/7709247,CRMLS,PV18219297,N,Y,33.8131073,-118.3760668
PAST SALE,December-7-2018,Single Family Residential,144 Via Los Miradores,Redondo Beach,CA,90277,1399000,4,2.5,128 - Hollywood Riviera,2000,6925,1953,426,700,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/144-Via-Los-Miradores-90277/home/7709326,CRMLS,SB18143758,N,Y,33.812331,-118.3765526
PAST SALE,September-12-2019,Single Family Residential,5327 Reese Rd,Torrance,CA,90505,1550000,4,2.0,129 - South Torrance,1960,10951,1947,147,791,,Sold,,,http://www.redfin.com/CA/Torrance/5327-Reese-Rd-90505/home/7710160,CRMLS,SB19160688,N,Y,33.8192267,-118.3706427
PAST SALE,July-3-2019,Single Family Residential,3434 W 227th Pl,Torrance,CA,90505,910000,4,2.0,127 - South East Torrance - West,1644,5301,1954,218,554,,Sold,,,http://www.redfin.com/CA/Torrance/3434-W-227th-Pl-90505/home/7657942,CRMLS,WS19133983,N,Y,33.8210745,-118.3461406
PAST SALE,January-9-2019,Single Family Residential,444 Calle De Castellana,Redondo Beach,CA,90277,1825000,4,3.5,128 - Hollywood Riviera,2995,6939,1952,393,609,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/444-Cll-De-Castellana-90277/home/7708538,CRMLS,PV18241268,N,Y,33.8083077,-118.3801128
