SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-16-2018,Single Family Residential,1226 Greenwood Ave,Torrance,CA,90503,1336000,5,3.25,126 - Central Torrance,3682,7501,1990,631,363,,Sold,,,http://www.redfin.com/CA/Torrance/1226-Greenwood-Ave-90503/home/7656410,CRMLS,SB18063075,N,Y,33.8354844,-118.333116
PAST SALE,May-17-2019,Single Family Residential,3006 Windmill Rd,Torrance,CA,90505,1277000,5,3.0,125 - Walteria,2945,7019,1975,265,434,,Sold,,,http://www.redfin.com/CA/Torrance/3006-Windmill-Rd-90505/home/7727995,CRMLS,SB19093969,N,Y,33.7922688,-118.3401935
PAST SALE,November-29-2018,Single Family Residential,20320 Roslin Ave,Torrance,CA,90503,1105000,5,3.0,126 - Central Torrance,2232,7489,1964,434,495,,Sold,,,http://www.redfin.com/CA/Torrance/20320-Roslin-Ave-90503/home/7716377,CRMLS,SB18252134,N,Y,33.8479308,-118.3510258
PAST SALE,April-20-2018,Single Family Residential,22635 Draille Dr,Torrance,CA,90505,1310000,5,3.0,129 - South Torrance,2544,6066,1953,657,515,,Sold,,,http://www.redfin.com/CA/Torrance/22635-Draille-Dr-90505/home/7717425,CRMLS,SB18018471,N,Y,33.8224781,-118.3683475
PAST SALE,August-15-2018,Single Family Residential,340 Paseo De Gracia,Redondo Beach,CA,90277,1675000,5,2.0,128 - Hollywood Riviera,2422,6949,1954,540,692,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/340-Paseo-De-Gracia-90277/home/7709207,CRMLS,OC18141243,N,Y,33.8138096,-118.3764403
PAST SALE,July-12-2018,Single Family Residential,421 Calle De Aragon,Redondo Beach,CA,90277,2462000,5,4.0,128 - Hollywood Riviera,3079,6811,2017,574,800,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/421-Cll-De-Aragon-90277/home/7708522,CRMLS,PV18097140,N,Y,33.8077203,-118.3805943
PAST SALE,August-23-2018,Single Family Residential,609 Calle De Arboles,Redondo Beach,CA,90277,2495000,5,4.75,128 - Hollywood Riviera,3680,6875,2017,532,678,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/609-Calle-de-Arboles-90277/home/7708839,CRMLS,SB18163820,N,Y,33.8048118,-118.3816442
PAST SALE,May-8-2018,Single Family Residential,115 Via Anita,Redondo Beach,CA,90277,2299000,6,3.0,128 - Hollywood Riviera,2902,7939,1954,639,792,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/115-Via-Anita-90277/home/7708030,CRMLS,PW18001317,N,Y,33.8074193,-118.3878979
PAST SALE,,Single Family Residential,5522 1/2 Norton St Unit C,Torrance,CA,90503,1540000,6,2.75,,2674,9430,1972,,576,,,,,http://www.redfin.com/CA/Torrance/5522-1-2-Norton-St-90503/unit-C/home/7713548,,,N,Y,33.85045,-118.3727426
PAST SALE,May-5-2018,Single Family Residential,23738 Pennsylvania Ave,Torrance,CA,90501,1250000,5,3.25,135 - South East Torrance - East,4945,11550,2006,642,253,,Sold,,,http://www.redfin.com/CA/Torrance/23738-Pennsylvania-Ave-90501/home/7660780,CRMLS,SB18052549,N,Y,33.8086185,-118.3250769
PAST SALE,March-19-2019,Single Family Residential,21702 Anza Ave,Torrance,CA,90503,920000,5,2.5,130 - Southwood,2114,5401,1956,324,435,,Sold,,,http://www.redfin.com/CA/Torrance/21702-Anza-Ave-90503/home/7716893,CRMLS,SB18283664,N,Y,33.8320426,-118.3611927
PAST SALE,March-30-2018,Single Family Residential,225 Via Alameda,Redondo Beach,CA,90277,2500000,5,4.0,128 - Hollywood Riviera,3800,6427,2009,678,658,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/225-Via-Alameda-90277/home/7708771,CRMLS,SB18050156,N,Y,33.8060095,-118.3805482
PAST SALE,April-30-2018,Single Family Residential,1661 W 221st St,Torrance,CA,90501,835000,5,3.5,Harbor Gateway,2434,7201,2017,647,343,,Sold,,,http://www.redfin.com/CA/Torrance/1661-W-221st-St-90501/home/110239061,TheMLS,17-298064,N,Y,33.826982,-118.3085574
PAST SALE,August-14-2018,Single Family Residential,1973 W 233rd St,Torrance,CA,90501,895000,5,3.5,135 - South East Torrance - East,2556,6580,1974,541,350,,Sold,,,http://www.redfin.com/CA/Torrance/1973-W-233rd-St-90501/home/7655276,CRMLS,SB18132288,N,Y,33.8143746,-118.3142087
PAST SALE,March-20-2019,Single Family Residential,4604 Bindewald Rd,Torrance,CA,90505,1300000,5,3.75,129 - South Torrance,3771,7084,1956,323,345,,Sold,,,http://www.redfin.com/CA/Torrance/4604-Bindewald-Rd-90505/home/7718946,CRMLS,SB19039426,N,Y,33.8183633,-118.3626992
PAST SALE,August-20-2018,Single Family Residential,3205 Carolwood Ln,Torrance,CA,90505,1260000,5,4.0,125 - Walteria,2792,5002,1977,535,451,,Sold,,,http://www.redfin.com/CA/Torrance/3205-Carolwood-Ln-90505/home/7728223,CRMLS,SB18153740,N,Y,33.7923866,-118.3466198
PAST SALE,August-29-2019,Single Family Residential,5417 Wilma St,Torrance,CA,90503,1528500,5,3.75,131 - West Torrance,3387,6481,1956,161,451,,Sold,,,http://www.redfin.com/CA/Torrance/5417-Wilma-St-90503/home/7713565,CRMLS,SB19160323,N,Y,33.8500241,-118.3705579
PAST SALE,November-13-2019,Single Family Residential,2883 W 234th St,Torrance,CA,90505,1149000,5,3.0,127 - South East Torrance - West,2523,6001,1963,85,455,,Sold,,,http://www.redfin.com/CA/Torrance/2883-W-234th-St-90505/home/7658905,CRMLS,SB19220587,N,Y,33.8169674,-118.3381004
PAST SALE,December-17-2019,Single Family Residential,1469 S Irena Ave,Redondo Beach,CA,90277,1700000,5,3.0,156 - S Redondo Bch S of Torrance Bl,3021,6317,1953,51,563,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1469-S-Irena-Ave-90277/home/7706606,CRMLS,PV19208900,N,Y,33.8214422,-118.3744966
PAST SALE,October-11-2018,Single Family Residential,18932 Florwood Ave,Torrance,CA,90504,833000,5,2.5,132 - N Torrance - West,2222,5404,1953,483,375,,Sold,,,http://www.redfin.com/CA/Torrance/18932-Florwood-Ave-90504/home/6582536,CRMLS,SB17274874,N,Y,33.8585209,-118.340419
PAST SALE,July-23-2019,Single Family Residential,23207 Ocean Ave,Torrance,CA,90505,1030000,5,3.0,129 - South Torrance,1990,6051,1965,198,518,,Sold,,,http://www.redfin.com/CA/Torrance/23207-Ocean-Ave-90505/home/7717907,CRMLS,SB19091562,N,Y,33.8157977,-118.3546641
PAST SALE,April-4-2019,Single Family Residential,607 Susana Ave,Redondo Beach,CA,90277,1275000,5,3.0,156 - S Redondo Bch S of Torrance Bl,2010,5397,1967,308,634,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/607-Susana-Ave-90277/home/7704051,CRMLS,PV19050305,N,Y,33.8328959,-118.3746599
PAST SALE,July-15-2019,Single Family Residential,4300 Via Azalea,Palos Verdes Estates,CA,90274,1560000,5,2.0,164 - Valmonte,2454,10807,1937,206,636,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4300-Via-Azalea-90274/home/7722463,CRMLS,PV18120222,N,Y,33.7985407,-118.3571295
PAST SALE,December-31-2019,Single Family Residential,22609 Fonthill Ave,Torrance,CA,90505,1200000,5,2.5,127 - South East Torrance - West,2388,7573,1963,37,503,,Sold,,,http://www.redfin.com/CA/Torrance/22609-Fonthill-Ave-90505/home/7659042,CRMLS,PV19258789,N,Y,33.8215425,-118.338547
PAST SALE,October-30-2018,Single Family Residential,237 Via Los Miradores,Redondo Beach,CA,90277,1840000,5,3.5,128 - Hollywood Riviera,2659,6182,1953,464,692,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/237-Via-Los-Miradores-90277/home/7708287,CRMLS,PV18176628,N,Y,33.8099905,-118.3783202
PAST SALE,March-11-2019,Single Family Residential,4305 Sepulveda Blvd,Torrance,CA,90505,895000,5,3.0,130 - Southwood,1491,5300,1956,332,600,,Sold,,,http://www.redfin.com/CA/Torrance/4305-Sepulveda-Blvd-90505/home/7657396,i-Tech MLS,319000363,N,Y,33.826445,-118.3582708
