SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-21-2018,Townhouse,4325 W 182nd St #10,Torrance,CA,90504,580000,2,2.5,132 - N Torrance - West,1398,58125,1980,412,415,315,Sold,,,http://www.redfin.com/CA/Torrance/4325-W-182nd-St-90504/unit-10/home/6574727,CRMLS,SB18253985,N,Y,33.8660666,-118.3513148
PAST SALE,March-29-2019,Townhouse,1127 W 228th St #17,Torrance,CA,90502,510000,3,2.5,123 - County Strip,1490,65883,1988,314,342,320,Sold,,,http://www.redfin.com/CA/Torrance/1127-W-228th-St-90502/unit-17/home/7644733,CRMLS,SB19006557,N,Y,33.8194995,-118.2958799
PAST SALE,October-30-2018,Townhouse,2052 Artesia Blvd Unit A,Torrance,CA,90504,520000,2,2.5,133 - N Torrance - East,1160,44256,2001,464,448,195,Sold,,,http://www.redfin.com/CA/Torrance/2052-Artesia-Blvd-90504/unit-A/home/8118925,CRMLS,SB18220460,N,Y,33.87214,-118.315377
PAST SALE,,Condo/Co-op,3101 Plaza del Amo #20,Torrance,CA,90503,600000,2,3.0,,1401,,1986,,428,,,,,http://www.redfin.com/CA/Torrance/3101-Plaza-del-Amo-90503/unit-20/home/7654122,,,N,Y,33.8285068,-118.3407228
PAST SALE,June-27-2018,Townhouse,23118 S Vermont Ave,Torrance,CA,90502,435000,3,1.5,123 - County Strip,1113,2613,1973,589,391,300,Sold,,,http://www.redfin.com/CA/Torrance/23118-S-Vermont-Ave-90502/home/7669260,CRMLS,PW18034358,N,Y,33.815497,-118.289937
PAST SALE,January-31-2019,Townhouse,2207 W 239th St,Torrance,CA,90501,512000,3,2.25,135 - South East Torrance - East,1609,11988,1978,371,318,275,Sold,,,http://www.redfin.com/CA/Torrance/2207-W-239th-St-90501/home/7660774,CRMLS,IN18218833,N,Y,33.8077948,-118.3204223
PAST SALE,March-14-2019,Townhouse,2368 241st St,Lomita,CA,90717,575000,3,3.0,121 - Lomita,1303,96920,1989,329,441,170,Sold,,,http://www.redfin.com/CA/Lomita/2368-241st-St-90717/home/7662633,CRMLS,SB19012560,N,Y,33.8058169,-118.3233206
PAST SALE,August-15-2018,Townhouse,22919 Mariposa Ave #604,Torrance,CA,90502,490000,3,3.0,123 - County Strip,1380,10138,2008,540,355,194,Sold,,,http://www.redfin.com/CA/Torrance/22919-Mariposa-Ave-90502/unit-604/home/21881446,CRMLS,SB18146721,N,Y,33.8173802,-118.2975961
PAST SALE,October-10-2018,Townhouse,3727 Emerald St Unit B,Torrance,CA,90503,600000,2,2.5,131 - West Torrance,1128,54004,1987,484,532,470,Sold,,,http://www.redfin.com/CA/Torrance/3727-Emerald-St-90503/unit-B/home/7715890,CRMLS,PV18216277,N,Y,33.841665,-118.352459
PAST SALE,,Condo/Co-op,1652 Plaza del Amo Unit B,Torrance,CA,90501,339000,3,3.0,,1150,,2007,,295,,,,,http://www.redfin.com/CA/Torrance/1652-Plaza-del-Amo-90501/unit-B/home/12298015,,,N,Y,33.8222017,-118.3082263
