,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION
2660,2019-08-16,Single Family Residential,758 E 83Rd St,County - Los Angeles,CA,90001.0,380000,3.0,3.0,CO - Los Angeles (County),1753.0,5103.0,1947.0,162.0,217.0,,IV19125445,33.9634983,-118.2609453,florence_0_to_3_beds.csv,1
3079,2018-10-04,Single Family Residential,21945 S Salmon Ave,Long Beach,CA,90810.0,545000,5.0,1.75,Westside,1763.0,7154.0,1945.0,478.0,309.0,,218010448,33.828239200000006,-118.22586729999999,carson_sfh_450_to_540K.csv,1
3202,2019-11-26,Single Family Residential,1215 S Mckinley Ave,Compton,CA,90220.0,473500,3.0,1.0,RQ - Compton West of Central,1129.0,5000.0,1951.0,60.0,419.0,,SB19236477,33.8834756,-118.2581213,carson_sfh_450_to_540K.csv,1
4146,2018-04-11,Single Family Residential,2405 E 115Th St,County - Los Angeles,CA,90059.0,335000,3.0,2.0,CO - Los Angeles (County),1058.0,3154.0,1950.0,654.0,317.0,,RS18073782,33.9306301,-118.23047050000001,watts_0_to_3_beds.csv,1
4206,2019-12-20,Single Family Residential,2441 E 113Th St,County - Los Angeles,CA,90059.0,200000,1.0,1.0,CO - Los Angeles (County),620.0,3125.0,1924.0,36.0,323.0,,DW19119625,33.9324083,-118.2290075,watts_0_to_3_beds.csv,1
5525,2018-08-30,Townhouse,1462 E 99Th,County - Los Angeles,CA,90002.0,460000,5.0,3.0,CO - Los Angeles (County),2224.0,6256.0,1922.0,513.0,207.0,,AR18122975,33.9467864,-118.24860729999999,watts_4_plus_beds.csv,1
5764,2019-09-06,Single Family Residential,6135 S Le Doux Rd,Ladera Heights,CA,90056.0,1425000,3.0,2.5,103 - Ladera Heights,2196.0,10782.0,1955.0,138.0,649.0,,SB19147544,33.9828491,-118.3731078,inglewood_04_sfh_3_beds.csv,1
5803,2018-03-02,Single Family Residential,4053 W 58Th Pl,Park Hills Heights,CA,90043.0,665000,3.0,2.0,PHHT - Park Hills Heights,1428.0,4999.0,1931.0,691.0,466.0,,CV17177323,33.98127879999999,-118.33457460000001,inglewood_04_sfh_3_beds.csv,1
5807,2018-09-26,Single Family Residential,6315 Alviso Ave,View Park,CA,90043.0,840000,3.0,2.0,Park Hills Heights,1385.0,6001.0,1948.0,483.0,606.0,,18-375490,33.982141799999994,-118.3442544,inglewood_04_sfh_3_beds.csv,1
5865,2018-02-15,Single Family Residential,6303 S Rimpau Blvd,Park Hills Heights,CA,90043.0,643000,3.0,2.0,PHHT - Park Hills Heights,1042.0,5438.0,1943.0,706.0,617.0,,SR18005540,33.9827172,-118.3398711,inglewood_04_sfh_3_beds.csv,1
6309,2019-03-01,Condo/Co-op,7765 W 91St St Unit F1114,Venice,CA,90293.0,625000,3.0,2.0,Playa Del Rey,1228.0,311643.0,1971.0,327.0,509.0,440.0,19-427738,33.957748200000005,-118.4317758,playa-del-rey_02_notSFHs.csv,1
6723,2018-08-07,Condo/Co-op,1401 Lomita Blvd Unit 310,Harbor,CA,90710.0,437500,3.0,2.0,,1070.0,,2010.0,536.0,409.0,240.0,180026588,33.798982,-118.3019149,harbor-city_0_to_3_beds.csv,1
7681,2019-07-10,Condo/Co-op,6740 Springpark Ave #211,Ladera Heights,CA,90056.0,555000,2.0,2.0,103 - Ladera Heights,1606.0,30168.0,1965.0,196.0,346.0,300.0,SB19074158,33.9784512,-118.37430249999998,inglewood_02_condos.csv,1
9428,2018-08-28,Single Family Residential,1510 S Wadsworth Ave,Compton,CA,90220.0,400000,2.0,1.0,"RP - Compton S of Rosecrans, E of Central,W of Ala",842.0,5002.0,1953.0,515.0,475.0,,DW18153421,33.8814194,-118.25389569999999,carson_sfh_0_to_450K.csv,1
9452,2019-02-01,Single Family Residential,1508 S Wadsworth Ave,Compton,CA,90220.0,409000,3.0,2.0,RQ - Compton West of Central,891.0,5000.0,1954.0,358.0,459.0,,PW18281223,33.881554,-118.2539186,carson_sfh_0_to_450K.csv,1
9480,2019-07-18,Single Family Residential,2733 E 220Th St,Long Beach,CA,90810.0,365000,2.0,1.0,11 - Westside,806.0,5513.0,1942.0,191.0,453.0,,PW19083890,33.8282635,-118.21845400000001,carson_sfh_0_to_450K.csv,1
9960,2019-06-14,Townhouse,834 E 83Rd St,Los Feliz,CA,90001.0,630000,7.0,3.0,699 - Not Defined,2697.0,5096.0,1927.0,225.0,234.0,,SR19041754,33.963525,-118.259473,florence_4_plus_beds.csv,1
16281,2018-10-10,Single Family Residential,1232 W 27Th St,San Bernardino,CA,92405.0,210000,3.0,1.0,274 - San Bernardino,1088.0,6600.0,1949.0,485.0,193.0,,SR18219438,33.7196699,-118.30356809999999,san-pedro_sfh-0-650k.csv,2
