,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
5024,2018-09-21,Single Family Residential,10019 S Burl Ave Unit N,Inglewood,CA,90304.0,530000,2.0,1.0,832.0,6300.0,1942.0,488.0,637.0,0.0,218010629,33.944790999999995,-118.36265359999999,lennox.csv,1,Lennox
1024,2018-09-21,Single Family Residential,10019 S Burl Ave Unit N,Inglewood,CA,90304.0,530000,2.0,1.0,832.0,6300.0,1942.0,488.0,637.0,0.0,218010629,33.944790999999995,-118.36265359999999,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
11939,2018-04-23,Single Family Residential,1004 Beech Ave,Torrance,CA,90501.0,900000,4.0,2.75,2375.0,5551.0,1937.0,654.0,379.0,0.0,SB17255043,33.837758799999996,-118.327223,torrance_sfh-4beds-0-900k.csv,2,Torrance
13480,2018-04-23,Single Family Residential,1004 Beech Ave,Torrance,CA,90501.0,900000,4.0,2.75,2375.0,5551.0,1937.0,654.0,379.0,0.0,SB17255043,33.837758799999996,-118.327223,torrance_sfh-4beds-900K-plus.csv,2,Torrance
15071,2018-04-26,Townhouse,101 Calle Mayor,Redondo Beach,CA,90277.0,1160000,3.0,2.25,1845.0,12019.0,1974.0,651.0,629.0,420.0,SB18054941,33.8078607,-118.3879395,redondo_townhome-3-beds.csv,2,Redondo Beach
12950,2018-04-26,Townhouse,101 Calle Mayor,Redondo Beach,CA,90277.0,1160000,3.0,2.25,1845.0,12019.0,1974.0,651.0,629.0,420.0,SB18054941,33.8078607,-118.3879395,torrance_townhome-600K_plus.csv,2,Torrance
15909,2019-11-01,Single Family Residential,1010 Firmona Ave,Redondo Beach,CA,90278.0,1150000,4.0,2.0,2303.0,8131.0,1955.0,97.0,499.0,0.0,SB19217581,33.86357,-118.35904690000001,redondo_sfh-4_plus_beds.csv,2,Redondo Beach
13476,2019-11-01,Single Family Residential,1010 Firmona Ave,Redondo Beach,CA,90278.0,1150000,4.0,2.0,2303.0,8131.0,1955.0,97.0,499.0,0.0,SB19217581,33.86357,-118.35904690000001,torrance_sfh-4beds-900K-plus.csv,2,Torrance
5860,2019-09-27,Single Family Residential,10113 Dalerose Ave,Inglewood,CA,90304.0,515000,3.0,1.0,976.0,5285.0,1941.0,117.0,528.0,0.0,SR19188306,33.944257799999995,-118.3604622,inglewood_04_sfh_3_beds.csv,1,Inglewood
5031,2019-09-27,Single Family Residential,10113 Dalerose Ave,Inglewood,CA,90304.0,515000,3.0,1.0,976.0,5285.0,1941.0,117.0,528.0,0.0,SR19188306,33.944257799999995,-118.3604622,lennox.csv,1,Lennox
13128,2019-11-08,Townhouse,102 S Prospect Ave Unit B,Redondo Beach,CA,90277.0,1360000,4.0,3.0,2309.0,6387.0,2019.0,90.0,589.0,214.0,SB19223236,33.8423687,-118.37621200000001,torrance_townhome-600K_plus.csv,2,Torrance
12613,2019-11-08,Townhouse,102 S Prospect Ave Unit B,Redondo Beach,CA,90277.0,1360000,4.0,3.0,2309.0,6387.0,2019.0,90.0,589.0,214.0,SB19223236,33.8423687,-118.37621200000001,redondo_townhome-4plus_beds.csv,2,Redondo Beach
13990,2019-05-17,Single Family Residential,1020 Avenue A,Redondo Beach,CA,90277.0,2700000,3.0,2.0,1732.0,18996.0,1956.0,265.0,1559.0,0.0,PV19048486,33.8267118,-118.3753447,torrance_sfh-900K-plus.csv,2,Torrance
17655,2019-05-17,Single Family Residential,1020 Avenue A,Redondo Beach,CA,90277.0,2700000,3.0,2.0,1732.0,18996.0,1956.0,265.0,1559.0,0.0,PV19048486,33.8267118,-118.3753447,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
15981,2018-08-30,Single Family Residential,1027 Avenue A,Redondo Beach,CA,90277.0,2367750,4.0,5.5,4359.0,6569.0,2017.0,525.0,543.0,0.0,PV18176001,33.827112299999996,-118.37502509999999,redondo_sfh-4_plus_beds.csv,2,Redondo Beach
13586,2018-08-30,Single Family Residential,1027 Avenue A,Redondo Beach,CA,90277.0,2367750,4.0,5.5,4359.0,6569.0,2017.0,525.0,543.0,0.0,PV18176001,33.827112299999996,-118.37502509999999,torrance_sfh-4beds-900K-plus.csv,2,Torrance
14005,2019-08-28,Single Family Residential,103 Via Mesa Grande,Redondo Beach,CA,90277.0,2660000,3.0,3.0,3370.0,9844.0,2014.0,162.0,789.0,0.0,SB19014103,33.8086376,-118.3863915,torrance_sfh-900K-plus.csv,2,Torrance
17511,2019-08-28,Single Family Residential,103 Via Mesa Grande,Redondo Beach,CA,90277.0,2660000,3.0,3.0,3370.0,9844.0,2014.0,162.0,789.0,0.0,SB19014103,33.8086376,-118.3863915,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
13925,2020-01-17,Single Family Residential,1031 Avenue D,Redondo Beach,CA,90277.0,1157000,3.0,1.5,1352.0,6340.0,1955.0,20.0,856.0,0.0,SB19263186,33.8240641,-118.375778,torrance_sfh-900K-plus.csv,2,Torrance
17534,2020-01-17,Single Family Residential,1031 Avenue D,Redondo Beach,CA,90277.0,1157000,3.0,1.5,1352.0,6340.0,1955.0,20.0,856.0,0.0,SB19263186,33.8240641,-118.375778,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
3804,2019-05-30,Single Family Residential,10318 Burin Ave,Inglewood,CA,90304.0,485000,4.0,2.0,1590.0,5564.0,1941.0,237.0,305.0,0.0,319001118,33.9387862,-118.36080459999998,inglewood_05_sfh_4_plus_beds.csv,1,Inglewood
5063,2019-10-25,Single Family Residential,10318 Burin Ave,Inglewood,CA,90304.0,655000,3.0,3.0,1590.0,5564.0,1943.0,89.0,412.0,0.0,IV19202774,33.942197,-118.353482,lennox.csv,1,Lennox
5066,2019-05-30,Single Family Residential,10318 Burin Ave,Inglewood,CA,90304.0,485000,4.0,2.0,1590.0,5564.0,1941.0,237.0,305.0,0.0,319001118,33.9387862,-118.36080459999998,lennox.csv,1,Lennox
5896,2019-10-25,Single Family Residential,10318 Burin Ave,Inglewood,CA,90304.0,655000,3.0,3.0,1590.0,5564.0,1943.0,89.0,412.0,0.0,IV19202774,33.942197,-118.353482,inglewood_04_sfh_3_beds.csv,1,Inglewood
15751,2019-05-22,Single Family Residential,1034 Palos Verdes Blvd,Redondo Beach,CA,90277.0,1285000,4.0,3.5,1940.0,4763.0,1952.0,260.0,662.0,0.0,AR19008088,33.8225164,-118.3757268,redondo_sfh-4_plus_beds.csv,2,Redondo Beach
13766,2019-05-22,Single Family Residential,1034 Palos Verdes Blvd,Redondo Beach,CA,90277.0,1285000,4.0,3.5,1940.0,4763.0,1952.0,260.0,662.0,0.0,AR19008088,33.8225164,-118.3757268,torrance_sfh-4beds-900K-plus.csv,2,Torrance
5037,2019-04-05,Single Family Residential,10405 Buford Ave,Inglewood,CA,90304.0,520000,3.0,3.0,1754.0,5935.0,2003.0,292.0,296.0,0.0,19-427380,33.9416511,-118.36384059999999,lennox.csv,1,Lennox
5771,2019-04-05,Single Family Residential,10405 Buford Ave,Inglewood,CA,90304.0,520000,3.0,3.0,1754.0,5935.0,2003.0,292.0,296.0,0.0,19-427380,33.9416511,-118.36384059999999,inglewood_04_sfh_3_beds.csv,1,Inglewood
5015,2019-07-17,Single Family Residential,10405 S Truro Ave,Inglewood,CA,90304.0,440000,2.0,1.0,898.0,5838.0,1941.0,189.0,490.0,0.0,DW19127827,33.9415622,-118.35827079999999,lennox.csv,1,Lennox
874,2019-07-17,Single Family Residential,10405 S Truro Ave,Inglewood,CA,90304.0,440000,2.0,1.0,898.0,5838.0,1941.0,189.0,490.0,0.0,DW19127827,33.9415622,-118.35827079999999,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
5071,2018-11-21,Single Family Residential,10409 S Inglewood Ave,Inglewood,CA,90304.0,410000,2.0,1.0,762.0,4803.0,1923.0,427.0,538.0,0.0,PV18238042,33.9414497,-118.36160359999998,lennox.csv,1,Lennox
971,2018-11-21,Single Family Residential,10409 S Inglewood Ave,Inglewood,CA,90304.0,410000,2.0,1.0,762.0,4803.0,1923.0,427.0,538.0,0.0,PV18238042,33.9414497,-118.36160359999998,inglewood_03_sfh_2_beds_or_less.csv,1,Inglewood
2164,2019-06-06,Single Family Residential,1048 Park Circle Dr,Torrance,CA,90502.0,600000,3.0,2.5,1624.0,164752.0,1984.0,233.0,369.0,315.0,SB19098638,33.814929,-118.29378500000001,carson_sfh_550_to_600K.csv,1,Carson
10051,2019-06-06,Single Family Residential,1048 Park Circle Dr,Torrance,CA,90502.0,600000,3.0,2.5,1624.0,164752.0,1984.0,233.0,369.0,315.0,SB19098638,33.814929,-118.29378500000001,carson_sfh_600K_plus.csv,1,Carson
13796,2019-05-08,Single Family Residential,105 Calle De Arboles,Redondo Beach,CA,90277.0,1650000,3.0,2.0,1416.0,7668.0,1954.0,274.0,1165.0,0.0,SB19070567,33.8047861,-118.38910690000002,torrance_sfh-900K-plus.csv,2,Torrance
17410,2019-05-08,Single Family Residential,105 Calle De Arboles,Redondo Beach,CA,90277.0,1650000,3.0,2.0,1416.0,7668.0,1954.0,274.0,1165.0,0.0,SB19070567,33.8047861,-118.38910690000002,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
