SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-29-2018,Single Family Residential,15532 Patronella Ave,Gardena,CA,90249,710000,3,2.0,111 - Bodger Park/El Camino,1601,5381,1947,664,443,,Sold,,,http://www.redfin.com/CA/Gardena/15532-Patronella-Ave-90249/home/6546892,CRMLS,SB18038531,N,Y,33.8893679,-118.3340707
PAST SALE,February-16-2018,Single Family Residential,15208 Prairie Ave,Lawndale,CA,90260,499000,3,1.0,111 - Bodger Park/El Camino,1077,6595,1952,705,463,,Sold,,,http://www.redfin.com/CA/Lawndale/15208-Prairie-Ave-90260/home/6551331,CRMLS,SB17249012,N,Y,33.8933276,-118.3433869
PAST SALE,September-28-2018,Condo/Co-op,3134 W 145th St #7,Gardena,CA,90249,352500,3,2.5,Bodger Park/El Camino Village,1217,20400,1983,481,290,190,Sold,,,http://www.redfin.com/CA/Gardena/3134-W-145th-St-90249/unit-7/home/6549184,TheMLS,18-376710,N,Y,33.899127,-118.3279074
PAST SALE,,Single Family Residential,3837 Manhattan Beach Blvd,Lawndale,CA,90260,530000,3,2.0,,1209,5253,1952,,438,,,,,http://www.redfin.com/CA/Lawndale/3837-Manhattan-Beach-Blvd-90260/home/6553890,,,N,Y,33.887772,-118.3406017
PAST SALE,August-22-2019,Single Family Residential,3133 W 153rd St,Gardena,CA,90249,615000,3,2.5,111 - Bodger Park/El Camino,1303,5900,1943,153,472,,Sold,,,http://www.redfin.com/CA/Gardena/3133-W-153rd-St-90249/home/6545736,CRMLS,SB19162603,N,Y,33.8924697,-118.3277269
PAST SALE,September-11-2018,Single Family Residential,15521 Chadron Ave,Gardena,CA,90249,710000,3,1.75,111 - Bodger Park/El Camino,1750,4994,1951,498,406,,Sold,,,http://www.redfin.com/CA/Gardena/15521-Chadron-Ave-90249/home/6546132,CRMLS,SB18170465,N,Y,33.8893903,-118.3281797
PAST SALE,June-4-2019,Single Family Residential,15228 Cranbrook Ave,Lawndale,CA,90260,700000,3,2.0,111 - Bodger Park/El Camino,1562,5473,1953,232,448,,Sold,,,http://www.redfin.com/CA/Lawndale/15228-Cranbrook-Ave-90260/home/6552376,CRMLS,SB19082346,N,Y,33.8928925,-118.3363737
PAST SALE,,Single Family Residential,3362 W 152nd St,Gardena,CA,90249,392500,2,1.0,,825,5249,1943,,476,,,,,http://www.redfin.com/CA/Gardena/3362-W-152nd-St-90249/home/6545260,,,N,Y,33.8936326,-118.3328816
PAST SALE,,Single Family Residential,15523 Patronella Ave,Gardena,CA,90249,350000,3,1.0,,1001,5757,1947,,350,,,,,http://www.redfin.com/CA/Gardena/15523-Patronella-Ave-90249/home/6546968,,,N,Y,33.8896757,-118.3345115
PAST SALE,December-14-2018,Condo/Co-op,14930 Lemoli Ave #3,Gardena,CA,90249,403000,2,2.5,115 - North Gardena,1180,14965,1986,404,342,203,Sold,,,http://www.redfin.com/CA/Gardena/14930-Lemoli-Ave-90249/unit-3/home/6548953,CRMLS,DW18213470,N,Y,33.8956854,-118.3302791
