SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-27-2019,Condo/Co-op,23200 Sesame St Unit B,Torrance,CA,90502,327000,2,1.0,123 - County Strip,730,313239,1973,212,448,288,Sold,,,http://www.redfin.com/CA/Torrance/23200-Sesame-St-90502/unit-B/home/7669514,CRMLS,PW19020396,N,Y,33.8148037,-118.2883307
PAST SALE,,Condo/Co-op,22928 Serra Dr,Carson,CA,90745,500000,3,3.0,,1308,,2004,,382,,,,,http://www.redfin.com/CA/Carson/22928-Serra-Dr-90745/home/8143843,,,N,Y,33.817712,-118.264385
PAST SALE,June-13-2019,Condo/Co-op,941 W Carson St #126,Torrance,CA,90502,295000,1,1.0,123 - County Strip,696,79443,1982,226,424,320,Sold,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-126/home/7645730,CRMLS,SB19096533,N,Y,33.8322046,-118.2917416
PAST SALE,,Condo/Co-op,S Vermont Ave #17,Torrance,CA,90502,325000,1,1.0,,656,,1978,,495,,,,,http://www.redfin.com/CA/Torrance/S-Vermont-Ave-90502/unit-17/home/7648779,,,N,Y,33.844026,-118.289795
PAST SALE,June-17-2019,Condo/Co-op,20614 S Vermont Ave #34,Torrance,CA,90502,293000,1,1.0,123 - County Strip,656,287845,1978,222,447,335,Sold,,,http://www.redfin.com/CA/Torrance/20614-S-Vermont-Ave-90502/unit-34/home/7648796,CRMLS,TR19112272,N,Y,33.844026,-118.289795
PAST SALE,April-24-2019,Condo/Co-op,1017 Park Circle Dr,Torrance,CA,90502,599000,3,3.0,County Strip,1624,164774,1984,276,369,315,Sold,,,http://www.redfin.com/CA/Torrance/1017-Park-Cir-Dr-90502/home/7669699,TheMLS,19-438770,N,Y,33.814929,-118.293785
PAST SALE,May-23-2019,Condo/Co-op,23332 Sesame St Unit A,Torrance,CA,90502,225000,0,1.0,123 - County Strip,415,296172,1973,247,542,245,Sold,,,http://www.redfin.com/CA/Torrance/23332-Sesame-St-90502/unit-A/home/7670365,CRMLS,SB19004056,N,Y,33.812395,-118.288634
PAST SALE,June-26-2019,Condo/Co-op,526 W 219th St #7,Carson,CA,90745,469500,3,2.5,136 - Central Carson,1235,101429,1989,213,380,355,Sold,,,http://www.redfin.com/CA/Carson/526-W-219th-St-90745/unit-7/home/7643987,CRMLS,SB19117628,N,Y,33.8285299,-118.2852971
PAST SALE,June-28-2019,Condo/Co-op,21415 S Vermont Ave #14,Torrance,CA,90502,435000,2,2.0,123 - County Strip,888,100155,1990,211,490,235,Sold,,,http://www.redfin.com/CA/Torrance/21415-S-Vermont-Ave-90502/unit-14/home/7645854,CRMLS,SB19103989,N,Y,33.8335523,-118.290636
PAST SALE,June-26-2019,Condo/Co-op,941 W Carson St #108,Torrance,CA,90502,400000,2,2.0,123 - County Strip,1038,79443,1982,213,385,320,Sold,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-108/home/7645712,CRMLS,SB19057706,N,Y,33.8322046,-118.2917416
PAST SALE,October-19-2018,Condo/Co-op,215 E 223rd St #9,Carson,CA,90745,420000,3,3.0,136 - Central Carson,1175,25444,1988,463,357,190,Sold,,,http://www.redfin.com/CA/Carson/215-E-223rd-St-90745/unit-9/home/7640633,CRMLS,PW18182109,N,Y,33.8247262,-118.2736406
PAST SALE,June-21-2018,Condo/Co-op,820 Coriander Dr Unit Q,Torrance,CA,90502,240000,1,1.0,123 - County Strip,639,296172,1973,583,376,275,Sold,,,http://www.redfin.com/CA/Torrance/820-Coriander-Dr-90502/unit-Q/home/7670498,CRMLS,RS18023996,N,Y,33.8122828,-118.2893416
PAST SALE,July-9-2018,Condo/Co-op,23308 Sesame St Unit G,Torrance,CA,90502,320000,2,2.0,123 - County Strip,829,296172,1973,565,386,300,Sold,,,http://www.redfin.com/CA/Torrance/23308-Sesame-St-90502/unit-G/home/7670555,CRMLS,SB18123196,N,Y,33.812395,-118.288634
PAST SALE,December-20-2018,Condo/Co-op,1115 Sepulveda Blvd Unit G101,Torrance,CA,90502,351000,2,1.0,123 - County Strip,796,238199,1973,401,441,294,Sold,,,http://www.redfin.com/CA/Torrance/1115-Sepulveda-Blvd-90502/unit-G101/home/7670708,CRMLS,SB18228342,N,Y,33.812662,-118.294759
PAST SALE,,Condo/Co-op,1436 Paseo Vera St,Carson,CA,90745,627000,4,4.0,,,,2018,,,,,,,http://www.redfin.com/CA/Carson/1436-Paseo-Vera-St-90745/home/167709951,,,N,Y,33.830307,-118.248721
PAST SALE,October-4-2019,Condo/Co-op,7 Ocotillo Ln,Carson,CA,90745,291688,3,2.0,136 - Central Carson,1121,1904979,1963,113,260,268,Sold,,,http://www.redfin.com/CA/Carson/7-Ocotillo-Ln-90745/home/7629044,CRMLS,PW19202996,N,Y,33.8137634,-118.2615485
PAST SALE,,Condo/Co-op,941 W Carson St #316,Torrance,CA,90502,256500,1,1.0,,696,,1982,,369,,,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-316/home/7645776,,,N,Y,33.8322046,-118.2917416
PAST SALE,November-27-2019,Condo/Co-op,941 W Carson St #228,Torrance,CA,90502,292000,1,1.0,123 - County Strip,696,79443,1982,59,420,320,Sold,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-228/home/7645760,CRMLS,SB19175941,N,Y,33.8322046,-118.2917416
PAST SALE,January-15-2020,Condo/Co-op,941 W Carson St #221,Torrance,CA,90502,300000,1,1.0,123 - County Strip,696,79443,1982,10,431,320,Sold,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-221/home/7645753,CRMLS,SB19263031,N,Y,33.8322046,-118.2917416
PAST SALE,January-3-2020,Condo/Co-op,941 W Carson St #215,Torrance,CA,90502,305000,1,1.0,123 - County Strip,696,79443,1982,22,438,320,Sold,,,http://www.redfin.com/CA/Torrance/941-W-Carson-St-90502/unit-215/home/7645747,CRMLS,SB19263065,N,Y,33.8322046,-118.2917416
PAST SALE,January-15-2019,Condo/Co-op,920 W Del Amo Blvd #7,Torrance,CA,90502,327000,2,1.75,123 - County Strip,959,229567,1980,375,341,300,Sold,,,http://www.redfin.com/CA/Torrance/920-W-Del-Amo-Blvd-90502/unit-7/home/141369373,CRMLS,SB18271794,N,Y,33.8440826,-118.2906796
PAST SALE,May-30-2019,Condo/Co-op,20435 S Vermont Ave #3,Torrance,CA,90502,309000,1,1.0,123 - County Strip,654,229567,1980,240,472,335,Sold,,,http://www.redfin.com/CA/Torrance/20435-Vermont-Ave-90502/unit-3/home/166894471,CRMLS,PW19091651,N,Y,33.8440826,-118.2906844
