SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-7-2019,Single Family Residential,1009 E 80th St,Los Angeles,CA,90001,375000,2,1.0,699 - Not Defined,864,5995,1926,352,434,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1009-E-80th-St-90001/home/7288439,CRMLS,DW18281321,N,Y,33.966707,-118.2573447
PAST SALE,,Single Family Residential,755 E 78th St,Los Angeles,CA,90001,815000,3,1.0,,1348,5101,1930,,605,,,,,http://www.redfin.com/CA/Los-Angeles/755-E-78th-St-90001/home/7285310,,,N,Y,33.9686417,-118.2610965
PAST SALE,February-12-2018,Multi-Family (2-4 Unit),231 E.82 ND St,Los Angeles,CA,90003,390000,3,2.0,C37 - Metropolitan South,1272,5065,1924,712,307,,Sold,,,http://www.redfin.com/CA/Los-Angeles/231-E-82nd-St-90003/home/7289319,CRMLS,RS17274152,N,Y,33.9655472,-118.2706832
PAST SALE,January-25-2018,Multi-Family (2-4 Unit),907 E 81st St,Los Angeles,CA,90001,489000,4,2.0,699 - Not Defined,1800,5102,1926,730,272,,Sold,,,http://www.redfin.com/CA/Los-Angeles/907-E-81st-St-90001/home/7288444,CRMLS,DW17252397,N,Y,33.9657985,-118.2582583
PAST SALE,October-15-2018,Single Family Residential,850 E 80th St,Los Angeles,CA,90001,375000,3,1.0,699 - Not Defined,1266,5100,1928,467,296,,Sold,,,http://www.redfin.com/CA/Los-Angeles/850-E-80th-St-90001/home/7288481,CRMLS,DW18137278,N,Y,33.9663313,-118.2590476
PAST SALE,,Single Family Residential,341 W 62nd St,Los Angeles,CA,90003,850000,2,1.0,,1000,5354,1910,,850,,,,,http://www.redfin.com/CA/Los-Angeles/341-W-62nd-St-90003/home/7272986,,,N,Y,33.9834961,-118.2798185
PAST SALE,July-30-2019,Single Family Residential,121 E 76th Pl,Los Angeles,CA,90003,400000,3,2.0,Metropolitan South,1180,4000,1950,179,339,,Sold,,,http://www.redfin.com/CA/Los-Angeles/121-E-76th-Pl-90003/home/7284132,TheMLS,19-472034,N,Y,33.9706718,-118.2731041
PAST SALE,August-23-2019,Single Family Residential,336 E 79th St,Los Angeles,CA,90003,375000,3,1.0,Metropolitan South,1092,5502,1912,155,343,,Sold,,,http://www.redfin.com/CA/Los-Angeles/336-E-79th-St-90003/home/7289644,TheMLS,19-460648,N,Y,33.9672033,-118.2682166
PAST SALE,September-3-2019,Single Family Residential,164 W 80th St,Los Angeles,CA,90003,375000,1,1.0,Metropolitan South,915,7210,1931,144,410,,Sold,,,http://www.redfin.com/CA/Los-Angeles/164-W-80th-St-90003/home/7290424,TheMLS,19-492132,N,Y,33.9667289,-118.2761073
PAST SALE,October-22-2019,Single Family Residential,7610 San Pedro S,Los Angeles,CA,90003,480000,1,1.0,C42 - Downtown L.A.,2760,5759,1947,95,174,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7610-San-Pedro-St-90003/home/168802260,CRISNet,SR19205747,N,Y,33.9709565,-118.26933
PAST SALE,October-30-2019,Single Family Residential,238 E 84th St,Los Angeles,CA,90003,393000,2,1.0,C37 - Metropolitan South,820,5200,1923,87,479,,Sold,,,http://www.redfin.com/CA/Los-Angeles/238-E-84th-St-90003/home/7289526,CRMLS,RS19234258,N,Y,33.9626285,-118.2705005
PAST SALE,,Single Family Residential,7916 San Pedro St,Los Angeles,CA,90003,1150000,2,1.0,,840,6089,1927,,1369,,,,,http://www.redfin.com/CA/Los-Angeles/7916-San-Pedro-St-90003/home/7289628,,,N,Y,33.9668484,-118.2691187
PAST SALE,December-19-2019,Single Family Residential,145 E 77th St,Los Angeles,CA,90003,499000,3,2.0,C37 - Metropolitan South,1027,3825,1923,37,486,,Sold,,,http://www.redfin.com/CA/Los-Angeles/145-E-77th-St-90003/home/7284168,CRMLS,PW19266126,N,Y,33.9698753,-118.2722819
PAST SALE,November-30-2018,Single Family Residential,156 W 80th St,Los Angeles,CA,90003,380000,1,1.0,Metropolitan South,850,7211,1927,421,447,,Sold,,,http://www.redfin.com/CA/Los-Angeles/156-W-80th-St-90003/home/7290425,TheMLS,18-389206,N,Y,33.9667329,-118.2758904
PAST SALE,,Single Family Residential,241 E 62nd St,Los Angeles,CA,90003,174000,2,1.0,,1182,5118,1906,,147,,,,,http://www.redfin.com/CA/Los-Angeles/241-E-62nd-St-90003/home/7273659,,,N,Y,33.9835418,-118.2703178
PAST SALE,November-1-2019,Multi-Family (2-4 Unit),120 E 60th St,Los Angeles,CA,90003,520000,3,2.0,Downtown L.A.,1716,5129,1923,85,303,,Sold,,,http://www.redfin.com/CA/Los-Angeles/120-E-60th-St-90003/home/7273597,TheMLS,19-481732,N,Y,33.9849585,-118.2731498
PAST SALE,September-27-2019,Multi-Family (2-4 Unit),212 E 66th St,Los Angeles,CA,90003,453000,3,2.0,699 - Not Defined,1343,5401,1907,120,337,,Sold,,,http://www.redfin.com/CA/Los-Angeles/212-E-66th-St-90003/home/7276597,CRMLS,DW19095395,N,Y,33.9795094,-118.2712313
PAST SALE,,Single Family Residential,138 W 61st St,Los Angeles,CA,90003,870000,3,2.0,,1229,5120,1910,,708,,,,,http://www.redfin.com/CA/Los-Angeles/138-W-61st-St-90003/home/7273312,,,N,Y,33.984,-118.2753879
PAST SALE,October-16-2019,Single Family Residential,244 W 61st St,Los Angeles,CA,90003,330000,2,1.0,C37 - Metropolitan South,1068,4610,1910,101,309,,Sold,,,http://www.redfin.com/CA/Los-Angeles/244-W-61st-St-90003/home/7273291,CRMLS,IV19014925,N,Y,33.9840027,-118.2776261
PAST SALE,,Multi-Family (2-4 Unit),329 W 60th St,Los Angeles,CA,90003,674000,1,1.0,,572,6080,1922,,1178,,,,,http://www.redfin.com/CA/Los-Angeles/329-W-60th-St-90003/home/7273000,,,N,Y,33.985382,-118.279384
PAST SALE,September-13-2019,Single Family Residential,335 W 80th St,Los Angeles,CA,90003,390000,3,1.0,C34 - Los Angeles Southwest,1182,5530,1918,134,330,,Sold,,,http://www.redfin.com/CA/Los-Angeles/335-W-80th-St-90003/home/7290358,CRMLS,CV19173831,N,Y,33.9671148,-118.2795493
PAST SALE,September-27-2019,Multi-Family (2-4 Unit),343 W 75th St,Los Angeles,CA,90003,380000,3,2.0,699 - Not Defined,1480,6358,1920,120,257,,Sold,,,http://www.redfin.com/CA/Los-Angeles/343-W-75th-St-90003/home/7290138,CRMLS,DW19159091,N,Y,33.9719906,-118.2798642
PAST SALE,,Multi-Family (2-4 Unit),420 E 61st St,Los Angeles,CA,90003,845000,10,6.0,,3596,5400,2018,,235,,,,,http://www.redfin.com/CA/Los-Angeles/420-E-61st-St-90003/home/7274007,,,N,Y,33.9840749,-118.2665721
PAST SALE,,Single Family Residential,446 E 70th St,Los Angeles,CA,90003,330000,2,1.0,,806,4495,1922,,409,,,,,http://www.redfin.com/CA/Los-Angeles/446-E-70th-St-90003/home/7276929,,,N,Y,33.975995,-118.2658869
PAST SALE,,Multi-Family (2-4 Unit),423 E 68th St,Los Angeles,CA,90003,880000,,,,,5396,,,,,,,,http://www.redfin.com/CA/Los-Angeles/423-E-68th-St-90003/home/7277061,,,N,Y,33.978093,-118.2666949
PAST SALE,,Single Family Residential,348 E 73rd St,Los Angeles,CA,90003,339000,2,1.0,,826,5382,1922,,410,,,,,http://www.redfin.com/CA/Los-Angeles/348-E-73rd-St-90003/home/7284446,,,N,Y,33.9736345,-118.2678055
PAST SALE,,Single Family Residential,923 E 76th Pl,Los Angeles,CA,90001,360000,2,1.0,,932,5104,1927,,386,,,,,http://www.redfin.com/CA/Los-Angeles/923-E-76th-Pl-90001/home/7285152,,,N,Y,33.9704903,-118.2577558
PAST SALE,,Multi-Family (2-4 Unit),755 E 79th St,Los Angeles,CA,90001,322000,2,1.0,,700,5202,1926,,460,,,,,http://www.redfin.com/CA/Los-Angeles/755-E-79th-St-90001/home/7285404,,,N,Y,33.9676281,-118.2610671
PAST SALE,,Single Family Residential,263 E 85th St,Los Angeles,CA,90003,390000,2,1.0,,895,3523,1941,,436,,,,,http://www.redfin.com/CA/Los-Angeles/263-E-85th-St-90003/home/7289584,,,N,Y,33.9611797,-118.2697239
PAST SALE,November-8-2019,Single Family Residential,7316 Wadsworth Ave,Los Angeles,CA,90001,240000,2,1.0,Metropolitan South,672,2169,1926,78,357,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7316-Wadsworth-Ave-90001/home/7284738,TheMLS,19-498742,N,Y,33.9733363,-118.2584128
PAST SALE,,Single Family Residential,233 E 62nd St,Los Angeles,CA,90003,387500,3,1.0,,1152,5118,1916,,336,,,,,http://www.redfin.com/CA/Los-Angeles/233-E-62nd-St-90003/home/7273657,,,N,Y,33.9835249,-118.2705461
