SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-8-2018,Condo/Co-op,14506 S Berendo Ave Unit C,Gardena,CA,90247,405000,3,2.5,Pacific Square,1540,10991,1991,627,263,250,Sold,,,http://www.redfin.com/CA/Gardena/14506-S-Berendo-AVE-90247/unit-C/home/166615905,TheMLS,18-331182,N,Y,33.89985,-118.29344
PAST SALE,February-28-2018,Condo/Co-op,15312 S Normandie Ave #217,Gardena,CA,90247,270000,2,1.0,118 - Pacific Square,943,61774,1961,696,286,230,Sold,,,http://www.redfin.com/CA/Gardena/15312-Normandie-Ave-90247/unit-217/home/7330117,CRMLS,SB18024941,N,Y,33.892557,-118.299823
PAST SALE,February-23-2018,Condo/Co-op,1510 W 146th St #10,Gardena,CA,90247,311500,2,2.0,118 - Pacific Square,1100,18555,1981,701,283,242,Sold,,,http://www.redfin.com/CA/Gardena/1510-W-146th-St-90247/unit-10/home/7325166,CRMLS,OC18001141,N,Y,33.8986115,-118.3030666
PAST SALE,,Condo/Co-op,Pomelo Ln #5,Gardena,CA,90247,619000,3,4.0,,,,2018,,,,,,,http://www.redfin.com/CA/Gardena/Pomelo-Ln-90247/unit-5/home/145562884,,,N,Y,33.900285,-118.299273
PAST SALE,December-19-2018,Condo/Co-op,2501 W Redondo Beach Blvd #136,Gardena,CA,90249,280000,1,1.0,117 - McCarthy,646,77853,1971,402,433,276,Sold,,,http://www.redfin.com/CA/Gardena/2501-W-Redondo-Beach-Blvd-90249/unit-136/home/6540092,CRMLS,RS18269919,N,Y,33.8857806,-118.3205744
PAST SALE,May-8-2019,Condo/Co-op,2502 Manhattan Beach Blvd #30,Gardena,CA,90249,280000,1,1.0,117 - McCarthy,603,41874,1971,262,464,250,Sold,,,http://www.redfin.com/CA/Gardena/2502-Manhattan-Beach-Blvd-90249/unit-30/home/6540479,CRMLS,SB19050365,N,Y,33.8866535,-118.3209468
PAST SALE,,Condo/Co-op,2502 Manhattan Beach Blvd #21,Gardena,CA,90249,375000,2,1.0,,813,,1971,,461,,,,,http://www.redfin.com/CA/Gardena/2502-Manhattan-Beach-Blvd-90249/unit-21/home/6540452,,,N,Y,33.8866535,-118.3209468
PAST SALE,September-16-2019,Condo/Co-op,1745 Marine Ave #1,Gardena,CA,90247,378000,2,1.75,119 - Central Gardena,1132,15177,1981,131,334,250,Sold,,,http://www.redfin.com/CA/Gardena/1745-Marine-Ave-90247/unit-1/home/7325286,CRMLS,SB19166088,N,Y,33.8949747,-118.3083372
PAST SALE,September-11-2019,Condo/Co-op,2501 W Redondo Beach Blvd #221,Gardena,CA,90249,320000,1,1.0,119 - Central Gardena,789,77853,1971,136,406,325,Sold,,,http://www.redfin.com/CA/Gardena/2501-W-Redondo-Beach-Blvd-90249/unit-221/home/6540188,CRISNet,SR19168602,N,Y,33.8857806,-118.3205744
PAST SALE,October-24-2019,Condo/Co-op,2501 W Redondo Beach Blvd #113,Gardena,CA,90249,307000,1,1.0,120 - South Gardena,646,77853,1971,93,475,276,Sold,,,http://www.redfin.com/CA/Gardena/2501-W-Redondo-Beach-Blvd-90249/unit-113/home/6540004,CRMLS,PW19167929,N,Y,33.8857806,-118.3205744
PAST SALE,April-1-2019,Condo/Co-op,2501 W Redondo Beach Blvd #108,Gardena,CA,90249,310000,1,1.0,McCarthy,646,77853,1971,299,480,276,Sold,,,http://www.redfin.com/CA/Gardena/2501-W-Redondo-Beach-Blvd-90249/unit-108/home/6539983,TheMLS,19-427238,N,Y,33.8857806,-118.3205744
PAST SALE,February-7-2019,Condo/Co-op,1659 Begonia Way,Gardena,CA,90248,685000,3,2.5,119 - Central Gardena,1910,129205,2007,352,359,100,Sold,,,http://www.redfin.com/CA/Gardena/1659-Begonia-Way-90248/home/17229777,CRMLS,PW18285195,N,Y,33.8736669,-118.3056912
PAST SALE,March-29-2019,Condo/Co-op,1510 W 146th St #1,Gardena,CA,90247,305000,2,1.0,118 - Pacific Square,879,18555,1981,302,347,242,Sold,,,http://www.redfin.com/CA/Gardena/1510-W-146th-St-90247/unit-1/home/7325157,CRMLS,SB19014563,N,Y,33.8986115,-118.3030666
PAST SALE,,Condo/Co-op,3129 Marine Ave #2,Gardena,CA,90249,379000,2,2.0,,1110,,1979,,341,,,,,http://www.redfin.com/CA/Gardena/3129-Marine-Ave-90249/unit-2/home/6549007,,,N,Y,33.8950481,-118.3277447
PAST SALE,December-27-2019,Condo/Co-op,15619 S Vermont Ave,Gardena,CA,90247,590000,3,2.5,119 - Central Gardena,1875,32425,2005,29,315,98,Sold,,,http://www.redfin.com/CA/Gardena/15619-S-Vermont-Ave-90247/home/12130103,CRMLS,AR19228053,N,Y,33.889125,-118.292359
PAST SALE,November-20-2018,Condo/Co-op,1549 W 146th St #15,Gardena,CA,90247,315000,2,2.0,118 - Pacific Square,892,16421,1983,431,353,195,Sold,,,http://www.redfin.com/CA/Gardena/1549-W-146th-St-90247/unit-15/home/7324904,CRMLS,SB18230736,N,Y,33.8993856,-118.3043699
PAST SALE,,Condo/Co-op,1120 W 164th St #3,Gardena,CA,90247,375000,2,2.0,,1138,,1981,,330,,,,,http://www.redfin.com/CA/Gardena/1120-W-164th-St-90247/unit-3/home/7329374,,,N,Y,33.882178,-118.2940929
PAST SALE,May-22-2018,Condo/Co-op,16133 S Vermont Ave #4,Gardena,CA,90247,475000,3,2.25,699 - Not Defined,1651,102843,1989,613,288,300,Sold,,,http://www.redfin.com/CA/Gardena/16133-S-Vermont-Ave-90247/unit-4/home/7329462,CRMLS,PW18068347,N,Y,33.8841898,-118.2921163
PAST SALE,May-24-2018,Condo/Co-op,14424 Lily Ln #3,Gardena,CA,90247,610000,3,3.5,118 - Pacific Square,1784,1784,2017,611,342,253,Sold,,,http://www.redfin.com/CA/Gardena/Lily-Ln-90247/unit-3/home/144840930,CRISNet,SR18032252,N,Y,33.900285,-118.299273
PAST SALE,March-26-2019,Condo/Co-op,1435 W 146TH ST #101,Gardena,CA,90247,335000,2,2.0,118 - Pacific Square,1028,,1985,305,326,195,Sold,,,http://www.redfin.com/CA/Gardena/1435-W-146th-St-90247/unit-101/home/7324835,CRMLS,RS19034892,N,Y,33.899382,-118.3017468
PAST SALE,,Condo/Co-op,15202 Normandie Ave Unit B,Gardena,CA,90247,440000,3,3.0,,1431,,1991,,307,,,,,http://www.redfin.com/CA/Gardena/15202-Normandie-Ave-90247/unit-B/home/7330076,,,N,Y,33.893572,-118.299809
PAST SALE,February-27-2018,Condo/Co-op,1665 Orchid Way #17,Gardena,CA,90248,714000,3,2.5,119 - Central Gardena,1910,77640,2007,697,374,149,Sold,,,http://www.redfin.com/CA/Gardena/1665-Orchid-Way-90248/unit-17/home/22608535,CRMLS,PW18014256,N,Y,33.8743836,-118.3066742
PAST SALE,July-31-2018,Condo/Co-op,2501 W Redondo Beach Blvd #104,Gardena,CA,90249,275000,1,1.0,117 - McCarthy,646,77853,1971,543,426,276,Sold,,,http://www.redfin.com/CA/Gardena/2501-W-Redondo-Beach-Blvd-90249/unit-104/home/6539971,CRMLS,SB18127299,N,Y,33.8857806,-118.3205744
PAST SALE,November-27-2018,Condo/Co-op,1119 W 158th St,Gardena,CA,90247,950000,5,2.0,119 - Central Gardena,1000,3088,1955,424,950,,Sold,,,http://www.redfin.com/CA/Gardena/1119-W-158th-St-90247/home/7329691,CRMLS,SB18234911,N,Y,33.8881163,-118.2943884
PAST SALE,September-28-2018,Condo/Co-op,3134 W 145th St #7,Gardena,CA,90249,352500,3,2.5,Bodger Park/El Camino Village,1217,20400,1983,484,290,190,Sold,,,http://www.redfin.com/CA/Gardena/3134-W-145th-St-90249/unit-7/home/6549184,TheMLS,18-376710,N,Y,33.899127,-118.3279074
PAST SALE,April-20-2018,Condo/Co-op,1335 W 139th St #104,Gardena,CA,90247,340000,2,2.0,115 - North Gardena,1082,100792,1980,645,314,315,Sold,,,http://www.redfin.com/CA/Gardena/1335-139th-St-90247/unit-104/home/7330748,CRMLS,SB18016763,N,Y,33.90646,-118.2995816
PAST SALE,August-14-2018,Condo/Co-op,15549 S Budlong Pl #25,Gardena,CA,90247,400000,3,2.0,119 - Central Gardena,1280,37098,1962,529,313,350,Sold,,,http://www.redfin.com/CA/Gardena/15549-S-Budlong-Pl-90247/unit-25/home/7329783,CRMLS,PW17205666,N,Y,33.8896956,-118.2957738
PAST SALE,October-10-2018,Condo/Co-op,1360 139th unit # H,Gardena,CA,90247,440000,3,2.5,115 - North Gardena,1456,26373,1990,472,302,175,Sold,,,http://www.redfin.com/CA/Gardena/1360-139th-St-90247/unit-H/home/7330890,CRMLS,IN18193830,N,Y,33.9052068,-118.3000287
