SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-11-2019,Single Family Residential,2518 W 154th St,Gardena,CA,90249,730000,3,2.0,117 - McCarthy,1264,6931,1943,228,578,,Sold,,,http://www.redfin.com/CA/Gardena/2518-W-154th-St-90249/home/6544191,CRMLS,SB19105720,N,Y,33.8908575,-118.3213324
PAST SALE,August-26-2019,Single Family Residential,14418 Cobblestone Ln,Gardena,CA,90247,605000,3,3.5,118 - Pacific Square,1911,8571,2005,152,317,139,Sold,,,http://www.redfin.com/CA/Gardena/14418-Cobblestone-Ln-90247/home/8182993,CRMLS,SB19169529,N,Y,33.9003242,-118.2961796
PAST SALE,February-28-2019,Single Family Residential,1119 W 145th St,Gardena,CA,90247,525000,3,1.5,Pacific Square,1043,5712,1953,331,503,,Sold,,,http://www.redfin.com/CA/Gardena/1119-W-145th-St-90247/home/7330370,TheMLS,18-417130,N,Y,33.8998089,-118.2947537
PAST SALE,October-11-2018,Single Family Residential,14980 Miller Ave,Gardena,CA,90249,579000,2,1.0,117 - McCarthy,1189,5000,1941,471,487,,Sold,,,http://www.redfin.com/CA/Gardena/14980-Miller-Ave-90249/home/6537479,CRMLS,SB18199242,N,Y,33.8956758,-118.3243463
PAST SALE,October-18-2018,Single Family Residential,2916 W 141st St,Gardena,CA,90249,610000,4,2.0,114 - Hollypark,1674,5685,1957,464,364,,Sold,,,http://www.redfin.com/CA/Gardena/2916-W-141st-St-90249/home/6526004,CRMLS,SB18214605,N,Y,33.9035988,-118.3247116
PAST SALE,July-31-2018,Single Family Residential,15920 Chanera Ave,Gardena,CA,90249,725000,4,2.0,117 - McCarthy,2059,5251,1952,543,352,,Sold,,,http://www.redfin.com/CA/Gardena/15920-Chanera-Ave-90249/home/6540976,CRMLS,SB18152727,N,Y,33.885887,-118.3239316
PAST SALE,June-22-2018,Single Family Residential,15309 Purche Ave,Gardena,CA,90249,670710,4,2.0,117 - McCarthy,1282,5351,1940,582,523,,Sold,,,http://www.redfin.com/CA/Gardena/15309-Purche-Ave-90249/home/6543388,CRMLS,SB18114610,N,Y,33.8921163,-118.3207845
PAST SALE,July-25-2018,Single Family Residential,1541 Marine Ave,Gardena,CA,90247,532500,3,1.0,118 - Pacific Square,992,5757,1944,549,537,,Sold,,,http://www.redfin.com/CA/Gardena/1541-Marine-Ave-90247/home/7325414,CRMLS,WS18076284,N,Y,33.8948529,-118.3040248
PAST SALE,October-4-2018,Single Family Residential,1305 Marine Ave,Gardena,CA,90247,515000,3,1.25,118 - Pacific Square,1708,7315,1938,478,302,,Sold,,,http://www.redfin.com/CA/Gardena/1305-Marine-Ave-90247/home/7330006,CRMLS,SB18218946,N,Y,33.8947875,-118.2984988
PAST SALE,November-13-2019,Single Family Residential,14316 Halldale Ave,Gardena,CA,90247,535000,3,1.0,118 - Pacific Square,969,9459,1924,73,552,,Sold,,,http://www.redfin.com/CA/Gardena/14316-Halldale-Ave-90247/home/7324788,CRMLS,SB19222778,N,Y,33.9014059,-118.302335
PAST SALE,August-16-2019,Single Family Residential,2802 W 156th St,Gardena,CA,90249,575000,2,1.0,117 - McCarthy,884,6301,1941,162,650,,Sold,,,http://www.redfin.com/CA/Gardena/2802-W-156th-St-90249/home/6544468,CRMLS,SB19079619,N,Y,33.8890281,-118.324449
PAST SALE,November-22-2019,Single Family Residential,13808 S Catalina Ave,Gardena,CA,90247,585000,3,2.0,115 - North Gardena,1378,5275,1956,64,425,,Sold,,,http://www.redfin.com/CA/Gardena/13808-S-Catalina-Ave-90247/home/7331490,CRMLS,SB19200414,N,Y,33.906049,-118.294861
