SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-1-2018,Condo/Co-op,25408 Baycrest Ct Unit H,Harbor City,CA,90710,446000,3,2.5,124 - Harbor City,1504,52626,2000,481,297,286,Sold,,,http://www.redfin.com/CA/Harbor-City/25408-Baycrest-Ct-90710/unit-H/home/8103976,CRMLS,PW18198645,N,Y,33.7915477,-118.2916756
PAST SALE,June-28-2019,Condo/Co-op,23400 Western Ave Unit B,Harbor City,CA,90710,412000,3,2.0,124 - Harbor City,1075,165447,1973,211,383,300,Sold,,,http://www.redfin.com/CA/Harbor-City/23400-S-Western-Ave-90710/unit-B/home/7682056,CRMLS,SB19111601,N,Y,33.813528,-118.308168
PAST SALE,July-3-2018,Condo/Co-op,1437 Lomita Blvd #323,Harbor City,CA,90710,395000,2,1.0,124 - Harbor City,930,31150,2006,571,425,208,Sold,,,http://www.redfin.com/CA/Harbor-City/1437-Lomita-Blvd-90710/unit-323/home/8179013,CRMLS,SB18115932,N,Y,33.7981941,-118.303323
PAST SALE,March-2-2018,Condo/Co-op,1435 Lomita Blvd #106,Harbor City,CA,90710,469000,2,2.0,124 - Harbor City,1250,31014,2006,694,375,218,Sold,,,http://www.redfin.com/CA/Harbor-City/1435-Lomita-Blvd-90710/unit-106/home/8179143,CRMLS,SB18015696,N,Y,33.7981932,-118.3025472
PAST SALE,October-30-2019,Condo/Co-op,1072 252nd St Unit A,Harbor City,CA,90710,380000,2,1.5,124 - Harbor City,1328,11410,1989,87,286,308,Sold,,,http://www.redfin.com/CA/Harbor-City/1072-252nd-St-90710/unit-A/home/7673909,CRMLS,SB19223760,N,Y,33.795456,-118.295186
PAST SALE,October-1-2019,Single Family Residential,1423 256th St,Harbor City,CA,90710,645000,3,3.0,124 - Harbor City,1386,7219,1918,116,465,,Sold,,,http://www.redfin.com/CA/Harbor-City/1423-256th-St-W-90710/home/7671826,CRMLS,SB19186786,N,Y,33.7916861,-118.302061
PAST SALE,July-18-2019,Condo/Co-op,26251 Vermont Ave Ave Unit 105A,Harbor City,CA,90710,325000,2,1.0,124 - Harbor City,994,64341,1979,191,327,330,Sold,,,http://www.redfin.com/CA/Harbor-City/26251-Vermont-Ave-90710/unit-105A/home/160606543,CRMLS,IN19050994,N,Y,33.7839,-118.297886
PAST SALE,June-7-2018,Condo/Co-op,26201 Vermont Ave #103,Harbor City,CA,90710,340000,2,1.0,124 - Harbor City,994,64341,1979,597,342,285,Sold,,,http://www.redfin.com/CA/Harbor-City/26201-Vermont-Ave-90710/unit-103/home/7673350,CRMLS,PW18026566,N,Y,33.783905,-118.2978979
PAST SALE,,Condo/Co-op,26251 Vermont Ave #305,Harbor City,CA,90710,315000,2,1.0,,994,,1979,,317,,,,,http://www.redfin.com/CA/Harbor-City/26251-Vermont-Ave-90710/unit-305/home/7673381,,,N,Y,33.783905,-118.2978979
PAST SALE,May-17-2019,Condo/Co-op,26251 Vermont Ave S #202,Harbor City,CA,90710,340000,2,1.0,124 - Harbor City,994,64341,1979,253,342,330,Sold,,,http://www.redfin.com/CA/Harbor-City/26251-Vermont-Ave-90710/unit-202/home/7673377,CRMLS,SB19072303,N,Y,33.783905,-118.2978979
PAST SALE,April-12-2019,Condo/Co-op,26151 Vermont Ave Unit 207A,Harbor City,CA,90710,331000,2,2.0,124 - Harbor City,1032,97605,1978,288,321,330,Sold,,,http://www.redfin.com/CA/Harbor-City/26151-Vermont-Ave-90710/unit-207A/home/7673334,CRMLS,SB19052321,N,Y,33.785391,-118.297898
PAST SALE,,Condo/Co-op,26251 Vermont Ave #105,Harbor City,CA,90710,325000,2,1.0,,994,,1979,,327,,,,,http://www.redfin.com/CA/Harbor-City/26251-Vermont-Ave-90710/unit-105/home/7673367,,,N,Y,33.783905,-118.2978979
PAST SALE,June-25-2018,Single Family Residential,1717 263rd St,Harbor City,CA,90710,731000,3,2.0,124 - Harbor City,1756,7440,1948,579,416,,Sold,,,http://www.redfin.com/CA/Harbor-City/1717-W-263rd-St-90710/home/7673140,CRMLS,SB18096413,N,Y,33.7838087,-118.3076096
PAST SALE,March-14-2018,Single Family Residential,1707 246th St,Lomita,CA,90717,585000,3,1.0,121 - Lomita,976,6289,1950,682,599,,Sold,,,http://www.redfin.com/CA/Lomita/1707-W-246th-St-90717/home/7661290,CRMLS,SB18029714,N,Y,33.8019913,-118.3080436
