SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-8-2019,Single Family Residential,840 W 148th Pl,Gardena,CA,90247,546800,2,1.5,115 - North Gardena,1400,5423,1949,75,391,,Sold,,,http://www.redfin.com/CA/Gardena/840-W-148th-Pl-90247/home/7333058,CRMLS,SB19196617,N,Y,33.8973492,-118.2907118
PAST SALE,April-2-2019,Single Family Residential,1332 W 187th St,Gardena,CA,90248,530000,3,1.0,120 - South Gardena,1056,5204,1954,295,502,,Sold,,,http://www.redfin.com/CA/Gardena/1332-W-187th-St-90248/home/7328033,CRMLS,SB19021597,N,Y,33.8610856,-118.2978137
PAST SALE,November-1-2018,Single Family Residential,18305 S Harvard Blvd,Gardena,CA,90248,649000,3,2.0,120 - South Gardena,1204,5715,1956,447,539,,Sold,,,http://www.redfin.com/CA/Gardena/18305-Harvard-Blvd-90248/home/7327367,CRMLS,SB18221856,N,Y,33.8645661,-118.3071759
PAST SALE,June-14-2019,Single Family Residential,1311 W 187th Pl,Gardena,CA,90248,550000,3,1.5,120 - South Gardena,1146,5304,1954,222,480,,Sold,,,http://www.redfin.com/CA/Gardena/1311-187th-Pl-90248/home/7328040,CRMLS,SB19109367,N,Y,33.860735,-118.2971286
PAST SALE,,Single Family Residential,1106 186th St,Gardena,CA,90248,580000,4,2.0,,1630,5192,1978,,356,,,,,http://www.redfin.com/CA/Gardena/1106-186th-St-90248/home/7327951,,,N,Y,33.8617648,-118.2931552
PAST SALE,September-4-2019,Multi-Family (5+ Unit),16519 S Ainsworth St,Gardena,CA,90247,1465000,11,10.0,North Gateway,6861,6000,1961,140,214,,Sold,,,http://www.redfin.com/CA/Gardena/16519-S-Ainsworth-St-90247/home/7334349,TheMLS,19-460156,N,Y,33.8809634,-118.2903621
PAST SALE,June-4-2019,Condo/Co-op,850 W 157th St #11,Gardena,CA,90247,350000,2,2.25,116 - North Gateway,1205,21170,1983,232,290,200,Sold,,,http://www.redfin.com/CA/Gardena/850-W-157th-St-90247/unit-11/home/7333631,CRMLS,RS19066738,N,Y,33.8886013,-118.2911488
PAST SALE,July-19-2019,Single Family Residential,18403 S Normandie Ave,Gardena,CA,90248,510000,2,1.0,120 - South Gardena,728,6615,1944,187,701,,Sold,,,http://www.redfin.com/CA/Gardena/18403-Normandie-Ave-90248/home/7327582,CRMLS,SB19125780,N,Y,33.8636607,-118.2998689
PAST SALE,July-11-2019,Multi-Family (5+ Unit),718 W 168th St,Gardena,CA,90247,1620000,16,10.0,Central Gardena,6959,23802,1963,195,233,,Sold,,,http://www.redfin.com/CA/Gardena/718-W-168th-St-90247/home/7334412,TheMLS,19-437164,N,Y,33.8789712,-118.2874918
PAST SALE,May-17-2018,Single Family Residential,1501 W 187th St,Gardena,CA,90248,685001,4,2.75,120 - South Gardena,1616,6928,1956,615,424,,Sold,,,http://www.redfin.com/CA/Gardena/1501-W-187th-St-90248/home/7327448,CRMLS,SB18060100,N,Y,33.8614377,-118.3028374
