SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-25-2019,Single Family Residential,21129 La Salle Ave,Torrance,CA,90501,590000,2,1.0,122 - Harbor Gateway,899,8500,1949,89,656,,Sold,,,http://www.redfin.com/CA/Torrance/21129-La-Salle-Ave-90501/home/7648166,CRMLS,SB19210449,N,Y,33.837373,-118.3054405
PAST SALE,March-20-2019,Single Family Residential,20821 Normandie,Torrance,CA,90501,774000,4,3.0,122 - Harbor Gateway,2065,4912,2017,308,375,245,Sold,,,http://www.redfin.com/CA/Torrance/20821-Normandie-Ave-90501/home/109248224,CRMLS,SB19020226,N,Y,33.841180502,-118.2994962
PAST SALE,February-5-2018,Townhouse,1549 207th St #3,Torrance,CA,90501,463000,3,2.5,122 - Harbor Gateway,1390,7000,2005,716,333,160,Sold,,,http://www.redfin.com/CA/Torrance/1549-W-207th-St-90501/unit-3/home/8179381,CRMLS,SB17193519,N,Y,33.8431694,-118.305669
PAST SALE,March-8-2018,Single Family Residential,1526 W 212th St,Torrance,CA,90501,550000,3,1.75,122 - Harbor Gateway,1311,6356,1966,685,420,,Sold,,,http://www.redfin.com/CA/Torrance/1526-W-212th-St-90501/home/7648259,CRMLS,OC18012458,N,Y,33.8361849,-118.305783
PAST SALE,October-2-2018,Single Family Residential,1527 W 213th St,Torrance,CA,90501,585000,2,2.0,122 - Harbor Gateway,1034,5600,1940,477,566,,Sold,,,http://www.redfin.com/CA/Torrance/1527-W-213th-St-90501/home/7648265,CRMLS,DW18189629,N,Y,33.8356762,-118.3048468
PAST SALE,September-14-2018,Single Family Residential,1509 W 208th St,Torrance,CA,90501,750000,2,1.0,122 - Harbor Gateway,696,7572,1926,495,1078,,Sold,,,http://www.redfin.com/CA/Torrance/1509-W-208th-St-90501/home/7649657,CRISNet,SR18151871,N,Y,33.8421085,-118.3042988
PAST SALE,March-7-2018,Single Family Residential,20836 Dalton Ave,Torrance,CA,90501,662000,4,2.0,122 - Harbor Gateway,1745,6761,1955,686,379,,Sold,,,http://www.redfin.com/CA/Torrance/20836-Dalton-Ave-90501/home/7649889,CRMLS,SB18021204,N,Y,33.8407992,-118.302472
PAST SALE,March-20-2018,Single Family Residential,1450 W 214th St,Torrance,CA,90501,550000,3,1.0,122 - Harbor Gateway,1008,5998,1943,673,546,,Sold,,,http://www.redfin.com/CA/Torrance/1450-W-214th-St-90501/home/7648482,CRMLS,DW18008055,N,Y,33.8343158,-118.3033854
PAST SALE,April-20-2018,Single Family Residential,1662 W 214th,Torrance,CA,90501,645000,3,2.0,122 - Harbor Gateway,1428,6009,1943,642,452,,Sold,,,http://www.redfin.com/CA/Torrance/1662-W-214th-St-90501/home/7648546,CRMLS,SB18059418,N,Y,33.8342394,-118.308683
PAST SALE,January-15-2019,Single Family Residential,1669 W 213th St,Torrance,CA,90501,500000,2,1.0,122 - Harbor Gateway,1163,7000,1944,372,430,,Sold,,,http://www.redfin.com/CA/Torrance/1669-W-213th-St-90501/home/7648251,CRMLS,SB18273233,N,Y,33.8356424,-118.3083633
PAST SALE,,Single Family Residential,1655 W 215th St,Torrance,CA,90501,435000,5,2.0,,3199,6000,1944,,136,,,,,http://www.redfin.com/CA/Torrance/1655-W-215th-St-90501/home/7648575,,,N,Y,33.8337061,-118.308409
PAST SALE,December-19-2018,Single Family Residential,1447 W 220th St,Torrance,CA,90501,560000,3,2.0,122 - Harbor Gateway,1508,6501,1943,399,371,,Sold,,,http://www.redfin.com/CA/Torrance/1447-W-220th-St-90501/home/7646384,CRMLS,SB18227361,N,Y,33.8282012,-118.3032598
PAST SALE,April-2-2018,Single Family Residential,1659 W 221st St,Torrance,CA,90501,835000,5,3.5,Harbor Gateway,2748,7200,2017,660,304,,Sold,,,http://www.redfin.com/CA/Torrance/1659-W-221st-St-90501/home/144052910,TheMLS,17-298050,N,Y,33.8267929,-118.3084955
PAST SALE,March-15-2019,Multi-Family (2-4 Unit),1351 W 219th St,Los Angeles,CA,90501,775000,10,6.0,699 - Not Defined,2997,6001,2007,313,259,,Sold,,,http://www.redfin.com/CA/Torrance/1351-W-219th-St-90501/home/7646318,CRMLS,OC18247982,N,Y,33.829318,-118.301325
PAST SALE,August-23-2018,Condo/Co-op,1640 W 227th St #2,Torrance,CA,90501,375000,3,2.5,Harbor Gateway,1120,7203,2005,517,335,175,Sold,,,http://www.redfin.com/CA/Torrance/1640-W-227th-St-90501/unit-2/home/8177831,TheMLS,18-354326,N,Y,33.8198599,-118.3078408
PAST SALE,,Single Family Residential,1644 W 222nd St,Torrance,CA,90501,660000,5,3.0,,1974,7202,1923,,334,,,,,http://www.redfin.com/CA/Torrance/1644-W-222nd-St-90501/home/7646726,,,N,Y,33.8253353,-118.3080436
PAST SALE,December-6-2018,Townhouse,1645 W 226th St,Torrance,CA,90501,660000,6,3.0,122 - Harbor Gateway,2580,7202,1962,412,256,,Sold,,,http://www.redfin.com/CA/Torrance/1645-W-226th-St-90501/home/7647062,CRMLS,PV18228256,N,Y,33.821669,-118.307949
PAST SALE,July-11-2018,Multi-Family (2-4 Unit),1539 W 228th St,Torrance,CA,90501,735000,4,4.0,Harbor Gateway,2315,10259,1947,560,317,,Sold,,,http://www.redfin.com/CA/Torrance/1539-W-228th-St-90501/home/7647258,TheMLS,18-316902,N,Y,33.81935,-118.305283
PAST SALE,July-11-2018,Multi-Family (2-4 Unit),1535 W 228th St,Torrance,CA,90501,735000,4,4.0,Harbor Gateway,2058,10799,1948,560,357,,Sold,,,http://www.redfin.com/CA/Torrance/1535-W-228th-St-90501/home/7647257,TheMLS,18-316556,N,Y,33.819349,-118.305091
PAST SALE,September-12-2018,Multi-Family (5+ Unit),1556 W 227th St,Torrance,CA,90501,1275000,8,6.0,Harbor Gateway,4241,7198,1986,497,301,,Sold,,,http://www.redfin.com/CA/Torrance/1556-W-227th-St-90501/home/7647265,TheMLS,18-351228,N,Y,33.8198994,-118.3057145
PAST SALE,September-14-2018,Multi-Family (2-4 Unit),1343 W 228th St,Torrance,CA,90501,648000,6,3.0,Harbor Gateway,2508,7200,1964,495,258,,Sold,,,http://www.redfin.com/CA/Torrance/1343-W-228th-St-90501/home/7647186,TheMLS,18-342216,N,Y,33.8192213,-118.3009079
PAST SALE,March-13-2018,Townhouse,1538 W 205th St,Torrance,CA,90501,1580000,10,8.0,122 - Harbor Gateway,7005,7005,1988,680,226,,Sold,,,http://www.redfin.com/CA/Torrance/1538-W-205th-St-90501/home/7649719,CRMLS,AR18048970,N,Y,33.8445335,-118.3053492
PAST SALE,February-22-2018,Condo/Co-op,1660 W 220th St #2,Torrance,CA,90501,480000,3,3.0,122 - Harbor Gateway,1460,16017,1990,699,329,280,Sold,,,http://www.redfin.com/CA/Torrance/1660-W-220th-St-90501/unit-2/home/7646498,CRMLS,SB17278929,N,Y,33.8276074,-118.3086749
PAST SALE,,Single Family Residential,20823 Halldale Ave,Torrance,CA,90501,412500,3,2.0,,1500,6750,1956,,275,,,,,http://www.redfin.com/CA/Torrance/20823-Halldale-Ave-90501/home/7649877,,,N,Y,33.841208,-118.3020382
PAST SALE,,Single Family Residential,1313 W 223rd St,Torrance,CA,90501,600000,4,3.0,,1826,8884,1952,,329,,,,,http://www.redfin.com/CA/Torrance/1313-W-223rd-St-90501/home/7646835,,,N,Y,33.8247819,-118.300037
PAST SALE,September-27-2018,Single Family Residential,1312 W 223rd St,Torrance,CA,90501,520000,2,1.0,122 - Harbor Gateway,804,7767,1957,482,647,,Sold,,,http://www.redfin.com/CA/Torrance/1312-W-223rd-St-90501/home/7646934,CRMLS,SB18206588,N,Y,33.8243291,-118.3000059
PAST SALE,,Condo/Co-op,1652 Plaza del Amo Unit B,Torrance,CA,90501,339000,3,3.0,,1150,,2007,,295,,,,,http://www.redfin.com/CA/Torrance/1652-Plaza-del-Amo-90501/unit-B/home/12298015,,,N,Y,33.8222017,-118.3082263
PAST SALE,June-13-2018,Townhouse,1547 W 219th St,Torrance,CA,90501,770000,4,3.0,122 - Harbor Gateway,2076,9003,1962,588,371,,Sold,,,http://www.redfin.com/CA/Torrance/1547-W-219th-St-90501/home/7646280,CRMLS,SB18122793,N,Y,33.8295189,-118.3055775
PAST SALE,April-10-2018,Townhouse,1611 W 208th St #2,Torrance,CA,90501,489000,3,3.0,122 - Harbor Gateway,1860,7572,2007,652,263,240,Sold,,,http://www.redfin.com/CA/Torrance/1611-W-208th-St-90501/unit-2/home/21918142,CRMLS,PV18034274,N,Y,33.8421797,-118.307107
PAST SALE,July-31-2018,Condo/Co-op,1518 W 205th St #102,Torrance,CA,90501,500000,3,2.5,122 - Harbor Gateway,1650,7006,2008,540,303,200,Sold,,,http://www.redfin.com/CA/Torrance/1518-W-205th-St-90501/unit-102/home/21918685,CRMLS,SB18134251,N,Y,33.844497,-118.3046969
