SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-27-2019,Condo/Co-op,14405 Cerise Ave #3,Hawthorne,CA,90250,355000,2,2.0,111 - Bodger Park/El Camino,808,62485,1985,120,439,315,Sold,,,http://www.redfin.com/CA/Hawthorne/14405-Cerise-Ave-90250/unit-3/home/6548339,CRMLS,PW19193088,N,Y,33.9006815,-118.3336024
PAST SALE,March-1-2018,Condo/Co-op,4727 W 147th #128,Lawndale,CA,90260,339000,2,2.0,112 - North Lawndale,867,84520,1974,695,391,315,Sold,,,http://www.redfin.com/CA/Lawndale/4727-W-147th-St-90260/unit-128/home/6562906,CRMLS,PW18010947,N,Y,33.898694,-118.3604723
PAST SALE,September-13-2018,Condo/Co-op,5547 Strand #104,Hawthorne,CA,90250,820000,2,2.5,107 - Holly Glen/Del Aire,1554,26804,2012,499,528,355,Sold,,,http://www.redfin.com/CA/Hawthorne/5547-Strand-90250/unit-104/home/21915630,CRMLS,SB18171525,N,Y,33.9155999,-118.3780527
PAST SALE,,Condo/Co-op,11853 Manor Dr,Hawthorne,CA,90250,1480000,14,8.0,,,,1958,,,,,,,http://www.redfin.com/CA/Hawthorne/11853-Manor-Dr-90250/home/6494500,,,N,Y,33.9262824,-118.3561935
PAST SALE,,Condo/Co-op,5550 Boardwalk #203,Hawthorne,CA,90250,850000,,,,,,,,,,,,,http://www.redfin.com/CA/Hawthorne/5550-Boardwalk-90250/unit-203/home/21916024,,,N,Y,33.9135875,-118.3776929
PAST SALE,June-19-2018,Condo/Co-op,13029 Central Ave #201,Hawthorne,CA,90250,795000,2,2.0,107 - Holly Glen/Del Aire,1429,14208,2013,585,556,474,Sold,,,http://www.redfin.com/CA/Hawthorne/13029-Central-Ave-90250/unit-201/home/22691459,CRMLS,SB18108570,N,Y,33.9143184,-118.376637
PAST SALE,June-20-2019,Condo/Co-op,4315 W 145th St #10,Lawndale,CA,90260,429008,3,2.5,112 - North Lawndale,1084,25626,1994,219,396,300,Sold,,,http://www.redfin.com/CA/Lawndale/4315-W-145th-St-90260/unit-10/home/6561304,CRMLS,PW19117520,N,Y,33.9004164,-118.3510455
PAST SALE,August-30-2019,Condo/Co-op,4057 W 147th St #101,Lawndale,CA,90260,595000,3,2.75,112 - North Lawndale,1685,14951,1995,148,353,250,Sold,,,http://www.redfin.com/CA/Lawndale/4057-W-147th-St-90260/unit-101/home/6561603,CRMLS,PW19136685,N,Y,33.8986113,-118.3452396
PAST SALE,May-23-2019,Condo/Co-op,4015 W 133rd St,Hawthorne,CA,90250,600000,3,3.0,109 - Ramona/Burleigh,1760,8700,2008,247,341,199,Sold,,,http://www.redfin.com/CA/Hawthorne/4015-W-133rd-St-90250/home/21918570,CRMLS,OC19074266,N,Y,33.91229,-118.344357
PAST SALE,November-29-2018,Condo/Co-op,13724 Cordary Ave #17,Hawthorne,CA,90250,470000,3,3.0,110 - East Hawthorne,1700,39043,1982,422,276,216,Sold,,,http://www.redfin.com/CA/Hawthorne/13724-Cordary-Ave-90250/unit-17/home/6511445,CRMLS,PW18260383,N,Y,33.9064838,-118.3411073
PAST SALE,March-15-2018,Condo/Co-op,14016 Cerise Ave,Hawthorne,CA,90250,340000,3,3.0,East Hawthorne,1788,78117,1980,681,190,250,Sold,,,http://www.redfin.com/CA/Hawthorne/14016-Cerise-Ave-90250/home/6514552,TheMLS,17-293872,N,Y,33.904084,-118.332432
PAST SALE,March-20-2018,Condo/Co-op,13921 Kornblum Ave #8,Hawthorne,CA,90250,495000,3,3.0,110 - East Hawthorne,1723,39043,1984,676,287,290,Sold,,,http://www.redfin.com/CA/Hawthorne/13921-Kornblum-Ave-90250/unit-8/home/6512626,CRMLS,IN18039474,N,Y,33.9049648,-118.337925
PAST SALE,March-2-2018,Condo/Co-op,4727 W 147th St #127,Lawndale,CA,90260,260000,2,2.0,Not Applicable,867,84520,1974,694,300,320,Sold,,,http://www.redfin.com/CA/Lawndale/4727-W-147th-St-90260/unit-127/home/6562853,GPSMLS,217034126,N,Y,33.898694,-118.3604723
PAST SALE,September-28-2018,Condo/Co-op,3134 W 145th St #7,Gardena,CA,90249,352500,3,2.5,Bodger Park/El Camino Village,1217,20400,1983,484,290,190,Sold,,,http://www.redfin.com/CA/Gardena/3134-W-145th-St-90249/unit-7/home/6549184,TheMLS,18-376710,N,Y,33.899127,-118.3279074
PAST SALE,September-20-2018,Condo/Co-op,5507 W 149th Pl W #9,Hawthorne,CA,90250,695000,2,2.0,107 - Holly Glen/Del Aire,1030,55966,2006,492,675,218,Sold,,,http://www.redfin.com/CA/Hawthorne/5507-W-149th-Pl-90250/unit-9/home/12286793,CRMLS,SB18182870,N,Y,33.8967836,-118.3769436
PAST SALE,October-5-2018,Condo/Co-op,13125 Central Ave #203,Hawthorne,CA,90250,572000,0,1.0,Holly Glen/Del Aire,890,7920,2013,477,643,480,Sold,,,http://www.redfin.com/CA/Hawthorne/13125-Central-Ave-90250/unit-203/home/21919264,TheMLS,18-379800,N,Y,33.9140662,-118.3766384
PAST SALE,,Condo/Co-op,5560 BOARDWALK #106,HAWTHORNE,CA,90250,1087500,3,4.0,,2070,,2013,,525,,,,,http://www.redfin.com/CA/HAWTHORNE/5560-BOARDWALK-90250/unit-106/home/110093237,,,N,Y,33.913406,-118.378145
PAST SALE,May-2-2018,Condo/Co-op,5565 Ocean #103,Hawthorne,CA,90250,899000,3,3.5,Holly Glen/Del Aire,1860,,2010,633,483,376,Sold,,,http://www.redfin.com/CA/Hawthorne/5565-Ocean-90250/unit-103/home/21920207,TheMLS,18-320494,N,Y,33.9159826,-118.3777706
PAST SALE,,Condo/Co-op,5537 STRAND #103,HAWTHORNE,CA,90250,880500,3,3.0,,1680,,2012,,524,,,,,http://www.redfin.com/CA/HAWTHORNE/5537-STRAND-90250/unit-103/home/21915491,,,N,Y,33.915621,-118.377237
PAST SALE,June-7-2018,Condo/Co-op,5507 W 149th Pl #8,Hawthorne,CA,90250,700000,2,2.0,107 - Holly Glen/Del Aire,1030,55966,2006,597,680,230,Sold,,,http://www.redfin.com/CA/Hawthorne/5507-W-149th-Pl-90250/unit-8/home/12290382,CRMLS,SB18115763,N,Y,33.8967836,-118.3769436
PAST SALE,June-27-2018,Condo/Co-op,5405 W 149th Pl #10,Hawthorne,CA,90250,650000,2,2.0,Holly Glen/Del Aire,1000,55558,2007,577,650,220,Sold,,,http://www.redfin.com/CA/Hawthorne/5405-W-149th-Pl-90250/unit-10/home/12287476,TheMLS,18-345878,N,Y,33.8967854,-118.3760032
PAST SALE,November-30-2018,Condo/Co-op,5550 Boardwalk #102,Hawthorne,CA,90250,690000,1,1.5,107 - Holly Glen/Del Aire,1135,16174,2013,421,608,454,Sold,,,http://www.redfin.com/CA/Hawthorne/5550-Boardwalk-90250/unit-102/home/21918483,CRMLS,PV18266382,N,Y,33.9135875,-118.3776929
PAST SALE,November-27-2018,Condo/Co-op,5419 Strand #101,Hawthorne,CA,90250,1116101,3,3.0,Holly Glen/Del Aire,2070,15173,2014,424,539,382,Sold,,,http://www.redfin.com/CA/Hawthorne/5419-Strand-90250/unit-101/home/79041645,TheMLS,18-391232,N,Y,33.9156411,-118.3747023
PAST SALE,October-19-2018,Condo/Co-op,5440 Strand #401,Hawthorne,CA,90250,890000,2,2.0,107 - Holly Glen/Del Aire,1528,11879,2013,463,582,524,Sold,,,http://www.redfin.com/CA/Hawthorne/5440-Strand-90250/unit-401/home/21917395,CRMLS,SB18223726,N,Y,33.9152579,-118.3756127
PAST SALE,July-23-2018,Condo/Co-op,13028 Central Ave #201,Hawthorne,CA,90250,785000,2,2.0,107 - Holly Glen/Del Aire,1429,11441,2013,551,549,474,Sold,,,http://www.redfin.com/CA/Hawthorne/13028-Central-Ave-90250/unit-201/home/21919997,CRMLS,SB18117361,N,Y,33.9143486,-118.3760975
PAST SALE,October-1-2018,Condo/Co-op,13437 Kornblum Ave Unit C,Hawthorne,CA,90250,495000,3,2.5,110 - East Hawthorne,1693,19526,1981,481,292,225,Sold,,,http://www.redfin.com/CA/Hawthorne/13437-Kornblum-Ave-90250/unit-C/home/6509947,CRMLS,PW18194317,N,Y,33.9100232,-118.3374968
PAST SALE,,Condo/Co-op,14468 Yukon Ave,Hawthorne,CA,90250,510000,3,2.5,,1708,76801,1981,,299,,,,,http://www.redfin.com/CA/Hawthorne/14468-Yukon-Ave-90250/home/6547941,,,N,Y,33.899882,-118.334611
PAST SALE,,Condo/Co-op,4363 W 136th St Unit F,Hawthorne,CA,90250,1650000,13,7.0,,,,1960,,,,,,,http://www.redfin.com/CA/Hawthorne/4363-W-136th-St-90250/unit-F/home/6495856,,,N,Y,33.9088512,-118.3510116
PAST SALE,April-16-2019,Condo/Co-op,5450 Strand #202,Hawthorne,CA,90250,790000,2,2.0,107 - Holly Glen/Del Aire,1429,11352,2013,284,553,521,Sold,,,http://www.redfin.com/CA/Hawthorne/5450-Strand-90250/unit-202/home/21918102,CRMLS,SB19057130,N,Y,33.9152861,-118.3760633
PAST SALE,July-1-2019,Condo/Co-op,5400 W 149th Pl #9,Hawthorne,CA,90250,669000,2,2.0,107 - Holly Glen/Del Aire,1030,122839,2007,208,650,234,Sold,,,http://www.redfin.com/CA/Hawthorne/5400-W-149th-Pl-90250/unit-9/home/17139262,CRMLS,SB19099445,N,Y,33.8978818,-118.3746943
PAST SALE,October-9-2018,Condo/Co-op,13612 Lemoli Ave Unit C8,Hawthorne,CA,90250,372000,2,1.5,East Hawthorne,949,28226,1985,473,392,270,Sold,,,http://www.redfin.com/CA/Hawthorne/13612-Lemoli-Ave-90250/unit-C8/home/6513813,TheMLS,18-321930,N,Y,33.9078842,-118.3301309
