SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-1-2018,Townhouse,4315 W 145th St #11,Lawndale,CA,90260,449600,3,2.5,112 - North Lawndale,1333,25626,1994,634,337,300,Sold,,,http://www.redfin.com/CA/Lawndale/4315-W-145th-St-90260/unit-11/home/6561308,CRMLS,SB18035404,N,Y,33.9005584,-118.3510116
PAST SALE,December-6-2019,Multi-Family (2-4 Unit),3552 W 135th St,Hawthorne,CA,90250,1050000,7,4.0,109 - Ramona/Burleigh,3050,5908,1959,50,344,,Sold,,,http://www.redfin.com/CA/Hawthorne/3552-W-135th-St-90250/home/6513077,CRMLS,SB19126572,N,Y,33.9089534,-118.3348917
PAST SALE,May-7-2018,Townhouse,4714 W 149th St,Lawndale,CA,90260,700000,3,3.0,North Lawndale,2165,12083,1992,628,323,150,Sold,,,http://www.redfin.com/CA/Lawndale/4714-W-149th-St-90260/home/6563779,TheMLS,18-318516,N,Y,33.8960764,-118.3600215
PAST SALE,May-7-2019,Townhouse,12039 Stanley Park Ct,Hawthorne,CA,90250,690000,3,2.75,110 - East Hawthorne,1888,117050,2014,263,365,185,Sold,,,http://www.redfin.com/CA/Hawthorne/12039-Stanley-Park-Ct-90250/home/79042334,CRMLS,SB19065090,N,Y,33.921634,-118.318886
PAST SALE,April-5-2018,Townhouse,5511 W 149th Pl #15,Hawthorne,CA,90250,730000,2,2.0,107 - Holly Glen/Del Aire,1240,55781,2006,660,589,219,Sold,,,http://www.redfin.com/CA/Hawthorne/5511-W-149th-Pl-90250/unit-15/home/12285797,CRMLS,SB18033164,N,Y,33.8968805,-118.3777509
PAST SALE,March-27-2019,Townhouse,14001 Lemoli Ave,Hawthorne,CA,90250,500000,3,2.5,110 - East Hawthorne,1352,194748,1989,304,370,386,Sold,,,http://www.redfin.com/CA/Hawthorne/14001-Lemoli-Ave-90250/home/6515116,CRMLS,SB19015556,N,Y,33.9035146,-118.3314376
PAST SALE,July-31-2018,Townhouse,12020 Fairmont Ct,Hawthorne,CA,90250,680000,3,3.0,110 - East Hawthorne,2133,8942,2013,543,319,,Sold,,,http://www.redfin.com/CA/Hawthorne/12020-Fairmont-Ct-90250/home/79039069,CRMLS,SB18180582,N,Y,33.9226033,-118.3191571
PAST SALE,August-1-2018,Multi-Family (2-4 Unit),11522 Freeman Ave,Hawthorne,CA,90250,875000,5,3.0,108 - North Hawthorne,2200,6955,2016,542,398,,Sold,,,http://www.redfin.com/CA/Hawthorne/11522-Freeman-Ave-90250/home/6502047,CRMLS,RS18000637,N,Y,33.9295678,-118.3480554
PAST SALE,April-29-2019,Multi-Family (5+ Unit),11413 Menlo Ave,Hawthorne,CA,90250,1445000,11,6.0,108 - North Hawthorne,5188,6953,1963,271,279,,Sold,,,http://www.redfin.com/CA/Hawthorne/11413-Menlo-Ave-90250/home/6502065,CRMLS,SB19006051,N,Y,33.9305186,-118.3474961
PAST SALE,November-13-2018,Multi-Family (2-4 Unit),3126 W 134th Pl,Hawthorne,CA,90250,694000,4,2.0,110 - East Hawthorne,1748,5601,1940,438,397,,Sold,,,http://www.redfin.com/CA/Hawthorne/3126-W-134th-Pl-90250/home/6517425,CRMLS,PW18235716,N,Y,33.9096769,-118.3276788
PAST SALE,January-15-2019,Townhouse,3340 W 135th St,Hawthorne,CA,90250,655000,4,2.0,110 - East Hawthorne,1611,5126,1952,375,407,,Sold,,,http://www.redfin.com/CA/Hawthorne/3340-W-135th-St-90250/home/6513235,CRMLS,BB18234894,N,Y,33.9089883,-118.3322523
PAST SALE,August-21-2019,Multi-Family (5+ Unit),13632 Cerise Ave,Hawthorne,CA,90250,1720000,12,6.0,East Hawthorne,4980,19524,2008,157,345,,Sold,,,http://www.redfin.com/CA/Hawthorne/13632-Cerise-Ave-90250/home/21918030,TheMLS,19-471164,N,Y,33.9070856,-118.3327455
PAST SALE,,Multi-Family (2-4 Unit),11513 S Inglewood Ave,Hawthorne,CA,90250,750000,4,4.0,,2561,4600,1953,,293,,,,,http://www.redfin.com/CA/Hawthorne/11513-S-Inglewood-Ave-90250/home/6666092,,,N,Y,33.9295628,-118.3615429
PAST SALE,March-1-2018,Townhouse,5355 Strand #103,Hawthorne,CA,90250,845000,2,2.5,107 - Holly Glen/Del Aire,1680,16223,2013,695,503,348,Sold,,,http://www.redfin.com/CA/Hawthorne/5355-Strand-90250/unit-103/home/40153534,CRMLS,TR18010484,N,Y,33.9156389,-118.3739821
PAST SALE,March-15-2018,Townhouse,4494 W 131st St,Hawthorne,CA,90250,919005,7,3.0,110 - East Hawthorne,2487,12079,1913,681,370,,Sold,,,http://www.redfin.com/CA/Hawthorne/4494-W-131st-St-90250/home/6491053,CRMLS,OC18013037,N,Y,33.9132487,-118.3547944
PAST SALE,,Condo/Co-op,4372 W 130th St,Hawthorne,CA,90250,2388000,16,11.0,,,,1959,,,,,,,http://www.redfin.com/CA/Hawthorne/4372-W-130th-St-90250/home/6495418,,,N,Y,33.9139188,-118.3511714
PAST SALE,October-25-2018,Townhouse,12823 Manhattan Ct #105,Hawthorne,CA,90250,815000,2,2.5,107 - Holly Glen/Del Aire,1554,20936,2014,457,524,355,Sold,,,http://www.redfin.com/CA/Hawthorne/12823-Manhattan-Ct-90250/unit-105/home/21920877,CRMLS,SB18223247,N,Y,33.9159338,-118.3757479
