SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-7-2019,Single Family Residential,5434 W 120th St,Hawthorne,CA,90250,830000,3,2.0,Holly Glen/Del Aire,1453,5023,1949,79,571,,Sold,,,http://www.redfin.com/CA/Hawthorne/5434-W-120th-St-90250/home/6667514,TheMLS,19-512084,N,Y,33.9234222,-118.3756414
PAST SALE,December-20-2018,Single Family Residential,5016 W 120th St,Hawthorne,CA,90250,765000,3,1.75,107 - Holly Glen/Del Aire,1147,6613,1941,401,667,,Sold,,,http://www.redfin.com/CA/Hawthorne/5016-W-120th-St-90250/home/6666178,CRMLS,SB18278740,N,Y,33.9234212,-118.3663172
PAST SALE,August-29-2018,Single Family Residential,5330 W 127th Pl,Hawthorne,CA,90250,810000,3,2.0,107 - Holly Glen/Del Aire,1228,5062,1950,514,660,,Sold,,,http://www.redfin.com/CA/Hawthorne/5330-W-127th-Pl-90250/home/6668928,CRMLS,SB18181007,N,Y,33.9170329,-118.3732448
PAST SALE,June-20-2018,Single Family Residential,13019 Hindry Ave,Hawthorne,CA,90250,870000,3,2.0,107 - Holly Glen/Del Aire,1124,5465,1955,584,774,,Sold,,,http://www.redfin.com/CA/Hawthorne/13019-Hindry-Ave-90250/home/6672259,CRMLS,SB18106669,N,Y,33.9139158,-118.3724299
PAST SALE,October-30-2018,Single Family Residential,5312 W 140th St,Hawthorne,CA,90250,783000,3,2.0,107 - Holly Glen/Del Aire,1098,5007,1955,452,713,,Sold,,,http://www.redfin.com/CA/Hawthorne/5312-W-140th-St-90250/home/6673263,CRMLS,CV18229407,N,Y,33.9042367,-118.3726399
PAST SALE,,Single Family Residential,5408 W 123rd St,Hawthorne,CA,90250,825000,3,1.0,,1451,5039,1950,,569,,,,,http://www.redfin.com/CA/Hawthorne/5408-W-123rd-St-90250/home/6668132,,,N,Y,33.9214908,-118.3747969
PAST SALE,May-25-2018,Single Family Residential,5425 Wiseburn St,Hawthorne,CA,90250,874000,3,1.75,107 - Holly Glen/Del Aire,1561,5003,1955,610,560,,Sold,,,http://www.redfin.com/CA/Hawthorne/5425-Wiseburn-St-90250/home/6671961,CRMLS,SB18072586,N,Y,33.9132872,-118.375437
PAST SALE,June-20-2018,Single Family Residential,13715 Judah Ave,Hawthorne,CA,90250,949000,3,1.75,107 - Holly Glen/Del Aire,1862,5646,1954,584,510,,Sold,,,http://www.redfin.com/CA/Hawthorne/13715-Judah-Ave-90250/home/6674485,CRMLS,SB18108433,N,Y,33.9074147,-118.3784716
PAST SALE,September-7-2018,Single Family Residential,5325 W 134th St,Hawthorne,CA,90250,890000,3,2.0,107 - Holly Glen/Del Aire,1568,5443,1955,505,568,,Sold,,,http://www.redfin.com/CA/Hawthorne/5325-W-134th-St-90250/home/6671971,CRMLS,SB18175057,N,Y,33.911471,-118.373064
PAST SALE,August-13-2019,Single Family Residential,4357 W 133rd St,Hawthorne,CA,90250,780000,3,2.0,109 - Ramona/Burleigh,1501,8701,1953,165,520,,Sold,,,http://www.redfin.com/CA/Hawthorne/4357-W-133rd-St-90250/home/6495550,CRMLS,SB19098187,N,Y,33.9123067,-118.3508355
PAST SALE,April-18-2018,Single Family Residential,5430 W 138 St,Hawthorne,CA,90250,809000,3,2.0,107 - Holly Glen/Del Aire,1124,5009,1954,647,720,,Sold,,,http://www.redfin.com/CA/Hawthorne/5430-W-138th-St-90250/home/6674387,CRMLS,DW17280933,N,Y,33.9062929,-118.37563
PAST SALE,May-3-2018,Single Family Residential,4856 W 133rd St,Hawthorne,CA,90250,800000,3,2.0,Holly Glen/Del Aire,1248,5283,1950,632,641,,Sold,,,http://www.redfin.com/CA/Hawthorne/4856-W-133rd-St-90250/home/6670339,TheMLS,18-331234,N,Y,33.9118838,-118.3632813
PAST SALE,August-17-2018,Single Family Residential,14230 Isis Ave,Hawthorne,CA,90250,915000,3,1.5,Holly Glen/Del Aire,1098,5211,1955,526,833,,Sold,,,http://www.redfin.com/CA/Hawthorne/14230-Isis-Ave-90250/home/6673450,TheMLS,18-359552,N,Y,33.9027798,-118.3740208
PAST SALE,June-26-2018,Single Family Residential,4823 W 137th St,Hawthorne,CA,90250,820000,3,2.0,Holly Glen/Del Aire,1889,5286,1952,578,434,,Sold,,,http://www.redfin.com/CA/Hawthorne/4823-137th-St-90250/home/6675044,TheMLS,18-340224,N,Y,33.9079835,-118.3622116
PAST SALE,August-13-2018,Single Family Residential,5474 W 121st St,Hawthorne,CA,90250,827000,3,1.5,107 - Holly Glen/Del Aire,1363,5069,1949,530,607,,Sold,,,http://www.redfin.com/CA/Hawthorne/5474-W-121st-St-90250/home/6667562,CRMLS,IV18171483,N,Y,33.9227964,-118.3769424
