SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-22-2019,Condo/Co-op,855 Victor Ave #210,Inglewood,CA,90302,380000,2,2.0,North Inglewood,943,50028,1964,306,403,244,Sold,,,http://www.redfin.com/CA/Inglewood/855-Victor-Ave-90302/unit-210/home/6441865,TheMLS,19-424802,N,Y,33.9728727,-118.3665311
PAST SALE,July-26-2019,Condo/Co-op,620 W Hyde Park Blvd #117,Inglewood,CA,90302,458000,2,2.0,101 - North Inglewood,1149,65877,1983,180,399,280,Sold,,,http://www.redfin.com/CA/Inglewood/620-W-Hyde-Park-Blvd-90302/unit-117/home/6444229,CRMLS,BB19126546,N,Y,33.9689614,-118.3640468
PAST SALE,June-20-2019,Condo/Co-op,855 Victor Ave #110,Inglewood,CA,90302,380000,2,1.75,101 - North Inglewood,943,50066,1964,216,403,244,Sold,,,http://www.redfin.com/CA/Inglewood/855-Victor-Ave-90302/unit-110/home/6441814,CRMLS,WS18293330,N,Y,33.9728727,-118.3665311
PAST SALE,June-28-2019,Condo/Co-op,620 W Hyde Park Blvd #123,Inglewood,CA,90302,349000,1,1.0,101 - North Inglewood,814,65877,1983,208,429,280,Sold,,,http://www.redfin.com/CA/Inglewood/620-W-Hyde-Park-Blvd-90302/unit-123/home/6444186,CRMLS,PW19134508,N,Y,33.9689614,-118.3640468
PAST SALE,July-15-2019,Condo/Co-op,7001 S La Cienega #312,Los Angeles,CA,90045,490000,2,2.0,Westchester,974,35412,1985,191,503,405,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-312/home/6600404,TheMLS,19-471844,N,Y,33.9738688,-118.3704345
PAST SALE,November-22-2019,Condo/Co-op,730 Cory Dr #27,Inglewood,CA,90302,435000,2,3.0,101 - North Inglewood,1228,40342,1983,61,354,312,Sold,,,http://www.redfin.com/CA/Inglewood/730-Cory-Dr-90302/unit-27/home/6443315,CRMLS,OC19242363,N,Y,33.9695695,-118.3681529
PAST SALE,January-17-2020,Condo/Co-op,138 W Kelso St #4,Inglewood,CA,90301,395000,2,2.0,North Inglewood,1331,9241,1964,5,297,250,Sold,,,http://www.redfin.com/CA/Inglewood/138-W-Kelso-St-90301/unit-4/home/8120531,TheMLS,19-454578,N,Y,33.9586652,-118.3566244
PAST SALE,August-14-2019,Condo/Co-op,5330-1/2 Fairview,Los Angeles,CA,90056,649999,3,2.5,Ladera Heights,1689,30432,1964,161,385,300,Sold,,,http://www.redfin.com/CA/Los-Angeles/5330-1-2-Fairview-Blvd-90056/home/167208591,TheMLS,19-486966,N,Y,33.9795475,-118.372846
PAST SALE,September-26-2019,Condo/Co-op,907 N INGLEWOOD Ave N #3,Inglewood,CA,90302,440000,2,2.0,101 - North Inglewood,1098,7502,1987,118,401,379,Sold,,,http://www.redfin.com/CA/Inglewood/907-N-Inglewood-Ave-90302/unit-3/home/148720546,CRMLS,SB19010744,N,Y,33.9748292,-118.3616492
PAST SALE,September-30-2019,Condo/Co-op,907 N INGLEWOOD Ave #5,Inglewood,CA,90302,440000,2,2.0,101 - North Inglewood,1098,7502,1987,114,401,379,Sold,,,http://www.redfin.com/CA/Inglewood/907-N-Inglewood-Ave-90302/unit-5/home/148732031,CRMLS,SB19013306,N,Y,33.9748292,-118.3616492
PAST SALE,September-25-2019,Condo/Co-op,559 E Hazel St #7,Inglewood,CA,90302,470000,3,2.0,101 - North Inglewood,1310,20020,1962,119,359,246,Sold,,,http://www.redfin.com/CA/Inglewood/559-E-Hazel-St-90302/unit-7/home/8151928,CRMLS,PW19073068,N,Y,33.9731599,-118.3468475
PAST SALE,November-22-2019,Condo/Co-op,907 N INGLEWOOD Ave #2,Inglewood,CA,90302,440000,2,2.0,101 - North Inglewood,1098,7502,1987,61,401,379,Sold,,,http://www.redfin.com/CA/Inglewood/907-N-Inglewood-Ave-90302/unit-2/home/148720234,CRMLS,SB19010681,N,Y,33.9748292,-118.3616492
PAST SALE,November-20-2019,Condo/Co-op,7001 S La Cienega #103,Los Angeles,CA,90045,480000,2,2.0,Westchester,990,35412,1985,63,485,395,Sold,,,http://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-103/home/6600170,TheMLS,19-515642,N,Y,33.9738688,-118.3704345
PAST SALE,August-24-2018,Condo/Co-op,315 N Hillcrest #11,Inglewood,CA,90301,415000,2,2.0,North Inglewood,1025,21814,1963,516,405,347,Sold,,,http://www.redfin.com/CA/Inglewood/315-N-Hillcrest-Blvd-90301/unit-11/home/6434598,TheMLS,18-352648,N,Y,33.968064,-118.3493515
PAST SALE,September-11-2018,Condo/Co-op,324 E Plymouth St #21,Inglewood,CA,90302,415000,2,2.0,101 - North Inglewood,850,27741,1987,498,488,240,Sold,,,http://www.redfin.com/CA/Inglewood/324-E-Plymouth-St-90302/unit-21/home/6436835,CRMLS,IN18109791,N,Y,33.9740643,-118.3538695
PAST SALE,September-27-2018,Condo/Co-op,620 W Hyde Park #105,Inglewood,CA,90302,400000,2,2.0,North Inglewood,1031,66099,1983,482,388,280,Sold,,,http://www.redfin.com/CA/Inglewood/620-W-Hyde-Park-Blvd-90302/unit-105/home/6444097,TheMLS,18-384722,N,Y,33.9689614,-118.3640468
PAST SALE,,Condo/Co-op,831 S Flower St,Inglewood,CA,90301,2400000,,,,,,1962,,,,,,,http://www.redfin.com/CA/Inglewood/831-S-Flower-St-90301/home/6458019,,,N,Y,33.9528794,-118.3475189
PAST SALE,June-18-2018,Condo/Co-op,6922 Knowlton Pl #105,Westchester,CA,90045,610000,2,2.0,C29 - Westchester,1260,20701,1997,583,484,310,Sold,,,http://www.redfin.com/CA/Los-Angeles/6922-Knowlton-Pl-90045/unit-105/home/6600536,CRMLS,IV18092372,N,Y,33.9741856,-118.3710092
