SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-31-2018,Single Family Residential,3832 W 106th St,Inglewood,CA,90303,500000,2,1.0,102 - South Inglewood,777,6420,1953,509,644,,Sold,,,http://www.redfin.com/CA/Inglewood/3832-W-106th-St-90303/home/6477629,CRMLS,PW18175281,N,Y,33.9395994,-118.340967
PAST SALE,December-24-2019,Single Family Residential,3010 W 84th Pl,Inglewood,CA,90305,630000,2,1.0,101 - North Inglewood,1585,5639,1940,29,397,,Sold,,,http://www.redfin.com/CA/Inglewood/3010-W-84th-Pl-90305/home/6423967,CRMLS,SB19264239,N,Y,33.9614132,-118.3259445
PAST SALE,October-26-2018,Single Family Residential,3245 W 109th St,Inglewood,CA,90303,530000,2,1.0,102 - South Inglewood,950,6008,1952,453,558,,Sold,,,http://www.redfin.com/CA/Inglewood/3245-W-109th-St-90303/home/6474282,CRMLS,BB18222419,N,Y,33.9369591,-118.3299169
PAST SALE,November-21-2018,Single Family Residential,9007 S 6th Ave,Inglewood,CA,90305,589000,2,2.0,North Inglewood,1560,8504,1938,427,378,,Sold,,,http://www.redfin.com/CA/Inglewood/9007-S-6th-Ave-90305/home/6466146,TheMLS,18-340378,N,Y,33.9559997,-118.3234984
PAST SALE,May-8-2018,Single Family Residential,9812 S 4th Ave,Inglewood,CA,90305,610000,2,2.0,South Inglewood,1837,8516,1948,624,332,,Sold,,,http://www.redfin.com/CA/Inglewood/9812-S-4th-Ave-90305/home/6468174,TheMLS,18-312444,N,Y,33.9459729,-118.3207388
PAST SALE,May-17-2019,Single Family Residential,721 Larch St #8,Inglewood,CA,90301,259900,1,1.0,101 - North Inglewood,635,10001,1959,250,409,150,Sold,,,http://www.redfin.com/CA/Inglewood/721-Larch-St-90301/unit-8/home/6451756,CRMLS,SB19068670,N,Y,33.9545479,-118.3504993
PAST SALE,January-30-2018,Single Family Residential,404 Warren Ln,Inglewood,CA,90302,850000,2,1.0,North Inglewood,1599,5633,1948,722,532,,Sold,,,http://www.redfin.com/CA/Inglewood/404-Warren-Ln-90302/home/45069198,TheMLS,17-264786,N,Y,33.9706606,-118.349505
PAST SALE,January-23-2018,Single Family Residential,547 E Ellis Ave,Inglewood,CA,90302,545000,2,1.75,101 - North Inglewood,928,5671,1923,729,587,,Sold,,,http://www.redfin.com/CA/Inglewood/547-E-Ellis-Ave-90302/home/6431449,CRISNet,SR17255252,N,Y,33.9798802,-118.3507377
PAST SALE,July-13-2018,Single Family Residential,1013 E La Palma Dr,Inglewood,CA,90301,425000,2,1.0,102 - South Inglewood,721,4681,1922,558,589,,Sold,,,http://www.redfin.com/CA/Inglewood/1013-E-La-Palma-Dr-90301/home/6452566,CRMLS,IN17152133,N,Y,33.9555367,-118.3478613
PAST SALE,September-19-2018,Single Family Residential,4245 W 103rd St,Inglewood,CA,90304,500000,2,1.0,105 - Lennox,804,5903,1912,490,622,,Sold,,,http://www.redfin.com/CA/Inglewood/4245-W-103rd-St-90304/home/6480595,CRMLS,DW18192320,N,Y,33.9429185,-118.3499615
PAST SALE,July-17-2019,Single Family Residential,10405 S Truro Ave,Inglewood,CA,90304,440000,2,1.0,102 - South Inglewood,898,5838,1941,189,490,,Sold,,,http://www.redfin.com/CA/Lennox/10405-S-Truro-Ave-90304/home/6484378,CRMLS,DW19127827,N,Y,33.9415622,-118.3582708
PAST SALE,October-18-2019,Single Family Residential,4512 W 104th St,Inglewood,CA,90304,410000,1,1.0,105 - Lennox,504,5066,1925,96,813,,Sold,,,http://www.redfin.com/CA/Inglewood/4512-W-104th-St-90304/home/6484003,CRMLS,SB19244806,N,Y,33.9416692,-118.3554402
PAST SALE,,Single Family Residential,424 W Queen St,Inglewood,CA,90301,500000,2,1.0,,1314,7647,1922,,381,,,,,http://www.redfin.com/CA/Inglewood/424-W-Queen-St-90301/home/6448068,,,N,Y,33.9625797,-118.3629275
PAST SALE,February-11-2019,Single Family Residential,513 W Buckthorn St,Inglewood,CA,90301,550000,2,1.0,102 - South Inglewood,988,4565,1926,345,557,,Sold,,,http://www.redfin.com/CA/Inglewood/513-W-Buckthorn-St-90301/home/6453300,CRMLS,SB18292220,N,Y,33.9536944,-118.3643716
PAST SALE,June-7-2019,Single Family Residential,3622 W 111th Pl,Inglewood,CA,90303,451500,2,1.0,102 - South Inglewood,806,6765,1941,229,560,,Sold,,,http://www.redfin.com/CA/Inglewood/3622-W-111th-Pl-90303/home/6479586,CRMLS,SB19089852,N,Y,33.9336765,-118.3356708
