SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-28-2018,Single Family Residential,6227 Long St,Los Angeles,CA,90043,705000,3,2.0,Park Hills Heights,1217,5440,1925,481,579,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6227-Long-St-90043/home/6412442,TheMLS,18-374502,N,Y,33.982831,-118.3387753
PAST SALE,May-8-2018,Single Family Residential,554 Hargrave St,Inglewood,CA,90302,780000,3,2.0,North Inglewood,1620,7505,1964,624,481,,Sold,,,http://www.redfin.com/CA/Inglewood/554-Hargrave-St-90302/home/6432075,TheMLS,18-323720,N,Y,33.9786762,-118.3503496
PAST SALE,,Single Family Residential,10216 S 6th Ave,Inglewood,CA,90303,620000,3,2.0,,1578,5140,1948,,393,,,,,http://www.redfin.com/CA/Inglewood/10216-S-6th-Ave-90303/home/6472034,,,N,Y,33.9432862,-118.3234786
PAST SALE,August-21-2018,Single Family Residential,11740 Lemoli Ave,Inglewood,CA,90303,600000,3,2.0,South Inglewood,1829,6325,1947,519,328,,Sold,,,http://www.redfin.com/CA/Inglewood/11740-Lemoli-Ave-S-90303/home/6519329,TheMLS,18-313368,N,Y,33.9269492,-118.3292322
PAST SALE,October-8-2019,Single Family Residential,209 W Fairview Blvd,Inglewood,CA,90302,890777,3,1.75,101 - North Inglewood,1286,7254,1941,106,693,,Sold,,,http://www.redfin.com/CA/Inglewood/209-W-Fairview-Blvd-90302/home/6405613,CRMLS,PW19205141,N,Y,33.9796496,-118.3607818
PAST SALE,May-16-2018,Single Family Residential,8409 WEST Blvd,Inglewood,CA,90305,630000,3,2.0,101 - North Inglewood,1832,4263,1954,616,344,,Sold,,,http://www.redfin.com/CA/Inglewood/8409-West-Blvd-90305/home/6425414,CRMLS,SB18012236,N,Y,33.9615042,-118.335024
PAST SALE,April-25-2018,Single Family Residential,10603 S 7th Ave,Inglewood,CA,90303,590000,3,2.0,102 - South Inglewood,1486,6633,1954,637,397,,Sold,,,http://www.redfin.com/CA/Inglewood/10603-S-7th-Ave-90303/home/6473424,CRMLS,DW18062301,N,Y,33.9398993,-118.3238896
PAST SALE,April-22-2019,Single Family Residential,2518 W 116th St,Hawthorne,CA,90250,540000,3,2.0,699 - Not Defined,1226,5920,1954,275,440,,Sold,,,http://www.redfin.com/CA/Hawthorne/2518-W-116th-St-90250/home/6520647,CRMLS,MB19039845,N,Y,33.928349,-118.3213781
PAST SALE,December-28-2018,Single Family Residential,7834 Goddard Ave,Los Angeles,CA,90045,1050000,3,2.0,Westchester,1344,5496,1950,390,781,,Sold,,,http://www.redfin.com/CA/Los-Angeles/7834-Goddard-Ave-90045/home/6638717,TheMLS,18-404652,N,Y,33.9645848,-118.3725144
PAST SALE,July-15-2019,Single Family Residential,8801 S 4th Ave,Inglewood,CA,90305,710500,3,2.0,101 - North Inglewood,2120,6827,1942,191,335,,Sold,,,http://www.redfin.com/CA/Inglewood/8801-S-4th-Ave-90305/home/6465613,CRMLS,PW19105391,N,Y,33.957894,-118.3212825
PAST SALE,July-12-2019,Single Family Residential,3339 W 117th Pl,Inglewood,CA,90303,607000,3,2.0,102 - South Inglewood,1410,6327,1947,194,430,,Sold,,,http://www.redfin.com/CA/Inglewood/3339-W-117th-Pl-90303/home/6518993,CRMLS,SB19104470,N,Y,33.9278782,-118.331287
PAST SALE,July-18-2019,Single Family Residential,11010 Buford Ave,Inglewood,CA,90304,501000,3,2.0,102 - South Inglewood,1056,6460,1926,188,474,,Sold,,,http://www.redfin.com/CA/Inglewood/11010-Buford-Ave-90304/home/6487974,CRMLS,DW19082030,N,Y,33.9356841,-118.3632014
PAST SALE,August-1-2019,Single Family Residential,6106 S Croft Ave,Los Angeles,CA,90056,1045000,3,3.0,Ladera Heights,1894,7531,1952,174,552,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6106-S-Croft-Ave-90056/home/6403188,TheMLS,19-480494,N,Y,33.9833108,-118.36908
PAST SALE,August-2-2019,Single Family Residential,5437 W 120th St,Hawthorne,CA,90304,787535,3,1.0,107 - Holly Glen/Del Aire,1033,7618,1946,173,762,,Sold,,,http://www.redfin.com/CA/Inglewood/5437-W-120th-St-90304/home/6664013,CRMLS,PW19135064,N,Y,33.9238527,-118.3757213
PAST SALE,,Single Family Residential,713 N Gay St,Inglewood,CA,90302,750000,3,2.0,,1612,5035,1962,,465,,,,,http://www.redfin.com/CA/Inglewood/713-N-Gay-St-90302/home/6430576,,,N,Y,33.9760993,-118.3383187
PAST SALE,June-19-2019,Single Family Residential,741 E 67th St,Inglewood,CA,90302,638000,3,2.0,North Inglewood,1188,4801,1926,217,537,,Sold,,,http://www.redfin.com/CA/Inglewood/741-E-67th-St-90302/home/6432408,TheMLS,19-468476,N,Y,33.9759826,-118.3443913
PAST SALE,July-30-2018,Single Family Residential,1139 Rosewood Ave,Inglewood,CA,90301,620000,3,1.75,South Inglewood,1429,6274,1930,541,434,,Sold,,,http://www.redfin.com/CA/Inglewood/1139-Rosewood-Ave-90301/home/6456591,TheMLS,18-356888,N,Y,33.9476328,-118.3604166
PAST SALE,April-23-2019,Single Family Residential,917 Rosewood Ave,Inglewood,CA,90301,550000,3,1.0,102 - South Inglewood,952,5723,1926,274,578,,Sold,,,http://www.redfin.com/CA/Inglewood/917-Rosewood-Ave-90301/home/6456745,CRMLS,DW18283255,N,Y,33.9519858,-118.3604622
PAST SALE,May-29-2019,Single Family Residential,2617 W 101st St,Inglewood,CA,90303,716500,3,2.0,102 - South Inglewood,1337,5931,1946,238,536,,Sold,,,http://www.redfin.com/CA/Inglewood/2617-W-101st-St-90303/home/6471421,CRMLS,SB19087810,N,Y,33.9446533,-118.3229763
PAST SALE,September-17-2019,Single Family Residential,3317 W 81st St,Inglewood,CA,90305,675000,3,2.0,699 - Not Defined,1340,6779,1951,127,504,,Sold,,,http://www.redfin.com/CA/Inglewood/3317-W-81st-St-90305/home/6426398,CRMLS,DW19163211,N,Y,33.9656552,-118.3295104
PAST SALE,September-10-2019,Single Family Residential,11704 Chanera Ave,Hawthorne,CA,90250,625000,3,2.0,108 - North Hawthorne,1403,5000,1954,134,445,,Sold,,,http://www.redfin.com/CA/Hawthorne/11704-Chanera-Ave-90250/home/6521343,CRMLS,SB19165397,N,Y,33.9276537,-118.3241636
PAST SALE,November-12-2019,Single Family Residential,9802 Crenshaw Blvd,Inglewood,CA,90305,625000,3,2.0,699 - Not Defined,1685,6483,1942,71,371,,Sold,,,http://www.redfin.com/CA/Inglewood/9802-Crenshaw-Blvd-90305/home/6467530,CRMLS,DW19240679,N,Y,33.946759,-118.3261253
PAST SALE,January-17-2020,Single Family Residential,8805 S 3rd Ave,Inglewood,CA,90305,935000,3,2.5,102 - South Inglewood,3041,8507,1931,5,307,,Sold,,,http://www.redfin.com/CA/Inglewood/8805-S-3rd-Ave-90305/home/6465544,CRMLS,WS19270190,N,Y,33.9577014,-118.3202096
PAST SALE,January-6-2020,Single Family Residential,2128 W 82nd St,Los Angeles,CA,90047,622000,3,2.75,Metropolitan Southwest,1766,5655,1928,16,352,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2128-W-82nd-St-90047/home/7293225,TheMLS,19-475532,N,Y,33.9643515,-118.3165833
PAST SALE,December-21-2018,Single Family Residential,11024 S Truro Ave,Inglewood,CA,90304,555000,3,1.0,699 - Not Defined,1150,5973,1953,397,483,,Sold,,,http://www.redfin.com/CA/Inglewood/11024-S-Truro-Ave-90304/home/6485195,CRMLS,DW18256786,N,Y,33.935309,-118.3578143
PAST SALE,November-13-2018,Single Family Residential,3906 W 64th St,Inglewood,CA,90302,615000,3,1.0,North Inglewood,816,5454,1923,435,754,,Sold,,,http://www.redfin.com/CA/Inglewood/3906-W-64th-St-90302/home/6429755,TheMLS,18-394468,N,Y,33.981546,-118.3421541
PAST SALE,October-1-2019,Single Family Residential,6235 Acacia St,Los Angeles,CA,90056,835000,3,2.0,Ladera Heights,1348,7006,1949,113,619,,Sold,,,http://www.redfin.com/CA/Los-Angeles/6235-Acacia-St-90056/home/6404734,TheMLS,19-496024,N,Y,33.9829509,-118.3647082
PAST SALE,October-25-2019,Single Family Residential,408 W Ellis Ave,Inglewood,CA,90302,884000,3,2.0,North Inglewood,1552,5392,1938,89,570,,Sold,,,http://www.redfin.com/CA/Inglewood/408-W-Ellis-Ave-90302/home/6404305,TheMLS,19-476036,N,Y,33.9783869,-118.3643884
PAST SALE,July-17-2019,Single Family Residential,2509 West 76th St,Los Angeles,CA,90043,752000,3,2.5,C34 - Los Angeles Southwest,1926,7381,1934,189,390,,Sold,,,http://www.redfin.com/CA/Los-Angeles/2509-W-76th-St-90043/home/6422489,CRMLS,SW19074199,N,Y,33.9712258,-118.3212868
PAST SALE,July-26-2019,Single Family Residential,8105 S 8th Ave,Inglewood,CA,90305,645000,3,2.0,102 - South Inglewood,1268,4736,1941,180,509,,Sold,,,http://www.redfin.com/CA/Inglewood/8105-8th-Ave-90305/home/6426693,CRMLS,IV19142983,N,Y,33.9650692,-118.3267279
PAST SALE,August-23-2019,Single Family Residential,8301 S 3rd Ave,Inglewood,CA,90305,540000,3,2.0,North Inglewood,1814,5222,1936,152,298,,Sold,,,http://www.redfin.com/CA/Inglewood/8301-S-3rd-Ave-90305/home/6425176,TheMLS,19-471902,N,Y,33.963513,-118.3198815
PAST SALE,January-22-2018,Single Family Residential,8100 Maitland Ave,Inglewood,CA,90305,696500,3,2.0,North Inglewood,1726,5451,1936,730,404,,Sold,,,http://www.redfin.com/CA/Inglewood/8100-Maitland-Ave-90305/home/6424746,TheMLS,17-292718,N,Y,33.9649952,-118.3200995
