SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-8-2019,Single Family Residential,28 Encanto Dr,Rolling Hills Estates,CA,90274,1350000,3,2.0,165 - PV Dr North,2112,16061,1960,382,639,,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/28-Encanto-Dr-90274/home/7730866,CRMLS,SB18211834,N,Y,33.7772967,-118.3173139
PAST SALE,,Single Family Residential,2244 255th St,Lomita,CA,90717,1275000,4,2.0,,2328,16821,1908,,548,,,,,http://www.redfin.com/CA/Lomita/2244-255th-St-90717/home/143833881,,,N,Y,33.7922208,-118.3215836
PAST SALE,July-20-2018,Single Family Residential,2240 250th St,Lomita,CA,90717,755000,3,2.0,121 - Lomita,1337,5330,1930,554,565,,Sold,,,http://www.redfin.com/CA/Lomita/2240-250th-St-90717/home/7661920,CRMLS,PW18129155,N,Y,33.7980056,-118.3214694
PAST SALE,August-10-2018,Single Family Residential,2247 250th St,Lomita,CA,90717,625000,2,1.75,121 - Lomita,1134,5416,1928,533,551,,Sold,,,http://www.redfin.com/CA/Lomita/2247-250th-St-90717/home/7663871,CRMLS,SB18121344,N,Y,33.7984013,-118.3216521
PAST SALE,March-27-2018,Single Family Residential,1732 247th St,Lomita,CA,90717,720000,3,2.0,121 - Lomita,1649,5760,1950,669,437,,Sold,,,http://www.redfin.com/CA/Lomita/1732-247th-St-90717/home/7661436,CRMLS,SB18027219,N,Y,33.800758,-118.3088885
PAST SALE,August-31-2018,Single Family Residential,1746 248th St,Lomita,CA,90717,755000,4,2.0,121 - Lomita,1723,6404,1950,512,438,,Sold,,,http://www.redfin.com/CA/Lomita/1746-248th-St-90717/home/7661392,CRMLS,SB18155188,N,Y,33.7992031,-118.3094136
PAST SALE,July-1-2019,Single Family Residential,25938 Lucille Ave,Lomita,CA,90717,650000,3,2.0,121 - Lomita,1510,6131,1947,208,430,,Sold,,,http://www.redfin.com/CA/Lomita/25938-Lucille-Ave-90717/home/7731558,CRMLS,SB19094776,N,Y,33.7869912,-118.3215608
PAST SALE,February-21-2018,Single Family Residential,26530 Rolling Vista Dr,Lomita,CA,90717,1100000,4,3.0,121 - Lomita,2406,10791,1967,703,457,,Sold,,,http://www.redfin.com/CA/Lomita/26530-Rolling-Vista-Dr-90717/home/7729394,CRMLS,PV18010040,N,Y,33.780084,-118.3153046
PAST SALE,March-26-2019,Single Family Residential,1937 Via Solano,Lomita,CA,90717,988000,4,2.5,121 - Lomita,2272,9407,1968,305,435,,Sold,,,http://www.redfin.com/CA/Lomita/1937-Via-Solano-90717/home/7729340,CRMLS,SB19025131,N,Y,33.7806969,-118.3137292
PAST SALE,August-1-2019,Single Family Residential,26422 Leesdale Ave,Harbor City,CA,90710,550000,2,1.0,124 - Harbor City,852,7254,1942,177,646,,Sold,,,http://www.redfin.com/CA/Harbor-City/26422-Leesdale-Ave-90710/home/7673610,CRMLS,IV19124488,N,Y,33.7810242,-118.3095275
