SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,823 6th St,Manhattan Beach,CA,90266,6200000,3,2.0,,1510,9980,1949,,4106,,,,,http://www.redfin.com/CA/Manhattan-Beach/823-6th-St-90266/home/6705377,,,N,Y,33.8830764,-118.402504
PAST SALE,,Single Family Residential,108 N Dianthus St,Manhattan Beach,CA,90266,4900000,3,1.0,,1293,9376,1946,,3790,,,,,http://www.redfin.com/CA/Manhattan-Beach/108-N-Dianthus-St-90266/home/6705690,,,N,Y,33.8797606,-118.3979854
PAST SALE,,Single Family Residential,513 Longfellow Ave,Hermosa Beach,CA,90254,4275000,5,7.0,,5234,4014,2017,,817,,,,,http://www.redfin.com/CA/Hermosa-Beach/513-Longfellow-Ave-90254/home/6712790,,,N,Y,33.8773013,-118.4025853
PAST SALE,August-16-2019,Single Family Residential,517 Longfellow Ave,Manhattan Beach,CA,90266,2800000,4,3.5,142 - Manhattan Bch Sand,3690,4000,2000,162,759,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/517-Longfellow-Ave-90254/home/6712791,CRMLS,SB19067192,N,Y,33.8773914,-118.4025054
PAST SALE,March-20-2018,Single Family Residential,721 26th St,Manhattan Beach,CA,90266,3100000,5,5.0,143 - Manhattan Bch Tree,3545,5120,2005,676,874,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/721-26th-St-90266/home/6709250,CRMLS,SB18064955,N,Y,33.8956833,-118.4064068
PAST SALE,October-30-2018,Single Family Residential,1245 3rd St,Manhattan Beach,CA,90266,4200000,4,3.5,147 - Manhattan Bch Mira Costa,3303,16797,1964,452,1272,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1245-3rd-St-90266/home/6704895,CRMLS,SB18243997,N,Y,33.8811251,-118.3923711
PAST SALE,June-4-2018,Single Family Residential,1350 23rd St,Manhattan Beach,CA,90266,3700000,5,4.25,Manhattan Beach Heights/Liberty Vlg,4799,7449,2018,600,771,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1350-23rd-St-90266/home/6704038,TheMLS,18-340096,N,Y,33.8935768,-118.389989
PAST SALE,February-27-2018,Single Family Residential,912 11th St,Manhattan Beach,CA,90266,3395000,6,5.5,144 - Manhattan Bch Hill,5108,7504,1992,697,665,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/912-11th-St-90266/home/6706628,CRMLS,SB17252223,N,Y,33.8863062,-118.399862
PAST SALE,March-30-2018,Single Family Residential,3405 Manhattan Ave,Manhattan Beach,CA,90266,6450000,5,4.5,142 - Manhattan Bch Sand,4306,2694,1997,666,1498,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3405-Manhattan-Ave-90266/home/6710029,CRMLS,SB18047752,N,Y,33.8989583,-118.4182105
PAST SALE,May-8-2018,Single Family Residential,1156 6th St,Manhattan Beach,CA,90266,3600000,3,3.0,147 - Manhattan Bch Mira Costa,1560,15311,1949,627,2308,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1156-6th-St-90266/home/6704979,CRMLS,SB17130557,N,Y,33.8826383,-118.3939787
