SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-5-2018,Townhouse,814 Highland Ave,Manhattan Beach,CA,90266,4299000,4,3.25,142 - Manhattan Bch Sand,2600,3331,2016,477,1653,104,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/814-Highland-Ave-90266/home/6711766,CRMLS,SB18221288,N,Y,33.8830583,-118.4083604
PAST SALE,August-9-2019,Townhouse,3616 Alma Ave,Manhattan Beach,CA,90266,1550000,5,4.0,142 - Manhattan Bch Sand,1684,2165,1947,169,920,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3616-Alma-Ave-90266/home/6709773,CRMLS,SB19071084,N,Y,33.9010718,-118.4166209
PAST SALE,June-5-2018,Townhouse,333 21st Pl,Manhattan Beach,CA,90266,2100000,3,3.0,142 - Manhattan Bch Sand,1730,2694,2006,599,1214,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/333-21st-Pl-90266/unit-2/home/8182178,CRMLS,SB18133012,N,Y,33.8918909,-118.4125674
PAST SALE,November-16-2018,Condo/Co-op,1300 12th St Unit E,Manhattan Beach,CA,90266,1135000,2,2.5,,1256,,1984,435,904,250,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1300-12th-St-90266/unit-E/home/6703927,SDMLS,180044797,N,Y,33.888003,-118.391502
PAST SALE,August-17-2018,Townhouse,123 40th St,Manhattan Beach,CA,90266,2137500,4,4.0,142 - Manhattan Bch Sand,1464,1348,1987,526,1460,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/123-40th-St-90266/home/6656471,CRMLS,SB18162650,N,Y,33.902597,-118.4199394
PAST SALE,November-27-2018,Townhouse,21 Coronado Ct,Manhattan Beach,CA,90266,1025000,2,2.0,145 - Manhattan Village,1465,1752,1983,424,700,575,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/21-Coronado-Ct-90266/home/6657765,CRMLS,SB18126116,N,Y,33.896876,-118.387699
PAST SALE,June-5-2018,Townhouse,12 Grenada Ct,Manhattan Beach,CA,90266,1070000,2,2.5,145 - Manhattan Village,1583,1774,1987,599,676,575,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/12-Grenada-Ct-90266/unit-1/home/6659285,CRMLS,SB18090218,N,Y,33.8974618,-118.389476
PAST SALE,February-15-2018,Townhouse,1017 Crest Dr,Manhattan Beach,CA,90266,3080000,4,3.5,142 - Manhattan Bch Sand,2550,3326,2017,709,1208,100,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1017-Crest-Dr-90266/home/143103764,CRMLS,SB17179934,N,Y,33.8842963,-118.4087557
PAST SALE,,Condo/Co-op,100 Manhattan Ave,Manhattan Beach,CA,90266,5118000,3,4.0,,2470,,2016,,2072,,,,,http://www.redfin.com/CA/Manhattan-Beach/100-Manhattan-Ave-90266/home/143367506,,,N,Y,33.8778849,-118.407048
PAST SALE,November-30-2018,Townhouse,2412 manhattan Ave,Manhattan Beach,CA,90266,4250000,4,3.5,142 - Manhattan Bch Sand,2480,3495,2018,421,1714,200,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/2412-Manhattan-Ave-90266/home/6711004,CRMLS,SB18177252,N,Y,33.8930942,-118.4152167
PAST SALE,April-10-2018,Townhouse,3105 Vista Dr,Manhattan Beach,CA,90266,2255000,3,4.0,142 - Manhattan Bch Sand,2406,3504,2003,655,937,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3105-Vista-Dr-90266/home/22929991,CRMLS,SB18005994,N,Y,33.8977786,-118.415066
PAST SALE,,Condo/Co-op,307 40th St,Manhattan Beach,CA,90266,2000000,4,5.0,,,,1959,,,,,,,http://www.redfin.com/CA/Manhattan-Beach/307-40th-St-90266/home/6655796,,,N,Y,33.903058,-118.418425
PAST SALE,September-26-2018,Townhouse,443 23rd Pl,Manhattan Beach,CA,90266,2800000,3,3.25,142 - Manhattan Bch Sand,2460,3382,2018,486,1138,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/443-23rd-Pl-90266/home/6710775,CRMLS,SB18167631,N,Y,33.8934993,-118.4121295
PAST SALE,June-26-2018,Townhouse,436 23rd Pl,Manhattan Beach,CA,90266,2099000,3,3.5,142 - Manhattan Bch Sand,1920,2712,2005,578,1093,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/436-23rd-St-90266/unit-1/home/12282224,CRMLS,SB18050178,N,Y,33.892923,-118.411961
PAST SALE,June-15-2018,Townhouse,757 Manhattan Beach Blvd,Manhattan Beach,CA,90266,2000000,2,2.5,143 - Manhattan Bch Tree,1986,7711,2017,589,1007,436,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/757-Manhattan-Beach-Blvd-90266/home/22147354,CRMLS,SB18013607,N,Y,33.8872676,-118.4040689
PAST SALE,July-20-2018,Townhouse,1315 Manhattan Beach Blvd Unit D,Manhattan Beach,CA,90266,900000,2,2.5,147 - Manhattan Bch Mira Costa,1246,5498,1986,554,722,150,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1315-Manhattan-Beach-Blvd-90266/unit-D/home/6703934,CRMLS,SB18082751,N,Y,33.88765,-118.391111
PAST SALE,October-19-2018,Condo/Co-op,1140 Manhattan Bch Unit D,Manhattan Beach,CA,90266,835500,2,2.5,Manhattan Beach Mira Costa,1190,9562,1978,463,702,220,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1140-Manhattan-Beach-Blvd-90266/unit-D/home/6704767,TheMLS,18-389320,N,Y,33.887098,-118.394513
PAST SALE,December-13-2018,Townhouse,225 36th Pl,Manhattan Beach,CA,90266,2050000,3,3.25,142 - Manhattan Bch Sand,1850,2690,2005,408,1108,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/225-36th-Pl-90266/home/8151506,CRMLS,SB18217002,N,Y,33.9006457,-118.4180526
PAST SALE,,Multi-Family (2-4 Unit),4008 Highland Ave,Manhattan Beach,CA,90266,2175000,12,8.0,,5364,3302,1973,,405,,,,,http://www.redfin.com/CA/Manhattan-Beach/4008-Highland-Ave-90266/home/6655792,,,N,Y,33.9031681,-118.418598
PAST SALE,,Multi-Family (2-4 Unit),4209 Crest Dr,Manhattan Beach,CA,90266,1575000,3,2.0,,1508,1650,1948,,1044,,,,,http://www.redfin.com/CA/Manhattan-Beach/4209-Crest-Dr-90266/home/6655818,,,N,Y,33.9044803,-118.4190438
PAST SALE,May-3-2019,Townhouse,225 38th,Manhattan Beach,CA,90266,2499000,3,3.5,142 - Manhattan Bch Sand,2270,,1989,267,1101,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/225-38th-St-90266/home/6656782,CRMLS,SB19020609,N,Y,33.9016601,-118.4185079
PAST SALE,,Multi-Family (2-4 Unit),128 38th Pl,Manhattan Beach,CA,90266,3087500,6,9.0,,3720,2701,1989,,830,,,,,http://www.redfin.com/CA/Manhattan-Beach/128-38th-Pl-90266/home/6656784,,,N,Y,33.9014496,-118.419166
PAST SALE,,Condo/Co-op,3300 Ocean Dr,Manhattan Beach,CA,90266,4000000,2,3.0,,1829,,1992,,2187,,,,,http://www.redfin.com/CA/Manhattan-Beach/3300-Ocean-Dr-90266/home/6710046,,,N,Y,33.8980239,-118.4183933
PAST SALE,October-23-2018,Multi-Family (2-4 Unit),4206 Highland Ave,Manhattan Beach,CA,90266,1499000,4,2.0,142 - Manhattan Bch Sand,1560,1800,1930,459,961,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/4206-Highland-Ave-90266/home/6655819,CRMLS,SB18221708,N,Y,33.9043163,-118.419204
PAST SALE,April-5-2019,Multi-Family (2-4 Unit),4314 Ocean Dr,Manhattan Beach,CA,90266,1975000,3,2.0,142 - Manhattan Bch Sand,1556,1718,1927,295,1269,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/4314-Ocean-Dr-90266/home/6656013,CRMLS,SB18297764,N,Y,33.9046392,-118.4211851
PAST SALE,,Condo/Co-op,1521 Artesia Blvd #3,Manhattan Beach,CA,90266,952500,2,3.0,,1638,,1995,,582,,,,,http://www.redfin.com/CA/Manhattan-Beach/1521-Artesia-Blvd-90266/unit-3/home/6702328,,,N,Y,33.8731861,-118.3865846
