SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-7-2019,Single Family Residential,3901 Via Pavion,Palos Verdes Estates,CA,90274,1335000,3,2.25,164 - Valmonte,1847,7263,1954,232,723,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3901-Via-Pavion-90274/home/7722612,CRMLS,SB19057948,N,Y,33.7979671,-118.364571
PAST SALE,September-20-2018,Single Family Residential,2115 Via Visalia,Palos Verdes Estates,CA,90274,1450000,3,2.0,162 - Monte Malaga,2000,8630,1962,492,725,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2115-Via-Visalia-90274/home/7727056,CRMLS,PV18145960,N,Y,33.784417,-118.3897694
PAST SALE,November-22-2019,Single Family Residential,2615 Via Campesina,Palos Verdes Estates,CA,90274,1535000,3,2.0,163 - Malaga Cove,1869,9262,1958,64,821,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2615-Via-Campesina-90274/home/7723501,CRMLS,PV19223435,N,Y,33.7996755,-118.3855927
PAST SALE,October-22-2019,Single Family Residential,1716 Via Boronada,Palos Verdes Estates,CA,90274,1758100,3,3.0,160 - Lunada Bay/Margate,3233,10991,1965,95,544,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1716-Via-Boronada-90274/home/7724474,CRMLS,SB19060046,N,Y,33.7814916,-118.4129842
PAST SALE,September-11-2019,Single Family Residential,704 Via Horcada,Palos Verdes Estates,CA,90274,2270000,3,2.25,163 - Malaga Cove,2616,17981,1956,136,868,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/704-Via-Horcada-90274/home/7723823,CRMLS,PV19038129,N,Y,33.7971276,-118.4050143
PAST SALE,September-5-2018,Single Family Residential,2639 Via Carrillo,Palos Verdes Estates,CA,90274,1625000,3,1.75,160 - Lunada Bay/Margate,2130,8321,1955,507,763,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2639-Via-Carrillo-90274/home/7725992,CRMLS,PV18177875,N,Y,33.7690337,-118.4109705
PAST SALE,May-17-2018,Single Family Residential,1640 Via Machado,Palos Verdes Estates,CA,90274,1185000,3,2.0,160 - Lunada Bay/Margate,1450,5738,1955,618,817,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1640-Via-Machado-90274/home/7724577,CRMLS,PV18087102,N,Y,33.7826225,-118.4086656
PAST SALE,,Condo/Co-op,2508 Via Campesina,Palos Verdes Estates,CA,90274,1650000,3,4.0,,2770,,2007,,596,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2508-Via-Campesina-90274/home/21924011,,,N,Y,33.799527,-118.38747
PAST SALE,March-30-2018,Single Family Residential,1609 Via Montemar,Palos Verdes Estates,CA,90274,1868000,3,3.0,163 - Malaga Cove,2669,7278,1956,666,700,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1609-Via-Montemar-90274/home/7723857,CRMLS,PV18006307,N,Y,33.7960656,-118.4026866
PAST SALE,March-7-2019,Condo/Co-op,2571 Via Campesina Unit A,Palos Verdes Estates,CA,90274,652500,2,2.0,163 - Malaga Cove,1335,11672,1964,324,489,450,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2571-Via-Campesina-90274/unit-A/home/7723467,CRMLS,OC19006336,N,Y,33.8001008,-118.3867795
PAST SALE,January-17-2019,Single Family Residential,517 Via Almar,Palos Verdes Estates,CA,90274,2542000,3,3.0,163 - Malaga Cove,3030,6453,1961,373,839,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/517-Via-Almar-90274/home/7723712,CRMLS,PV19003138,N,Y,33.7994746,-118.4008381
PAST SALE,February-5-2019,Single Family Residential,1328 Via Gabriel,Palos Verdes Estates,CA,90274,1455000,3,3.0,162 - Monte Malaga,2242,11751,1957,354,649,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1328-Via-Gabriel-90274/home/7726955,CRMLS,PV18293402,N,Y,33.7878811,-118.388263
PAST SALE,,Single Family Residential,1620 Espinosa Cir,Palos Verdes Estates,CA,90274,1537000,3,2.0,,1602,11152,1955,,959,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1620-Espinosa-Cir-90274/home/7724554,,,N,Y,33.7841625,-118.4077985
PAST SALE,October-25-2018,Condo/Co-op,2357 Palos Verdes Dr W #8,Palos Verdes Estates,CA,90274,764000,2,2.0,160 - Lunada Bay/Margate,1340,10667,1976,457,570,550,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2357-Palos-Verdes-Dr-W-90274/unit-8/home/7724922,CRMLS,PV18140454,N,Y,33.7739327,-118.4172006
PAST SALE,October-16-2018,Single Family Residential,1033 Via Palestra,Palos Verdes Estates,CA,90274,1700000,3,2.5,160 - Lunada Bay/Margate,2067,8484,1957,466,822,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1033-Via-Palestra-90274/home/7726204,CRMLS,PV18215257,N,Y,33.7728732,-118.4119745
PAST SALE,October-19-2018,Single Family Residential,300 Via Alcance,Palos Verdes Estates,CA,90274,1835000,3,3.0,164 - Valmonte,2216,9542,1950,463,828,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/300-Via-Alcance-90274/home/7722294,CRMLS,SB18253800,N,Y,33.8008467,-118.3631558
PAST SALE,June-25-2018,Single Family Residential,4213 Via Valmonte,Palos Verdes Estates,CA,90274,1450000,3,2.5,164 - Valmonte,2199,8337,1955,579,659,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4213-Via-Valmonte-90274/home/7722544,CRMLS,PV18100521,N,Y,33.7981083,-118.3591839
PAST SALE,November-9-2018,Single Family Residential,305 Via Navajo,Palos Verdes Estates,CA,90274,1560000,3,2.0,164 - Valmonte,1900,7496,1952,442,821,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/305-Via-Navajo-90274/home/7723130,CRMLS,PV18186082,N,Y,33.8012062,-118.3705514
PAST SALE,June-21-2018,Condo/Co-op,2575 Via Campesina Unit E,Palos Verdes Estates,CA,90274,665000,2,1.5,163 - Malaga Cove,1138,6765,1973,583,584,375,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2575-Via-Campesina-90274/unit-E/home/103663152,CRMLS,PV18099228,N,Y,33.7999717,-118.3865741
PAST SALE,February-15-2018,Single Family Residential,2552 Palos Verdes Dr W,Palos Verdes Estates,CA,90274,1285000,3,2.0,160 - Lunada Bay/Margate,2220,12297,1956,709,579,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2552-Palos-Verdes-Dr-W-90274/home/7725882,CRMLS,PV17175525,N,Y,33.7713028,-118.4140055
PAST SALE,,Single Family Residential,4017 Via Nivel,Palos Verdes Estates,CA,90274,1415000,2,2.0,,1441,8079,1948,,982,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4017-Via-Nivel-90274/home/7722287,,,N,Y,33.7995511,-118.3625623
PAST SALE,February-28-2019,Single Family Residential,405 Via Colorin,Palos Verdes Estates,CA,90274,1481000,3,1.75,164 - Valmonte,1760,8777,1952,331,841,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/405-Via-Colorin-90274/home/7722291,CRMLS,SB18243876,N,Y,33.7994409,-118.3615579
PAST SALE,November-18-2019,Single Family Residential,3945 Via Solano,Palos Verdes Estates,CA,90274,1345000,3,1.75,164 - Valmonte,1298,7210,1937,68,1036,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3945-Via-Solano-90274/home/7722158,CRMLS,PV19215667,N,Y,33.8038083,-118.3630188
PAST SALE,,Single Family Residential,4229 Via Pinzon,Palos Verdes Estates,CA,90274,1000000,3,2.0,,1530,10785,1947,,654,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4229-Via-Pinzon-90274/home/7722510,,,N,Y,33.7970127,-118.3582708
PAST SALE,November-22-2019,Single Family Residential,3949 Via Cardelina,Palos Verdes Estates,CA,90274,1275000,2,1.5,164 - Valmonte,1606,7912,1953,64,794,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3949-Via-Cardelina-90274/home/7722191,CRMLS,SB19242727,N,Y,33.8029805,-118.3630416
PAST SALE,December-20-2019,Single Family Residential,4041 Via Solano,Palos Verdes Estates,CA,90274,1428000,3,2.0,164 - Valmonte,1491,7796,1938,36,958,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4041-Via-Solano-90274/home/7722357,CRMLS,PV19181666,N,Y,33.8027853,-118.3606905
PAST SALE,December-19-2019,Single Family Residential,3920 Via Solano,Palos Verdes Estates,CA,90274,1585000,3,3.0,164 - Valmonte,2182,7126,1939,37,726,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3920-Via-Solano-90274/home/7722173,CRMLS,SB19213052,N,Y,33.8034031,-118.3641601
PAST SALE,July-20-2018,Single Family Residential,4324 Via Azalea,Palos Verdes Estates,CA,90274,1758000,3,2.5,164 - Valmonte,2054,8029,1938,554,856,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4324-Via-Azalea-90274/home/7722468,CRMLS,PV18144755,N,Y,33.7987234,-118.3567186
PAST SALE,,Single Family Residential,4153 Via Solano,Palos Verdes Estates,CA,90274,1450000,2,2.0,,2023,11722,1949,,717,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4153-Via-Solano-90274/home/7722439,,,N,Y,33.8004641,-118.3580197
PAST SALE,October-25-2019,Single Family Residential,4412 Lucera Cir,Palos Verdes Estates,CA,90274,1180000,3,1.75,164 - Valmonte,1300,8858,1955,92,908,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4412-Lucera-Cir-90274/home/7722491,CRMLS,PV19159443,N,Y,33.7972955,-118.3558511
PAST SALE,February-1-2018,Single Family Residential,513 Via Gorrion,Palos Verdes Estates,CA,90274,1465000,3,2.25,164 - Valmonte,2516,15265,1951,723,582,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/513-Via-Gorrion-90274/home/7722586,CRMLS,PV17247074,N,Y,33.79813,-118.3603024
PAST SALE,April-23-2019,Single Family Residential,564 Via Media,Palos Verdes Estates,CA,90274,2775000,3,3.5,163 - Malaga Cove,3054,6707,1956,277,909,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/564-Via-Media-90274/home/7723698,CRMLS,PV18251119,N,Y,33.7992249,-118.4031202
PAST SALE,,Single Family Residential,804 Calle de Arboles,Redondo Beach,CA,90277,1150000,3,2.0,,1206,6923,1948,,954,,,,,http://www.redfin.com/CA/Redondo-Beach/804-Calle-de-Arboles-90277/home/7708887,,,N,Y,33.8043889,-118.3777605
PAST SALE,June-10-2019,Vacant Land,1805 Via Coronel,Palos Verdes Estates,CA,90274,1359888,0,,Palos Verdes Estates,,31348,,229,,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1805-Via-Coronel-90274/home/17497968,SDMLS,301849132,N,Y,33.7865003,-118.397896
PAST SALE,July-12-2019,Single Family Residential,1017 Via Zumaya,Palos Verdes Estates,CA,90274,1450000,3,2.0,160 - Lunada Bay/Margate,1703,9914,1957,197,851,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1017-Via-Zumaya-90274/home/7726194,CRMLS,PV19168298,N,Y,33.7720848,-118.4113584
PAST SALE,April-30-2019,Single Family Residential,3909 Via Picaposte,Palos Verdes Estates,CA,90274,2050000,3,2.75,164 - Valmonte,2037,12139,1951,270,1006,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3909-Via-Picaposte-90274/home/7722263,CRMLS,SB19059900,N,Y,33.7999599,-118.3649456
PAST SALE,May-7-2019,Single Family Residential,2909 Palos Verdes Dr N,Palos Verdes Estates,CA,90274,1250000,2,1.75,164 - Valmonte,1987,7745,1954,263,629,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2909-Palos-Verdes-Dr-N-90274/home/7723001,CRMLS,PV18277081,N,Y,33.8026226,-118.3807769
PAST SALE,April-19-2019,Single Family Residential,3648 Palos Verdes Dr N,Palos Verdes Estates,CA,90274,1255000,3,1.75,164 - Valmonte,1648,6694,1937,281,762,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3648-Palos-Verdes-Dr-N-90274/home/7723167,CRMLS,PV18216300,N,Y,33.8009563,-118.367858
PAST SALE,,Single Family Residential,360 Via Almar,Palos Verdes Estates,CA,90274,2050000,4,3.0,,2391,16474,1960,,857,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/360-Via-Almar-90274/home/7723392,,,N,Y,33.8004624,-118.3952011
PAST SALE,March-8-2019,Condo/Co-op,2525 Via Campesina #206,Palos Verdes Estates,CA,90274,750000,2,2.0,163 - Malaga Cove,1213,16809,1971,323,618,460,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2525-Via-Campesina-90274/unit-206/home/7723451,CRMLS,PW18295756,N,Y,33.7999642,-118.3878224
PAST SALE,March-15-2019,Single Family Residential,106 Coronel Plz,Palos Verdes Estates,CA,90274,1250000,3,2.0,162 - Monte Malaga,1750,6746,1963,316,714,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/106-Coronel-Plz-90274/home/7727116,CRMLS,PV18063653,N,Y,33.7844701,-118.3910018
PAST SALE,March-29-2018,Condo/Co-op,2322 Palos Verdes Dr W #109,Palos Verdes Estates,CA,90274,651000,2,2.0,160 - Lunada Bay/Margate,1184,21242,1973,667,550,345,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2322-Palos-Verdes-Dr-W-90274/unit-109/home/7725830,CRMLS,DW18023695,N,Y,33.7746048,-118.416468
