SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,609 Via Del Monte,Palos Verdes Estates,CA,90274,2900000,4,2.0,,3054,13006,1962,,950,,,,,http://www.redfin.com/CA/Palos-Verdes-Estates/609-Via-Del-Monte-90274/home/7723939,,,N,Y,33.7986696,-118.3951555
PAST SALE,April-12-2018,Single Family Residential,2316 Via Carrillo,Palos Verdes Estates,CA,90274,1675000,4,3.0,160 - Lunada Bay/Margate,2399,8998,1964,653,698,0,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2316-Via-Carrillo-90274/home/7725760,CRMLS,PV18043994,N,Y,33.7755599,-118.4147814
PAST SALE,February-23-2018,Single Family Residential,1613 Via Garfias,Palos Verdes Estates,CA,90274,2000000,4,3.5,160 - Lunada Bay/Margate,2497,5883,2013,701,801,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1613-Via-Garfias-90274/home/109240548,CRMLS,SB18010546,N,Y,33.7835295,-118.409953
PAST SALE,April-3-2018,Single Family Residential,2649 Via Pacheco,Palos Verdes Estates,CA,90274,1410000,4,2.0,160 - Lunada Bay/Margate,1726,8825,1954,662,817,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/2649-Via-Pacheco-90274/home/7725063,CRMLS,SB17240464,N,Y,33.7699867,-118.4153425
PAST SALE,March-13-2018,Single Family Residential,3808 Palos Verdes Dr N,Palos Verdes Estates,CA,90274,1300000,4,4.0,164 - Valmonte,2583,6613,1965,683,503,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3808-Palos-Verdes-Dr-N-90274/home/7723208,CRMLS,PV17230771,N,Y,33.8000521,-118.3664199
PAST SALE,June-20-2018,Single Family Residential,1728 Chelsea Rd,Palos Verdes Estates,CA,90274,1816600,5,3.0,160 - Lunada Bay/Margate,2984,7555,1974,584,609,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1728-Chelsea-Rd-90274/home/7724214,CRMLS,PV18081104,N,Y,33.7822526,-118.4186528
PAST SALE,June-8-2018,Single Family Residential,1016 Via Romero,Palos Verdes Estates,CA,90274,1750000,4,2.5,160 - Lunada Bay/Margate,3097,7759,1976,596,565,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1016-Via-Romero-90274/home/7725407,CRMLS,PV18070219,N,Y,33.7711217,-118.4107195
PAST SALE,September-17-2018,Single Family Residential,1525 Via Castilla,Palos Verdes Estates,CA,90274,2000000,4,3.5,160 - Lunada Bay/Margate,3561,15026,1978,495,562,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1525-Via-Castilla-90274/home/7725473,CRMLS,PV18196033,N,Y,33.7676857,-118.4044895
PAST SALE,August-10-2018,Single Family Residential,1109 Via Romero,Palos Verdes Estates,CA,90274,1790000,4,3.25,160 - Lunada Bay/Margate,3028,10127,1958,533,591,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/1109-Via-Romero-90274/home/7726191,CRMLS,PV18142543,N,Y,33.7726142,-118.4109248
PAST SALE,May-4-2018,Single Family Residential,4224 Via Nivel,Palos Verdes Estates,CA,90274,1973000,4,3.5,164 - Valmonte,2439,7918,1941,631,809,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4224-Via-Nivel-90274/home/7722539,CRMLS,PV18039432,N,Y,33.7982723,-118.357723
