SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-10-2018,Single Family Residential,2546 Ridgeland Rd,Torrance,CA,90505,885000,3,2.0,125 - Walteria,1660,5297,1955,655,533,,Sold,,,http://www.redfin.com/CA/Torrance/2546-Ridgeland-Rd-90505/home/7721795,CRMLS,SB18039660,N,Y,33.7848585,-118.3362267
PAST SALE,December-28-2018,Single Family Residential,65 Ranchview Rd,Rolling Hills Estates,CA,90274,1350000,4,3.0,Palos Verdes Drive North,3118,13211,1975,393,433,,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/65-Ranchview-Rd-90274/home/7742010,TheMLS,18-381840,N,Y,33.784523,-118.3625166
PAST SALE,March-22-2018,Single Family Residential,3463 Tanglewood Ln,Rolling Hills Estates,CA,90274,2550000,9,8.0,165 - PV Dr North,7878,53715,1979,674,324,,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/3463-Tanglewood-Ln-90274/home/7730472,CRMLS,PV17073762,N,Y,33.7850327,-118.339483
PAST SALE,September-4-2019,Single Family Residential,2622 Ridgeland Rd,Torrance,CA,90505,899000,3,1.75,125 - Walteria,1214,5200,1955,143,741,,Sold,,,http://www.redfin.com/CA/Torrance/2622-Ridgeland-Rd-90505/home/7721789,CRMLS,SB19175972,N,Y,33.7855035,-118.3369682
PAST SALE,October-31-2019,Single Family Residential,2035 264th St,Lomita,CA,90717,925000,3,1.75,121 - Lomita,2107,7760,1956,86,439,,Sold,,,http://www.redfin.com/CA/Lomita/2035-264th-St-90717/home/7729134,CRMLS,SB19192401,N,Y,33.7828249,-118.3158983
PAST SALE,November-7-2019,Single Family Residential,27760 Palos Verdes Dr E,Rancho Palos Verdes,CA,90275,1350000,4,3.0,167 - PV Dr East,4360,24184,1979,79,310,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/27760-Palos-Verdes-Dr-E-90275/home/7732566,CRMLS,PV19146654,N,Y,33.7648879,-118.3207388
PAST SALE,January-22-2020,Single Family Residential,27727 Saddle Rd,Rolling Hills Estates,CA,90274,1395000,3,1.75,165 - PV Dr North,1892,13300,1958,3,737,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Peninsula/27727-Saddle-Rd-90274/home/7732510,CRMLS,PV19252406,N,Y,33.7668455,-118.3193232
PAST SALE,July-9-2019,Single Family Residential,5035 Foxpoint Ln,Rolling Hills Estates,CA,90274,1210000,4,2.75,176 - Silver Spur,2057,12803,1957,200,588,2,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/5035-Foxpoint-Ln-90274/home/8090855,CRMLS,SB19126101,N,Y,33.786588,-118.3660547
PAST SALE,August-2-2019,Single Family Residential,4004 Via Opata,Palos Verdes Estates,CA,90274,1227000,3,1.75,164 - Valmonte,1203,8304,1953,176,1020,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/4004-Via-Opata-90274/home/7722771,CRMLS,SB19154453,N,Y,33.7966737,-118.3655754
PAST SALE,August-28-2019,Single Family Residential,2611 Loftyview Dr,Torrance,CA,90505,885000,3,1.75,125 - Walteria,1649,5265,1954,150,537,,Sold,,,http://www.redfin.com/CA/Torrance/2611-Loftyview-Dr-90505/home/7721741,CRMLS,OC19180906,N,Y,33.7836825,-118.3364103
