SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-13-2019,Condo/Co-op,28121 Highridge Rd #207,Rolling Hills Estates,CA,90275,387383,1,1.0,174 - Crest,709,43075,1974,73,546,291,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/28121-Highridge-Rd-90275/unit-207/home/7749563,CRMLS,SB19210540,N,Y,33.7755869,-118.3842371
PAST SALE,November-26-2019,Condo/Co-op,5947 Armaga Spring Rd Unit E,Rancho Palos Verdes,CA,90275,575000,2,1.75,174 - Crest,1071,215371,1969,60,537,450,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/5947-Armaga-Spring-Rd-90275/unit-E/home/7749762,CRMLS,SB19177452,N,Y,33.7724069,-118.3825696
PAST SALE,September-10-2019,Townhouse,49 Cresta Verde Dr #65,Rolling Hills Estates,CA,90274,700000,2,2.5,172 - La Cresta,1400,491349,1972,137,500,543,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/49-Cresta-Verde-Dr-90274/unit-65/home/7747532,CRMLS,PW19177512,N,Y,33.7600841,-118.3896202
PAST SALE,August-22-2018,Condo/Co-op,3604 W Estates Ln #206,Rolling Hills Estates,CA,90274,489000,2,2.0,165 - PV Dr North,951,433780,1973,521,514,425,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/3604-W-Estates-Ln-90274/unit-206/home/7728477,CRMLS,SB18164290,N,Y,33.7851691,-118.3416397
PAST SALE,February-16-2018,Condo/Co-op,26130 Narbonne Ave #132,Lomita,CA,90717,407000,2,2.0,121 - Lomita,1043,55046,1975,708,390,300,Sold,,,http://www.redfin.com/CA/Lomita/26130-Narbonne-Ave-90717/unit-132/home/7731732,CRMLS,SB18009486,N,Y,33.7850581,-118.3193364
PAST SALE,September-13-2018,Condo/Co-op,25925 Narbonne Ave #39,Lomita,CA,90717,295000,2,1.0,121 - Lomita,805,59281,1973,499,366,363,Sold,,,http://www.redfin.com/CA/Lomita/25925-Narbonne-Ave-90717/unit-39/home/7731605,CRMLS,SB18179253,N,Y,33.7872706,-118.3207475
PAST SALE,June-11-2018,Condo/Co-op,5965 Peacock Ridge Rd #204,Rancho Palos Verdes,CA,90275,625000,2,2.0,174 - Crest,1363,43075,1974,593,459,415,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/5965-Peacock-Ridge-Rd-90275/unit-204/home/7749601,CRMLS,SB18080848,N,Y,33.7755869,-118.3842371
PAST SALE,December-20-2019,Condo/Co-op,627 Deep Vly #208,Rolling Hills Estates,CA,90274,719900,2,2.0,175 - Peninsula Center,1086,1086,2019,36,663,598,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/627-Deep-Valley-Dr-90274/unit-208/home/170151395,CRMLS,SB19280229,N,Y,33.7712055,-118.3714416
PAST SALE,January-14-2020,Townhouse,15 Oaktree Ln,Rolling Hills Estates,CA,90274,949000,3,2.5,174 - Crest,2184,1938,1974,11,435,440,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/15-Oaktree-Ln-90274/home/7750615,CRMLS,PV19262443,N,Y,33.7736323,-118.3782839
PAST SALE,January-14-2020,Townhouse,34 Seaview Dr N,Rolling Hills Estates,CA,90274,838000,3,2.25,174 - Crest,1868,1584,1973,11,449,450,Sold,,,http://www.redfin.com/CA/Rolling-Hills-Estates/34-Seaview-Dr-N-90274/home/7741134,CRMLS,PV19256555,N,Y,33.763044,-118.379393
