SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-25-2018,Single Family Residential,30905 Ganado Dr,Rancho Palos Verdes,CA,90275,1620000,4,2.5,168 - Mira Catalina,2709,12911,1967,623,598,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30905-Ganado-Dr-90275/home/7734158,CRMLS,SB18064113,N,Y,33.7372522,-118.3387296
PAST SALE,May-30-2019,Single Family Residential,29948 Knoll View Dr,Rancho Palos Verdes,CA,90275,1500000,4,3.25,167 - PV Dr East,2623,12467,1968,253,572,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29948-Knoll-View-Dr-90275/home/7738730,CRMLS,SB19088722,N,Y,33.7450851,-118.3282276
PAST SALE,October-23-2018,Single Family Residential,3131 Deluna Dr,Rancho Palos Verdes,CA,90275,1544000,4,2.0,168 - Mira Catalina,2542,20365,1965,472,607,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3131-Deluna-Dr-90275/home/7738925,CRMLS,PV18229661,N,Y,33.7412132,-118.3314468
PAST SALE,July-9-2019,Single Family Residential,29706 Knoll View Dr,Rancho Palos Verdes,CA,90275,1799900,4,3.0,167 - PV Dr East,2606,15916,1963,213,691,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/29706-Knoll-View-Dr-90275/home/7738672,CRMLS,PV19129657,N,Y,33.7480226,-118.3271888
PAST SALE,December-31-2019,Single Family Residential,3086 Deluna Dr,Rancho Palos Verdes,CA,90275,1976000,4,3.0,168 - Mira Catalina,3900,21425,1960,38,507,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3086-Deluna-Dr-90275/home/7738941,CRMLS,WS19259920,N,Y,33.7410477,-118.3304194
PAST SALE,April-12-2018,Single Family Residential,3 Surrey Ln,Rancho Palos Verdes,CA,90275,1705000,4,3.25,167 - PV Dr East,3224,18427,1954,666,529,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3-Surrey-Ln-90275/home/7739497,CRMLS,SB17212303,N,Y,33.7626479,-118.3327938
PAST SALE,June-19-2018,Single Family Residential,18 Surrey Ln,Rancho Palos Verdes,CA,90275,1850000,5,4.0,167 - PV Dr East,3610,17947,1960,598,512,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/18-Surrey-Ln-90275/home/7739471,CRMLS,PV18053116,N,Y,33.7635662,-118.3348257
PAST SALE,,Single Family Residential,15 Surrey Ln,Rancho Palos Verdes,CA,90275,1505000,3,2.0,,2631,19512,1955,,572,,,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/15-Surrey-Ln-90275/home/7739503,,,N,Y,33.7637224,-118.334118
PAST SALE,January-31-2020,Single Family Residential,4 Chaparral Ln,Rancho Palos Verdes,CA,90275,1753000,4,4.5,167 - PV Dr East,3583,31788,1984,7,489,29,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/4-Chaparral-Ln-90275/home/7739567,CRMLS,PV19268082,N,Y,33.7663053,-118.3344604
PAST SALE,May-14-2019,Single Family Residential,4004 Dauntless Dr,Rancho Palos Verdes,CA,90275,1748000,5,3.5,Palos Verdes Drive South/Portugese Bend,2926,12020,1960,269,597,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/4004-Dauntless-Dr-90275/home/7738059,TheMLS,19-450612,N,Y,33.7370086,-118.3502583
PAST SALE,September-26-2019,Single Family Residential,30645 Palos Verdes Dr E,Rancho Palos Verdes,CA,90275,1888000,5,4.0,167 - PV Dr East,4178,20124,1990,134,452,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30645-Palos-Verdes-Dr-E-90275/unit-E/home/7738565,CRMLS,PV19195383,N,Y,33.7374165,-118.3308988
