SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-31-2018,Single Family Residential,6044 Flambeau Rd,Rancho Palos Verdes,CA,90275,1275000,3,2.0,176 - Silver Spur,1846,9280,1959,403,691,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/6044-Flambeau-Rd-90275/home/7743863,CRMLS,SB18171282,N,Y,33.7799269,-118.3863915
PAST SALE,September-30-2019,Single Family Residential,1905 Homeworth Dr,Rancho Palos Verdes,CA,90275,835000,3,1.5,177 - Eastview/RPV,1497,5923,1950,130,558,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/1905-Homeworth-Dr-90275/home/7733081,CRMLS,SB19171406,N,Y,33.7530302,-118.3117883
PAST SALE,November-4-2019,Single Family Residential,22 Ocean Crest Ct,Rancho Palos Verdes,CA,90275,930000,2,2.0,171 - Country Club,1961,1888,1981,95,474,372,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/22-Ocean-Crest-Ct-90275/home/7746299,CRMLS,SB19199405,N,Y,33.763316,-118.394714
PAST SALE,January-9-2020,Single Family Residential,3158 Crownview Dr,Rancho Palos Verdes,CA,90275,1460000,3,3.0,167 - PV Dr East,2632,20314,1972,29,555,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3158-Crownview-Dr-90275/home/7738807,CRMLS,PV19201545,N,Y,33.7497547,-118.3309902
PAST SALE,May-7-2018,Single Family Residential,30836 Casilina Dr,Rancho Palos Verdes,CA,90275,1251000,3,2.0,168 - Mira Catalina,1819,11672,1961,641,688,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30836-Casilina-Dr-90275/home/7734010,CRMLS,PV18077093,N,Y,33.7373015,-118.3361955
PAST SALE,May-10-2018,Single Family Residential,30679 Palos Verdes Dr E,Rancho Palos Verdes,CA,90275,1778000,3,2.75,167 - PV Dr East,2871,20576,1978,638,619,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/30679-Palos-Verdes-Dr-E-90275/home/7738554,CRMLS,PV18074608,N,Y,33.7369974,-118.3320175
PAST SALE,November-20-2018,Single Family Residential,2777 Vista Mesa Dr,Rancho Palos Verdes,CA,90275,1255000,3,2.0,168 - Mira Catalina,1624,14579,1962,444,773,2,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2777-Vista-Mesa-Dr-90275/home/7736492,CRMLS,SB18209614,N,Y,33.73647,-118.3267207
PAST SALE,,Single Family Residential,2736 San Ramon Dr,Rancho Palos Verdes,CA,90275,920000,3,2.0,,1685,28370,1959,,546,,,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2736-San-Ramon-Dr-90275/home/7736548,,,N,Y,33.7339768,-118.3311728
PAST SALE,December-31-2019,Single Family Residential,15 La Vista Verde Dr,Rancho Palos Verdes,CA,90275,1020000,3,2.5,167 - PV Dr East,2008,24767,1966,38,508,21,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/15-La-Vista-Verde-Dr-90275/home/7736287,CRMLS,PV19261090,N,Y,33.7375395,-118.3254878
PAST SALE,,Single Family Residential,3604 Greve Dr,Rancho Palos Verdes,CA,90275,1315000,3,3.0,,1874,15101,1964,,702,,,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/3604-Greve-Dr-90275/home/7733872,,,N,Y,33.7430476,-118.3354421
