SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-25-2018,Condo/Co-op,818 Camino Real #105,Redondo Beach,CA,90277,575000,2,2.0,156 - S Redondo Bch S of Torrance Bl,975,202452,1970,499,590,416,Sold,,,http://www.redfin.com/CA/Redondo-Beach/818-Camino-Real-90277/unit-105/home/7703733,CRMLS,SB18162825,N,Y,33.8321035,-118.3776101
PAST SALE,June-6-2018,Condo/Co-op,650 The Vlg #108,Redondo Beach,CA,90277,655000,1,1.0,157 - S Redondo Bch W of PCH,619,272965,1974,610,1058,280,Sold,,,http://www.redfin.com/CA/Redondo-Beach/650-The-Vlg-90277/unit-108/home/7701955,CRMLS,SB18021367,N,Y,33.8396706,-118.3892023
PAST SALE,November-16-2018,Condo/Co-op,605 S Prospect Ave #101,Redondo Beach,CA,90277,575000,2,2.0,156 - S Redondo Bch S of Torrance Bl,955,147039,1970,447,602,409,Sold,,,http://www.redfin.com/CA/Redondo-Beach/605-S-Prospect-Ave-90277/unit-101/home/7703851,CRMLS,SB18234011,N,Y,33.8327217,-118.37661
PAST SALE,April-6-2018,Condo/Co-op,635 S Prospect Ave #205,Redondo Beach,CA,90277,567000,2,2.0,156 - S Redondo Bch S of Torrance Bl,949,161716,1970,671,597,409,Sold,,,http://www.redfin.com/CA/Redondo-Beach/635-S-Prospect-Ave-90277/unit-205/home/7704242,CRMLS,SB18039521,N,Y,33.8313206,-118.3766269
PAST SALE,August-13-2019,Condo/Co-op,615 Esplanade #704,Redondo Beach,CA,90277,893000,1,1.0,157 - S Redondo Bch W of PCH,719,31687,1971,177,1242,409,Sold,,,http://www.redfin.com/CA/Redondo-Beach/615-Esplanade-90277/unit-704/home/7705352,CRMLS,SB19123307,N,Y,33.8325742,-118.390064
PAST SALE,May-7-2018,Condo/Co-op,1108 Camino Real #402,Redondo Beach,CA,90277,550000,2,2.0,S. Redondo Beach South of Torrance Blvd,901,22138,1971,640,610,420,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1108-Camino-Real-90277/unit-402/home/7704017,TheMLS,18-318432,N,Y,33.8281301,-118.3731998
PAST SALE,,Condo/Co-op,2601 Curtis Ave,Redondo Beach,CA,90278,2200000,12,6.0,,,,1958,,,,,,,http://www.redfin.com/CA/Redondo-Beach/2601-Curtis-Ave-90278/home/6684684,,,N,Y,33.8778142,-118.3641415
PAST SALE,February-21-2019,Condo/Co-op,727 Esplanade #402,Redondo Beach,CA,90277,2100000,2,2.0,157 - S Redondo Bch W of PCH,1757,19985,1974,350,1195,552,Sold,,,http://www.redfin.com/CA/Redondo-Beach/727-Esplanade-90277/unit-402/home/7704284,CRMLS,SB19000045,N,Y,33.8297284,-118.3899743
PAST SALE,February-6-2020,Condo/Co-op,721 Esplanade #606,Redondo Beach,CA,90277,890000,1,1.0,157 - S Redondo Bch W of PCH,800,17804,1971,1,1113,315,Sold,,,http://www.redfin.com/CA/Redondo-Beach/721-Esplanade-90277/unit-606/home/7704317,CRMLS,SB20009013,N,Y,33.8302115,-118.3899389
PAST SALE,July-31-2019,Condo/Co-op,802 Camino Real #206,Redondo Beach,CA,90277,440000,1,1.0,156 - S Redondo Bch S of Torrance Bl,669,202452,1970,190,658,398,Sold,,,http://www.redfin.com/CA/Redondo-Beach/802-Camino-Real-90277/unit-206/home/7703816,CRMLS,RS19123790,N,Y,33.8321035,-118.3776101
